Time,User,Message
0.0,2b0da6e3ad79253fa00df347f087384388bec661,4436eaa4eef9d684124eed99ac093f5b9f6756ea what about that one yogg you made a video of 
1.0,cce936aff05ba096cb9eddfa037afea40ea8da0b,yogg mechathun 
2.0,412213b78f2e607e47c91529cfc69f191e578d2b,didnt u experience with the 1% otk 
10.0,426396d4688859ec8d146b5a6c612ab2e97efc9b,toast use it for really silly youtube content ideas then non subscribe ppl can youtube it later 
13.0,8d6babb84d8e726ae569830fbf86e27c4686a3f0,4436eaa4eef9d684124eed99ac093f5b9f6756ea will i ever be braindead enough to enjoy playing murlocs 
15.0,fd309dad15f77447f615be7f5d08faa884e082b3,if this becomes a thing like twitch prime i can see myself not watching twitch anymore 
21.0,e0bc693d930b5779a249705e12be325a04f85a01,big bois 
36.0,a90f278390e5d388114ece15bad17bfccb095ed5,8baf0adbefd6f815ef44757072962516fe8b80df world first race is something that should be hideable by a pay wall considering these last 2 tiers are the first time in 15 years weve had the priveledge of following along 
37.0,70623334caf31ceabaa788df5b03a2383ca58b85,4606ad007f5c499dc51e3d95ee1d9cafc5b41939 jesus man how long is enough 8 hours 10 a day for 5 dollars a month 
39.0,3f894f6b20d3827f0c852e1d4d515b344a4a46ee,omegalul 
41.0,b013af1444704cc48b1fc530a96906e4430f4687,yeah yogg otk kinda was beyond perfect 
42.0,8dad6c4e19a6b3b83295e6175551323f0c5eb31b,misplay 
42.0,62fd3bb95da320dbcf2076d4284619f521f6304b,no mossy :( 
50.0,683f070d23f6ae390a1fdba6cac0550d2b713bb3,now he'll play into it 
51.0,edc1d1dcb515249773244394e8efe34b49d69bea,we're going to slap da bass in 5 minutes when we go subs only 
53.0,0d00be84a44507081f5b4addf6c7dd46867acafc,pepega 
54.0,8e20266961c4d6c354eddd9a28b3bab41d3f7c06,wow gameplay when toast :) 
55.0,6672b00973ee64fb8126e2f2f04a5cddff50dc70,mossy would let the scargil live 
58.0,ba88d33fce61547d92963dd8f3e440b7030de960,feelsweirdman 
58.0,8dad6c4e19a6b3b83295e6175551323f0c5eb31b,no guys he planned it 
60.0,57e65e831abd1f2e5f2a002b69d46d1d43a62e7a,4436eaa4eef9d684124eed99ac093f5b9f6756ea u lost the last bit of rng with the mecha'thun cataclysm rng with yogg 
62.0,6a6e072272ee27d86f3a4cb7d3b06b3294279cb3,sludge slurper gachibass 
65.0,007d808c760c37d458fd934368bb14cce47a2ef3,look at alll these chickens 
70.0,b39104dd5903e34897eb308be28ad9dec9bb7b82,order lul 
70.0,ebc57f3350997ece9db8a3825fb56ccd263266a2,lul 
71.0,8dad6c4e19a6b3b83295e6175551323f0c5eb31b,welp 
71.0,988f4fa216455da30b0c64e3d4b6a9322de5113a,monkaw 
72.0,93693b9cda5bbb4b731c81d8c77cbcc64906adb5,lul 
72.0,1cbc2a619a99e4a647d56861ef2337615a4bbbdd,lul 
72.0,ab6c38ca870709e003ea67993b0e7b197ef41404,monkas 
73.0,b24945d8350dff38ce5f967602d494c5631c7c7b,lul 
73.0,3f894f6b20d3827f0c852e1d4d515b344a4a46ee,omegalul clap 
73.0,a5dab611760a769ac01b7396f802d1d2ac7e3bdd,f 
73.0,6a6e072272ee27d86f3a4cb7d3b06b3294279cb3,pog 
73.0,8dad6c4e19a6b3b83295e6175551323f0c5eb31b,lul 
73.0,0a2fb326cfdd93b74b4dad6e9459e881afb0b9ae,ops 
73.0,b0c845362cfbe5b92a32d54adbd68cde2257c838,omegalul 
