Time,User,Message
0.0,bf8f3cf360e388040ab507a8b8fef5521087e5a3,olafprime 
6.0,f000f717ec12e8920e22c4ed0acf541505b123d0,pikagasp 
14.0,5ed44235dfd3969d31479e142a98d0cdab993146,videosettings 
15.0,3abf69b27ba4384440fbed336deb59296994f4ce,bf8f3cf360e388040ab507a8b8fef5521087e5a3 6:30 ml7s do you have a baby are you 70 yo why would you do this to yourself lulw 
15.0,bf8f3cf360e388040ab507a8b8fef5521087e5a3,d2dc43e16c0a0d53b490eebac711bbdc98414bbb we fast enough for you ml7ezzy ml7lul 
22.0,3abf69b27ba4384440fbed336deb59296994f4ce,ml7vibes ml7pogu 
25.0,0f017088ab5a8a49dafab157958509bc459bc8ba,beatiful 
26.0,973c8c91d482f1cf9bbaf3c1645538035c75cab2,ml7lmao ml7lmao 
26.0,e344d03cf90d0518ce93b9b56b09c70ba237cb2f,824047f5afe599857723573fdb125d2e29f23788 oh my kabajitip 
26.0,78ec979d24ab42c17530c51c3586b8606eacc803,psa: french is difficult btw don't fall for it's beautiful trap lul 
27.0,0c01f66b682f5456e5a98c2f45a6af59c0b8e884,lulw 
27.0,f000f717ec12e8920e22c4ed0acf541505b123d0,pepepls 
29.0,d2dc43e16c0a0d53b490eebac711bbdc98414bbb,pepelaugh 
30.0,0b6a2f4867f41d3ef44aaf599ced41b87e88a24a,ml7pat ml7pat ml7pat ml7pat ml7pat ml7pat ml7pat ml7pat 
35.0,07b4049c1289e2a53f99e1919abc892e025f7998,ml7lul 
38.0,bf8f3cf360e388040ab507a8b8fef5521087e5a3,3abf69b27ba4384440fbed336deb59296994f4ce no and no ml7lul i just like getting up early to tackle the day ml7mmmyea 
39.0,910e620daa147ab675432aa689da2c4cc414a3e0,kragiehi 
40.0,0b4eb098da25a2c21ea5491b26f3f78f31ce3875,ml7pat ml7pat ml7pat ml7pat ml7pat 
48.0,f6e8d083bc94db62b3b877ba24f0a114c07fa1d9,ive noticed that on some maps too 
51.0,4cc3c158bcb0c9db268ddcd6b491d2aa046ee483,pog 
51.0,287c6c0d132829449a66e05ec6536e4b6afdd2b5,not ana babyrage 
54.0,9cbdac37a76f941acb9da04cda8248bd2cd34561,78ec979d24ab42c17530c51c3586b8606eacc803 my mom says earworm is good for learning french 
55.0,4cc3c158bcb0c9db268ddcd6b491d2aa046ee483,uptime 
58.0,824047f5afe599857723573fdb125d2e29f23788,e344d03cf90d0518ce93b9b56b09c70ba237cb2f did you do your homework young lady 
60.0,7f95c9944f0ac9067113e197dd61ea9b50c63bd6,bf8f3cf360e388040ab507a8b8fef5521087e5a3 ml7hug1 
62.0,0c01f66b682f5456e5a98c2f45a6af59c0b8e884,d: 
65.0,091732d8418b43f8ac1827ac84fa31c617f05e00,d: 
66.0,4676558688d85c4560659a00fb70cbbd059c7593,monkas 
66.0,f5b853f6e0ce3bb3a9db9c97acb6b6ffa3ff2189,ml7lmao ml7lmao ml7lmao 
66.0,3abf69b27ba4384440fbed336deb59296994f4ce,bf8f3cf360e388040ab507a8b8fef5521087e5a3 i admire and envy early birds like you olafhands 
66.0,07b4049c1289e2a53f99e1919abc892e025f7998,ml7lmao 
67.0,7aed15768bd4909c1a485da139b7ea15597f63f8,lulw 
68.0,083a6b37927400f1a33b12bd7971d20ecab43953,lmao 
68.0,7c417a5865b982d48f1ae715689da483c33298a9,gachibass 
68.0,03c0311d3b682b67c168dc3745988afbe41e1c68,everyone hates paris but it's better than busan and i hardly see anyone complain about busan kabajihands 
69.0,c0b5bb2272edef52c411550ad9a8a57812ae9666,lul 
70.0,d6bf9ce21bf605a839272f9799bd3a594d1ad8e9,thank you baptiste oh you're welcome 
71.0,24b65697b92e832f787be4d668ebc963432cecdb,d: 
71.0,78ec979d24ab42c17530c51c3586b8606eacc803,9cbdac37a76f941acb9da04cda8248bd2cd34561 :o ty <3 
76.0,bf8f3cf360e388040ab507a8b8fef5521087e5a3,7f95c9944f0ac9067113e197dd61ea9b50c63bd6 hey bb ml7love ml7hug1 ml7hug1 
89.0,e344d03cf90d0518ce93b9b56b09c70ba237cb2f,824047f5afe599857723573fdb125d2e29f23788 im doing it now did u do yours kabajismile 
92.0,287c6c0d132829449a66e05ec6536e4b6afdd2b5,yes 
97.0,07b4049c1289e2a53f99e1919abc892e025f7998,ml7lmao ml7lmao 
99.0,a22fd60b1c790bf1f103e3ec9b650f5093cea279,i wish that's what he said 
102.0,03c26c8823614f2aa3dfa4312d3facfe4ffa54f5,oh its wanted 
103.0,03c0311d3b682b67c168dc3745988afbe41e1c68,that's one way to 4head 
104.0,bf8f3cf360e388040ab507a8b8fef5521087e5a3,yuge ultl 
106.0,6c13d7974923d0f79fa40449a9ff81254ea84ff7,anyone not gaining sr when they win 
115.0,824047f5afe599857723573fdb125d2e29f23788,e344d03cf90d0518ce93b9b56b09c70ba237cb2f nope 
138.0,bf8f3cf360e388040ab507a8b8fef5521087e5a3,when brig tries to bash you but you're bap snacc = ml7pogu ml7smart ml7lul 
141.0,3abf69b27ba4384440fbed336deb59296994f4ce,6c13d7974923d0f79fa40449a9ff81254ea84ff7 apparently ml didn't gain sr last game 
148.0,4198893b8387c13a6234ecf35535251f02139d31,6c13d7974923d0f79fa40449a9ff81254ea84ff7 ml7 may not have 
166.0,e344d03cf90d0518ce93b9b56b09c70ba237cb2f,824047f5afe599857723573fdb125d2e29f23788 i didnt even need to come in today since my essays werent done she told me to go do them in the library kabajilmao kabajihands 
