Time,User,Message
0.0,9d45ec1a7eaa915c6a8542f3b5920f29bb3328ed,true it's 9 43 am here 
6.0,116c32c5e7cf2d493b5c05091c6fdbbe7017bd69,red player named wellwisher lol 
9.0,948d341911194e3a1743f6191beac60988d93412,8:43 over here 
16.0,1b29568fe56e44c02c05e78cd1557372c7895b96,8:43 
20.0,78ef215ea3ecb3313abcd833289b5c77b25076f3,land is for closers brad 
31.0,4c8f138aedf38c29e6be6719c44b1b48f2ca5ce0,eu > us kappa 
31.0,5cc0606ddcc7dd2bf6534550bcd84c0e24df1267,do you always stream at this time 
32.0,3ef23ebf5a33dff5d250ea75d2190635a855594f,eu>na 
35.0,5cc0606ddcc7dd2bf6534550bcd84c0e24df1267,it's great :) 
35.0,b7fc46fa04b958eba5bbe251c564706b96b7d060,is there going to be a mengu stream tonight 
36.0,9d45ec1a7eaa915c6a8542f3b5920f29bb3328ed,ugly teferi picture available only in store for gems 
38.0,9e1bbfe1e36cf9bcbab106323c01bf504703c4e7,also getting those night shift workers that have nothing to do at work 
39.0,586c0769e2035e57c2ec30476f9809fff2fbde2f,brad moving to the west coast so that he can stay up later lol 
39.0,fffde29ecd7c9fe15e74b485fdf452ea5eb3a934,i'm from south africa also 8:45 here 
46.0,ab89e86fd94796299bca260eae1b2a7bf7cb326e,i looked at some lists and most decks run at least a couple basic lands so i'm not high on golgari midrange land destruction 
50.0,21e63f0cff874574a9a02c1b647eb251a264aef4,hi brad what would be good to side in vs jeskai walkers and dreadhorde in the temur colors 
72.0,bdf6bd102e498bd05c010667bed4625153d473f9,is this esper control or hero 
80.0,9d45ec1a7eaa915c6a8542f3b5920f29bb3328ed,midrange it seems 
81.0,586c0769e2035e57c2ec30476f9809fff2fbde2f,hero 
93.0,6cacd5ecce1c9a81e6af9d0a0c123b1c2d717885,bdf6bd102e498bd05c010667bed4625153d473f9 hero 
105.0,97f7c5794c7f4d4cc00cf629e4f02076aedb7b27,there is going to be a new chandra in m20 probably will be pushed since she is the poster girl for this year's set pretty excited as a rdw player 
