Time,User,Message
0.0,2c0f7479a0c178869ac5a2dc9248505415f86fd6,9e5e4beaddde17c5c4c4e1fd6d2f744a0a31a0cc ya maybe 
1.0,3b37424cee6ba087de4f9cfd987bc09a3fdfcb27,d4792b36ee86165ae72959e944e9400084f80d43 haha 
1.0,86891a12340a82ae23ee55a047b54bab32ade697,action press 1 if you want me to leave chat 
4.0,2c0f7479a0c178869ac5a2dc9248505415f86fd6,1 
6.0,2c0f7479a0c178869ac5a2dc9248505415f86fd6,11 
6.0,81a48bac99b1bf8e5f1ebff32823ccc2bca8e5d5,1 
6.0,3b37424cee6ba087de4f9cfd987bc09a3fdfcb27,it was funny 
7.0,f2aa8ec0a988b9c5608520536dcdb0be67957226,2 
7.0,2c0f7479a0c178869ac5a2dc9248505415f86fd6,111 
8.0,03c7a7fe07c204af829219c15ad49feefc1c6421,1 
8.0,6783b4bd2fe70f4bf690135a3f3be3e541484cc8,0 
8.0,7e65a6f4bd265a34c03e96d320965c0deb4c6661,rip 1 
9.0,aa8620580567c8e5c9d972d3930dc5571bb9b2f4,1 
9.0,3b37424cee6ba087de4f9cfd987bc09a3fdfcb27,everything was on stream 
9.0,c1760afa4a50cdc7edc0b15c879da113a5eb72db,11111111111111 
10.0,d4792b36ee86165ae72959e944e9400084f80d43,1 
10.0,2c0f7479a0c178869ac5a2dc9248505415f86fd6,1 
11.0,d3e30da12a00bdd69bc2a792eff5a4c7ba0c8a02,ez clap 
11.0,03c7a7fe07c204af829219c15ad49feefc1c6421,69 
12.0,04dfe11baf5fe0f3ec8e3136818abb295ffbef7e,yeah 
13.0,8af71a59a8e77c996e914ba39b3fe27c1c3845ea,69 
13.0,baae60be4116147505e35e6bb6f032feca77f7c4,instagram 
14.0,536c3f805dfd85ad2f5e60c9a8f58e195a93603f,69 
15.0,6783b4bd2fe70f4bf690135a3f3be3e541484cc8,46174616771aad1a8f72e5119e2172315e27fe33 you can of course 
16.0,eb5077fd07d6f3e157c0ec96a7d24108bacc2e25,danucddanu danucddanu 
18.0,6c3f03e50890dde18f1117da0de9ab6ddf6c0e18,69 
20.0,2436af1c4002936fda00ecfd1f302d6fdbee0016,you can win 
