Time,User,Message
0.0,7394747d599b6a335997f397ec753bafc0265ead,ml7olaf ml7olaf ml7olaf ml7olaf 
2.0,4d36c46e6250639ca4d07ec9b7808d55576dfc0a,jordan that's becoming a command 
7.0,76c0b5b066bbdb3455448bd4684f8da68fecba04,jfoxlul 
7.0,4b607a8c63c8e8dc89679ca38990139a1937d42e,yes 
8.0,ad1cb008f39b4a3a1b4579879a9fb850636e4768,lol 
13.0,4d36c46e6250639ca4d07ec9b7808d55576dfc0a,cmd add litterbox hello fran mrdestructoid this is your litter box talking mrdestructoid boo's logs are mad stanky today mrdestructoid that is all mrdestructoid 
16.0,4d36c46e6250639ca4d07ec9b7808d55576dfc0a,litterbox 
25.0,c46319ff1f2b1ab00a962108a6d5a1aedeb05157,pogu 
25.0,3774b3ce4e991a530d62947057442f15494fc17e,lmao 
28.0,ad1cb008f39b4a3a1b4579879a9fb850636e4768,pogu 
29.0,4d36c46e6250639ca4d07ec9b7808d55576dfc0a,pepelmao 
33.0,7772707e8e2e84a8f7f79b8274e30a0ea9f31c47,litterbox 
40.0,69b77083696844ed13724e18ec8ba2f9564c9deb,forsen1 
41.0,ad1cb008f39b4a3a1b4579879a9fb850636e4768,pepelaugh 
41.0,a923eb0d84012d128f82b4d767125f1865b88e6f,yay another command we're gonna forget about in 2 days 
42.0,4b607a8c63c8e8dc89679ca38990139a1937d42e,pepelmao 
43.0,45a5bb0dfc26aa6e3d016ad66d0d2d3744594a0d,uh oh lol 
45.0,d5cebc81c13f322b279705bac1e3b3d887ae88b7,blocked heals pog 
45.0,9e589814a9ea7e119622c9e249408a1b034daacf,good job fran you're doing great 
46.0,c911dff5514db206cc1ed3eec83a3ab532a8c345,ankie 
48.0,4b607a8c63c8e8dc89679ca38990139a1937d42e,hello fran mrdestructoid this is your litter box talking mrdestructoid boo's logs are mad stanky today mrdestructoid that is all mrdestructoid 
50.0,4d36c46e6250639ca4d07ec9b7808d55576dfc0a,a923eb0d84012d128f82b4d767125f1865b88e6f don't call us out like that annytfweird 
51.0,c911dff5514db206cc1ed3eec83a3ab532a8c345,pepelmao 
53.0,ad1cb008f39b4a3a1b4579879a9fb850636e4768,a923eb0d84012d128f82b4d767125f1865b88e6f dont be a fun sponge :( 
60.0,4d36c46e6250639ca4d07ec9b7808d55576dfc0a,ankie d: 
68.0,a923eb0d84012d128f82b4d767125f1865b88e6f,i can do whatever i want you're not my mom 
69.0,a7b578bbcf85d1df03b753e680467288e6c5f440,looks like dogman gonna be looking for another job franny taking jobs away 
69.0,10b7d15a30def69aa9c86959890ede70b8524c1e,monkas 
71.0,b36bd35ccb7ca6f22572940f5d22e99a0428e076,oh uh 
77.0,da621b25644aeb3ba1557d1677cfb7712f5164bb,46ad6ca6009eac57e1706bcd9899ffc5ab9a3ac8 ur being boosted by twitch lul nah u deserve it 
81.0,76c0b5b066bbdb3455448bd4684f8da68fecba04,hello fran luvelyf this is your litter box talking luvelyf boo's logs are mad stanky today luvelyf that is all luvelyf 
82.0,b36bd35ccb7ca6f22572940f5d22e99a0428e076,why yall doin c911dff5514db206cc1ed3eec83a3ab532a8c345 like this 
85.0,c911dff5514db206cc1ed3eec83a3ab532a8c345,punch a923eb0d84012d128f82b4d767125f1865b88e6f 
87.0,a923eb0d84012d128f82b4d767125f1865b88e6f,any power abusers 
88.0,00cf333049465d2746d047b84ba700e739e9b59d,4200 viewers 
93.0,c911dff5514db206cc1ed3eec83a3ab532a8c345,b36bd35ccb7ca6f22572940f5d22e99a0428e076 barccry 
93.0,7040b411589d2b2189cc273eaa8975e9c98c5ea8,kayell is our mom tho monkaw 
95.0,4d36c46e6250639ca4d07ec9b7808d55576dfc0a,holy shit 
