Time,User,Message
0.0,9a54a3f3b935d44b2ceae7be13c2e019055839b7,47d7a3664838e13d4fd631687c1762b45384a4b9 u hit 2k subs twerkgg 
1.0,9c737ece73966d918428ec247f52d0c0e098f85c,no snipes boooo 
3.0,41bc871850237db487fc75286c59b34260918388,rk7 for snipers 
5.0,ea23b23cf71e23a265771428d22d6e4bfa7336dc,song 
6.0,cdd194ec6227f37d4bca06aba84c79feba0b4af3,srims 
6.0,3e2d367a0bd01947e8c3e9c453c52da01a64e49b,lmao sniper for rk7 
7.0,1fee6c4884bf3aef1df1c1f893623c5917974838,wait so did they beat illey in the rechall 
8.0,f3b6902c8ec2867cdc4e5ec58b1ed24be24ac2ce,gd job at ohio great to the team enjoying the main stage 
10.0,cb07de14b7a7923ac3dcbcf7e9d288a0b4726700,fc718accc2363c50ca0510217f6932a32bfdb00c that team is ass except for dashy 
15.0,cbc8ef554d2d7285549da2ee721f64ca2a9a9108,da82e56a176aa45cdf680db8a8d46746ac5383a2 teej don't smoke lol 
24.0,f81701c204d8230af47e3ffad3bf47a0bb5a1bea,teej literally looks like a koala 
31.0,cdd194ec6227f37d4bca06aba84c79feba0b4af3,scrims 
37.0,3e2d367a0bd01947e8c3e9c453c52da01a64e49b,they get rk7s if dashy can snipe 
39.0,cc00216b174a98d5a8a71c4531ce3a9b66e123b5,aye yoo 
46.0,076e7732da410f13619c87bfd4c968f43695a5ca,did they play illey chat 
46.0,41bc871850237db487fc75286c59b34260918388,teej is better than formal tho 
47.0,da82e56a176aa45cdf680db8a8d46746ac5383a2,cbc8ef554d2d7285549da2ee721f64ca2a9a9108 he was ripping it earlier 
48.0,cc00216b174a98d5a8a71c4531ce3a9b66e123b5,ye said that boy look like a koala 
51.0,89381a41325d6e86f6927bea6d64cf857569e1be,47d7a3664838e13d4fd631687c1762b45384a4b9 you guys would've been 18-0 atm if your visa issue wouldn't had been there 
59.0,c7d429550370b532ca16a5e2eebee66a3cdd5df9,sniper time bruce 
63.0,cbc8ef554d2d7285549da2ee721f64ca2a9a9108,da82e56a176aa45cdf680db8a8d46746ac5383a2 no he wasn't lol i was in here 
64.0,41bc871850237db487fc75286c59b34260918388,3-2 illey gor $600 pot 
72.0,cc00216b174a98d5a8a71c4531ce3a9b66e123b5,boy said teej look like a koala 
73.0,41bc871850237db487fc75286c59b34260918388,dahsy won^ 
74.0,be6e6ecfd1d21a876163465c51fad5e5e815b2e3,dashy still on bwro 
77.0,d2f4e47623c2d2982eb71b834a8057e122001ab9,<3 
84.0,31bf60702ae1d58e347f6e0953308ede3d64552a,lmaoo 
84.0,3e2d367a0bd01947e8c3e9c453c52da01a64e49b,89381a41325d6e86f6927bea6d64cf857569e1be zooma played pretty decently for never practicing with the team 
87.0,9a54a3f3b935d44b2ceae7be13c2e019055839b7,is that only snd 
87.0,076e7732da410f13619c87bfd4c968f43695a5ca,thanks brotha 
89.0,31bf60702ae1d58e347f6e0953308ede3d64552a,thats a true ass roast 
91.0,be6e6ecfd1d21a876163465c51fad5e5e815b2e3,teej does look like a koala 
96.0,25ba594eb799f9a8c0d4f0a4d53d46057d37e2c5,89381a41325d6e86f6927bea6d64cf857569e1be facts 
99.0,ab70bf9430bca8bba73a0d6f984ef3c8acc4fb7f,sens 
