Time,User,Message
0.0,8f26c0244a980ef907eec272341f60d566de8228,recover doc 
2.0,01617e463117c1abf877a6a4a45826db72963eab,would just be camping corners 
3.0,b3370c26e938936dc4431660bd6ac9341e57d426,doctorlul 
3.0,151b1cb188a078500e79aabc4645c3bc7d1e8a1d,01617e463117c1abf877a6a4a45826db72963eab shhh 
16.0,a4b4fc092312d7f454795b2f206d9e0342115a2e,doctorlul doctorthink 
19.0,598932cec64d42bede4e1370decfe2fa668c01c4,lol he let him die 
20.0,9347e08ae5ca492b19205a794f55bcbf275aeceb,doctorlul 
22.0,c89153114113828d4d41372ceb9b0ec10e965813,dad 
26.0,2242bcf433304aede4c2c14c6c253a11d254c5cf,sorry 
28.0,7f4ad600f58f070596870ad23952d70aedec10a2,26fc71742315163e27d3dfbce719c1e2628e53a6 that's exactly what im referring to rat boy you'll always be a ratboy as long as you think like that 
30.0,b9b3e133022308e5f609d89c8436ad07a7ad8eee,sorry 
31.0,d5ec9b6845bc1a75709887c22a4407e912f648d8,lolol 
31.0,aa60593a6bac8e26800da9bde58a9df132851487,sorry 
32.0,67010b6e2194ab5a9bd084d203cc43041f574c52,vsnz you look at your father when hes talking to you 
35.0,57e31f215bc0b58743f5c574e050c03d5d61658e,looted instead of grabbing badge lul 
36.0,7f4ad600f58f070596870ad23952d70aedec10a2,doc gave shoutouts even to ppl who donated $1 
41.0,dd4273514899be0ecf7dabd4c7ed280bec4bf8f8,burnt rat gang 
41.0,0393561e5f130d9ff6e80766614910767505cc3e,florida is actually beautiful cheap to live amazing non crowded beaches and lots of good seafood i live by the beach and go surfing on my lunch break a lot or go snorkeling when it's flat 
45.0,a9cba513cd545448c9e20572dcefda2cf81c5edf,7f4ad600f58f070596870ad23952d70aedec10a2 savage doctorthroatpunch 
48.0,97d2b0f676cf314d574a5e1d4750c87c57e21895,whats up champions 
51.0,27bad64d2a867666d2a19b1276f7b05f54342fb7,vsnz just wanted some father son time 
56.0,26fc71742315163e27d3dfbce719c1e2628e53a6,7f4ad600f58f070596870ad23952d70aedec10a2 so will i get on or not 
70.0,f5397d4cffd1b0410c987d39696d5d877049565b,in general 
72.0,27e289321d809242a3d4e239be773b906854cc58,mods 
76.0,c699a31c5e824cb4f45ac17080c6093440aca9b0,92fa19a7d56ef4883daf1ba4dd5dd3821af79f6a mmmmmmmmbruther doctorhandshake 
81.0,27e289321d809242a3d4e239be773b906854cc58,wins 
81.0,a9cba513cd545448c9e20572dcefda2cf81c5edf,97d2b0f676cf314d574a5e1d4750c87c57e21895 kicking back at the turtle beach lounge in the arena surrounded by to champions club members couldn't be any better doctorwarcry 
83.0,a4e2bf45012876abb42c02d3de0334e6078caf13,doctor3 doctor6 doctor0 doctoraim 
83.0,67010b6e2194ab5a9bd084d203cc43041f574c52,0393561e5f130d9ff6e80766614910767505cc3e no doubt if i wasnt in cali i would only live in florida too many rednecks tho 
95.0,dd4273514899be0ecf7dabd4c7ed280bec4bf8f8,miami and la best two places 
96.0,7acaa55323adae00251f2a394a569403165fdc59,doctorbuffer doctorbuffer doctorbuffer doctorbuffer doctorbuffer wishey wishey wishey wishey wishey 
100.0,d2daff625976b0d82f8e4f00319b3c7d419f9f91,who cares if it's just a so you want don't bother donating hahah 
105.0,7acaa55323adae00251f2a394a569403165fdc59,doctorcommitted1 doctorcommitted2 
109.0,e1007528f0d410f27195694c69e4bcefbef480e7,not a chance lol 
111.0,e7788ffe877a2448dd418332f3a31b8e8a325802,24 million in the arena 
114.0,51467d5fa9d30ed504d2a47fe4f5a6f1e0736edc,should be a onockdown bubble you could still thirst a level 1 or level 2 but utbwould make a level 3 more valuable and reasonable to pick up and it would make the gold knockdown actually useful 
121.0,3bea2d6dd4e4a3d908988b1a0042a52f4465d7f1,hi 
121.0,2639fc426e8c00643e4d65bffc090bf695b2327f,baby precious 
122.0,a9cba513cd545448c9e20572dcefda2cf81c5edf,97d2b0f676cf314d574a5e1d4750c87c57e21895 surrounded by true champions club members doctorbuffer 
123.0,26fc71742315163e27d3dfbce719c1e2628e53a6,7f4ad600f58f070596870ad23952d70aedec10a2 ur a dizzy man 
126.0,d5ec9b6845bc1a75709887c22a4407e912f648d8,dont yall get fuckin hurricance in florida how the fuck the best place to live have hurricanes doctorwtf doctorwtf 
127.0,a4e2bf45012876abb42c02d3de0334e6078caf13,doctorhandshake doctorcommitted1 doctorcommitted2 doctorhandshake 
135.0,295f49b1c3ea768aa6a8f16c3afa63bfa3d051d2,doc 
135.0,92fa19a7d56ef4883daf1ba4dd5dd3821af79f6a,hello champions club doctorheart doctorhandshake c699a31c5e824cb4f45ac17080c6093440aca9b0 you maniac 
139.0,e1007528f0d410f27195694c69e4bcefbef480e7,good pathfinders are too slippery 
143.0,25794719204b65a27e50992412b583c5685d75ec,snap em doc 
146.0,dd4273514899be0ecf7dabd4c7ed280bec4bf8f8,d5ec9b6845bc1a75709887c22a4407e912f648d8 harden up joey 
149.0,a9cba513cd545448c9e20572dcefda2cf81c5edf,92fa19a7d56ef4883daf1ba4dd5dd3821af79f6a doctorwarcry doctorhandshake doctorhandshake doctorhandshake doctorhandshake 
155.0,295f49b1c3ea768aa6a8f16c3afa63bfa3d051d2,give em the love 
