Time,User,Message
0.0,8fb751639a08276c97d621ae9edc607a593ff48c,re runnnnn 
13.0,b354500abdf8dd9a546a3b772d6d9a808fb444a9,imagine watching rerun in 2k19 pepelaugh 
63.0,1463fc1c46e783f66c9851c15e7a538d776a967d,imagine imaginging 
84.0,b354500abdf8dd9a546a3b772d6d9a808fb444a9,trueee lulw 
103.0,a1a5845ff8e7fb6e1141e59f2d0868ef4f4addd6,pishi kur i begai 
131.0,1463fc1c46e783f66c9851c15e7a538d776a967d,trueeeeeeeeeeee yeah that's true that's fknn true 
133.0,b6e8aac81856152e452d5404cc22cfe1ffdbc2fa,0499010cbc8bb06cd526a825c46ee25f860036d3 live but re run it means no 
142.0,b6e8aac81856152e452d5404cc22cfe1ffdbc2fa,the match has been played before 
173.0,f5b1cf80d54b7f578777c17de05c2529ad07ab2d,who win esl eg 
196.0,1463fc1c46e783f66c9851c15e7a538d776a967d,yes eg 3:1 
199.0,b6e8aac81856152e452d5404cc22cfe1ffdbc2fa,f5b1cf80d54b7f578777c17de05c2529ad07ab2d yeah eg won 
240.0,f5b1cf80d54b7f578777c17de05c2529ad07ab2d,ty phomblove 
243.0,7ee7ea8616253c3ed63448b6f1b9fd4cb4f5790e,amanek top 
267.0,7ee7ea8616253c3ed63448b6f1b9fd4cb4f5790e,amanek too 
279.0,2cf32e32e064a3180dd845bd9645cc9adbadc335,amanekoim 
377.0,1be806bf85faee9cb328906f20268b67feac5ca4,amınakoyim* 
385.0,b9221f6026cb3bc61d82974b4b0dafc2f8a9bd5b,is this live 
413.0,1be806bf85faee9cb328906f20268b67feac5ca4,yep 
432.0,045bd4254618fab81208c05ffb52b20386f03c42,go g2 
434.0,b9221f6026cb3bc61d82974b4b0dafc2f8a9bd5b,sweet i didnt miss yoo much then 
450.0,b9221f6026cb3bc61d82974b4b0dafc2f8a9bd5b,only round 9 
477.0,7ee7ea8616253c3ed63448b6f1b9fd4cb4f5790e,gocha life 
580.0,5020a83d40892abee565c68abe51ee9db289fff4,kenny bot 
618.0,7ee7ea8616253c3ed63448b6f1b9fd4cb4f5790e,yes 
693.0,41805f6684427bb93dc1e073078be34046688c17,its says rerun in title b9221f6026cb3bc61d82974b4b0dafc2f8a9bd5b 
707.0,878b3ce23dab0a179801bd9ccf20ec3e594f2b65,и домой 
711.0,1463fc1c46e783f66c9851c15e7a538d776a967d,allu pogchamp 
760.0,b9221f6026cb3bc61d82974b4b0dafc2f8a9bd5b,41805f6684427bb93dc1e073078be34046688c17 oh i thought thats where they were playing 
761.0,482eaa11da2eed2ca10d92d330dafae749f1034e,god allu 
807.0,5954fcd98c16fb7bd908d993011be55d40200073,nice 
827.0,2acdeeb978ccd7dfc45cae9c6fed1d893c147c30,olofmeister best player 
841.0,a17ce76263911d2e82452ffd3cf09e4bc44cfb3d,replay 
889.0,2acdeeb978ccd7dfc45cae9c6fed1d893c147c30,check top right 
919.0,3c94de8243fe828e1aa58b84affe9d539cfc2aba,coolcat coolcat 
