Time,User,Message
0.0,23ff79853f1b3b8f4193fc9899697565395548fc,are you playing with m1kerules maybe 
0.0,a6151bb37b0379598475d711d1a4b7185c50ed1d,xd 
30.0,8e3a21defa80924465d2a4428578f16771393e10,a6151bb37b0379598475d711d1a4b7185c50ed1d he's a great guy is all i can say 
35.0,0ca26c679a23200bbf95dc346c8b7245e284e29b,did scrub host 
39.0,0b89ea5f7072654d14b776b13f064c97c2114d69,yes 
40.0,f5ad6c96603e9d2435189e137f885587896723ff,yeah 0ca26c679a23200bbf95dc346c8b7245e284e29b 
41.0,98100112583ce8d5782d4a834cdfc62e87abf920,a6151bb37b0379598475d711d1a4b7185c50ed1d fr5ddysmash 
43.0,f5ad6c96603e9d2435189e137f885587896723ff,uptime 
44.0,23ff79853f1b3b8f4193fc9899697565395548fc,u 2 should play 
45.0,1f3ba8198fce325ab55d41bfd0bc62076b31e2c7,0ca26c679a23200bbf95dc346c8b7245e284e29b yes 
45.0,845be4eeeb3d1ff5d84b6761d778e5a61d4e920f,this is definitely a 1600 lobby 
57.0,f542a3b164886fb1629416e6f9c79822162eb8d7,your moves looks so easy and smooth insane 
65.0,0b89ea5f7072654d14b776b13f064c97c2114d69,already lost 200 viewers omegalul 
84.0,8e3a21defa80924465d2a4428578f16771393e10,no bakkesmod 4ca844b75407776e4bea7526825b6f79e4a49878 
90.0,f5ad6c96603e9d2435189e137f885587896723ff,lol 
91.0,4f4201348560eac3da5ad318af6d6c388bc390e0,boibo boiost boied 
96.0,845be4eeeb3d1ff5d84b6761d778e5a61d4e920f,look at these perfect aerials gotta be 2k mmr 
98.0,0b89ea5f7072654d14b776b13f064c97c2114d69,pepelaugh 
106.0,36312fdbf04bb73ba7b50b709b299303e8809651,yes 
108.0,36312fdbf04bb73ba7b50b709b299303e8809651,1 
109.0,11abff931f0eab402397ae11da36bd3a8e9191cb,yes 
109.0,4f1675f2099bff69fedc32349cf241ad6ab80d97,yes 
111.0,92785d4f7c8e64a2ede919f4d8646d7644cc9031,ye would be nice 
115.0,fb75acc1a481e1447725b719d4fb2ab7781479dd,yes 
116.0,0ca26c679a23200bbf95dc346c8b7245e284e29b,yes 
116.0,8e3a21defa80924465d2a4428578f16771393e10,apparently they do 
121.0,0b89ea5f7072654d14b776b13f064c97c2114d69,no do it right now 
121.0,23ff79853f1b3b8f4193fc9899697565395548fc,who cares if u lost you're a legend 
122.0,8e3a21defa80924465d2a4428578f16771393e10,yes train 
123.0,a00a49c9c020da9745ada45646e6184ae06db439,that was nice 
125.0,98100112583ce8d5782d4a834cdfc62e87abf920,look at this guy 
125.0,eaef66a2eba424d2280a4a7bfae03c8e45cd1ae1,pog 
126.0,b581a75dceb52f6aabf4723f4fcde768567e5698,didn't even get the flip 
128.0,2ae1d2808e6f441a3d45fa8d7e1042c96b85303c,d: 
130.0,0b89ea5f7072654d14b776b13f064c97c2114d69,d: 
131.0,109dc89b1782900bfc841b954a5331f19f6abc9b,d: 
134.0,109dc89b1782900bfc841b954a5331f19f6abc9b,toxic streamer 
135.0,4b2ed81e99ace6908472189d5b373328760db6f8,d: too far 
141.0,f72bdcadcb38b8f7a44f9f5d36ef8c91f3e11d64,d: 
142.0,4f4201348560eac3da5ad318af6d6c388bc390e0,boisca boimm 
142.0,11abff931f0eab402397ae11da36bd3a8e9191cb,what 
144.0,269cb6b2fb255bee5e50a26feb16b2aff11dffd0,plus 2 elo 
145.0,a00a49c9c020da9745ada45646e6184ae06db439,2013 with 1400s xd 
146.0,11abff931f0eab402397ae11da36bd3a8e9191cb,600 points 
146.0,269cb6b2fb255bee5e50a26feb16b2aff11dffd0,pog 
151.0,a00a49c9c020da9745ada45646e6184ae06db439,omg 
153.0,698e36a367e2c9771b17e1fec4f9c70fc4328e68,eyo 
160.0,f1e1c636f5b91efe36b0231a18c79c3048105a2d,ranked tab 
162.0,f72bdcadcb38b8f7a44f9f5d36ef8c91f3e11d64,frtysrs 
162.0,11abff931f0eab402397ae11da36bd3a8e9191cb,doesnt even happen in unranked 
164.0,ebccb139ff509e98b0a1ec107111424b721580d5,ranked 
165.0,a00a49c9c020da9745ada45646e6184ae06db439,rank 
165.0,ebccb139ff509e98b0a1ec107111424b721580d5,show mmr 
167.0,8e3a21defa80924465d2a4428578f16771393e10,yes 
171.0,2a7d6dc484867a80b8454d3eb5a842a49be6ba1d,camera 
172.0,0b89ea5f7072654d14b776b13f064c97c2114d69,calling your viewers bitches weirdchamp 
174.0,9992c2af309fe0c9d5ea33300814660a722f4451,camera 
177.0,ebccb139ff509e98b0a1ec107111424b721580d5,eeksega 
177.0,31b1131494e931b048fa0a56b124299bd0d660de,eekso can you show all your settings real quick 
180.0,a738f823592ba53c8445b5343a8d1eaa7dca799d,followage 
183.0,0ca26c679a23200bbf95dc346c8b7245e284e29b,kappa 
185.0,d5f39430342759d84ea10b1bb050873702599182,lol 
186.0,a738f823592ba53c8445b5343a8d1eaa7dca799d,lul 
192.0,f5ad6c96603e9d2435189e137f885587896723ff,i'll be ur bitch 
193.0,f1e1c636f5b91efe36b0231a18c79c3048105a2d,4ca844b75407776e4bea7526825b6f79e4a49878 you forgot to check use april fools ranked icons 
193.0,ebccb139ff509e98b0a1ec107111424b721580d5,scruubheyguys scruubheyguys 
194.0,845be4eeeb3d1ff5d84b6761d778e5a61d4e920f,oops mikerules is here 
