Time,User,Message
0.0,0f8098cd97751d2ab33dbb44446844d527071f5f,que haras arreglalo 
2.0,504ff34a330b4a226aed708c74a296e75fca5a8e,ojala no se valla 
11.0,504ff34a330b4a226aed708c74a296e75fca5a8e,no se como 
18.0,0f8098cd97751d2ab33dbb44446844d527071f5f,xd 
21.0,0f8098cd97751d2ab33dbb44446844d527071f5f,ooooo 
27.0,0f8098cd97751d2ab33dbb44446844d527071f5f,7 pal 
43.0,0f8098cd97751d2ab33dbb44446844d527071f5f,arreglalo que tu momento de gloria llego xd 
66.0,504ff34a330b4a226aed708c74a296e75fca5a8e,ya esta mejor 
74.0,0f8098cd97751d2ab33dbb44446844d527071f5f,no 
78.0,0f8098cd97751d2ab33dbb44446844d527071f5f,no se ve nada 
142.0,0f8098cd97751d2ab33dbb44446844d527071f5f,nada pal 
158.0,504ff34a330b4a226aed708c74a296e75fca5a8e,lo volvere hacer 
163.0,504ff34a330b4a226aed708c74a296e75fca5a8e,ya vengo 
378.0,0f8098cd97751d2ab33dbb44446844d527071f5f,reinicio xd 
389.0,0f8098cd97751d2ab33dbb44446844d527071f5f,lul lul lul lul lul 
432.0,0f8098cd97751d2ab33dbb44446844d527071f5f,hagale pues 
