Time,User,Message
0.0,95e57a49197dff8b1efc2862eeb003d6bec0df72,33 puts me in place 
11.0,6d8616f9fe63bbf7dd086cd710815372ac1c1f24,what there are no crates in the cave anymore biblethump 
15.0,fb9c7fd1f22b7f4bdf97a73e14f6a93a0435a10f,i've never been in 
32.0,95e57a49197dff8b1efc2862eeb003d6bec0df72,hali how long have you been on the road 
33.0,0ab07be5f545b0d4f54fcd4884aecf04e5d77818,6d8616f9fe63bbf7dd086cd710815372ac1c1f24 not for like 5 months or so now i'd guess 
34.0,fb9c7fd1f22b7f4bdf97a73e14f6a93a0435a10f,69a698364c00b8648720b34ee3db4bcba3e05781 faxh faxh faxcheer faxcheer 
44.0,eca1767f715854a14d868a68cbab44c8f4eb4c06,6d8616f9fe63bbf7dd086cd710815372ac1c1f24 yep since months luckily they remove crate loot from cave 
52.0,164e1c1d8020bdf74e59fa3531a5f02c3a6a1149,needs to be higher 
58.0,3eee21fc8877a253e737976eee344cab382efd48,yes higher 
60.0,22b7a037a5f4b6b4977f563d537b8bb716979fee,youre making plenty of sense 
61.0,796f224d4c6b09c099f27d565cb3c49cd4452ae5,ask swaggegr lul 
64.0,0525202b414a0e0e4d77c9094bddfb5f55d4ba3e,sens 
64.0,647be79613ab207f3065929cc1ae9df8a170756f,sensitivity 
66.0,1a3d2e6d9e85a3c23ccee02cc7ce1944c19289c1,2 cents 
67.0,82505a74a9b7292abb799c3a98e3daf4f2c3c5c0,hi halifax swagghi 
71.0,24890b16532483601453c46156a36d0b87c1df32,nice ping 
72.0,76d8beca346cbb2ddbbac6e5c66d5522352b24a7,22b7a037a5f4b6b4977f563d537b8bb716979fee faxlul 
79.0,3a8d0557378f2e8a3b86ad26c3b03f9daba03e27,break forgot to send us but we came on our own brkderp 
82.0,164e1c1d8020bdf74e59fa3531a5f02c3a6a1149,we know you too well hali 
85.0,fb9c7fd1f22b7f4bdf97a73e14f6a93a0435a10f,faxnade faxsubgift faxstreamerloot faxf faxd 
90.0,4fad47bf50866cc201644ff4f4c7c227898eafaf,hali we don't have cents anymore 
93.0,3c59ff96c6f78b257a8518eee0bc27d4501a5107,3a8d0557378f2e8a3b86ad26c3b03f9daba03e27 brkderp 
97.0,4fad47bf50866cc201644ff4f4c7c227898eafaf,you need to get out more bro 
99.0,0525202b414a0e0e4d77c9094bddfb5f55d4ba3e,luuuuuul 
105.0,90bbc034cf0ae7916b3d3d045ef511befb16df9a,creed? 
109.0,debba88956202e007c686a162202a169366f8322,get this man on twitch sings right now 
110.0,69a698364c00b8648720b34ee3db4bcba3e05781,angelthump 
116.0,bc070f5084411269c88d81185b5997ba3884f4f8,dromagah brkfive 
116.0,0525202b414a0e0e4d77c9094bddfb5f55d4ba3e,angelthump 
116.0,164e1c1d8020bdf74e59fa3531a5f02c3a6a1149,to the place where blind men see 
119.0,4fad47bf50866cc201644ff4f4c7c227898eafaf,creed shreds 
123.0,3c59ff96c6f78b257a8518eee0bc27d4501a5107,bc070f5084411269c88d81185b5997ba3884f4f8 brkfive 
123.0,95e57a49197dff8b1efc2862eeb003d6bec0df72,get there 
124.0,d3c5c3038caf2e75c5fd0d107b88b8f48c135272,gimme the love 
125.0,796f224d4c6b09c099f27d565cb3c49cd4452ae5,breakpls 
128.0,76d8beca346cbb2ddbbac6e5c66d5522352b24a7,i was gonna angel thump but was waiting for him to get the correct lyrics faxlul 
130.0,164e1c1d8020bdf74e59fa3531a5f02c3a6a1149,yes 
133.0,164e1c1d8020bdf74e59fa3531a5f02c3a6a1149,ur welcome 
