Time,User,Message
0.0,23fc0b8e354a8d7c2461fe3797119e85a517ac28,dodge the killer we cant bully babyrage 
13.0,3dd8029cccfa6e330ac419eea94d77d59a011d51,im new :) 
15.0,7179492cafff1273c74c00bf81feff73e827d0ab,45980b7a879bbaf5412505461c4980212da5403c hxygang hxygang 
16.0,72eaa964538902a286edd6617e18624db11ddb9f,its the recommended for you page 
19.0,b832b0449c91d00389a5812b4ae169e2b7493269,ceezmt ceezp ceezp ceezp 
22.0,9b1f354ff0881469c2146e0828a35e1d90bde52c,are you calling my face old hxyhmm 
22.0,49e62b3b3006118ce7e0fb8b3e0ee03d93ac8ec2,eeee 
22.0,ca0840c712ebaaaa84e17344a04733551137f765,stream's ok hxycringe 
23.0,8cf105a7f64c0e29f46eccebbdc573d6b69704ef,it's hexy peepoleave 
24.0,c240e5d044447ea35a6a0f854c4e5f480240e93d,hxygang hxygang hxygang 
26.0,eb09679fb7d2236fb0b88232fea16a805dbb091c,i heard about you from another stream so i've been lurking for like 3 weeks 
30.0,4917d0cfcea1244d99e61fb963319a1bfe8a981b,odd question but do you ever feel bad when the survivors earn little to no points 
30.0,2ab528b8630d94c6c41950becaea29ec7abfdd80,waaaaaaaat you a douchey killer noooooooo not at alllllll 
37.0,a5d5a96f8026293e15f9f27ae8b6eb124c84cdcd,imagine actually playing the game as intended and actually not knowing who the killer is kekw 
39.0,ddb65a50e13ed845c0efb96adc9090dcf403e14a,lul 
41.0,238fe8a59938484433cf60686cd4e4d12e768a65,kekw 
46.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,enigma2156 just resubscribed for 1 months with twitch prime hxyhypers 
48.0,599e6edd256538e278546fc806c310031bc27469,age 
49.0,8fcf891afa4e37adca8a3de1ecad04d7b0192926,hello everybody how are you doing?> 
52.0,599e6edd256538e278546fc806c310031bc27469,commands 
53.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,599e6edd256538e278546fc806c310031bc27469 the commands for this channel are available at: https://fossabot com/commands/hexy 
53.0,329a8e7a6e1b3f6fd45e6e2cd7d25aeeabeb3801,im good kekw 
53.0,3a5676ee0dada88cc50bfa3b296e3eb0c7e4ecfc,521fca827c4d312f777016a5d0f1478e1d98e432 there were some mass giveaways of keys on steelseries - so maybe people want to learn the game :) 
56.0,2078e30bd9513c14d42e9313887e3976c0267b99,i've tried to play billy i suck :/ 
57.0,f69dcdcda1c523c417d089dba3317d58aaa3bab5,hey hexy hope you're having an awesome week so far i just got done working a two day shift hxyyikes 
59.0,059ac10dd62e42aadd71fbe2aff6fe2db0ea2783,im lurking for years now lul 
61.0,8fcf891afa4e37adca8a3de1ecad04d7b0192926,just came back from joker 
65.0,059ac10dd62e42aadd71fbe2aff6fe2db0ea2783,followage 
66.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,059ac10dd62e42aadd71fbe2aff6fe2db0ea2783 adrinight has been following hexy for 2 years 11 months 21 days and 23 hours 
66.0,1f950c189f5e9f993b3c7b1ca6b255caa934ae5b,hexy bullies me into being here so i have no choice pepehands 
67.0,078fc609840239a21264c65ee913788bc6e4cd36,hello gent lemons and ladies whats up hxyh hxypositive 
68.0,af70282563562412babb9e5ec6514fd1f75a1e05,you are the best dbd streamer tho 521fca827c4d312f777016a5d0f1478e1d98e432 
69.0,d9ecdf0f226e0c6fd57b4ea8bd0a288ff4515b50,followage 
69.0,3dd8029cccfa6e330ac419eea94d77d59a011d51,hexy gets all my time hxyh hxyexcusememrstreamer 
73.0,58775fa1699c6902baf2601d6cb363d52312aa58,hxylurk 
76.0,41ff0bef240fce697bdd80e87aa0a47c059e39d6,you're the coolest dbd streamer mister toxic streamer :) 
76.0,42be051c2b856e8724d7a307f21be373d72b98f9,this game needs proximity chat lmao i wanna hear people cry as youre about to kill them 
77.0,d9763cd83f458fcbdec4b4dd76dbc16b6d82cb7f,my brothers love you so i started to watch 
78.0,2b9f0d7eed11370e442937d5433bf3474b6c1e54,so hexy how are the dedicated servers 
86.0,d89c7f1ee4238d634ac718e73885db8d3404c397,me too 
