Time,User,Message
0.0,fe323132587e6d12e4228c4b6f7d54368ce4c319,this is basically me in every game d: 
1.0,8958b55f149fa4c97cdb52dedbbaaccac2c4a132,who is this leona :thinking_face: 
7.0,fe323132587e6d12e4228c4b6f7d54368ce4c319,astroreo yea 
12.0,874596e257e3d129332f32a4ea27743f69f73ff2,didnt you say yi was garbage 
13.0,dcfca8c2ee323d3c5fbdbbbefce644382af6d933,pepesmile 
24.0,56acd2b814067715f7bb4971ab1c4fc99d235779,that leona only plays bot games 
26.0,2460a5b3c5b082bfc8909e41d829665394ff1559,fe323132587e6d12e4228c4b6f7d54368ce4c319 tell trick i'm sorry my power went out cuz of storm 
29.0,216fd47819a7e4051024eae92eba9e259be2d9fd,points 
35.0,fe323132587e6d12e4228c4b6f7d54368ce4c319,reavex d: 
39.0,f39d5fb555a86bbab14e013bc42e58ade7b37baf,8958b55f149fa4c97cdb52dedbbaaccac2c4a132 i'll one up ya why is leona trkthinking trkthinking 
44.0,3988ddfe97a861fbe084e4c4aea1f75c279dcac5,176g lul 
45.0,2460a5b3c5b082bfc8909e41d829665394ff1559,fe323132587e6d12e4228c4b6f7d54368ce4c319 not on purpose 
46.0,543621c6786ce5ef1bcca98850c9d6ce948796d7,imagine lossing 5v4 
47.0,49c1eca42135de9af8a37d2b80773ddde88207e0,how much $ is spirit guard udyr pepothink 
59.0,1f4fc8f6028d30933c6f92a0ea935363852f3490,its 35$ 
60.0,b63ac633fd37ef8043d9ca7d507f5ab82cf37fd1,heyguys heyguys heyguys chat and 526a279c8be8f6ee6b08196c99e15ea894710c0e 
60.0,d9de76c5b30cb5940bff54c5af0b80eeaa425570,3250 
60.0,cbc0ae2482894266174b4cbd7b83892098d9158a,a lot of dollaa 
67.0,1f4fc8f6028d30933c6f92a0ea935363852f3490,not a lot 
72.0,2460a5b3c5b082bfc8909e41d829665394ff1559,fe323132587e6d12e4228c4b6f7d54368ce4c319 like my back yard is flooded lol 
75.0,56acd2b814067715f7bb4971ab1c4fc99d235779,leona's last 20 games are bots lmfao 
77.0,49c1eca42135de9af8a37d2b80773ddde88207e0,$35 holy moly nah im ok 
82.0,97080e31aeb9aec4983c22d1155054b64c8b3614,pogu 
82.0,e2108bbc6eac706bd625e82f4c107414a4e81d31,xdd 
84.0,9b006783b9d2f089264b6289fb2cdb0c9753ee4b,d cane 
85.0,a71ad7532d6d7fc36588b36d97eb241f89e12fe2,lulw 
85.0,4993215058fa22900b9a0b0b95d3d45f739a50a0,lul 
86.0,a75aa895bd5615f91ffe6e9dc6332ec4c2eae334,d cane 
86.0,e841bf073f9a7bc65a689971662b7f7580b4547c,d caned 
86.0,d9de76c5b30cb5940bff54c5af0b80eeaa425570,omegalul 
86.0,1ed6345935ffbc4f5354f17f5fc70ea05a6bda80,lololo 
87.0,97080e31aeb9aec4983c22d1155054b64c8b3614,lulwizzz 
87.0,442fd3637e4cfd9cfd3cee6b544ed5e468b805f0,lul 
87.0,38f6dcb2b9c8f9c444c5cf5e771cdfb95cc8b9ba,lulw 
87.0,543621c6786ce5ef1bcca98850c9d6ce948796d7,lulw 
87.0,ad27a0621db8d35c64273461ddcdde5d211f8c66,lul 
88.0,74b9d651a6cf2edab5579e1d4c7aaa2ccedb1e76,lul 
88.0,76265a31e48070e78f58d1d1b71409bcbba45f55,hahhaha 
88.0,806d7388d23dabb2090397274a758e686ddb9109,lul 
88.0,f0843c529fdc419e12c09fba46492132e1bc809c,lulw 
88.0,8958b55f149fa4c97cdb52dedbbaaccac2c4a132,omegalul 
89.0,b63ac633fd37ef8043d9ca7d507f5ab82cf37fd1,lul 
89.0,860eccd68f22148c6c64d00354c0fb8a20ba1da4,d caned 
89.0,96f9a7434838ad994cc089761b9867aa81136bb3,d cane 
89.0,1f4fc8f6028d30933c6f92a0ea935363852f3490,lul 
89.0,daca82e645b1f3e8e08cbc1c19d3a4c1cefd56ee,ez clap 
90.0,bcc441bbce4788575dd55dd87c31e6f3a6907e99,dcane 
90.0,ad27a0621db8d35c64273461ddcdde5d211f8c66,lul 
90.0,e6492388022c297abc2776488e12efc3bf8a53e7,luuuuuuuuuuuuuuuuuuuuul 
90.0,9b006783b9d2f089264b6289fb2cdb0c9753ee4b,put it down 
91.0,32c57a32020f6739a49e8e1f8a7ec2f2d03b30b3,l 
91.0,205d5a5b9f8f4985e5d752c3dbb69148fe5edc89,lulw 
91.0,64f5613df69799c9874f8fa80e4bc0c5ec9e5987,+12 lul 
92.0,97080e31aeb9aec4983c22d1155054b64c8b3614,lulw 
92.0,cf6a284700b03e070c5872c0ed882512b19dc285,+12 
93.0,d5b68de4b312294caf97726455248a28790e04a9,d cane 
95.0,cbc0ae2482894266174b4cbd7b83892098d9158a,d cannnleeee 
95.0,e599528008b7b6c8704d51e2788620882d92b679,lul 
96.0,f1495f6097340e54af0145f84d64aa9ac2960c8d,lulw 
96.0,48a27387cf98d9874f8309311be5a7a48933b30d,lata 
98.0,96f9a7434838ad994cc089761b9867aa81136bb3,+12 
98.0,e2108bbc6eac706bd625e82f4c107414a4e81d31,3sec q xdd 
99.0,cbc0ae2482894266174b4cbd7b83892098d9158a,+12 
99.0,dcfca8c2ee323d3c5fbdbbbefce644382af6d933,+12 
101.0,3988ddfe97a861fbe084e4c4aea1f75c279dcac5,lul lul lul 
103.0,2970e56cf04e0591b17e8c431cfd404d154abd0a,+12 
103.0,a296344f72aaa820c1b8a471e1afc3c45db5f5a5,almost permastun 
105.0,a71ad7532d6d7fc36588b36d97eb241f89e12fe2,monkaw 
109.0,8387129f96626706bdcd9abf2c4c6bf625c0b60c,all chat lulw 
110.0,95aef1966e9127b544885d5cff1449d77c10a92e,trick im back 
111.0,96f9a7434838ad994cc089761b9867aa81136bb3,d: 
112.0,9ae51cf42f69352ab17cd9b71ba6b8fcadf36cd1,lllllllol 
112.0,38f6dcb2b9c8f9c444c5cf5e771cdfb95cc8b9ba,cmonbruh 
114.0,32c57a32020f6739a49e8e1f8a7ec2f2d03b30b3,cmonbruh 
114.0,cbc0ae2482894266174b4cbd7b83892098d9158a,oof oof 
118.0,8958b55f149fa4c97cdb52dedbbaaccac2c4a132,cmonbruh 
118.0,543621c6786ce5ef1bcca98850c9d6ce948796d7,a ape pepega 
125.0,2970e56cf04e0591b17e8c431cfd404d154abd0a,ape 
125.0,f39d5fb555a86bbab14e013bc42e58ade7b37baf,oof 
125.0,e841bf073f9a7bc65a689971662b7f7580b4547c,lul 
128.0,2970e56cf04e0591b17e8c431cfd404d154abd0a,omegalul 
128.0,2053b980239d0cbf34f0b109eb860ed2ea6a6add,lul 
128.0,a75aa895bd5615f91ffe6e9dc6332ec4c2eae334,lulw 
128.0,a928df608dc37c86ea7f6f24700f654f2ec36d9f,lol 
129.0,d9de76c5b30cb5940bff54c5af0b80eeaa425570,d: 
129.0,bcc441bbce4788575dd55dd87c31e6f3a6907e99,lol 
130.0,6dcb30625b91d4c2f9de60e6e6fa217bf1402bc8,lul 
130.0,5a589db5b17de24fe0a5771fdf2c9621a4014a01,rip 
130.0,31890a771fdb83d99c698316cde0a7fea94e21df,lul lul 
131.0,e2108bbc6eac706bd625e82f4c107414a4e81d31,xd 
131.0,a5d5a96f8026293e15f9f27ae8b6eb124c84cdcd,lulw 
132.0,205d5a5b9f8f4985e5d752c3dbb69148fe5edc89,lulw 
132.0,f9947ae0bc3c0535538b22cb7f2f34cf7ea486d5,why do you pop your shield early in fights 526a279c8be8f6ee6b08196c99e15ea894710c0e 
133.0,f1495f6097340e54af0145f84d64aa9ac2960c8d,hahah 
133.0,e0bd5482479464754b88c7cc5c0f2d579377547a,jajajajajajjaja 
136.0,dcfca8c2ee323d3c5fbdbbbefce644382af6d933,a ape pepega 
139.0,bffe2d47741cb59fba239e7554a69b16e1997fae,pepega 
140.0,f39d5fb555a86bbab14e013bc42e58ade7b37baf,an* 
143.0,2970e56cf04e0591b17e8c431cfd404d154abd0a,you're going to stay stuc 
145.0,e841bf073f9a7bc65a689971662b7f7580b4547c,he donated 10 dollars for your to roast hi 
147.0,80850f4279d896f8c294e4074e78c5b0b4b456f4,:( well then im just going to cry then 
147.0,e841bf073f9a7bc65a689971662b7f7580b4547c,lul 
148.0,71579adcaabe082ee9681278d47f8b1b0c07fed6,better to just mmake a new acc tbh 
157.0,205d5a5b9f8f4985e5d752c3dbb69148fe5edc89,f9947ae0bc3c0535538b22cb7f2f34cf7ea486d5 if it's too late 3 second is all it takes to let the shield disappear 
159.0,71579adcaabe082ee9681278d47f8b1b0c07fed6,th==your mmr is fucked 
160.0,f0843c529fdc419e12c09fba46492132e1bc809c,https://clips twitch tv/yummysaltypicklessoonerlater trklegend 
165.0,e841bf073f9a7bc65a689971662b7f7580b4547c,80850f4279d896f8c294e4074e78c5b0b4b456f4 did you donate 10 bones hahahah 
182.0,80850f4279d896f8c294e4074e78c5b0b4b456f4,e841bf073f9a7bc65a689971662b7f7580b4547c ye ive begun the water works 
200.0,e841bf073f9a7bc65a689971662b7f7580b4547c,80850f4279d896f8c294e4074e78c5b0b4b456f4 donates 10 bones and gets roasted lul 
203.0,2053b980239d0cbf34f0b109eb860ed2ea6a6add,so how are people earning points from playing lol 
229.0,183c2385d64cd9857849680a8a71ffa596a6e984,md 
247.0,b2ddcf4688b8761e447dd1aebea24b5896f85ce1,its warded lol 
249.0,a1f81cb9940286002956a33390f256e78c67303a,hey yisus just got nerfed don't let him scare you 
250.0,1f4fc8f6028d30933c6f92a0ea935363852f3490,who was leona 
251.0,f1495f6097340e54af0145f84d64aa9ac2960c8d,leona afk lulw 
255.0,205d5a5b9f8f4985e5d752c3dbb69148fe5edc89,steal inc 
259.0,543621c6786ce5ef1bcca98850c9d6ce948796d7,they know monkas 
262.0,9b006783b9d2f089264b6289fb2cdb0c9753ee4b,good baron 
263.0,97080e31aeb9aec4983c22d1155054b64c8b3614,lulw 
264.0,dcfca8c2ee323d3c5fbdbbbefce644382af6d933,trick shotcalling pog 
265.0,06faffdf055651f3cfbcd169714d5ad359f0ba5b,gg 
265.0,5653e6482e67a593d4ef9f5778a5a2d42d136908,gg 
267.0,95cd6a36940365b348cdc4c973481af1be5e6687,here we go nymncorn 
271.0,ff7f66062955f8f822be8862f0a3ef98ceda3353,baron is warded 
271.0,7d2b92ab3ddb7f0c4c09b7575744865364fad016,ssssss punchtrees 
271.0,95aef1966e9127b544885d5cff1449d77c10a92e,trick not plannin to play jungle in a while 
271.0,b5b4cc50edd4db2183863c090ccae469a43ce9c3,gg 
272.0,3fbbf31b6848ea9a7aed72c478049cd4082af636,gg 
273.0,442fd3637e4cfd9cfd3cee6b544ed5e468b805f0,deez nuts 
275.0,968360622fd8d40dedb15c395897c97de1b369c5,lmfao 
276.0,640dc95de49a351b9ba41230e442de6e860c6218,ggg 
278.0,ee2812a90f9d8136a90220f918ccb73387aa057a,warded 
278.0,bf0f018ecd41b61c946a3cfff821d366ce232deb,u dead 
282.0,a1f81cb9940286002956a33390f256e78c67303a,welp 
283.0,e599528008b7b6c8704d51e2788620882d92b679,great cal 
283.0,b5b4cc50edd4db2183863c090ccae469a43ce9c3,a99fa30ff40820dae5951d409213548aa640ff7f help this guy omegalul 
286.0,b2362a5020aef85bd639f64f452bb0977f9e4c33,it was your call lulw 
290.0,00004764ac052f3e3f5669ead253e95cf58a8e7d,lul 
