Time,User,Message
0.0,67d1a0b475a2dbd89c325dd3b21df71df3beb846,pepehands 
10.0,b2910ea9b11d20e8d355ee20d68c607262bcff45,what we having for dinner today 
12.0,1df7bb072713026da84c2b917556d4a0333a79a7,thanks buddy goodnight 
13.0,47b7cc008005c75ab9b0e3d4693a4b3ed265f5ae,anyways pepehands 
13.0,357208ed42b553c8632b1fc88aa97e6a41a9e3ac,already d: 
13.0,0232961aa6878ae19ed51fdbafb8bf7f3437a45a,irl stream pog 
14.0,335128527a188e668921ce8bc7237521756fe852,have a good night nox 
16.0,18d254f821d8bdf3cc214067c367ce6f694a91b5,thanks for the stream have a good one 
17.0,d0270d15772eea8908f3872ccfc5b879e1900815,heyguys 
19.0,99a7d7bf448644d0ecd6765a87c041f25d3b9160,thank you for the stream 52a42e373f8aea9a95dd530c4f7b6cb4c637b027 and thank you for showing the grixis butcher deck <3 
29.0,4ce5b091654d237f2394cfc8e655bcf9140c81ed,chelsea3 arsenal1 
34.0,23b3ff2f5bd6bba323813e4570a923a6f0dc009c,52a42e373f8aea9a95dd530c4f7b6cb4c637b027 druidstone 
37.0,24e2c9ce8ec5676fb8776a4608d89ccddbf30538,thx 4 getting deep today appreciate it 
38.0,9b6718f1c123d4f8428e99fde6a20272883f53a5,any chance we could see more wow in the near future 
38.0,dbfbc89f9974d0330f77227096e0f2f4d40debb9,52a42e373f8aea9a95dd530c4f7b6cb4c637b027 total war three kingdoms 
39.0,003a63b4169acaf163c071b9604d18fa8a351281,4:1 buddy 
39.0,0232961aa6878ae19ed51fdbafb8bf7f3437a45a,gg 
52.0,b2910ea9b11d20e8d355ee20d68c607262bcff45,have a good one <3 
53.0,d0270d15772eea8908f3872ccfc5b879e1900815,gruul with god and worms kreygasm 
59.0,52a42e373f8aea9a95dd530c4f7b6cb4c637b027,003a63b4169acaf163c071b9604d18fa8a351281 4-1 
76.0,5709ad08f9ae5fe7855d20ba7cf95c8638d4b2dd,52a42e373f8aea9a95dd530c4f7b6cb4c637b027 thanks for the stream today and thank you for the real talk earlier and hope it gets better for you soon love your stream as alaways 
77.0,003a63b4169acaf163c071b9604d18fa8a351281,footbal ignore :) 
97.0,7b791739634edb0940d7db9dc48ee3fe8e397ad2,support the channel - https://streamelements com/professornoxlive/tip 
105.0,4ce5b091654d237f2394cfc8e655bcf9140c81ed,i guess my stream is slow 
149.0,18d254f821d8bdf3cc214067c367ce6f694a91b5,o_o 
154.0,2a5dcb2936d5af113bcdcd89c32652c4a4a04733,:d 
217.0,7b791739634edb0940d7db9dc48ee3fe8e397ad2,follow me on twitter - https://twitter com/col_noxious 
247.0,7b791739634edb0940d7db9dc48ee3fe8e397ad2,pledge your mind and flesh to the oozeling fellowship - http://bit ly/2vpcdkn 
298.0,d5a267c72c93697050b4666bbbfc5769d19eaae6,decks 
