Time,User,Message
0.0,36699ca7c885b048b1d88af34b270d252c2df74e,its a bug sometimes it says ppl leave party even though they dont 
2.0,deea08be3b330255c4ec893b37d6add30022d2ea,gg 
9.0,bf3bd3d203596994daa4e526d6056ab3dc321d52,morning all 
27.0,3118703e93edabdb071481ea416fc9902656a568,bf3bd3d203596994daa4e526d6056ab3dc321d52 o/ 
33.0,8b549cfa49922506a35e348d8313d1f8bee923bd,i found the hockey mode to be fun the basketball not so much 
35.0,28bc4e01c2de8793af4cf710f04e014d19c43a83,maybe need to reinvite me sorry 
39.0,ca5d9f44412013d523d64c113192649348543be2,game looks fun 
63.0,e44ea31255556499b527606fe0ba94aa9ad430ab,game 
69.0,708d76d30add6f104624c8fe6e235b91131e7581,solid 5/7 
76.0,3118703e93edabdb071481ea416fc9902656a568,e44ea31255556499b527606fe0ba94aa9ad430ab ellobball 
78.0,ab1780a733a17ee45362158aed09c8b5d3f24be5,one of my favorite games 
79.0,cca11fa7a11509aab7388d42fd138c88434a54a0,i don't like it 
81.0,8b549cfa49922506a35e348d8313d1f8bee923bd,i bought it yesterday no regrets 
83.0,0dcf7ba8d2f0ff20fbe5646df611f008eab6a01f,i hate this game :) 
84.0,2bf42cc2e8d2dacd9c4e588dc61773be55d9d7a3,53d2c4b1e5b9d6538d146261f106dc82f73e0dc2 for recoveries hold x and move your joystick to twist in the air to land on your wheels 
88.0,a339da293f3e420c1442eab57322c3b210cf8e31,i actively hate this game 
89.0,e1961d63fdf642c2311dd11d27d13be42051520c,they hate because they can't git gud kappa 
90.0,36699ca7c885b048b1d88af34b270d252c2df74e,i for 4k hours its pretty meh 
95.0,36699ca7c885b048b1d88af34b270d252c2df74e,*i have 
100.0,5491fae809da1129e704fa6669e0f43372c44304,i'm concidering getting it katierly 
101.0,df38a6fd2d38a9d282963f5c975374b0721ac4e0,i have more hours in this game than im willing to admit 
115.0,0dcf7ba8d2f0ff20fbe5646df611f008eab6a01f,:cd: clap 
116.0,e44ea31255556499b527606fe0ba94aa9ad430ab,3118703e93edabdb071481ea416fc9902656a568 elloskal 
116.0,3118703e93edabdb071481ea416fc9902656a568,5491fae809da1129e704fa6669e0f43372c44304 ellopretty 
120.0,e44ea31255556499b527606fe0ba94aa9ad430ab,ellosell ellosell ellosell 
121.0,c219f849fb09dac76e274cbcec64cee14ef58c23,yeah i was not into it at first played with a couple of friends on a console ones - it's been a party game ever since just like fifa 
121.0,708d76d30add6f104624c8fe6e235b91131e7581,ellosell ellosell ellosell ellosell ellosell ellosell ellosell ellosell ellosell ellosell ellosell ellosell ellosell ellosell ellosell ellosell ellosell ellosell 
122.0,e44ea31255556499b527606fe0ba94aa9ad430ab,elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub elloheart ellosub 
123.0,cca11fa7a11509aab7388d42fd138c88434a54a0,sponsored to play rocket league nice igayay 
124.0,5491fae809da1129e704fa6669e0f43372c44304,3118703e93edabdb071481ea416fc9902656a568 ellod3 
124.0,5ed7393abfd17cb4582e13f2d7da2e3dd75165e2,what is a stream and what is a stream title 
130.0,deea08be3b330255c4ec893b37d6add30022d2ea,i dont play it much but its fun when i do play it 
