Time,User,Message
0.0,a75469733ca4e0315a9bc9a8531c0db2dc094466,na going 2-0 today gg ez doublelift mvp 
0.0,a29adbb45124cf93f7c6f80b93925036ad15f123,na wildcard region lul 
3.0,e808b279f1128fd696e7430e9cd7b76b42399eca,pvb will go to taipei pogchamp 
4.0,d78bc0e1a8dedf75df6ff8ef15e93002cc3fc9f1,stop mocking na they are the strongest wildcard 
4.0,56e27dfb319e112e229dee377194bbf305f461f6,elegiggle hello na elegiggle we are in taipei elegiggle where are you elegiggle hello na elegiggle we are in taipei elegiggle where are you 
8.0,6ec92e37953883f287dad83e69e02ef7bc8c0257,someone play a normal with me in the mean time ign monqua 
11.0,9b6490c755e576d5f73a6f802f4ca1fea4d21cd3,faker baker of games lul pogchamp faker baker of games lul pogchamp faker baker of games lul pogchamp faker baker of games lul pogchamp faker baker of games lul pogchamp faker baker of games lul pogchamp faker baker of games lul pogchamp faker baker of games lul pogchamp 
14.0,df33c0e1babf6b82ac710abfa6d2a4879f17e6ef,pvb's only win is against g2 lulw 
15.0,c165a838e7420677624e9d5abf7db1509650914b,4head hey chat 4head i noticed most teams 4head have skins for their region 4head skt for korea 4head tpa for lms 4head fnc for europe 4head ig for lpl 4head where can i find 4head the na skins 4head 
16.0,8c3c0f95382fe889063f90077cc8569700978d96,33ec23529861ad2a819caf69f8fea8a5c0a612cf but so did sk thats one of their worst performances 
17.0,c8e20e63cb5dbd0b294e61b9a622c0b3e02170b2,dany goes mad queen and burns kingslanding 
19.0,da39b772e1429bef81c920dc1e525f490cf12108,pvb the new bronzil lul 
20.0,d90fe5945b0e8599678485333ed63dd5531500a1,team liquid 3 imports elegiggle not even north american team elegiggle 
21.0,d5ecf7090b7a5b3bd8e7c1395aa012f75906eb9a,na 3-7 inc lul 
24.0,9b6490c755e576d5f73a6f802f4ca1fea4d21cd3,faker baker of games lul pogchamp 
24.0,31fcab405a45d1fd65e0dedaf6443947af5234bf,6ec92e37953883f287dad83e69e02ef7bc8c0257 no 
25.0,7e3077ba680bd6fb36842f7bfc43a65e0442b221,this is embarrassing for eu feelsbadman 
26.0,c8a7e8a64a2de8e287290a69c76b71636d8613be,g2 sports g2 esports 
35.0,140d384cdece4b7465eb45e56e27928d466532a3,riot is located in na all the skins are na skins 4head] 
35.0,a75469733ca4e0315a9bc9a8531c0db2dc094466,g2 is trash lul going to be exposed by tl 
36.0,33ec23529861ad2a819caf69f8fea8a5c0a612cf,8c3c0f95382fe889063f90077cc8569700978d96 u know g2 won against rng last year and they were seen as the best team in the world or something like that :) 
36.0,cf22a1f7353ddf7188f6a7196c0ea32593e53496,a46710e44b1ad0c4d6c43574e1ac9e675b941b68 same place you'll find the oce skins 
36.0,dac45d0fa58e9cc6a4aa1442c26062685bb1d38f,i love you 3000 faker 
36.0,0e8891bf49b04192d16fd7ba163ef8682ef8fa27,lololol 
39.0,8c3c0f95382fe889063f90077cc8569700978d96,33ec23529861ad2a819caf69f8fea8a5c0a612cf skt* i forget sk is back 
40.0,308714097e568762ef39b325d469011866b5a597,funny how riot always have the comment section on 1hour before they actually start to make people flame and be toxic towards another way to go riot 
40.0,95eaccbe2ced32450e6ee1b2f82c5f0a43adf1ca,owl2019ana owl2019ana owl2019ana owl2019ana 
40.0,ed5ea7ab143c4e836d1fb640df4d4dfdf914034f,mods ban spoilers 
41.0,9b6490c755e576d5f73a6f802f4ca1fea4d21cd3,faker baker of games lul pogchamp faker baker of games lul pogchamp 
41.0,da39b772e1429bef81c920dc1e525f490cf12108,1-7 lulw bronzil 4head 
42.0,d60c97302b894271473407f2fce9be77d0ded368,lulw pogu lulw pogu 
42.0,c4a3fc73abc9eb678aa29b6b964dabff2e64393f,na lul na lul 
43.0,8368882031f17e8775435b297013a3fa9911c704,dl gigasmurf 
46.0,a3fc6e2f57d39d0882f8d44eb9fbae464de6ef8d,sourpls peped sourpls peped sourpls peped 
47.0,c6c01403f6d65dec844284d8759f746e4eb4282c,lekobejames pepega 
47.0,ecd510495898fa290ce62d728c5243a23d10a17f,gold is not weak i've been playing since season 1 and i worked very hard to get to gold elo i consider myself high elo and plan on trying out for some teams like tsm my cs not be the best but my game knowlidge and macro are impeccable 
48.0,7e3077ba680bd6fb36842f7bfc43a65e0442b221,this is embarrassing for na feelsbadman 
52.0,10568d4095ae42cec52a8e590435c26834ad0719,i just blew a fat load feelsgoodman 
54.0,a46710e44b1ad0c4d6c43574e1ac9e675b941b68,lul cf22a1f7353ddf7188f6a7196c0ea32593e53496 
54.0,c46877f56bc02c7bc386ddbcbf8b60e64388b59b,3-5 elegiggle 
56.0,eb63374ead09e246cbf6fa9cf625056b5eae2de8,na 3-7 lul na 3-7 lul na 3-7 lul na 3-7 lul na 3-7 lul 
57.0,43ae01eea125b9af4f2eecc37a6cb5d9bffce057,lmao flaming teams that got into an international tournament by winning the title in their respective region 4head 
58.0,e6cdafe97ba4d2d92c08b3cbed8a96d1774cb01e,na is pathethic 
64.0,56e27dfb319e112e229dee377194bbf305f461f6,elegiggle hello na elegiggle we are in taipei elegiggle where are you elegiggle hello na elegiggle we are in taipei elegiggle where are you 
78.0,c8e20e63cb5dbd0b294e61b9a622c0b3e02170b2,am i banned 
79.0,0f5828d87f4e130bb447f064ab363b524ec39ab4,msi waiting gang widepeepohappy 
79.0,924f26bf2babfa2df96793cc7cf533c5c7da6548,tylerz one lmaooooooooo 
79.0,2a6611d6474129b98d9e866db055b0a769a11784,lets go flash wolves 4th place 
82.0,7e3077ba680bd6fb36842f7bfc43a65e0442b221,this is embarrassing for asia feelsbadman 
83.0,33ec23529861ad2a819caf69f8fea8a5c0a612cf,8c3c0f95382fe889063f90077cc8569700978d96 ye skt has seen better days 
84.0,3072e89370dec8cf7fbee175ae92bc0b9ba88093,46 years residentsleeper 
87.0,31276f8a8ec1f0890d66c852cfdcb6d76346b9b7,na>>>>gold\ 
87.0,a3fc6e2f57d39d0882f8d44eb9fbae464de6ef8d,shadow_might: gold is not weak i've been playing since season 1 and i worked very hard to get to gold elo i consider myself high elo and plan on trying out for some teams like tsm my cs not be the best but my game knowlidge and macro are impeccable lulw 
92.0,d78bc0e1a8dedf75df6ff8ef15e93002cc3fc9f1,308714097e568762ef39b325d469011866b5a597 this is no toxicity this is trashtalk 
98.0,140d384cdece4b7465eb45e56e27928d466532a3,flash wolves 2-6 lololololol 
99.0,6b47c40269840458c48ae66cf7ed9356070327f5,why am i here already 
106.0,deb4b71407a715ca0a2b95f39bfd88aecfa8e7f2,calebgasm 
106.0,c6c01403f6d65dec844284d8759f746e4eb4282c,shadow_might pls stop 
106.0,cb1f41333c43fb7ace66b6953ce2f65acd12840a,ig gonna have a happy game against fw and lose :) 
107.0,02bb2d26ba00419d7401a7107be7f6ba60dca756,ssandderp betchderp ssandderp betchderp 
108.0,eb63374ead09e246cbf6fa9cf625056b5eae2de8,iron >> na lul iron >> na lul iron >> na lul iron >> na lul iron >> na lul 
108.0,31276f8a8ec1f0890d66c852cfdcb6d76346b9b7,45 minutes of twitch chat degeneracy les gooooooooooooooooooooooooooooo 
108.0,a75469733ca4e0315a9bc9a8531c0db2dc094466,tl going to demolish g2 
109.0,56e27dfb319e112e229dee377194bbf305f461f6,elegiggle hello na elegiggle we are in taipei elegiggle where are you elegiggle hello na elegiggle we are in taipei elegiggle where are you 
110.0,4fb1fef92721e1638f45d94d628503573b95252f,eu lul 
111.0,d0906a0c63c81bc1d70ab71b520f1ace0f34522b,na u ready for a stomp 
113.0,cc109a8efe5a57dd00d02686545dc9e9aa836b9c,8-0 notlikethis 
115.0,480e1549412aaabeffeea99b4bc8020b4b0a2f3a,a rat in the cage residentsleeper 
117.0,c6441179a6205c70ef00e56c68ec082a637f3cec,f0075bfb67460abc9170115e4f4ec852c2c41d8f feelsbadman 
117.0,e6cdafe97ba4d2d92c08b3cbed8a96d1774cb01e,na wildcard region 4head 
117.0,0ac4529e0ee827b8bd080153d80efa5f823e781c,na bye heyguys lul na bye heyguys lul na bye heyguys lul na bye heyguys lul na bye heyguys lul na bye heyguys lul na bye heyguys lul 
118.0,27faed520be1bf8df483140b133a4f4dfe3ab068,hahahahahhahaahhahahahahahahhahahahahhahahahhahahaha:zzz: :zzz: :zzz: :zzz: :zzz: :zzz: :zzz: :zzz: :zzz: :star_of_david: :loudly_crying_face: :tired_face: :kissing_face_with_smiling_eyes: :poland: :thumbs_up: :winking_face: :angry_face: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: :poland: 
118.0,1555df44314b8b2e91535b768e9fd34e8c9bb493,so bad this na lul lul lul lul lul lul lul 
118.0,d78908906865f603d4825d7e50f49a16f9b9475c,all na has to do is win 1 game lul 
119.0,7e3077ba680bd6fb36842f7bfc43a65e0442b221,this is embarrassing for eu feelsbadman 
120.0,da39b772e1429bef81c920dc1e525f490cf12108,cb1f41333c43fb7ace66b6953ce2f65acd12840a :) 
121.0,7297c38c5d16b949367331c937bfee942e2a36c9,bye na lul 
122.0,a3fc6e2f57d39d0882f8d44eb9fbae464de6ef8d,jensen pepehands 
123.0,99d6f5a1c9dcf7d68944eed78ba596787a9861e1,skt haven been washed up for years now lulw 
123.0,c1aeea42eed6f7831711ae5ec4698a1d9c78227e,peped 
124.0,80c2708baa0b509ee3d5aa8bea9d7ef43e0d5eb0,trihard 
126.0,7398ebe0317809a0d5bdaf48bd5a420c176b0aaf,na winning worlds 
128.0,c4b183d5d89617c24443094804c3460ec457d23f,na lul eu pogchamp 
129.0,0ac4529e0ee827b8bd080153d80efa5f823e781c,na bye heyguys lul na bye heyguys lul na bye heyguys lul na bye heyguys lul na bye heyguys lul na bye heyguys lul na bye heyguys lul 
130.0,b0077725a320ea52510862cfcf0ad3e8a581e88f,r9k residentsleeper 
130.0,b87d2554a105e243a0a0fd0b189ca27540a82c52,eu and na are fighting meanwhile ig gonna win omegalul 
131.0,d0906a0c63c81bc1d70ab71b520f1ace0f34522b,a75469733ca4e0315a9bc9a8531c0db2dc094466 in ur dreams 
132.0,f94f95fc377ae4ba81ddb55843ef68b151046a17,lol 
132.0,304502baef71298e9ced38329c63c65525633f9d,na lul 
134.0,da39b772e1429bef81c920dc1e525f490cf12108,ayy trihard 
135.0,d78bc0e1a8dedf75df6ff8ef15e93002cc3fc9f1,stop mocking na they are the strongest wildcard region 
136.0,c165a838e7420677624e9d5abf7db1509650914b,4head hey chat 4head i noticed most teams 4head have skins for their region 4head skt for korea 4head tpa for lms 4head fnc for europe 4head ig for lpl 4head where can i find 4head the na skins 4head 
140.0,0ac4529e0ee827b8bd080153d80efa5f823e781c,na bye heyguys lul na bye heyguys lul na bye heyguys lul na bye heyguys lul na bye heyguys lul na bye heyguys lul na bye heyguys lul 
140.0,17e893a892e79c11e389d1b13b8fcb4f9d603aba,trihard trihard trihard trihard chat is litty 
141.0,8233008e485155fcb7a251a91e61ca1f58196cfe,is fun how the absolute best of every region can't even take 1 game out of ig lol 
142.0,c8e20e63cb5dbd0b294e61b9a622c0b3e02170b2,gollum bites the ring off frodo and falls into mount doom 
142.0,ecd510495898fa290ce62d728c5243a23d10a17f,cmonbruh 
144.0,a75469733ca4e0315a9bc9a8531c0db2dc094466,na going to win >>>> eu worst region 
144.0,31fcab405a45d1fd65e0dedaf6443947af5234bf,na doesnt care lol 
146.0,b0077725a320ea52510862cfcf0ad3e8a581e88f,ayaya 
