Time,User,Message
0.0,e92cb831a49c28f769182f3f79c69a9303d4efef,it's real 
0.0,8463eebfdedd94ec8210329c87de46271648335b,54f0d4a09c993a9b89bcfe303f29769ddb529901 could you please show your talent trees <3 
1.0,4c6d73327afe8f438cf59d223d61deb0704c4ff8,5head as i thought 
1.0,418ee5f728731309b584f9b7f66a0e439ee89871,duel sony 
1.0,b46f7cf8a8938d3e212297886da16f67adbabc51,d7b55dcec11077a3dd991982028d70411adc518e fake 
3.0,9b835f9c16895c4fb39262c46d88993e1d5e39aa,54f0d4a09c993a9b89bcfe303f29769ddb529901 not fake 
3.0,70e8182528e0daff03c3d713aa4a99115cb112e4,sounds like an impostor 
3.0,707bbf86261747bd7cddcf00b91b180ded38aea7,real pog 
4.0,d135b6f4d7004b66c7fa7e8a160de763b3db793a,omegalul 
4.0,cf87c7f498308c7983e31b6515c6d90c866955b5,no i'm the real mrmouton 
7.0,5f28350b4682b2974da5281f9305d284318e4fde,are rogues aight in classic 
7.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,sodaprime thank you for subscribing with twitch prime pur3tv 
9.0,8fed622fb0a952569592f658bcc5b560fca6194e,8463eebfdedd94ec8210329c87de46271648335b he's a basic 0/0/21 spec 
11.0,368b1f2d2a91dc76b02c8ae25dc726a994970f6a,can u beat venruki 
11.0,94b4e12814f169b83b947e7a9a81795092005378,54f0d4a09c993a9b89bcfe303f29769ddb529901 its real 
13.0,7043b395ef395edee00973940d640d138e15c66b,968e0c3190018aafa489b88895d02e97b08819c1 that's what i was thinking 
14.0,5b1586f2096b4fb5fb34ec6e5aa5e806f27e7158,mages only counter melee 
14.0,1481bb7d5355530686633b9c8591e9b0b5e658ba,54f0d4a09c993a9b89bcfe303f29769ddb529901 how strong is shadow priest at lvl 60 pvp 
14.0,15b25a206e830743513b780c9602d0a8fe8b61a4,its real 
14.0,b7e4c1e846d90546f369e79631d451d4267619d1,i'm the real one :) 
15.0,200a5a25629eeb005d112777674c844a72999c22,he's streaming right now 
16.0,60dfef474d6891fbe743b14738adfbf94ae4a4b4,claim 
17.0,af2465b7de38bd996879769aa053f0480779dd3f,who cares u loser 
17.0,23a5b58eefe23ffaf0156d7a27a8ebabebdf1ea8,its real 
17.0,15b25a206e830743513b780c9602d0a8fe8b61a4,real mouton 
18.0,0b807c2ed3a374d24994659fc925893aa94c3049,54f0d4a09c993a9b89bcfe303f29769ddb529901 he's real 
20.0,30e85822e93df886808fd17a679c157b77a27a69,he's live 
21.0,0a5d30c4cc57cc9070032a3d1967f847df7f99e8,it's me :) 
21.0,e15edbe756ff95c9654862e368bd9c7535807eb0,jebaited 
22.0,01b2028cc464d17c5deaacd8403db029ae98d055,jebaited 
24.0,693a254dc59c84617793f5b7694edbd7a2d1c75d,jebaited 
25.0,b0352bfe1bd9a0e9b4db13a8e9ddcd8acf568281,jebaited 
25.0,ec1c1473cd5610904e366688410fbff1768b39d9,39f38dfb9f72bb39889b0ced6b69fcbb1fdc8895 druid is just stronger soda has better gear atm 
25.0,b38c95f98b00836f828ad67b3ff98ddd02d585a6,368b1f2d2a91dc76b02c8ae25dc726a994970f6a it is 
27.0,9d424a51969283307dfe252ffcdf3a89dc774dfa,uptime 
27.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,9d424a51969283307dfe252ffcdf3a89dc774dfa sodapoppin has been live for 10 hours and 40 minutes 
27.0,9e25bd1e4714cc31affe2532df1af2542bf06bbd,jebaited 
28.0,e15edbe756ff95c9654862e368bd9c7535807eb0,oh 
28.0,6e8f10e1cc467f1ea2494d73132349457b980373,af2465b7de38bd996879769aa053f0480779dd3f babyrage babyrage babyrage babyrage 
28.0,bf8b433ca5cdeea90f3e8a1d9d2a77737fc0f84d,jebaited gottem 
30.0,d135b6f4d7004b66c7fa7e8a160de763b3db793a,hahahaha 
33.0,d67d7382aa05aa53572bc4f51d88d3734442567a,jebaited 
33.0,369371b97919fcd91210ad31bf9bbe451ffedd7d,jebaited jebaited 
34.0,533baf676417ac2dcd9b05dcd6cd89822e23b7ee,lol 
34.0,fd02e7dcc7937b7eb956c0cab4c03ed2bc5d269b,who cares 
34.0,8463eebfdedd94ec8210329c87de46271648335b,8fed622fb0a952569592f658bcc5b560fca6194e <3 
37.0,fa1ca26be3b559d7394ffcdca781bfb0dd80024a,54f0d4a09c993a9b89bcfe303f29769ddb529901 sorry if repetetive but do you think there will be a shitload of rogues on release 
39.0,bd4f07988d1d77dee9931e55e33b657569a66a74,jebaited 
39.0,3c2ea2f32fa8a3c1776719cfe17302ceffb48dfd,but where is the legendary rogue ming 
39.0,96750e5926be576686d92681e8f36f193b95254e,omg i saw me lul 
39.0,251b9aecc52654deec48cdd9e6a52a32cf8edd1d,ez jebaited 
42.0,825dff3b003c020f7439cce5db91634fed44bde5,mrmcuccked 
42.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,sodapoppin's twitter: https://twitter com/sodapoppintv 
43.0,33f4110a812d7a543f6a99f2862c1922172c5793,nein 
44.0,533baf676417ac2dcd9b05dcd6cd89822e23b7ee,esfandlul 
45.0,1de3c834279efac54a9cd3cab1c55bf5b229fa32,followage 
46.0,6d176f19684a3d112cc45112f849acc156ec4656,wh omegalul 
46.0,eec62f7ac391440bd78fa91b201686fbd96b59ef,duel shamans 
46.0,6b5aa9527a5ee22b9b1ed44575e9f56ca80e9be1,nein 
47.0,2b4f7496db26f0fccf1d66afd2c67e1a6ac000ce,nein 
47.0,e15edbe756ff95c9654862e368bd9c7535807eb0,ez 
48.0,ae3a6131d022d1122c6697e16a5449baf0cd9673,nein habe ich nicht datsheffy 
48.0,572adacc693f361fda1e656baaa6405d8f26c7b0,nein 
49.0,d3cbef43543dcd82cbb74ca28573baec25b843c6,datsheffy 
49.0,e5d97349f16862c37025d03eca38076d132ed7c7,nein kappa / 
49.0,af511a71c639f21b20bf6ff9f8d97294f2a84ff9,neeeeein 
49.0,968e0c3190018aafa489b88895d02e97b08819c1,7043b395ef395edee00973940d640d138e15c66b youtube cdew playing shaman in duels he uses enchanted sword and board and just one shots its crazy 
50.0,4ae366f69706c45395aaf8d384eb6a890e681f92,datsheffy nein 
50.0,e1c86af890cd9f1a7b408697b5a8bb3cd7c5e78c,datsheffy 
50.0,838d8884179b4a79aae5aec82e0cb89210098cdc,datsheffy nein: 
51.0,1472405c9df8d700ec813c79f5070ddce0eadc0a,9 
51.0,b0352bfe1bd9a0e9b4db13a8e9ddcd8acf568281,datsheffy 
52.0,60dfef474d6891fbe743b14738adfbf94ae4a4b4,54f0d4a09c993a9b89bcfe303f29769ddb529901 are youing to be streaming rl anytime soon 
54.0,cf29493a0e9e5ae17fe3de19891f43dc61e6b115,critrolenein 
54.0,f4618017af97d9e29df0e9d1845b06290b115b49,9 
55.0,12e4161ba114ef1493ff5c3afcb5a1699acdff07,hibernate gg 
56.0,7d6c463c1ac33a6272a89ac06d7cc45e3d94dea2,9 
56.0,d2303ac67b44e9cb686efbd3e167884e03c0254d,nein 
57.0,8fed622fb0a952569592f658bcc5b560fca6194e,fa1ca26be3b559d7394ffcdca781bfb0dd80024a yes and mages and warriors 
60.0,97a123464249e21549470a4079332ed25518c35e,nein datsheffy 
60.0,e7a9d850a13f79edce5e8b2086d169b56a81e10a,pet's gonna solo you 
60.0,af588def1ab6516b3a702d406f7879aa0ceb2667,7777777777 
61.0,b7e4c1e846d90546f369e79631d451d4267619d1,hibernate pet then just kill them 
62.0,ea9ab4045ca9e61208d7aacf24bf85e512cfca54,he's gunna tame you 
63.0,e15edbe756ff95c9654862e368bd9c7535807eb0,deadzone him 
64.0,f1569fba105c42612bcd6452a9103af9169d686d,soda pom pyro mage with arcane power?: d 
64.0,1b8ac6d427d9702c70da52f57f4ce2ce411e4114,sodaf1 sodaf2 
65.0,3831b1dcc80967a6451a1e328c84a2a3f8d37ce4,just kill them 
66.0,8da1d5532d7ecf724e9804ea9a625ee749dcfb7e,60dfef474d6891fbe743b14738adfbf94ae4a4b4 youing pepega 
68.0,508669f85cc17354680b69b60e43446d0bc75c4d,can u scare beast shaman in ghost wolf 
72.0,9cde010153f160d935904ae3e7a945a663c16f09,54f0d4a09c993a9b89bcfe303f29769ddb529901 the best part about classic is every single thing that you use has meaning 
74.0,ac4489e8889017d54ed0f786a33d741ceb9e796f,508669f85cc17354680b69b60e43446d0bc75c4d yes 
75.0,cafbfc74bd72ef4f866d6a910a86185b8ba390a2,trap card activated 
75.0,533baf676417ac2dcd9b05dcd6cd89822e23b7ee,be dont go outside omgalol 
80.0,52f8b3d036e201c43a8ed3a18d26662d2e453d8d,lul 
80.0,fc149018bcc9e457188e8836ece4f3c34cf925a6,lul 
84.0,01b2028cc464d17c5deaacd8403db029ae98d055,pogchamp 
84.0,572adacc693f361fda1e656baaa6405d8f26c7b0,20% lulw 
85.0,e15edbe756ff95c9654862e368bd9c7535807eb0,always stun omegalul 
85.0,f24aa1af4fd4c5e56f220fb5758e624de95cbc24,mic mute 
86.0,076f70ec064f276f36e31a56135b08470f8efc5a,20% kappa 
89.0,bc546df42fb56f83a993de21aa11493016d800ad,pepelaugh 
89.0,3831b1dcc80967a6451a1e328c84a2a3f8d37ce4,can they only trap when out of combat 
89.0,e52de35056ef915c2b6638b0b8a453f0bbc5dd10,20% omegalul 
89.0,ca881226b80b34d1064b23bde7ad3354461591ca,youwhy 
90.0,e113d641fb4b36e3e47c93b6e3615b9f1b1aad86,frezzin wap 
93.0,369371b97919fcd91210ad31bf9bbe451ffedd7d,gg 
94.0,0432c7a2ee1238ede5bdca381aac29c01fc50ec5,concussive shot pepega 
95.0,ef6e61e00d522807865a0c25532f1184da277d69,2 omegalul % 
96.0,dcc701a311fab91672f69826227ef06eb78471a2,actually lost omegalul 
97.0,4ed9a410842b49b529c2d1fbf04a10077b7b4b13,lul 20% again :d 
102.0,ca881226b80b34d1064b23bde7ad3354461591ca,prchase prchase prchase 
104.0,a27e2b7c71bb0c71aeac0ad0414dec33e26c4d11,agm ez win 
106.0,2f42e1467eedd6af26b538d2151cfd5b9cae0471,i'm fine 
108.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,sodaprime thank you for subscribing with twitch prime hisquanto 
110.0,cafbfc74bd72ef4f866d6a910a86185b8ba390a2,captain x 
111.0,6d6e57392cff88e3c21b7aacb7664896e08e1fa3,classic looks so unfun and retarded 
111.0,fc149018bcc9e457188e8836ece4f3c34cf925a6,hunters with mana pog 
111.0,f421ab4f1ba9b1c3ec52a0bc0aef47a1b78d270a,ez 
112.0,e1c86af890cd9f1a7b408697b5a8bb3cd7c5e78c,war stomped into regrowth failfish why not hybernate 
114.0,b741fe165c486f573b07eb559f2bfd093849820c,hunter made like 3 mistakes 
115.0,cafbfc74bd72ef4f866d6a910a86185b8ba390a2,cptx 
116.0,ca881226b80b34d1064b23bde7ad3354461591ca,prchase the thrill of the chase prchase 
