Time,User,Message
0.0,9db6882717e712bca95d06030872747535c8696e,yesur 
22.0,1fc74bbee74725f7cd8644ce30fb850fc24554ba,crushed 
41.0,be470d45e508b37cdb89cdfe7fbd3cdd46f2da3e,what's going on gang 
54.0,ea3114d6ea992e9b0b846a9922db55a5486e367b,we lit 
62.0,673c7263eed15e6e4d386dada9c2bb8cbde2067c,they're shook loool 
80.0,2b6b22769deab98cea084794fb5d9e69d4e234d0,673c7263eed15e6e4d386dada9c2bb8cbde2067c that's what i said lol 
86.0,e229c0a4f0e3074f7a0dfaa24068e3e7f24aeb96,whos this fool onm the mic lol 
107.0,8e8733ad71ee77bcde00a88328ae1c343bc360a8,who tf talkin on the mic 
112.0,2b6b22769deab98cea084794fb5d9e69d4e234d0,they aren't a crook son they just shook ones lul 
117.0,673c7263eed15e6e4d386dada9c2bb8cbde2067c,lmaooo its big facts 2b6b22769deab98cea084794fb5d9e69d4e234d0 
125.0,2b6b22769deab98cea084794fb5d9e69d4e234d0,sr shook ones mobb deep 
141.0,be470d45e508b37cdb89cdfe7fbd3cdd46f2da3e,555044543b46254c4c77292fbcb10ad7983d20e9 just got off homie came to kick it with you for a min 
155.0,2b6b22769deab98cea084794fb5d9e69d4e234d0,673c7263eed15e6e4d386dada9c2bb8cbde2067c lmao wrd but how's your day btw 
183.0,ebba7ebdb814a918a5d86deea3a24541e3a74301,wassup 
185.0,b58816c1dd593dc2afaa5599862aaeee1687195b,dnt 4get about me 
197.0,99fb0ebbd09253bd5ad4f0386c55f96f20aa4821,my sniper rifles lol 
199.0,99fb0ebbd09253bd5ad4f0386c55f96f20aa4821,:p 
207.0,feb9037c746a57eee149891cfd3f20d09784707a,i am lol 
211.0,4c1a51c02b07ccc09ea65ce29bddb9ed8a1430d2,me 
235.0,8e8733ad71ee77bcde00a88328ae1c343bc360a8,young t is the goat 
240.0,673c7263eed15e6e4d386dada9c2bb8cbde2067c,its been good thanks how's yours been i just hopped off hc tdm the lobbies are horrible lul 2b6b22769deab98cea084794fb5d9e69d4e234d0 
268.0,99fb0ebbd09253bd5ad4f0386c55f96f20aa4821,i'm trying to get them to the point to where they just need kills with no death 
273.0,2b6b22769deab98cea084794fb5d9e69d4e234d0,673c7263eed15e6e4d386dada9c2bb8cbde2067c lul damn that's how hc tdm is but my day was good so far 
300.0,8e8733ad71ee77bcde00a88328ae1c343bc360a8,why is the icr still broken 
301.0,99fb0ebbd09253bd5ad4f0386c55f96f20aa4821,yeah :( 
