Time,User,Message
0.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,amazon prime users get one free subscription to a twitch channel each month please consider supporting us by joining the downtodtq downtoru 
9.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,downtoquest welcome to the quest ch1ck3n22 are you down downtoquest 
35.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,action downtoquest there's a coinquest for 50 downtocoin ending in 300 seconds enter by typing down downtoquest 
35.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,downtowave downtodtq downtoqt downtowave 
35.0,543c16e3e92ac256edc87482af90b0d1850f4e7c,damn bro xd 
45.0,6eff855b493737950d6a5bfc5d9b1ba3ddbe071d,down 
49.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,john_wick2302 is now the freshest quester powerupl downtodab powerupr 
49.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,downtodab 
54.0,20ec48ae8a987d5328b258c0d15cafaea70a504d,down 
60.0,543c16e3e92ac256edc87482af90b0d1850f4e7c,they flanked me 
86.0,c2f99998b96d88b0b51a60f43c7cdea3fdc74e19,down 
91.0,98a560635afe26657192a4585955b09ea4e38ae1,down 
123.0,20ec48ae8a987d5328b258c0d15cafaea70a504d,we rocking the android phone i assumed you was an iphone man lol 
125.0,c2f99998b96d88b0b51a60f43c7cdea3fdc74e19,it's ayush aryan 
160.0,bf6bb919cd8cead54f1ef8b26b329474efd47ca4,dude whats good g im high af 
164.0,c2f99998b96d88b0b51a60f43c7cdea3fdc74e19,indian bro xxxxd 
185.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,action downtoquest there's a coinquest for 50 downtocoin ending in 150 seconds enter by typing down downtoquest 
189.0,c2f99998b96d88b0b51a60f43c7cdea3fdc74e19,same here crazysean 
198.0,6eff855b493737950d6a5bfc5d9b1ba3ddbe071d,down 
201.0,20ec48ae8a987d5328b258c0d15cafaea70a504d,down 
217.0,bf6bb919cd8cead54f1ef8b26b329474efd47ca4,down 
220.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,spiritualdouche is now the freshest quester powerupl downtodab powerupr 
220.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,downtodab 
270.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,if enough questers subscribe or gift subs in a row we'll spin one of our qtwheels the train lasts 10 minutes see if we can get to 10 25 or even 50 
301.0,2659f011777369534d2ae2d891dc12aa7b2534f8,giveaway 
301.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,downtolit downtohype our downtothicc est giveaway to date is live bit ly/dtqpcgiveaway win a clx pc and a ton of other amazing gear from our sponsors downtohype downtolit 
335.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,action downtolit thanks for being down goatserrof jtholby spend your 25 downtocoin wisely 
369.0,55e8133fe30d41fa0a7cf8dbf906b74c719aa150,coinquest 
369.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,action downtoquest downtocoin hey chat a new coinquest for 50 downtocoin has appeared are you down?!? downtoquest 
391.0,20ec48ae8a987d5328b258c0d15cafaea70a504d,down\ 
392.0,20ec48ae8a987d5328b258c0d15cafaea70a504d,down 
395.0,0712325af8f5eb975574a3f02766aed52533ce6d,down 
399.0,6eff855b493737950d6a5bfc5d9b1ba3ddbe071d,down 
445.0,dd09a92b9714ae8a6e22a37bc0f6356b0194584e,lurk 
445.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,downtolove 0ldt1m3r is going to quest solo but will not mute the tab or stream just turn us down low cause lurk is downtolove 
448.0,55e8133fe30d41fa0a7cf8dbf906b74c719aa150,coinquest 
449.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,55e8133fe30d41fa0a7cf8dbf906b74c719aa150 there is already a raffle running 
451.0,543c16e3e92ac256edc87482af90b0d1850f4e7c,we both fell for that 
480.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,10 minutes = 1 downtocoin 2x for downtodtq downtoru follow = 10 downtocoin sub = 100 downtocoin 100 bits = 100 downtocoin 1$ = 100 downtocoin host = 50 downtocoin every 1$ you spend with our sponsors = 100 downtocoin 
486.0,543c16e3e92ac256edc87482af90b0d1850f4e7c,xd 
510.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,share a picture or gifs on stream for a chance to earn some downtocoin https://app socialtostream com/jkhvx89a 
510.0,543c16e3e92ac256edc87482af90b0d1850f4e7c,open the pack 
519.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,action downtoquest there's a coinquest for 50 downtocoin ending in 450 seconds enter by typing down downtoquest 
529.0,543c16e3e92ac256edc87482af90b0d1850f4e7c,ooooo its not a pack xd 
534.0,6eff855b493737950d6a5bfc5d9b1ba3ddbe071d,redeem downtospelunk 
534.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,6eff855b493737950d6a5bfc5d9b1ba3ddbe071d this item is on cooldown 
535.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,downtoquest welcome to the quest pimpcrickett are you down downtoquest 
538.0,20ec48ae8a987d5328b258c0d15cafaea70a504d,down 
541.0,6eff855b493737950d6a5bfc5d9b1ba3ddbe071d,down 
550.0,2f787b750be50d8578501aa4fffd871833c0ee93,play ranked 
620.0,6eff855b493737950d6a5bfc5d9b1ba3ddbe071d,haha welp i'm going to go spelunk with 20ec48ae8a987d5328b258c0d15cafaea70a504d 
630.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,do you love questcoins did you know that you can earn 100 downtocoin for every $ you spend with downtoquest's sponsors 
632.0,20ec48ae8a987d5328b258c0d15cafaea70a504d,^^ that way 
669.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,action downtoquest there's a coinquest for 50 downtocoin ending in 300 seconds enter by typing down downtoquest 
714.0,bf6bb919cd8cead54f1ef8b26b329474efd47ca4,down 
721.0,20ec48ae8a987d5328b258c0d15cafaea70a504d,down 
726.0,6eff855b493737950d6a5bfc5d9b1ba3ddbe071d,down 
817.0,bf6bb919cd8cead54f1ef8b26b329474efd47ca4,redeem downtospelunk 
817.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,bf6bb919cd8cead54f1ef8b26b329474efd47ca4 this item is on cooldown 
819.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,action downtoquest there's a coinquest for 50 downtocoin ending in 150 seconds enter by typing down downtoquest 
857.0,0712325af8f5eb975574a3f02766aed52533ce6d,down 
857.0,bf6bb919cd8cead54f1ef8b26b329474efd47ca4,redeem fail 
858.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,bf6bb919cd8cead54f1ef8b26b329474efd47ca4 you successfully redeemed sbfail for 25 downtocoin elementsokay 
859.0,543c16e3e92ac256edc87482af90b0d1850f4e7c,you know what happens when your new to something lol 
877.0,6eff855b493737950d6a5bfc5d9b1ba3ddbe071d,down 
880.0,20ec48ae8a987d5328b258c0d15cafaea70a504d,down 
969.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,action downtolit thanks for being down crazysean2003 fvcksosa spend your 25 downtocoin wisely 
1005.0,543c16e3e92ac256edc87482af90b0d1850f4e7c,lol its cool bro just chill lax 
1038.0,543c16e3e92ac256edc87482af90b0d1850f4e7c,xd 
1075.0,55e8133fe30d41fa0a7cf8dbf906b74c719aa150,coinquest 
1075.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,action downtoquest downtocoin hey chat a new coinquest for 50 downtocoin has appeared are you down?!? downtoquest 
1087.0,20ec48ae8a987d5328b258c0d15cafaea70a504d,down 
1089.0,6eff855b493737950d6a5bfc5d9b1ba3ddbe071d,down 
1090.0,09daa1bb4c3bf142e16cce0caf4809b2f6c3bd22,store 
1090.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,available items are: downtoneoh downtodare downtomorph downtostand tobecontinued rip thememe downtositup imdown johncena dabstroyed urgonnadab schnikes wombocombo fail downtospin laughtrack nicekitty giveusanotherone andthen whatwtf downtospelunk creepertroll downtostretch downtopushup whatarush suspense instoreforyou downtosetup myman downtobench gotchabitch moments spotted imcallingtheweed profanity jasonbourne downtocurl yourself yourebreathtaking 
1090.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,noyourebreathtaking yourefine 9000 blinkrage imback https://streamelements com/downtoquest/store 
1090.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,http://bit ly/downtospinner 
1092.0,0712325af8f5eb975574a3f02766aed52533ce6d,down 
1135.0,4ce16672a817ceb3f3cb90a9f01ec7f2fe10c2ad,downtoquest welcome to the quest wild_insect_yt are you down downtoquest 
1137.0,543c16e3e92ac256edc87482af90b0d1850f4e7c,ewww playstation 
1149.0,bf6bb919cd8cead54f1ef8b26b329474efd47ca4,r u spelunked out 
