Time,User,Message
0.0,9223dc8e5a23944368eba69c5f759a0eaeb7d14c,hey 56d7691e7c5e9ebc8467e8b08390301d1857e594 what editing software do you use 
3.0,03d4d5b147db7485b661014e30a941e62dcbaeb4,who's better rob or drew 
11.0,8595c3f6a54ef009be52a1a882beba6c590f4d87,i just decided to get over public speaking and performing after doing solos and shit for music and my speech classes 
19.0,6fc882012adc3298756d392eaf8b0be22bb38bce,you seem like a pretty chill dude my dude 
22.0,bea9c20cd987c0ee3b61354b5e9a4181190df4be,i think its an acquired skill though so the more you do it the easier it gets for a lot of people 
27.0,2e62f8b50a89556a0fcfadc2597134a9c7aa19e3,thats fishy 
31.0,3c965367d659c2c84467542d27cdcfa0122439f7,56d7691e7c5e9ebc8467e8b08390301d1857e594 you look like a copper lmao 
32.0,35f6fad5bf0956db2d30b5d70d9879796e30362a,i am currently plat 2 
35.0,ce0236dce5b69c9b2ad9a15539ad55f50097a610,your illegaly blind 
36.0,73490f632f28dbfb74705f21dcec6122df31c968,varsitysus 
37.0,f8e28e389ac1722a4312a73af0617e9a1020a554,thats super fishy 
38.0,c2e92cafbd7c4c7d39b0a0174c2f64b91f00872b,i fucked ur mom in the ass and she whanted more 
41.0,35f6fad5bf0956db2d30b5d70d9879796e30362a,just switched from console 
44.0,6889fa3388b91576eb19e8274e1c2ae268ff87b2,nugubiwhy 
45.0,2d8ee077383baa663aee62486754633031f2e852,they may have seen your name 
49.0,01ab8811fd352634e9b971c7862440f9dfef528b,dadgonhype dadgonhype dadgonhype dadgonhype 
53.0,8595c3f6a54ef009be52a1a882beba6c590f4d87,monkas people 
54.0,a6fae460f3b85b0553277c8399acf8346c350ebd,3c965367d659c2c84467542d27cdcfa0122439f7 your name does not fit 
55.0,f8e28e389ac1722a4312a73af0617e9a1020a554,stream sniping 
60.0,01ab8811fd352634e9b971c7862440f9dfef528b,wassup 
63.0,c2e92cafbd7c4c7d39b0a0174c2f64b91f00872b,ur trash 
65.0,a21dd5ab9962d1ee469cf021bf2540498d8d1555,c2e92cafbd7c4c7d39b0a0174c2f64b91f00872b yeah i did the same to my mom and she also wanted more 
65.0,2d8ee077383baa663aee62486754633031f2e852,because i'm 100% aware of that strat you do sitting in that room 
69.0,01ab8811fd352634e9b971c7862440f9dfef528b,im new here 
73.0,2d8ee077383baa663aee62486754633031f2e852,cuz i use it too 
86.0,376a1f68db4ccf2433cd71fd75dcd224fd331a1f,what is it with people coming here and shit talking for no reason today 
87.0,ce0236dce5b69c9b2ad9a15539ad55f50097a610,zofia could be stream sniping 
90.0,6df789f29996986454ccb6711788defa97140db0,i get anxiety when i have to talk on the phone with ppl i don't know like for work lol 
90.0,2f9631b265b758bdde684fccc633da1fa468e785,i mean u r literally talking to hundreds of people right now 
93.0,5767626c386b3cd08f067c3d4b9bbae5d6629676,anxiety sucks i can relate 
99.0,35f6fad5bf0956db2d30b5d70d9879796e30362a,can i get tips for a plat 2 solo queue 
103.0,8595c3f6a54ef009be52a1a882beba6c590f4d87,yeah just saying to yourself to stop being nervous doesnt work for a lot of people 
106.0,42d2537d7b1bfb470fcad85119eb01fb2e6399dc,i mean your title says you're 24 but your bio is saying something else i'm getting mixed signals from you chris kappa 
117.0,ce0236dce5b69c9b2ad9a15539ad55f50097a610,35f6fad5bf0956db2d30b5d70d9879796e30362a get freinds 
119.0,f8e28e389ac1722a4312a73af0617e9a1020a554,fix your description it says youre 23 years old 
121.0,5767626c386b3cd08f067c3d4b9bbae5d6629676,6df789f29996986454ccb6711788defa97140db0 same lol 
127.0,cd524c1c07b0b996de47c7e5e2002e71b598a548,take cbd for anxiety it works wonders 
130.0,bea9c20cd987c0ee3b61354b5e9a4181190df4be,its kinda funny how you are public speaking for 886 people and it bothers you 
142.0,ab1749b059bcf43cd05f02436917d61f1f04eaed,what about us 
146.0,d8b3e588e540e06c2837e89c698efea84107368d,calling somewhere for actual important stuff is the pits 
148.0,8595c3f6a54ef009be52a1a882beba6c590f4d87,i can just easily convince myself i'm totally confident and at ease kinda like a separate personality 
149.0,bea9c20cd987c0ee3b61354b5e9a4181190df4be,not to make it real for you 
153.0,9223dc8e5a23944368eba69c5f759a0eaeb7d14c,56d7691e7c5e9ebc8467e8b08390301d1857e594 what editing software you use 
155.0,ac4a889db0b189bc6ed613373de406e78a9adae3,that's why i delete facebook on my birthday 
163.0,a6fae460f3b85b0553277c8399acf8346c350ebd,birthdays are 11/10 on the social anxiety chart 
165.0,01ab8811fd352634e9b971c7862440f9dfef528b,happy b-day 
165.0,6fc882012adc3298756d392eaf8b0be22bb38bce,eskettit 56d7691e7c5e9ebc8467e8b08390301d1857e594 
172.0,6efb28cb466b2ebfb699b0f11ed94af377f59b6e,8595c3f6a54ef009be52a1a882beba6c590f4d87 i've tried that but it never seems to last :/ 
173.0,723f395ae3e5cb37e1b59bc1df9da9a30caad916,chat i need to git gud with an attacker which one :) 
174.0,ac4a889db0b189bc6ed613373de406e78a9adae3,i get 30 notification from people i don't speak to saying happy birthday 
177.0,d6fabb188e770f1882d237fd15820014b1117447,the y tf did u put im now 24 
186.0,376a1f68db4ccf2433cd71fd75dcd224fd331a1f,instead of lego build chat's ttissue build 
192.0,f8e28e389ac1722a4312a73af0617e9a1020a554,56d7691e7c5e9ebc8467e8b08390301d1857e594 fix your description 
193.0,8595c3f6a54ef009be52a1a882beba6c590f4d87,i can be mad at you 
195.0,a6fae460f3b85b0553277c8399acf8346c350ebd,723f395ae3e5cb37e1b59bc1df9da9a30caad916 fuze duh 
197.0,8595c3f6a54ef009be52a1a882beba6c590f4d87,i just cant be mean back 
