Time,User,Message
0.0,4db0671926192be5e19b8971333248243b96f477,i imagine elegiggle losing to pinoy elegiggle beside from tnc elegiggle must be india elegiggle india dotes elegiggle trash tier dotes elegiggle 
2.0,1673aed2eb0c4aa80b60d938a21fc4270836268d,indians lul 
7.0,e884e59502e430db628dae32a525ceeb98f46179,wahahahaha 
14.0,0e5823d02089ba6f1d80bb80788e7ea40d790cbd,losing to ios lul 
15.0,6d501927928b503777f9bada5162305c5dcb2e2f,only morp can eliminated all boom id 
16.0,bc48ff49ebc3b814c031418118988ff93dcdbd89,lul 
17.0,d8ff907c3eba64d9e7a0fdbe9abd3136a4e633d9,india doto worst doto 
18.0,5570250fee1b65085c5ef49c785f3ac8d889404c,i imagine elegiggle losing to pinoy elegiggle beside from tnc elegiggle must be india elegiggle india dotes elegiggle trash tier dotes elegiggle 
18.0,42efd2b0c62aeb6844a4af1c2fa8bdee0792c0dd,boom india dots 
20.0,e884e59502e430db628dae32a525ceeb98f46179,indians go play mobile legends 
23.0,0ff0c0766d5e295cfd617cdeff6dbc849dfc2b19,indo losing to no name pinoys hahahaha 
25.0,934d3f27d78b3ec4d0f952350ebb1ad5618e4c5e,another team gives morph lul 
30.0,3e03824a5e38949e2d61681c1f41aa830271fd6a,pinoy > india lul lul 
34.0,42efd2b0c62aeb6844a4af1c2fa8bdee0792c0dd,android victory 
34.0,e3b4eec8edf217fc77d06bad73cc27becda97f26,indo not india 
41.0,c7b2cd8e647cc6598e1b5b8999e6180c906273a4,indogs elegiggle 
47.0,3e03824a5e38949e2d61681c1f41aa830271fd6a,boom indianesia 
49.0,761c359871a93abb61aa253ea3fe0099c3334c2e,goodbye india biblethump biblethump 
52.0,42efd2b0c62aeb6844a4af1c2fa8bdee0792c0dd,wow android lul 
59.0,7fec479ff0f4431bb307d86d48f0de25746611d7,india doto lul 
61.0,e884e59502e430db628dae32a525ceeb98f46179,adriot 
65.0,0158f5462816fb198893aabae71a603e9cc8d5ad,fervian singh is out 
70.0,334f1125f43cfdcf66534a77626850f0de620032,hahahaah indianesian kappapride 
70.0,e884e59502e430db628dae32a525ceeb98f46179,ahahahaha killed indian dreams 
76.0,0fd9946d2f6c475b0264db90225d0fa64b1783b7,android lul 
77.0,a0fba5e067f6169d79b51d593bdace9436a574aa,wtf boom out lul 
84.0,3e03824a5e38949e2d61681c1f41aa830271fd6a,indo = india same thing 
95.0,6d6c323f1058c1d60bf04cbb196c4bea54bbd4ff,dreamocel singh is out lul 
114.0,7fec479ff0f4431bb307d86d48f0de25746611d7,winter biblethump 
118.0,3f04bf3642b8a20f909e02e30d0540545e1bf305,bye chat biblethump 
129.0,5570250fee1b65085c5ef49c785f3ac8d889404c,sellout lul 
137.0,744bddb24cc2e62a50ebfbaf5305433f7bb19050,last place lul 
138.0,a0fba5e067f6169d79b51d593bdace9436a574aa,nope lul 
150.0,ac677ab3237db1bb48960ff72013ce6c11c0c625,brackets wrong lul 
176.0,0e5823d02089ba6f1d80bb80788e7ea40d790cbd,no ti for boom lul 
184.0,18c08d48a703277e68d15712062f9850a3ba5fc4,indonesia 
190.0,18c08d48a703277e68d15712062f9850a3ba5fc4,its india pog 
205.0,0158f5462816fb198893aabae71a603e9cc8d5ad,india is out of the minor 
217.0,ff9b8571304dd8a9b8e02432008cf61a725cda88,keep dreaming indonesian lul 
252.0,0158f5462816fb198893aabae71a603e9cc8d5ad,stay in mobile legends - the easy moba 
286.0,09c4801df05a0fc402dfd4826d3a3c25995fd294,what match is next 
307.0,460c7f2f799bfc66eb253aef6dca3c3c9893bcc2,who did 10 kills first 
337.0,09c4801df05a0fc402dfd4826d3a3c25995fd294,stream over 
