Time,User,Message
0.0,df915c286a1509846dabe6d2220d0566f9cd1bae,yeah bro i only got tailgate 
5.0,eb2f740e17d2b9c4e07125ffdc796155bf4626f6,yesterday the chat was filled with flood many passes were inflated 
17.0,5be8129944a80ffe77ed7ab3b44d985ce151fca7,wutsuup 
23.0,f9bb5396982e77d8f34f1e489d1e8c9521956498,stickers available here 
25.0,25082f63242b89645109aa41f23692f3c6665754,same 
30.0,21ff8608a6ce129ed633768c473c85a425d1b054,lemme test something 
37.0,eb2f740e17d2b9c4e07125ffdc796155bf4626f6,no 
37.0,21ff8608a6ce129ed633768c473c85a425d1b054,drops 
51.0,47c8a0c3eb792c139098ea477d6aa5f585094127,i got two sprays i think 
57.0,c3e34fa8d0de8469c04160ec99559b5f2a184ec7,anaklurk anaklurk 
72.0,eb2f740e17d2b9c4e07125ffdc796155bf4626f6,i got one what i m watch 8 hours 
75.0,ffa8ebf0089c414d926cee09304ff86a5e56d691,do we win tokens now 
85.0,25082f63242b89645109aa41f23692f3c6665754,i wanted the icon for 2h but didnt get it 
98.0,eb2f740e17d2b9c4e07125ffdc796155bf4626f6,no drop off/ 
99.0,c084fbf3305e3566fcdae48528a5261720abd861,what the fu** was that ult titans reaper is trolling 
100.0,25082f63242b89645109aa41f23692f3c6665754,i watched 4 or so 
110.0,0c418ed5a8a1a3277cd82ed42f6b3ead6b8f03c5,i got all 3 o/ 
116.0,21ff8608a6ce129ed633768c473c85a425d1b054,not even sure if you can earn stickers on replay 
122.0,9ea589fd4a09342d74e2f62a92c51bfd20bcf403,i've got 1st spray after 3h then icon and another spray way into watching replays another 2h 
128.0,7e3724c6507f1cfc2f83b05c5fb2671585c19148,¡gracias por el owl2019deadeye 89af7bd05bf9ce95db6c5f0e2bf14c498330197c 
138.0,c7324677757b28a34eedc688c3bac6e03805c400,bigphish 
145.0,eb2f740e17d2b9c4e07125ffdc796155bf4626f6,25082f63242b89645109aa41f23692f3c6665754 yes i too i m watch 8 hours 8 
146.0,dc8a0b0069da84732a41c5bfc4a4aa6f620cfc07,i watched the whole thing and didnt get a spray or icon i think its bugged for some ppl 
