Time,User,Message
0.0,55596b9a4fa3b4197515852c79d784466b9f37e9,lul lul 
13.0,a7b3780b8d788332d71735a36e7185c8d7bb131a,go zepz 
21.0,aae08052bd3399999ac4fa83ba4c25fda8735361,zenox you're trolling lol 
28.0,56107c16ffea1028b895f8c7789c79dc6defb066,all you player 4 
46.0,c8d8e43ea3dc98c41a734ad1465c4b8102dee6d7,wtf 
51.0,0b15d1a6fb43143fe2d67e97a1535e0fe7b84eb6,so many teams with same colour 
60.0,3c18b78772fe67c5fe87e9ddf675ee15c3efee49,come on bzr 
60.0,c8d8e43ea3dc98c41a734ad1465c4b8102dee6d7,the other lobby is 6 minutes ahead and they only have 5 teams 
66.0,3c18b78772fe67c5fe87e9ddf675ee15c3efee49,riledubzrbp riledubzrbp riledubzr riledubzr bazook4bzr bazook4bzr 
89.0,094fca0afb331bee93ed0c42f048bc814986d7bc,7 kills as solo?!? 
91.0,74bff4a49ef860600e3198fb117cafbe434c60a0,kappa 
100.0,0b15d1a6fb43143fe2d67e97a1535e0fe7b84eb6,valor win 
116.0,201244e2922a60c22c620ef24e8d3b00ca31354b,hughesy 
116.0,3f30b0f9bcc426ddc5e470996e737e87ff6064cd,good yeet 
129.0,d2b6c302d927c0139d9f79f09b5ec061917cc9e1,me boi 
130.0,4383fc2a613f42f84be4ac4a3725c11299f2819f,sysorex carried us 
133.0,201244e2922a60c22c620ef24e8d3b00ca31354b,dam 
158.0,d2b6c302d927c0139d9f79f09b5ec061917cc9e1,is lobby 2 being casted also 
163.0,929a41af3b04c6a3b0312768bbd0902b1c497d22,athletico rip 
176.0,4383fc2a613f42f84be4ac4a3725c11299f2819f,d2b6c302d927c0139d9f79f09b5ec061917cc9e1 this is lobby 2 
186.0,0b15d1a6fb43143fe2d67e97a1535e0fe7b84eb6,d2b6c302d927c0139d9f79f09b5ec061917cc9e1 yes by untaint3d 
187.0,d8b51a4700bef8caf36a720940a903f8ca7f5d96,d2b6c302d927c0139d9f79f09b5ec061917cc9e1 untaint3ds channel 
188.0,201244e2922a60c22c620ef24e8d3b00ca31354b,lobby 1 
193.0,a5dfbefdffd3fc5952462a1226a88d3a5bcc8ff5,why are you shooting there sys notlikethis 
201.0,c8d8e43ea3dc98c41a734ad1465c4b8102dee6d7,this is open quals for the last 4 spots for lan athletico and the other pro circuit teams have already qualified 929a41af3b04c6a3b0312768bbd0902b1c497d22 
207.0,1a99103de52b7f6349ffc1b1a1186badbe9f6a5f,2 201244e2922a60c22c620ef24e8d3b00ca31354b 
232.0,d2b6c302d927c0139d9f79f09b5ec061917cc9e1,i mean the other lobby lol 
247.0,929a41af3b04c6a3b0312768bbd0902b1c497d22,c8d8e43ea3dc98c41a734ad1465c4b8102dee6d7 koldamcochi 
260.0,c8d8e43ea3dc98c41a734ad1465c4b8102dee6d7,d2b6c302d927c0139d9f79f09b5ec061917cc9e1 untainted is casting it 
267.0,3c18b78772fe67c5fe87e9ddf675ee15c3efee49,riledubzrbp riledubzrbp riledubzr riledubzr bazook4bzr bazook4bzr 
282.0,052b9334b6221d4b9d791cf19bd4a383ffc8669a,3c18b78772fe67c5fe87e9ddf675ee15c3efee49 ye the boys 
286.0,c8d8e43ea3dc98c41a734ad1465c4b8102dee6d7,smiley riley 
287.0,ffaa1dfe65b4d69982cd20e487b481eb250539f1,itssho4bzr itssho4bzr itssho4bzr itssho4bzr itssho4bzr itssho4bzr itssho4bzrr itssho4bzrr itssho4bzrr itssho4bzrr itssho4bzr itssho4bzr 
300.0,3c18b78772fe67c5fe87e9ddf675ee15c3efee49,052b9334b6221d4b9d791cf19bd4a383ffc8669a hello sir <3 
302.0,d2b6c302d927c0139d9f79f09b5ec061917cc9e1,cheers c8d8e43ea3dc98c41a734ad1465c4b8102dee6d7 and d8b51a4700bef8caf36a720940a903f8ca7f5d96 
318.0,d2b6c302d927c0139d9f79f09b5ec061917cc9e1,is goreway playing and not casting 
343.0,c8d8e43ea3dc98c41a734ad1465c4b8102dee6d7,not that im aware of 
352.0,3c18b78772fe67c5fe87e9ddf675ee15c3efee49,good game lads 
360.0,c657a42a8422596d55dc926113b516486d30ce38,hmm 
