Time,User,Message
0.0,3c94aeb7327bc9d3de141b81a71777dc3eaa2769,mountain mamaaa 
1.0,a89464e312943f8e8ba5ee3d373c5f7e533a23c3,west virginiaa 
2.0,f6288a817d1ac51a01a9a155144d6a6d26a0c17a,hell yeahhhhhhhhh 
3.0,1ad5f74dd4ee025c71c2630b9a7d65698a6e4cb3,bro that's cringe you'll lose subscribe 
3.0,a89464e312943f8e8ba5ee3d373c5f7e533a23c3,mountain mamaaaaaaaaaaaaaaa 
4.0,8a36eb534fd1846a56f1162507f6cfef55bf368d,officer you dont understand 
4.0,7a988fc215fa03f2ec78f6d5cce4707c4414b17f,virgo tingz 
4.0,249e70ced815d59b7886f9e647c2c41549f4d0cc,west virginia 
5.0,35501ed293cc9d6e4ad63ffeb7d7262d47a4d9c2,einsteein invented america 
5.0,a52c3fb618be1308660dc4275b4a92c4cec3ca16,mountian momma 
5.0,a89464e312943f8e8ba5ee3d373c5f7e533a23c3,take me homeeeee 
6.0,bdb2a04a11152e72a0f1edce752960eaa26e3161,mountain mama 
7.0,f1c6d388c1ed9e241e8777402e335ce2f5b4532a,this is a virgo moment right here 
7.0,3c94aeb7327bc9d3de141b81a71777dc3eaa2769,take me hoome 
8.0,a89464e312943f8e8ba5ee3d373c5f7e533a23c3,country roadssss 
8.0,d1eb77e4a5a08e88d278077af72eec9b8401df1e,that capricorn moment when you kill all of your friends 
8.0,a42ce8cddc254e84ba97d1e56fddf97fc868838a,mountain mama 
9.0,34c2d9e6965630c2b06fabd5d0cb4159b893e002,i passed 10th grade 
10.0,57b064b7c2791d04d37b6b49ce096c44d5f6281a,please turn this shit off 
10.0,4ef65c39ad11c65b04977bf135d0895c722baf70,loool 
11.0,cb676e02bc20f558255295ff39ac7856006c3cd3,stop im a capricorn and im failing two classes 
11.0,7f5bc1a93be26b8d0eb9c1d1d36c8c6609faed82,what is the texture pack 599a78cec82c1d765e5d89b67126093c91fbeff2 
11.0,f6288a817d1ac51a01a9a155144d6a6d26a0c17a,fuck you travis 
12.0,7fc3a4442f8f7313865ab31963b02f05f15fb3ea,i'm capricorn and i'm in harvard :) 
13.0,249e70ced815d59b7886f9e647c2c41549f4d0cc,take me hooome 
13.0,3c94aeb7327bc9d3de141b81a71777dc3eaa2769,where i belooong 
13.0,920647489471eff947e84ccf2de306d85ee48f9f,virgo moment 
13.0,e4749d99a05598eb0d08f776ae5dfeb7a47b36a7,america was invented in 1776 when we started oppressing women 
14.0,c2e2c762dcf25b2b8861c9270bcfcaad84f9b40d,pickup trucks football beer guns women freedom eagles america baby woooooooooooooooooooooooooooo 
14.0,c53f7885e04b1e07656ca4ed8e1e5ca70fe78a3b,traves = commie bastard 
15.0,4ef65c39ad11c65b04977bf135d0895c722baf70,i should be studying 
17.0,cc0c3b66ee8e4cb4648f93731589945bdc9418cf,i'm a capricorn 
17.0,a89464e312943f8e8ba5ee3d373c5f7e533a23c3,jesus christ traves 
