Time,User,Message
0.0,30fb8014be6da5b39a02bad082acdc3a9acc9f15,12 pool new meta 
5.0,f0fa23e7e639d289837919318788a4fcb3b77fa6,big boi meta 
7.0,c50aa7f99e7bdfef32bd3555ceac5ee8f4f892a8,one in-depth video later 
10.0,30fb8014be6da5b39a02bad082acdc3a9acc9f15,i think the robo change created the meta :p 
13.0,5e4be4701847f172be24d7286d2e466725d7786b,immortal best unit why get other units 
68.0,2f8d3b2325d4063cb6b832b5199ccca312b5ac48,hi casually explained ive recently gotten back into sc2 
72.0,2f8d3b2325d4063cb6b832b5199ccca312b5ac48,as a a result of ur vid 
76.0,c3ec8dd8381aa1399dbc40dfaf44534eed266f62,have not played sc2 in a long time is terran still worst one 
77.0,1e4583ae162a34742c8cbc369607fbf308ee3bf6,stargate 
89.0,5e4be4701847f172be24d7286d2e466725d7786b,f 
91.0,685f3c413e663118a9dfabfe95ef5ab45c67d011,i got into casually explaineds youtube channel because of the pylon show love it 
98.0,30fb8014be6da5b39a02bad082acdc3a9acc9f15,mineral wasted 
105.0,30fb8014be6da5b39a02bad082acdc3a9acc9f15,8* 
113.0,30fb8014be6da5b39a02bad082acdc3a9acc9f15,or is it 5 
115.0,f0fa23e7e639d289837919318788a4fcb3b77fa6,all mind games 
119.0,685f3c413e663118a9dfabfe95ef5ab45c67d011,i was so confused because its literally a dude casually explained random topics 
130.0,5e85c5c69e2914b8d5da6b28517c0cc9c5964629,no wall off monkas 
145.0,685f3c413e663118a9dfabfe95ef5ab45c67d011,gg lul 
158.0,30fb8014be6da5b39a02bad082acdc3a9acc9f15,duh 
160.0,0c3f037eaf6fddfba2bc302c35cce3dc4a8917eb,i can recognize this song immediately soulful - l'indecis 
185.0,5e85c5c69e2914b8d5da6b28517c0cc9c5964629,taze that ling 
199.0,8e77c23c01b663a9075d43d869304546eb3d0658,lul 
204.0,1e34bbd10ba28f8b6fdbbe1ab208af703ce97fb9,that dt 
208.0,5e4be4701847f172be24d7286d2e466725d7786b,this is literally the build noregret made fun of on the pylon show yesterday 
215.0,ce0402653887a41e5f91537d7e9162b57f531ba3,lol 
216.0,8e77c23c01b663a9075d43d869304546eb3d0658,when in doubt get those deets 
217.0,5e4be4701847f172be24d7286d2e466725d7786b,i already have spore crawlers why 
222.0,ce0402653887a41e5f91537d7e9162b57f531ba3,the ol starcraft 2 brain rot 
223.0,f6979ff03bb9e6d7d8b419c497eceacc1b7ccde2,that feeling when the harrass reminds you to put workers in gas xomsweat 
228.0,ce0402653887a41e5f91537d7e9162b57f531ba3,you know what would be cool 
234.0,ce0402653887a41e5f91537d7e9162b57f531ba3,the answer is always no go with your damn build 
236.0,ce0402653887a41e5f91537d7e9162b57f531ba3,lol 
237.0,1311adb5c9e432ad195494be0e8eea7d89dfd914,he also lost the first overlord too 
245.0,1311adb5c9e432ad195494be0e8eea7d89dfd914,u guys both making mistakes xd 
250.0,30fb8014be6da5b39a02bad082acdc3a9acc9f15,oracle into dt is pretty bad 
260.0,4754c76db56d6b28eb5a09f529bc755cdf2d3213,some peoples brains just shut up shop when vs zerg 
261.0,30fb8014be6da5b39a02bad082acdc3a9acc9f15,since it forces out spores lul 
270.0,1311adb5c9e432ad195494be0e8eea7d89dfd914,plyon show just talked about this topic 
277.0,1311adb5c9e432ad195494be0e8eea7d89dfd914,why would anyone go from oracle to dt 
