Time,User,Message
0.0,76fa8d5215566e368b14c48d9c2261ed59eefbfb,u jhust saw one 
3.0,d706edf6eae81820d4952ba8c06758b4432ebfa8,dreamville lineup is the best by far no label compares in the game 
10.0,32d0365287130f8b0aef8953dc87066ad844a847,can't wait for revenge of the dreamers 3 
14.0,b8b540b2dcfe98c096b02b30d7289cc22d571998,tde >> 
19.0,50c1077e7ec18e4108cc5cc13b1c01548ab55070,is the emp grenande completely useless or what 
24.0,2d608ec97ec39ed5429dda3f213b1d4a94b4b4f8,revenge of the nerds 
26.0,293d3d3de950b23f822c822d168a2b48fbe69441,trueeee 
28.0,97d29e99c7d41500e1b31404767c39de49d576cf,32d0365287130f8b0aef8953dc87066ad844a847 we love a cultured chat ya love to see is jid bas cole crazy 
35.0,2d608ec97ec39ed5429dda3f213b1d4a94b4b4f8,4 
36.0,d706edf6eae81820d4952ba8c06758b4432ebfa8,same cole never disappoints goat imo 
40.0,76fa8d5215566e368b14c48d9c2261ed59eefbfb,was it a 3x where you got the outlaw 
40.0,97d29e99c7d41500e1b31404767c39de49d576cf,b8b540b2dcfe98c096b02b30d7289cc22d571998 but ill have to agree there bud 
52.0,32d0365287130f8b0aef8953dc87066ad844a847,bassy is next up flow is od crazy 
81.0,a3eafe0064c25f2da34c0bc38972e53c69edf83e,<3 
84.0,d706edf6eae81820d4952ba8c06758b4432ebfa8,tbe is not more talented than dreamville that's just facts 
87.0,5a32e4760aeabbd7d7c86fcd04460a976801f21f,no pc 
90.0,97d29e99c7d41500e1b31404767c39de49d576cf,tde goes nuts anybody heard that new q teepyikes 
101.0,293d3d3de950b23f822c822d168a2b48fbe69441,where you guys think logic ranks lyrically 
103.0,d706edf6eae81820d4952ba8c06758b4432ebfa8,lol tde 
112.0,ad1f7684906da7f2ad9f3a12d7dc79cd106ad155,can somebody follow me plz 
115.0,e190ae5b5a2dbb57b76b1d7bf32629b6fd0cbac4,dreamville blow up on every show 
121.0,50c1077e7ec18e4108cc5cc13b1c01548ab55070,extended barrel on your swat teep 
125.0,d8cd774bbdd6daf12935d7ed005b813cc5140327,you can still pick up paint cans after having dark matter 
128.0,f67b6f5587f52b0a1c40080e6a42f9fbc169cb35,headphones 
132.0,d706edf6eae81820d4952ba8c06758b4432ebfa8,logic really good love his stuff been a fan for 10 years 
134.0,97d29e99c7d41500e1b31404767c39de49d576cf,d706edf6eae81820d4952ba8c06758b4432ebfa8 trippin kdot q ab soul jay rock even sza is super raw 
135.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype draconlove thank you dremanage416 for gifting a $4 99 sub to zsmithers draconhappy draconlove draconhappy 
135.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype draconlove thank you dremanage416 for gifting a $4 99 sub to highmanbearpig draconhappy draconlove draconhappy 
136.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype draconlove thank you dremanage416 for gifting a $4 99 sub to evolution_301953 draconhappy draconlove draconhappy 
136.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype draconlove thank you dremanage416 for gifting a $4 99 sub to papacakez draconhappy draconlove draconhappy 
