Time,User,Message
0.0,2c2b1c49fa9ea8ba6b29efea77708bff96e71c7d,lets go archi 
8.0,bdf3cb314b82d2f7a666691147d2aaf32366eeb8,mmr thermometer 
11.0,84812b628dcf409c4ab25e12caafd85b8fb05104,no results bdf3cb314b82d2f7a666691147d2aaf32366eeb8 
17.0,2c2b1c49fa9ea8ba6b29efea77708bff96e71c7d,ruyunerd ruyunerd 
17.0,03816bf695ee0c1598bb7b278af806dad1d93a10,gogo wanderer <3 
22.0,32f30a6e733b346ae4953eed1eff213d3baccc97,proxy 3 rax would be way more fun 
44.0,bc957af0fe1067c92b924a2856a93438af3e5be6,mmr twitchchat 
46.0,84812b628dcf409c4ab25e12caafd85b8fb05104,no results bc957af0fe1067c92b924a2856a93438af3e5be6 
48.0,11c88571b7e85cea6d7964e105501da8f660c1f7,come on marc 
95.0,d9d60ec6444841056f41c80d51ef8549a6d95d24,game music is way too loud 
109.0,9107b77f0542eb702d3f0ec4ca84ee257313b9b6,fine for me 
123.0,c8cf9cbff1f3982b12d8c41cab431023dca800bd,it is so the gamers can /dance their units 
124.0,9107b77f0542eb702d3f0ec4ca84ee257313b9b6,watching on a tv 
125.0,c8cf9cbff1f3982b12d8c41cab431023dca800bd,kappa 
139.0,52daa4a31e749cb16ee2e96fdb17b5b0749b728f,b 
142.0,c2d69c339b22a8aad3bd9d92a82e07af711a52a2,casters 
144.0,f5e2bf98f2f13ba162f55dc644dd52c86cab609b,bracket 
148.0,a8be11f8a16169b24d866e3c6f6b728713ff8fa6,c8cf9cbff1f3982b12d8c41cab431023dca800bd since its a disco this map 
178.0,010bd4e146871d7b9c479952c51eb2dc8f4f0357,he might micro all 3 unnits seperately 
189.0,c8cf9cbff1f3982b12d8c41cab431023dca800bd,i lobbied for blizzrd to give us loot if we did /dance units in the middle to no avail kappa 
199.0,26b6f912d95748b57a06c9bf6d9f70404e3b670a,game sound is actually a bit low for me compared to casters 
201.0,bdf3cb314b82d2f7a666691147d2aaf32366eeb8,mmr wanderer 
204.0,84812b628dcf409c4ab25e12caafd85b8fb05104,wanderer archangel 5843 t grandmaster eu 
234.0,c8cf9cbff1f3982b12d8c41cab431023dca800bd,zoom out kreygasm 
247.0,8c480a9ff0f562bc89a99c02b9cee7bc6344149d,does he have any chance 
250.0,010bd4e146871d7b9c479952c51eb2dc8f4f0357,smart of uthermal to force the lower mmr player to defend two places 
253.0,c8cf9cbff1f3982b12d8c41cab431023dca800bd,<3 
253.0,ae6a834c3961fb54d9d7cc005d0896fae09909cc,<3 
257.0,7a2d357386fcaa9f7484bb0d04e1c71ee4818b87,<3 
262.0,cb046aec2f2b47e7033dcd15ac7a99b204fcae0e,crow pogchamp 
266.0,c8cf9cbff1f3982b12d8c41cab431023dca800bd,voined* 
268.0,010bd4e146871d7b9c479952c51eb2dc8f4f0357,slower 2nd base also great to be safe 
268.0,956de0897400c70fdd7fd2cb49b072d9e60ed37c,<3 
271.0,c8cf9cbff1f3982b12d8c41cab431023dca800bd,coined* 
284.0,c8cf9cbff1f3982b12d8c41cab431023dca800bd,hard to say for frogs 
286.0,c8cf9cbff1f3982b12d8c41cab431023dca800bd,kappa 
292.0,2d9ed841381ea10842d0aecb32abc502bf636085,who is adebisi do they mean steven bonnell iii 
294.0,96c606101e088cb8150a024ced3495d6109cb5bc,marmel6marsheart loeyag1 loeyataco loeyag2 marmel6marsheart 
310.0,c8cf9cbff1f3982b12d8c41cab431023dca800bd,thermy hype 
316.0,a8be11f8a16169b24d866e3c6f6b728713ff8fa6,thermostaat lol 
329.0,bdf3cb314b82d2f7a666691147d2aaf32366eeb8,uthermal lance 
335.0,ae6a834c3961fb54d9d7cc005d0896fae09909cc,reaper shot down mid-air :d 
336.0,c8cf9cbff1f3982b12d8c41cab431023dca800bd,pouch 
356.0,b1beac59c1e11f850a7c9d30aab28b890ea76b33,hup holland hup 
363.0,86bc6500b651f98fefc11e8c9baf634558b77e82,thermostaat is actually a really good one :d 
372.0,c8cf9cbff1f3982b12d8c41cab431023dca800bd,free tank bait pogchamp 
404.0,bdf3cb314b82d2f7a666691147d2aaf32366eeb8,if serral got an own piece of land uthermal should have his own thermostaat 
407.0,abd2097ef78b80678d100a7a57f5b22237d45b96,that's so raven 
410.0,2c2b1c49fa9ea8ba6b29efea77708bff96e71c7d,ruyuayaya2 ruyupepaya ruyuayaya 
