Time,User,Message
0.0,b098648bfed5ee29468add95acf3a20ab0d47f88,pepelaugh first 2 picks meepo and pudge 
3.0,4fb3858940c099079179721ef11fe4e1eb84a057,here come the uncalibrated crowd 
12.0,9621b42911e4024920a43c975ba50360be988918,5eef582ab4e015934eb80bfe8e7beb6a093cd3c8 tiny carry 
13.0,7210eb044760609d866384e2a0ede786d8e8eca0,welcome to loser's stream 
13.0,71003e17af29f1aea0808f4a5a56f35318547532,no 
14.0,c280a1c045c6390da6c3c071d421d595d023bdd4,meepo lul 
20.0,7252a11c4afda27830c6d28b542ea9758c7c0822,is your coaching session include regions as well or is it just general gameplay mindset 
21.0,7210eb044760609d866384e2a0ede786d8e8eca0,biblethump biblethump 
26.0,c216f76a4af6c72fff6144cdc3a51c1b492ae786,he is not going to pick 
28.0,b098648bfed5ee29468add95acf3a20ab0d47f88,monkas 
31.0,d8d71132a3a9af68471dc85293169a6dde2b6799,7d37dbd4a08121ff5c6c6531494bd38a0df0b1ab lol get him aghs 
37.0,0a350fad87eb0677ac9339201d9fdbe2584f619b,bsj monkey king is really bad beyond 20mins into game why do u pick him hes squishy and gives no kill potential 
37.0,64f35969593c08e2e100bd31bd0156be43c3349d,we have the mid chen guy again pog 
43.0,a14054a679038e2aaea10444278acc9e144e1901,pick chen pogchamp 
44.0,071606739b15e6a0d1c7e62699d4a08e227e0a09,pick io xd 
44.0,7d37dbd4a08121ff5c6c6531494bd38a0df0b1ab,didnt even make the bed notlikethis 
44.0,71003e17af29f1aea0808f4a5a56f35318547532,pick techies 
44.0,b098648bfed5ee29468add95acf3a20ab0d47f88,monkaw wtf 
46.0,83646324f7e367896fbb93dff900e9b025d7b618,everything after absolution by muse was so terrible cant stand their new stuff 
46.0,5a5f61e8526b741937c9011098e6ba94dc19daae,go beastmaster or dk 
47.0,2a864b1a47d20f1619342081e17f617406490635,techies lul 
