Time,User,Message
0.0,e1887d41dda22d421279d9f16c6af8966b563b34,i am a keaynesian aggressor 
0.0,1ad53ab73bc536f92fc8ba5a2b3da42567f36fd2,admiralbackpack 
3.0,38819b02c509936b55c31c7c690d5f0e7503a3c6,feelsokayman :wine_glass: 
3.0,f48acd0112d352457f1ddde3464e8d4378187806,ppl in chat feed in herald games but still flame ee lul 
3.0,b1383622ccf2695600d0d1c6f27523a0cb083dc9,no u 
4.0,5fbfb6d0ac72831777f76ea40eb50dbae97a7a72,jebaited 
5.0,9670b5180696c2b7d23cb6c34b9de9284fbefb80,quick fingers 
6.0,f424a777d86be943ec585b577a3c20dbc29f449f,after ee and the drama with secret he seemed to fall off 
8.0,d2c4ad3d8f43e0f82ca06e78ca1d1853019fd294,all they ahve to do for msit coil is revert manacost buff it got few patches ago and ehro is dumpster again 
9.0,6c50c5951acf10fbdf63a06c9e52a7416500503c,no u 
10.0,e91e9022cd2b9a008cce832b2d08f650d5080758,neeoclassical indeed 
11.0,f5445087e2137f048d102500d04bf452e7230c70,why is brax so ppor arent dark seers supposed to be way ahead in farm 
12.0,d2c1a685f921b99dc9bfa7eb7848026101fd410a,na economics lul 
12.0,e3b7ee00f9ce964aacf7aa7d72d91390de4da147,ebe6b529548d90d3897c65a82c21d328179ae95b i come from gorp chat to give you some context 
14.0,d31692c2a8a5e9c407ed57a67ac6059427a5cf35,ee farming 
15.0,5e525d0d5b184371a146a48f5e31755962e4c674,60b619a85c1d6786af0182029cbcb3e20290a108 i'm a jugg player and i'm pretty sure drums is super waste of money on that hero 
17.0,c8ed26a92e09fe1d017c7336538f1b02dfa2dfa6,pogchamp 
17.0,8466e56ad9e4f4c09fb0538a508f47e47f5530a7,pogchamp 
18.0,e0108dc6346ec156485c894a0343a7a90f2930da,lul 
19.0,b12e7a993854f55a1edf40262207bcd2539f92f6,pogchamp 
23.0,9afea56e81467e265edd07fc9bed442a4550d3d5,what is bc 
24.0,c3449191c1192723261ac126d180eae2e6fc0e5f,lul 
25.0,ebe6b529548d90d3897c65a82c21d328179ae95b,e3b7ee00f9ce964aacf7aa7d72d91390de4da147 how's chemo going 
25.0,3f726117940cc79eb69d1822b67e3013fdd563fc,not flaming ee in 2019 lul 
26.0,6c50c5951acf10fbdf63a06c9e52a7416500503c,lul 
26.0,0dfa79088e94a728a90d3a333b18003c3e093d3e,he didnt even have to kill it lul 
27.0,9fa20469e737e34e516c039f9be329be51bdbdf0,lul 
27.0,4408d4a35a35aed54662f86f5570a13e01a5d0b7,lul 
28.0,24dd69832037c4e191ca5a244a60d77297dbd6b5,centaur pogchamp 
29.0,603bd021387d48d40269ab7446a37ffb28f1a273,lul 
30.0,5cf6dc3d830cfd73cba7577cf5fdbf0586f80da4,ee lul 
30.0,6e3e906cbab31341cdc22635091be6b064a75010,lesh + am both top2 net is terrifying 
32.0,5fbfb6d0ac72831777f76ea40eb50dbae97a7a72,lul 
32.0,a8fb41b0831876b0da3d25877f75a5703c20c09e,lul 
34.0,e1887d41dda22d421279d9f16c6af8966b563b34,d o n g e r 
36.0,9670b5180696c2b7d23cb6c34b9de9284fbefb80,vac 
39.0,6372c03f838c65402298f0e5ae3d678df9af7cc6,9afea56e81467e265edd07fc9bed442a4550d3d5 the dates before 2000+ and stuff 
39.0,f36a3c29c3dc4bb44ca6d2ac494d391ccb381f2a,+200 
40.0,1ad53ab73bc536f92fc8ba5a2b3da42567f36fd2,+200 
41.0,329950478bc1657a35ca035765caba18e5006cab,5e525d0d5b184371a146a48f5e31755962e4c674 that's a joke right 
42.0,9fa20469e737e34e516c039f9be329be51bdbdf0,trihard 
45.0,9ed01e8340d556a7eb315ec4648a42d287ff56fa,use the net on bat 
45.0,6c50c5951acf10fbdf63a06c9e52a7416500503c,ez 200 
46.0,662c560eb4244c450d231eb084fd2250aa02ec18,+400 
48.0,0eff857ebc11a536fdf6e1c793ab9230e0487d5b,yeah darkseer is having a terrible game 
50.0,91d9027be87128c3cdf2e3269915231be831056d,march where tf is yoru boots 
51.0,05343ad08583b7c862d7f20cc8f5f0adc4a8f6e1,netter plays for nip 
53.0,e3b7ee00f9ce964aacf7aa7d72d91390de4da147,ebe6b529548d90d3897c65a82c21d328179ae95b pretty well i'm gonna be dead by tomorrow :) 
59.0,6a9bc282726a6908aed8a5abf59537efd2e00375,arteezy goes drums too 
60.0,5e525d0d5b184371a146a48f5e31755962e4c674,drums sucks on jugg 
61.0,50bfca9331cf3efe247845b189a0ffaf73b39357,am top nw before bf monkas 
61.0,d2c1a685f921b99dc9bfa7eb7848026101fd410a,netter was out of mana i think 
63.0,ebe6b529548d90d3897c65a82c21d328179ae95b,e3b7ee00f9ce964aacf7aa7d72d91390de4da147 all good then 
64.0,5bdf751b496da812f1b2cfa388231866c52b8528,0dfa79088e94a728a90d3a333b18003c3e093d3e w33 pieliedie and misery all time greatest players lmao 
67.0,5cf6dc3d830cfd73cba7577cf5fdbf0586f80da4,ee without dor 
67.0,d2c4ad3d8f43e0f82ca06e78ca1d1853019fd294,drum jugg is the build lol 
67.0,1ad0053072177ac5190adb6ce894478482696b16,some quality production here :) 
