Time,User,Message
0.0,065012d6c891d566633cdc9d42554731286d918c,chat u dead 
3.0,af41ad4e5cb8da529383fca4686cce53ddd10d15,he does ya 
5.0,065012d6c891d566633cdc9d42554731286d918c,no im not 
15.0,065012d6c891d566633cdc9d42554731286d918c,wait if i replied for chat 
19.0,065012d6c891d566633cdc9d42554731286d918c,that makes me chat 
25.0,065012d6c891d566633cdc9d42554731286d918c,anyone can be chat 
32.0,065012d6c891d566633cdc9d42554731286d918c,u can be chat 
36.0,065012d6c891d566633cdc9d42554731286d918c,and u can be chat 
39.0,af41ad4e5cb8da529383fca4686cce53ddd10d15,roborex can u stfu 
39.0,7459e723faa8aa89d78f4cc6ef3b833ec6f53447,ok im done with 2s 
50.0,7459e723faa8aa89d78f4cc6ef3b833ec6f53447,love watching team8s whiff saves 
51.0,b05c6aff7ac14c939bad43ba64397e8e782c5021,xen i feel u 
53.0,065012d6c891d566633cdc9d42554731286d918c,af41ad4e5cb8da529383fca4686cce53ddd10d15 i need to get chat back up 
65.0,b05c6aff7ac14c939bad43ba64397e8e782c5021,i deranked in 1s 
69.0,065012d6c891d566633cdc9d42554731286d918c,f 
72.0,61f754be9481dd36e9e34a68c99a0a4c316e9d61,im gonna 1v1 3ad71d006d9a2c34206774dd548a6994155da1e1 after this and clap him 
77.0,7459e723faa8aa89d78f4cc6ef3b833ec6f53447,im tilted af now 
85.0,464d7eb64e702ad2cc433d3c4041fe5991b53395,for rumble i activate power ups on left paddle bro 
93.0,065012d6c891d566633cdc9d42554731286d918c,can i 1v1 cizzorz 
96.0,865887c2a96a2001433d9e4e212e42d49f713f4e,play duo 
97.0,065012d6c891d566633cdc9d42554731286d918c,im silver 2 
107.0,065012d6c891d566633cdc9d42554731286d918c,in 1s 
115.0,61f754be9481dd36e9e34a68c99a0a4c316e9d61,nah i am i called it first in champ lol 
134.0,065012d6c891d566633cdc9d42554731286d918c,i can maybe get a close match 
135.0,61f754be9481dd36e9e34a68c99a0a4c316e9d61,i'm* 
136.0,9b110584597297ff449934a668b79e6dfdb091fb,damn 
