Time,User,Message
0.0,c0371c01667c689172a0a65d9df20945e99e04cc,pepelaugh 
0.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,subscribe to my youtube channel - https://www youtube com/user/ttfue 
1.0,627393fa6c3bf7dbb42bf28923e578ac6894cc33,lit 
3.0,b11a8ebe87abb653fc459d24dc1d7a8416f4fb9a,ce714193de23f9b7d546d119c718c770b671ec3d foreal lol 
4.0,ccba969dc4e051f2e852f895570fefe29eee4fff,payan pepelaugh :backhand_index_pointing_right: audis 
6.0,de36feb966166675d4d69ac6986b0d6354837fbc,how long has tfue been live for 
6.0,a42ed116d6512f2e44ca83234d069856c9e2dde9,20490f4d7cfc18e2307e0580343418ca80c64def cloaklove 
7.0,04ed2c09519c2ea07283526bd238c9186f0aeea6,68b5e65c6bda87b9d0076e7f649aebfe961f37cb cool story man 
8.0,bfb328954be8814f89dac5b59beded222b5ad88a,yessss 
11.0,5b90bed448dc5242a2431da9ad4a3d62c577cfa9,tfuecrack 
11.0,2061d9f59d5c48d877d6767b6f448b536e80a8d0,uptime de36feb966166675d4d69ac6986b0d6354837fbc 
11.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,de36feb966166675d4d69ac6986b0d6354837fbc tfue has been live for 3 hours and 3 minutes 
12.0,a42ed116d6512f2e44ca83234d069856c9e2dde9,uptime de36feb966166675d4d69ac6986b0d6354837fbc 
12.0,bf826a67425d52899b8afc26eb3213b7d932fc5c,ninja will qual guys stop hating 
13.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,de36feb966166675d4d69ac6986b0d6354837fbc tfue has been live for 3 hours and 3 minutes 
16.0,b56e5151ac9aae3d117edd2252d5ce5faae1e75a,does blue hair stream with no delay as well 
17.0,fae568566ecf49103a974217129995f2e7069398,slurp 
19.0,6b80ec8e41582673147293e20d938df9c6559b5c,tfuesweater tfuesweater tfuesweater 
20.0,3be97d6a0b07e6fc5627b33a2b859f1ec74e565a,ninjapon hamzkiss tfuewtf 
21.0,c79fcb85f778566fa50758d27ae4ef21f68e0695,he is make his new clan house head ass 
21.0,b11a8ebe87abb653fc459d24dc1d7a8416f4fb9a,0645941418512fc60d4c2958857500421d37a3c5 be subbed for 6 months straight 
21.0,daa769bda72cf11e4e53b27c59fdd7b1a245fffc,uptime 
22.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,daa769bda72cf11e4e53b27c59fdd7b1a245fffc tfue has been live for 3 hours and 3 minutes 
23.0,03aaaa7f97c9087e46b9ebc27ff462676c1bac74,chat ninja or tfue 
25.0,20490f4d7cfc18e2307e0580343418ca80c64def,ccba969dc4e051f2e852f895570fefe29eee4fff pssh 
25.0,24cfae7d386b9bd699aa9c02bc09ab02f25cfac0,0645941418512fc60d4c2958857500421d37a3c5 sub for 6 months 
27.0,d2acd0227dc2fbf9c08460ef7234304efaf4873a,44f5cde75bb484d67999d840f274cb8b9bc2fc9a me 
28.0,c83a05232a9a7f080c0ca7cbedd42e02f2e549f1,tfueugh tfueugh tfueugh tfueugh tfueugh tfueugh tfueugh tfueugh tfueugh tfueugh tfueugh tfueugh tfueugh tfueugh 
30.0,277ee885b59b6982c32298fbde126d527416472a,subcount 
31.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,277ee885b59b6982c32298fbde126d527416472a tfue currently has 44110 subscribers 
34.0,a77cc5c61d92ac318bdc994407f259a8db673ea2,leaderboard 
34.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,a77cc5c61d92ac318bdc994407f259a8db673ea2 -> world cup standings: https://fortnitetracker com/events/epicgames_onlineopen_week7_nae?window=onlineopen_week7_nae_event1 
36.0,20490f4d7cfc18e2307e0580343418ca80c64def,a42ed116d6512f2e44ca83234d069856c9e2dde9 tlchaplove 
37.0,38217458969ab68e081ebf40f03d8edcbdcb2250,b56e5151ac9aae3d117edd2252d5ce5faae1e75a yea lol 
39.0,0645941418512fc60d4c2958857500421d37a3c5,bf826a67425d52899b8afc26eb3213b7d932fc5c he won't ever 
46.0,3120af7e6c9850ba79be9e0771d487e111c1927c,b56e5151ac9aae3d117edd2252d5ce5faae1e75a blue hair tfuelul 
47.0,c3965a62f64651eb704d18c0ddecb579a7fff1b4,you guys hate on ninja as if u would do better in qualifiers 
47.0,2d8d57bcd7f477aee17780beada7988b88ba8210,thumptsm 
48.0,de36feb966166675d4d69ac6986b0d6354837fbc,uptime 
48.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,de36feb966166675d4d69ac6986b0d6354837fbc tfue has been live for 3 hours and 4 minutes 
50.0,ce714193de23f9b7d546d119c718c770b671ec3d,0b8c243a9d25a1e2284e147c5f60cc4c3e4bdc20 ninjafue 
59.0,379d1bf1047d2107734ebea8956a76d6318a5bae,pisses me off how sym can get top 6 two weeks running in semis then is nowhere to be seen in finals 
60.0,38217458969ab68e081ebf40f03d8edcbdcb2250,20490f4d7cfc18e2307e0580343418ca80c64def chap sub cmonbruh 
61.0,07e104cc01dfb07f578ca5ad698e7747fbb01e47,he won't 
65.0,ce64643a8ddbb481e373972e034bffcfcdafe0ad,tfueugh tfueugh tfueugh tfueugh tfueugh tfueugh tfueugh tfueugh 
67.0,6db3c38899623e1bf6d2b88ecae72e6e56712a06,nate hill 40 pts 
68.0,bd34bf6acf111d56d0f8ea116266337f2f81d884,let's go tfue 
69.0,0645941418512fc60d4c2958857500421d37a3c5,24cfae7d386b9bd699aa9c02bc09ab02f25cfac0 thanks bromigo 
72.0,7f3c2daa984bd3371a2b24f339e4c0e8c3bd19b6,ninja will qualify hopefully he does with reverse 
74.0,d539feb193fadc8ddb0718eb8a2e57185eb6d0ba,holy shit hes a psycho 
74.0,100da02177e45383840f2a0802a033ab1c3856d7,w key lul 
78.0,6fcca646b2b377ed0f026020a63396d0ba43e7a1,cum inside him 
79.0,4f994e78376a66caa21ffd0c76c2a949d9db50c6,watch him not get zone 
79.0,0124dd981f5098fc7b02524635e70f8e6b221d70,how many did ninja get before he went off 
79.0,ccba969dc4e051f2e852f895570fefe29eee4fff,20490f4d7cfc18e2307e0580343418ca80c64def get a lambo trihard 
79.0,3f6d1ec03ee1b9a029831ce62da1e8303f937c4a,who remembers when payan wasn't mod 4head 
82.0,d95911c8490ce43e1d1d2223176113016fa586ce,trihard 
84.0,a42ed116d6512f2e44ca83234d069856c9e2dde9,38217458969ab68e081ebf40f03d8edcbdcb2250 tlchapgasp 
85.0,510d11b5bf11d7fe83e8006f0f95fd110691af5e,wtf is this guy doing 
86.0,6e3139f1d87306d8c5522fead4a61f48145da73a,tlchapsuper tlchapsuper tlchapsuper tlchapsuper tlchapsuper tlchapsuper tlchapsuper tlchapsuper saiyanjojohype saiyanjojohype saiyanjojohype saiyanjojohype saiyanjojohype saiyanjojohype saiyanjojohype saiyanjojohype saiyanjojosquad saiyanjojosub saiyanjojosub saiyanjojosub saiyanjojosub saiyanjojosub saiyanjojosub energy for cloak cloakcheer cloakcheer cloakcheer cloakcheer 
87.0,2d8d57bcd7f477aee17780beada7988b88ba8210,payan chap sub dansgame 
87.0,b56e5151ac9aae3d117edd2252d5ce5faae1e75a,38217458969ab68e081ebf40f03d8edcbdcb2250 how unfortunate i think i would stream with a delay this is money yo 
88.0,0f7a2c2eb19dd06187030e500a503be803b018e3,stream sniper 
89.0,df5618beeb1e556180b2d228185e2873c4915f82,lol 
90.0,981c7be66c45e87e987b9cb795161caea9a8f513,what did ninja end up on 
92.0,bf826a67425d52899b8afc26eb3213b7d932fc5c,0645941418512fc60d4c2958857500421d37a3c5 neither will you ata anything in life xd 
92.0,f96bf1a10ec72186654721005e6dbc1a7a18a4df,ciewage 
93.0,24934aaf292eab57cf035b5f1605b6c37701d822,chap subs tlchapamazin 
95.0,ccba969dc4e051f2e852f895570fefe29eee4fff,skrt skrt trihard 
96.0,eb31284fe54a5c270fe2f0a984a46c01559c80f4,hahahaahaha 
96.0,dba6c00bd3170f8d962ebb42e906feb5b96c9c2c,lul 
97.0,81e62baad928437d0b7b07b881459622a43f339b,wait so id he not qualify 
98.0,f0f4605656fb2ab61c3bebc9cc1cae8f645fccd8,yes rush 
98.0,aae115c7f8c9ddfc6cc72078e47c5eadea035940,true 6fcca646b2b377ed0f026020a63396d0ba43e7a1 
98.0,d87a4cf58d2d1a87272bec629e373db9ece487b6,go 
98.0,8026c5af5a2322b9a18902c63bb51fe2f29b12ad,do it pussy 
99.0,0d7eeed9fce996194a5fa3b0d5f05c41d57d850f,do it 
102.0,a42ed116d6512f2e44ca83234d069856c9e2dde9,tlchapsip 
102.0,3a03dfe5b2dddc019665c356c07dc33efff58110,you already qualified lul 
102.0,dd1103863a920ef7cf7a303e263625e8dc406883,dont 
104.0,a3e5cb31d246ffde7f5135497a02725f7c7a2a87,lo9l 
106.0,710306ea10ef26d489e78f16d46aae1262533b89,yeah 
106.0,0f7a2c2eb19dd06187030e500a503be803b018e3,he already qualified though lul 
107.0,5090af0dddeaa2ae9b64b8cf7ad65dc944921d54,tlchapamazin 
108.0,9d91a8853b8991a14b85cbc0d597650068a1b0ec,yes 
108.0,b56e5151ac9aae3d117edd2252d5ce5faae1e75a,rush you peen 
108.0,93094802c5fadc05e1ef5460a18e553e0aa663ce,get his ass 
109.0,2397789e4cb35e83cbccb45d5e3c0a85211f63fb,lul do it 
109.0,07e104cc01dfb07f578ca5ad698e7747fbb01e47,yeah 
109.0,0452057ddc21aaea13773b3aa289207f0bb95a40,cmonbruh 
110.0,dba6c00bd3170f8d962ebb42e906feb5b96c9c2c,do it lol 
111.0,ccba969dc4e051f2e852f895570fefe29eee4fff,chap subs pepelaugh 
112.0,0e596fac9454cfc8c3f9174501a04922f7aa1aa2,cloak griefed tfue kappa 
112.0,1c8461ad47b44c1201835840e6ac24b7386b85d6,it was cloak omegalul 
113.0,6ad0fb466d556bda6c94c37b0f3b8f88531dcafd,no 
113.0,dfbcedae8996198612baf273e1790e8301c0433b,tlchapeu 
113.0,4933c2cddebc06f7c5f38c832f0f22e341e6ac9c,yes tfue is qualifies 
114.0,8f14d4c4d059ac1542174069ef33fdbe13a57c9e,domt 
114.0,bdf1499adfff2d6c45d7bc8c973e79919bc9eea6,keyboard 
114.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,bdf1499adfff2d6c45d7bc8c973e79919bc9eea6 ducky one 2 mini white edition brown switches http://www duckychannel com tw/page-en/ducky_one_2_white/ 
114.0,94be04aef2c6e874a1c40f4261f496f908ca8a8e,imagine being subbed to chap tlchapamazin 
115.0,3970991e0bccd135d305cecdc21ba32e88360c94,do it no ball 
115.0,20490f4d7cfc18e2307e0580343418ca80c64def,i'm almost a 1 year chap sub feelsweirdman don't hate 
117.0,a063224d6f4ae6e98e23ab37df72ed441c6df93f,storm surge damage 
117.0,0d6ec85f384015c5d1d2d7ed7565848661c3b0d6,teaming 
118.0,6b80ec8e41582673147293e20d938df9c6559b5c,do it 
118.0,ad8172e7059e1bcd8c91888f16104bad5deec777,lol 
119.0,6e9009f83b70557394ea11f55b490d7ecfbaaf3b,it was clock 
119.0,c50fbc0cce016bfc49689a862162746188957234,0124dd981f5098fc7b02524635e70f8e6b221d70 26 i think 
120.0,a5c19e5089a2a5f85cf1ff54e8b0c0595bc3a0a2,rush 
121.0,46240aa16bbc5032e697a4069095ef00bee60bd8,do it 
122.0,bdf6fc2aac06c6fdd3a0dcfab6f8bf52e5aadf26,myth rage quit lmao feels bad 
123.0,a3e5cb31d246ffde7f5135497a02725f7c7a2a87,it was cloak dude 
123.0,0bea3843c6597920269a47f7890a99c06e6b07fb,tfuesweater 
124.0,88373c2668c7f330ec5b04ef411c8a990a2fe359,do it pussy 
124.0,41cc39db0174bd7b1657be5dee72a59384401c12,how is cloak doing 
124.0,1872ceb81d2e40a857688fd5088970b751e960d9,ask how cloak is doing 
124.0,68b5e65c6bda87b9d0076e7f649aebfe961f37cb,ninja din 
125.0,0645941418512fc60d4c2958857500421d37a3c5,bf826a67425d52899b8afc26eb3213b7d932fc5c sorry bud too late already have 
125.0,c52b45502d96117b6c9ed1aae3ac03bf47fdc02c,where is cloak 
127.0,fcba8ed823cba3e3882041f941f90b63183b3239,clap him pokcharizard pokcharizard pokcharizard pokcharizard pokcharizard pokcharizard pokcharizard pokcharizard pokcharizard pokcharizard pokcharizard pokcharizard pokcharizard 
127.0,c953e6a210760ef0a23cd5366d37309ea004a3ca,*griefs some1 elses ball* lol 
128.0,d87a4cf58d2d1a87272bec629e373db9ece487b6,do it 
128.0,65c6dbe2354e023ebef4a9362f0468b1ace77019,ninja 
129.0,8f14d4c4d059ac1542174069ef33fdbe13a57c9e,dont it was cloak 
131.0,124a21985de5ecac7063d0f6e51aa315c4775fa1,lul cloak 
131.0,20490f4d7cfc18e2307e0580343418ca80c64def,3f6d1ec03ee1b9a029831ce62da1e8303f937c4a weirdchamp 
131.0,94be04aef2c6e874a1c40f4261f496f908ca8a8e,i get my 1 year chap sub in 12 days feelsgoodman 
131.0,61e37d39e655248bc7ad230513e891cd8eb09363,tfueswanton tfueswanton tfueswanton tfueswanton 
132.0,ce714193de23f9b7d546d119c718c770b671ec3d,fuck his ass 
132.0,3215d9c95a73cb01883fda67a28e9f3ce61d0947,rush 
135.0,a2abf375ecc003dec0495d876cca5bc67889b04c,standings 
135.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,a2abf375ecc003dec0495d876cca5bc67889b04c -> world cup standings: https://fortnitetracker com/events/epicgames_onlineopen_week7_nae?window=onlineopen_week7_nae_event1 
136.0,ccba969dc4e051f2e852f895570fefe29eee4fff,ok buddy rlly cmonbruh 
137.0,8880159373942215c2163ee45e749e762b508e29,how many points cloak 
139.0,eb320911b5f6e848bbd92d44ce298e058cdcfa6a,yea rift out pusssssy 
140.0,2f7563d6df06087e30fb8fd55fc2f95162f86212,tfuewtf 
144.0,d2058d61a8cb421a53465a8459fcd3cbca1c84bc,how's cloak soing 
148.0,92ebcde083285e6f116ab1351b84a914d7894196,playing quals on console:/ 
148.0,46240aa16bbc5032e697a4069095ef00bee60bd8,tfuesleeper 
149.0,2eb861fb39ef63eca2d12b3b207e20daba4a0cdc,it doesnt matter how many ammo you have if your bloom is ass 
149.0,86b9c3af460583237d17ced2e45a369df3de23b3,what was max views today chat 
150.0,ce64643a8ddbb481e373972e034bffcfcdafe0ad,tfuesweater tfuesweater tfuesweater tfuesweater tfuesweater tfuesweater tfuesweater tfuesweater tfuesweater tfuesweater tfuesweater tfuesweater 
154.0,d87a4cf58d2d1a87272bec629e373db9ece487b6,ninja did to 
155.0,eb320911b5f6e848bbd92d44ce298e058cdcfa6a,lmaoooo he scared scared 
155.0,c33578d83fdd11ca865140f07061dfea7abbb94c,did miss rage quit too 
155.0,e0967d57db15b4270daf76601de96035c8522c9b,pog 
160.0,880ec575d38d304d18adddaea11d47fbadbd6c3a,cloak at 31 
161.0,68b5e65c6bda87b9d0076e7f649aebfe961f37cb,ninja din't qaulify 
162.0,dfbcedae8996198612baf273e1790e8301c0433b,tlchapl2 
162.0,9043459bd56ce436c84745f86cafdee80539d8b9,if only twitch badges meant something 
164.0,24934aaf292eab57cf035b5f1605b6c37701d822,i get my one year next month tlchapthump 
165.0,d330a12a3b3bbc51af61c5de3d1d59753e9466ee,140k 
165.0,2397789e4cb35e83cbccb45d5e3c0a85211f63fb,i think thats him lul 
165.0,41b6b3d550664c579a405179009176629428f632,cmonbruh 
166.0,49f6214864a6cf31232e053d707e0b0842285e00,31 points d2058d61a8cb421a53465a8459fcd3cbca1c84bc 
168.0,38217458969ab68e081ebf40f03d8edcbdcb2250,a42ed116d6512f2e44ca83234d069856c9e2dde9 ur hot 
168.0,b9d2f7aaca3be944e0f756a9c1afb7eb97387244,tfuebored 
168.0,efab9809702de9ede1691c77bcb70c399a14ca59,tfuesweater tfuesweater tfuesweater tfuesweater tfuesweater tfuesweater tfuesweater 
168.0,3cb535174edd9792fe9f91e31e8116e4a730cac5,cloak has 31 
169.0,e17a438db02f09f88dbcc8e759be31ea54fbba27,d2058d61a8cb421a53465a8459fcd3cbca1c84bc hes not streaming so who knows 
175.0,6c887d187dd2c666dfe0de1cf08940c84c29aeaa,cloak had 29 before the game he's in right now 
178.0,eb320911b5f6e848bbd92d44ce298e058cdcfa6a,do it 
178.0,8901a02139a161c6022667d95f241d7533547812,2eb861fb39ef63eca2d12b3b207e20daba4a0cdc great positivity man 
179.0,ef8751e3ec49446de2ceb69ac549ec4dce258f1a,tfue on top 
181.0,a42ed116d6512f2e44ca83234d069856c9e2dde9,38217458969ab68e081ebf40f03d8edcbdcb2250 thanks :) 
182.0,d539feb193fadc8ddb0718eb8a2e57185eb6d0ba,reverse in 3rd pog 
185.0,2ff5e52f29a7be7fc96cd501d5b5359f52005d07,what place is 31 points 
186.0,f0f4605656fb2ab61c3bebc9cc1cae8f645fccd8,rush 
187.0,b87b9ae7c1c12d2574a113ab105d0e3247b27ceb,reverse has 51 pog 
188.0,88c7d1c940c2df49cde810d366e8553cfbf1f0ab,what happened to ninka 
188.0,d961d5c8215758ec27550018d28a55da14a355e2,mouse 
189.0,2a2358da78ccec0d74bc574840f673f862483b30,130k biewers lets go baby 
189.0,a42ed116d6512f2e44ca83234d069856c9e2dde9,24934aaf292eab57cf035b5f1605b6c37701d822 to chap 
189.0,1dd503e29e1f4c1ed97fbf6bd926da973c26abb2,dellorpower tfuelaser 
190.0,4a1b352f146009592528f6f5c8a87bd894e68416,bots talking about ninja like anyone cares thumpwhat thumpwhat 
191.0,ccba969dc4e051f2e852f895570fefe29eee4fff,monkagun 
