Time,User,Message
0.0,f806a1c61cf8a2c1b3ffe0d47bd4e5fc66e2962d,expendable 
7.0,b98c58532a17aeb57f770a693c0d03f4a6cfd58f,morning cybersniper 
9.0,8f31df8a203a7b5e531cc9258c039d34c7f452e1,big ops scotland 
15.0,19ed01500953aa8c1f7d1c8b500fd0f480a6a4b8,hi 14a58fb92ec65e14a671cb35424f7f74b406d2a3 :) 
18.0,449fc852ad4092cd9688fd07a87b0e9b738a1b5a,is this live 
38.0,19ed01500953aa8c1f7d1c8b500fd0f480a6a4b8,6208e84ad0da2c100e51a88b9863ad926c27b21d have a good trip :) guy 
40.0,14a58fb92ec65e14a671cb35424f7f74b406d2a3,hi hi :d 
51.0,56107ec08e64884efed444b2b22a61be866d4a1b,don't get dysentery you'll be fine 
52.0,b9b55760fbd59d59f793df924f324303908e7cba,ayyyy 
71.0,14a58fb92ec65e14a671cb35424f7f74b406d2a3,artillery-armies > any other army 
79.0,449fc852ad4092cd9688fd07a87b0e9b738a1b5a,did you have to get shots for the trip guy 
81.0,8f31df8a203a7b5e531cc9258c039d34c7f452e1,toms on a rampage 
105.0,14a58fb92ec65e14a671cb35424f7f74b406d2a3,lol dysentery #oregontrail 
122.0,d3141df8c90b24e6a5e4039f7358ed2607303b1a,hello :) 
136.0,449fc852ad4092cd9688fd07a87b0e9b738a1b5a,i had to get a decent round for my work trip to india 
147.0,c3477547b6431eba2085ff616f837e7e653ad1a2,gong 
152.0,56107ec08e64884efed444b2b22a61be866d4a1b,amateur move he's going to get dysentery or cholera or some such nonsense 
159.0,79d3f7d0c872a1cd30368e83a5f8b3c7b6891de0,how do u go cinematic 
163.0,14a58fb92ec65e14a671cb35424f7f74b406d2a3,can you control the trebs 
164.0,8f31df8a203a7b5e531cc9258c039d34c7f452e1,whats your personal opinion on warhammer 2s laboratory mode 
166.0,56107ec08e64884efed444b2b22a61be866d4a1b,alt-k 
168.0,ef708eda34ed8f2fdbd0b0c6f5680028d6b18a10,gotta love those 90kg stones with a 300m range 
176.0,449fc852ad4092cd9688fd07a87b0e9b738a1b5a,14a58fb92ec65e14a671cb35424f7f74b406d2a3 not in this like rome 2 
184.0,ce6a4ea170beced9ef6173f2227d98150e2ab5e1,6208e84ad0da2c100e51a88b9863ad926c27b21d drive them back to the river 
191.0,79d3f7d0c872a1cd30368e83a5f8b3c7b6891de0,thanks jordy 
229.0,f806a1c61cf8a2c1b3ffe0d47bd4e5fc66e2962d,ma teng will aprove 
235.0,f806a1c61cf8a2c1b3ffe0d47bd4e5fc66e2962d,on silky 
239.0,f7f7c916b5d4e5613f3c7e4404aa95a17ddecf30,ayup lads good afternoon 
245.0,14a58fb92ec65e14a671cb35424f7f74b406d2a3,tell me about this special combat thing in tk its a duel yea 
265.0,952a45edaddcd74c283dd663e44870b31f4b8fc7,i also had this guy bug 
276.0,14a58fb92ec65e14a671cb35424f7f74b406d2a3,oh thats sweet 
280.0,8f31df8a203a7b5e531cc9258c039d34c7f452e1,thats quality 
293.0,f7f7c916b5d4e5613f3c7e4404aa95a17ddecf30,my boy guy 
316.0,952a45edaddcd74c283dd663e44870b31f4b8fc7,i was sure that it is because of some mods but apparetly it is secre easter egg in the game 
317.0,14a58fb92ec65e14a671cb35424f7f74b406d2a3,tom jordy and guy should do a dynasty mode again in the future 
375.0,53794beef5ae2585da47752a9aa05ed006763f64,why does content addition to this game feel so slow 
376.0,f806a1c61cf8a2c1b3ffe0d47bd4e5fc66e2962d,does ling tong hate gan ning in game 
379.0,e773fca93f0354f2190fc3a7bbcd36a23be8ca5d,has wheels been fired 
382.0,56107ec08e64884efed444b2b22a61be866d4a1b,you sensuous boys should do a giveaway soon before i have to head to work hello from west coast canada by the way 
403.0,877d5d6fb4f33b490edfe9beabb995bf6ee93f1d,ah yo sorry im late boys i had meeting this morning epic battle to drop in to nice 
415.0,f7f7c916b5d4e5613f3c7e4404aa95a17ddecf30,just create it in an hour jordy its just numbers and computer stuff 
425.0,449fc852ad4092cd9688fd07a87b0e9b738a1b5a,e773fca93f0354f2190fc3a7bbcd36a23be8ca5d he left on his own months back 
429.0,14a58fb92ec65e14a671cb35424f7f74b406d2a3,877d5d6fb4f33b490edfe9beabb995bf6ee93f1d same here silly meetings stopping us from tw streams *smh* 
433.0,877d5d6fb4f33b490edfe9beabb995bf6ee93f1d,hey curly hey tom 
433.0,53794beef5ae2585da47752a9aa05ed006763f64,wheels left to a different job 
434.0,ce6a4ea170beced9ef6173f2227d98150e2ab5e1,e773fca93f0354f2190fc3a7bbcd36a23be8ca5d he left to do own stuff 
439.0,952a45edaddcd74c283dd663e44870b31f4b8fc7,to be honest exept new character portrait and models i have no problem with slow update i still have a lot to play with 
445.0,449fc852ad4092cd9688fd07a87b0e9b738a1b5a,win 
450.0,56e1bb0da9492283605359fa7a8a0f17e5b68b70,win 
454.0,56107ec08e64884efed444b2b22a61be866d4a1b,win 
