Time,User,Message
0.0,2966267efbb84397953cf059409caac3d4ffc06c,no blademail lul 
0.0,35dda373d38cd427e9a20082e1cc00f55ca36fe6,zoo wee mama pog 
1.0,c3be444101b59e49df8356bbd345d21c226a2dbb,losers pov again pepehands 
2.0,e98ff51769c22f7a0d8b132d8091dfbf693e196b,i doubled my points now i have 20 pogu 
2.0,7fe21430f4ad608a73d9e90d92d846c4c80d6514,627497b725d09bc36080bfc948ac85e2d86497cb some total war today sir 
3.0,5fd2ca79acbf37c6be9c3ff2f4b307d56f521920,axe no blademail lulw 
3.0,f581a8f901611ff1783e89503d02ac008cac9392,medal 
3.0,ed612bd94da2d247eb06cd1c2d5d36e1b1bbef89,spec is try hard 
4.0,c3be444101b59e49df8356bbd345d21c226a2dbb,losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands 
5.0,df91980c9aec3fb8fbed58bbf31f16cfef27005f,sobayed bin wettors sobayed 
6.0,a092ec076ddf7afffbf0c44300f349f2e339b30b,peeporip 
6.0,62afa6504cef81af54af09d4c94b2abb120921e7,peeporip 
8.0,7ecd0f3a4de3b639d29550252e202411436403b3,pepega axe 
8.0,fb5a4d2a0282fabf690639eb905db76cec0b69d8,:( 
8.0,1f5b6eae3fdde2dc60347ead8cff5d890c0ce908,my 1 2k points peeporip 
9.0,5fd2ca79acbf37c6be9c3ff2f4b307d56f521920,pepega axe lulw 
9.0,fe0630f818d8d56655afdcf65dfc1280b7ff4986,chat trivia: this past tense verb means a transgression of god's will 
9.0,3b87a493d95a52868620f7c37da88f23dc21f89f,can't win em all pepehands 
10.0,2406a71d019fc6e2d4b07b489ad7d658d602c7ca,just buy blademail 4head just buy blademail 4head just buy blademail 4head just buy blademail 4head just buy blademail 4head just buy blademail 4head just buy blademail 4head 
10.0,724cfea44f272e1748f2d780b815c7401501b3d1,loser pov pepehands 
11.0,f5e4a4a3e2a47c7d5e5f216d686839fd9f36191b,points 
11.0,71081053450dae375a7efd899a57fb228e6ddf01,peeporip axe peeporip axe peeporip axe peeporip axe peeporip axe peeporip axe peeporip axe peeporip axe 
11.0,7669b397a16a55fd6f56285e07d59fb58683b825,score 
11.0,4de6c8b8f17872a2f6c76441c2f51684a0e524e5,gachipls sacrifice a pleb 
12.0,b1648bc2016cb68dfe9edaa51aaccd6f246d5dc8,2621c470e33465c44524c1fad204d4580bf460b6 feelsokayman :wine_glass: 
12.0,9ce3aeaddc4f8d6db946a51bbef26573c891d073,omegalul 
13.0,206c3e19021bd6a1a6348978a145dd5f9bba01c7,peeporip 
13.0,2966267efbb84397953cf059409caac3d4ffc06c,lulw 
13.0,484eb55b121d38593bc01677cd89cc5485d02497,any lose bettors feelsokayman :wine_glass: 
14.0,a3d58f45a7645eff763db2535c8be3ad8d0a9411,bulldog really is washed up feelsbadman 
14.0,58be3b406ac673ca726ce3dcff73797057b0f801,ban pls 
14.0,597c06fd21a8ba5f624ddd9e2d8fa4c815ab7b19,i bet win kreygasm 
14.0,c4fad858874d71b8c28f816e6d7bd68fcdcdcb07,lulw 
14.0,47acb8d9c17fef1bac74e9213a610d28ec47780b,:) 
14.0,6c4a8fbe3974b461f87a4011554caad0252e8544,peeporip 
15.0,d75b6c94eaf918e9ebb34d5546fb39c15acc7464,lul 
16.0,964aac641d9f2580b6788b004ff1ef2528d0f5e2,peeporip red peeporip red peeporip red peeporip red peeporip red peeporip red peeporip red peeporip red 
16.0,9465e89afb2a5ec0336f45d784a54053183fa55b,lulw 
16.0,15ef989321397e0e82331f9766b52008379cb3d2,omegalul 
16.0,cdc79604d9939a98e107fc9907c39beea9d26102,lul 
16.0,62b49b6eb226fe16f3ffa775ad30e64d7afd9518,omegalul 
17.0,9007e8966fb47c6d8e4664ab8da807c364e88ff0,lulw 
17.0,62afa6504cef81af54af09d4c94b2abb120921e7,omegalul 
17.0,918184dfd98e6152d6006eba1af5a34e4e39fce7,:) 
17.0,69486e088c3f2e98f210b50a5e2a4d13c95832c1,lulw 
17.0,cc02970cdfd4dfc756a87013689f02fed2dee5b8,pepelaugh dotabet win all 
18.0,1e687a283dd8916da1bdfcf6bb07c156605587a7,lulw 
18.0,acbf3ef1e9da429e3cbe1aaa604290fd04be81a4,point 
18.0,5df025c73a7fabfd46d47ed1a05600f7aa317dba,4head 
19.0,261cb60fd2e2314586b65d311d40bd99b1690ffa,lulw 
19.0,c76e0b7f1a8e03a07ea1c2e55ff36b4b8f4a43cb,lulw 
19.0,6c4a8fbe3974b461f87a4011554caad0252e8544,lulw 
19.0,b19523c2a53fd77c47c369754a5de3ea170839dd,lulw 
19.0,900c1a50ca0b11079290608b976d72929ae97ad5,lulw 
19.0,15ef989321397e0e82331f9766b52008379cb3d2,pepelaugh pepelaugh pepelaugh pepelaugh pepelaugh pepelaugh 
19.0,bc91d485c81996fee034320a9cffa61fb152b426,lulw 
19.0,3f60c00ab85af5475aaa5f8b706de671f7d0e097,lulw 
20.0,c3be444101b59e49df8356bbd345d21c226a2dbb,lulw 
20.0,b0d24d7bfc0621d540d524520fe3f616c23f0021,lulw 
20.0,5f30333dda581fad9b048bc627d4d75d4ff748f6,omegalul 
20.0,4a8210e846ec1acb384c3f5a7a8fb33c8f704c44,lulw 
20.0,97e712f1b5454438d3c48a2fba71cf7f71c66209,lulw 
20.0,6c4a8fbe3974b461f87a4011554caad0252e8544,4head 
21.0,b011760e59785559e9593a7c2bf8cfea9fdd7531,lulw 
21.0,328c53b2f25a6c4387edab47943ec356e45c0db4,d: lulw 
21.0,3eb5579ec95964d858cde4769f474a48309ab5a5,lulw 
21.0,1c93366bbc7409bffe9d771f8db1cd5e8169d542,lulw 
21.0,272a5a5656d2b0f6c713d63779cccc58bce71c9e,auto chess 
21.0,c896146e61af695beadb57680b76054e72ae6ea0,omegalul 
23.0,d5bd622fbf3ecdbb5369113180b8210a1d424ac3,lulw 
24.0,73f3676deebbd461ecce626b898340e47dc1d497,lulw 
24.0,8dd2dbeb8b81add473813231e96294f16da0f4c2,lulw 
24.0,35dda373d38cd427e9a20082e1cc00f55ca36fe6,lulw 
24.0,c3be444101b59e49df8356bbd345d21c226a2dbb,losers pov again pepehands 
25.0,97986c5dc339db6b2afaa796921873203504c283,mans not bald trihard 
25.0,d61757f51e46887138a2d627e11a72d6ff3a95c5,omegalul 
25.0,0833865e95c08c5056bc8be158062e51804b5e00,zoo wee mama thats an old reference 
25.0,0809c8cf5c93ce2b4de66868b7c59ef531db54e5,d: 
26.0,6c4a8fbe3974b461f87a4011554caad0252e8544,lulw 
27.0,c3be444101b59e49df8356bbd345d21c226a2dbb,losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands losers pov again pepehands 
27.0,53bb016c6da0410bd2db14275e24421c0d0f636e,its fake hair lul 
27.0,5fd2ca79acbf37c6be9c3ff2f4b307d56f521920,axe item pepelaugh 
