Time,User,Message
0.0,da4218d1b7217cbed0bdd18319f6e24f70b83784,oh sure than this will help 
40.0,01e3851bff660cae3afa8be662738359f708b171,hello mr danny arcade in the past known as coffeekid kappa 
56.0,278a0ab840c2174bcf8887d5e5b101759361f099,i think even foreigners could have those grammar-ish problems 
67.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,what helped me to speak english is biberbier and the people on wacken still some misstakes but its better now 
162.0,22ffd858d391d84e6441589a788ff727b871cc33,did you ever counted your wins or is there a way to check your overall wins uns pubg 64cb1b8ba6d0cee73592740a99b7e7774256a42d 
217.0,1d243e649ebe6be32a537380bf31e18d655cee2d,hello to all and im wishing u a good and wounderful holiday 
228.0,1623028d7e8cc80183b34057e205a8f0e5c05062,i've gotten better with english ever since i started rigorously insulting thousands of people while playing league of legends 
250.0,1623028d7e8cc80183b34057e205a8f0e5c05062,yes 
255.0,da4218d1b7217cbed0bdd18319f6e24f70b83784,my english was horrible at school and i could not say a word without thinking twice but this changed after a three week trip to us after you realize that you should just start talking without thinking to much it gets better and better fast 
258.0,1623028d7e8cc80183b34057e205a8f0e5c05062,fine tired 
268.0,1623028d7e8cc80183b34057e205a8f0e5c05062,you 
273.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,gotoooooo mkayhype mkayherz 
279.0,a44dd03db3a29527e812eb873f1a3e4d49b6c40e,name 
303.0,1d243e649ebe6be32a537380bf31e18d655cee2d,the english in school is crap 
333.0,22ffd858d391d84e6441589a788ff727b871cc33,thanks yes it's “pubg op” can i check you stats if yes what's your gamertag 64cb1b8ba6d0cee73592740a99b7e7774256a42d 
335.0,59ff6aa50e34788d883446d67c721855f483e811,where are you from 
353.0,384fd0e79d32f476d619a932dc0a7ef8383d535a,its like the drivers license 
370.0,f83faa2f5e7bd6d48266afdd1ac86adfd9b5239d,i watch jimmy fallon tonight that helps me a lot 
383.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,did you change your ingame nick dan 
395.0,e6e3e39424f518f42902d756d6f32bc4b3c1d830,moin bin ich hir richtig bein dann dach du mast deusch 
401.0,384fd0e79d32f476d619a932dc0a7ef8383d535a,you have to learn on your own by keep driving then 
408.0,59ff6aa50e34788d883446d67c721855f483e811,denmark just home from work today i have an offday because i am sick 
408.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,name e6e3e39424f518f42902d756d6f32bc4b3c1d830 
427.0,1d243e649ebe6be32a537380bf31e18d655cee2d,its not the fault of the teachers not always^^ but the curriculum what they have to teach will u never prepare for life i had french and i only know the word baguette already :d 
443.0,1623028d7e8cc80183b34057e205a8f0e5c05062,overthinking too much doesn't really make sense does it since overthinking as a term is the exaggeration in itself 
463.0,1623028d7e8cc80183b34057e205a8f0e5c05062,and i just realized i have terrible delay 
479.0,1623028d7e8cc80183b34057e205a8f0e5c05062,it's alright 
484.0,1623028d7e8cc80183b34057e205a8f0e5c05062,i like to be a smartass 
488.0,1623028d7e8cc80183b34057e205a8f0e5c05062,:) 
497.0,59ff6aa50e34788d883446d67c721855f483e811,odense fyn 
538.0,59ff6aa50e34788d883446d67c721855f483e811,huh :grinning_face_with_sweat: 
557.0,f83faa2f5e7bd6d48266afdd1ac86adfd9b5239d,denmark is beautiful kopenhagen as well 
582.0,e6e3e39424f518f42902d756d6f32bc4b3c1d830,ok schade das er eng macht aber k ich bleibe auch wen ich so gut wie nigx verstehe dann wir mich nict mher los xd 
585.0,1d243e649ebe6be32a537380bf31e18d655cee2d,double vector^^ 
611.0,23b09cf61213037ca91f0c76e17c0ea386ec75b1,moin moin 
615.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,e6e3e39424f518f42902d756d6f32bc4b3c1d830 vlt lernst du so ein wenig inzhmm 
624.0,1cf0e5029e287501e93e58e7d7945a37998d35a4,not bad the zone 
634.0,e6e3e39424f518f42902d756d6f32bc4b3c1d830,fieleicht 
655.0,22ffd858d391d84e6441589a788ff727b871cc33,do you mean rømø 64cb1b8ba6d0cee73592740a99b7e7774256a42d 
656.0,0f5737cd2d748d9af62e1585c48950209db71217,romö its close to fanö no 
662.0,f83faa2f5e7bd6d48266afdd1ac86adfd9b5239d,or german kappa 
674.0,59ff6aa50e34788d883446d67c721855f483e811,do you ever play with randoms :-) there is fyn - sjælland - jylland 
687.0,59ff6aa50e34788d883446d67c721855f483e811,ahhhh 
705.0,59ff6aa50e34788d883446d67c721855f483e811,rømø is a very nice place 
757.0,59ff6aa50e34788d883446d67c721855f483e811,you need to make the preasure on the first ø 
761.0,1d243e649ebe6be32a537380bf31e18d655cee2d,dan u activated the xmp profile in the bios 64cb1b8ba6d0cee73592740a99b7e7774256a42d 
765.0,22ffd858d391d84e6441589a788ff727b871cc33,this island is amazing one of the quietest places near germany 64cb1b8ba6d0cee73592740a99b7e7774256a42d 
771.0,278a0ab840c2174bcf8887d5e5b101759361f099,when i look up röm i see cities ? like toftum and havneby 
817.0,22ffd858d391d84e6441589a788ff727b871cc33,that's right 278a0ab840c2174bcf8887d5e5b101759361f099 
824.0,59ff6aa50e34788d883446d67c721855f483e811,its okay hard to explain :grinning_face_with_sweat: 
837.0,38a11eb03fa08e82b7096c74011d702cb9736a55,jetzt versucht er such nich dänisch zu sprechen multi dan :winking_face: :thumbs_up: 
839.0,1d243e649ebe6be32a537380bf31e18d655cee2d,u have the feeling that the cooler are a little bit louder after activation 64cb1b8ba6d0cee73592740a99b7e7774256a42d 
843.0,22ffd858d391d84e6441589a788ff727b871cc33,did you played the ghost recon beta 64cb1b8ba6d0cee73592740a99b7e7774256a42d 
866.0,1623028d7e8cc80183b34057e205a8f0e5c05062,i did :d 
873.0,1623028d7e8cc80183b34057e205a8f0e5c05062,i'm playing it right now 
876.0,1623028d7e8cc80183b34057e205a8f0e5c05062,i love it 
907.0,1623028d7e8cc80183b34057e205a8f0e5c05062,i played the technical test the closed beta the open beta and i paid 100 bucks to play it 3 days early 
911.0,1623028d7e8cc80183b34057e205a8f0e5c05062,i'm completely addicted 
915.0,59ff6aa50e34788d883446d67c721855f483e811,now i wanna play pubg :loudly_crying_face: 
925.0,1d243e649ebe6be32a537380bf31e18d655cee2d,ok thx i m thinking i have to look for the controlling of cooler in bios or so 64cb1b8ba6d0cee73592740a99b7e7774256a42d 
962.0,1623028d7e8cc80183b34057e205a8f0e5c05062,hm 
1030.0,e36b8527e94a73a23ddbad7ee704eb652c645602,kaffeekind juhuuuu nur noch englische streams kannst auch auf englisch antworten ; :d 
1044.0,f83faa2f5e7bd6d48266afdd1ac86adfd9b5239d,you are ill 
1098.0,50240b2d03c83751719431c211afde63215bc313,sprichst du nur noch englisch in deinen streams 
1101.0,e36b8527e94a73a23ddbad7ee704eb652c645602,kündigst du deutsche streams auf twitter an 
1144.0,59ff6aa50e34788d883446d67c721855f483e811,do you ever play pubg with us 
1145.0,e36b8527e94a73a23ddbad7ee704eb652c645602,ight imma head in :) 
1155.0,1623028d7e8cc80183b34057e205a8f0e5c05062,gotta correct you there anime is singular and plural 
1162.0,50240b2d03c83751719431c211afde63215bc313,okay schade 
1248.0,1623028d7e8cc80183b34057e205a8f0e5c05062,oh i am one 
1249.0,71c59bd6a41c0a9a5d53fd577c928683b031a6b7,can't please everyone 
1249.0,278a0ab840c2174bcf8887d5e5b101759361f099,how much is dan into anime did he watch 200+ anime like me 
1254.0,1623028d7e8cc80183b34057e205a8f0e5c05062,full-blooded weeb 
1256.0,2059e4612e82e20fb392fc32d9031c4c0476c541,ayaya 
1262.0,59ff6aa50e34788d883446d67c721855f483e811,ahh okay thats alright just need a decent partner for pubg 
1276.0,f83faa2f5e7bd6d48266afdd1ac86adfd9b5239d,i like english cause die sprache geht so leicht von den lippen :d 
1285.0,278a0ab840c2174bcf8887d5e5b101759361f099,vengi darchi 
1298.0,f86085ed85cf6e9656e067964af4e5affe0b26f2,oh warum jetzt englisch 
1309.0,1d243e649ebe6be32a537380bf31e18d655cee2d,name 
1325.0,1623028d7e8cc80183b34057e205a8f0e5c05062,i'm gonna head out and play breakpoint dan see ya around have a good one 
1362.0,f86085ed85cf6e9656e067964af4e5affe0b26f2,staiyms 
1468.0,4a660099a9ddd91b3b86215d4090ae04ff56064d,moin zsammen ; 
1469.0,71c59bd6a41c0a9a5d53fd577c928683b031a6b7,why no more german 
1476.0,f40ef506fdc736ec1a5ae27902958a3e075dd37a,name 
1556.0,b3afccace3ccebbd3ebd0d3c892608465a4bde95,wait the coffee kid? pownygeil 
1583.0,71c59bd6a41c0a9a5d53fd577c928683b031a6b7,is your fan base mostly german 
1591.0,278a0ab840c2174bcf8887d5e5b101759361f099,yep 
1634.0,4a660099a9ddd91b3b86215d4090ae04ff56064d,was ist dieses german xd 
1688.0,278a0ab840c2174bcf8887d5e5b101759361f099,ghillie with active camouflage would be nice to have :d 
1715.0,71c59bd6a41c0a9a5d53fd577c928683b031a6b7,is english a second language to the german population 
1743.0,278a0ab840c2174bcf8887d5e5b101759361f099,mostly yes 
1758.0,2059e4612e82e20fb392fc32d9031c4c0476c541,vector would have pulverised him 
1771.0,2059e4612e82e20fb392fc32d9031c4c0476c541,omg that's 3rd person cancer 
1780.0,2059e4612e82e20fb392fc32d9031c4c0476c541,waiting in bushes like that lul 
1784.0,4a660099a9ddd91b3b86215d4090ae04ff56064d,278a0ab840c2174bcf8887d5e5b101759361f099 a normal ghilie suit would be nice to have i don't have one ingame 
1799.0,59ff6aa50e34788d883446d67c721855f483e811,ty for stream see you around danny 
1807.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,locketeer i´ve got one at home lul 
1823.0,71c59bd6a41c0a9a5d53fd577c928683b031a6b7,your english is very good are you not comfortable with your status 
1975.0,4a660099a9ddd91b3b86215d4090ae04ff56064d,4ac400203b5a940eb0bbeff44a954f0ef5337df1 maybe you can do a 3d scan of it and send it to me and i implement it in the game xd 
2161.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,locketeer well i think bluehole isnt fine with this 
2263.0,4a660099a9ddd91b3b86215d4090ae04ff56064d,4ac400203b5a940eb0bbeff44a954f0ef5337df1 damn it 
2322.0,278a0ab840c2174bcf8887d5e5b101759361f099,my english is good as well but sometimes its like you know a word but it wouldn't come into your mind 
2439.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,admiralparis i know what you mean but i have this in german as well 
2441.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,wb dan 
2504.0,95dfc1994c4166ca5f93e6f261f60ea1e2760b63,name 
2548.0,4a660099a9ddd91b3b86215d4090ae04ff56064d,278a0ab840c2174bcf8887d5e5b101759361f099 sometimes i'm missing a word in german but i know it in english xd 
2593.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,thats the reason why mopped is a word in german 
2611.0,9820d426e5e8eb66be77d992a81e142de9fc1f10,good morning darcc darcm 
2649.0,4a660099a9ddd91b3b86215d4090ae04ff56064d,just the opposite way xd 
2656.0,0e946e34a10ccdf3c6c14f4df1e1ef294a497e25,good morning pokpikachu 
2670.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,dont forget the basements dan 
2680.0,0e946e34a10ccdf3c6c14f4df1e1ef294a497e25,i am good just woke up :d 
2686.0,0e946e34a10ccdf3c6c14f4df1e1ef294a497e25,what about you 
2765.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,isn´t it how about you inzhmm 
2783.0,4a660099a9ddd91b3b86215d4090ae04ff56064d,64cb1b8ba6d0cee73592740a99b7e7774256a42d as a coffee addict what do you think about cold brewed coffee - i love it xd 
2784.0,0e946e34a10ccdf3c6c14f4df1e1ef294a497e25,never noticed these houses have basements :o 
2817.0,0e946e34a10ccdf3c6c14f4df1e1ef294a497e25,4ac400203b5a940eb0bbeff44a954f0ef5337df1 idk metsas 
2830.0,0e946e34a10ccdf3c6c14f4df1e1ef294a497e25,oh fair enough then :d 
2845.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,me too velingo that is why i am aksing 
2871.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,yep 
2894.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,you are the first english streamer i am watching to dan 
2930.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,if you had started in englisch i wouldn´´t watch you :d 
2990.0,762e3cb1dab51f53a11dbd37f3578e4fa27c3b1c,was das fürn game 
3008.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,game 
3030.0,24d257e25d23259ae02fdf9f21bc4963339ab358,first coherent thought today: wait whos that in my followed channels never heard of him second thought: hey wait i know this guy ^^ 
3040.0,278a0ab840c2174bcf8887d5e5b101759361f099,want some gingerbread i got some bahlsen contessa 
3055.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,jay this is tom selleck kappa 
3064.0,f2a9f734e8812f9127b3ebc14074b02a3e0ce7c8,hey dan greetings 
3088.0,24d257e25d23259ae02fdf9f21bc4963339ab358,tbh the voice helped more than the cam what happened to the beard 
3098.0,24d257e25d23259ae02fdf9f21bc4963339ab358,beard 
3104.0,24d257e25d23259ae02fdf9f21bc4963339ab358,welp was worth a try ^^ 
3112.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,movember 
3124.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,to early lul 
3230.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,run dan run dittopride 
3274.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,fml whats the name of the song you know wich one i mean 
3291.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,well biberfp 
3298.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,it fits perfectly 
3309.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,yes woodkid 
3325.0,92924346cec304baee9a7ffb1e2d8de1e694a0fd,yup woodkid 
3328.0,278a0ab840c2174bcf8887d5e5b101759361f099,what if dan got isekait into pubg 
3398.0,278a0ab840c2174bcf8887d5e5b101759361f099,isekai = transported into another world 
3423.0,278a0ab840c2174bcf8887d5e5b101759361f099,its a special anime genre 
3438.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,ahhh the biberbrosexpress is so freaking loud i think my ears are bleeding now 
3497.0,22851526c9a72d3a08ce2e586f05862ec447f3a3,glück auf de96cff417fd2e5fb9c1376992025a1a81a83492 happy up! :-p ;- 
3596.0,db06a0ff0a756c3f6f992e9203c1f82181b92335,hey my friend 
3708.0,a86021f0e92c65967423c9931a5e25a91053efd5,spielst du nur pubg 
3775.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,nice shot 
3795.0,2eb959241bd71f6290de1911f7752d1b39af16c8,pixel 
3797.0,f83faa2f5e7bd6d48266afdd1ac86adfd9b5239d,have a good one byebye 
3806.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,lul 
3830.0,db06a0ff0a756c3f6f992e9203c1f82181b92335,who is it in the background 
3833.0,92924346cec304baee9a7ffb1e2d8de1e694a0fd,roadkill 
3844.0,4ac400203b5a940eb0bbeff44a954f0ef5337df1,thx for the stream dan have a nice game and pet j from me 
3847.0,525bf045465d0b6e9a4d6e0a0f32de082eb88f9e,wo hast du diese uhr aufem deinem rechner her 
3850.0,a86021f0e92c65967423c9931a5e25a91053efd5,schöner bart 
3854.0,278a0ab840c2174bcf8887d5e5b101759361f099,clock 
3857.0,db06a0ff0a756c3f6f992e9203c1f82181b92335,was is das für ne coole led anzeige au fdeinem rechner 
3858.0,92924346cec304baee9a7ffb1e2d8de1e694a0fd,see ya dude 
3877.0,2eb959241bd71f6290de1911f7752d1b39af16c8,pixel 
3881.0,92924346cec304baee9a7ffb1e2d8de1e694a0fd,gotta work tomorrow lul 
3887.0,92924346cec304baee9a7ffb1e2d8de1e694a0fd,:d 
