Time,User,Message
0.0,376113272debb0b505db46341e8eea2f7626f815,pokiwk 
0.0,250b59187f90fd23ccc1d48e7895cb4b875da782,64d4877254593117248e9f5e5fdd4ced401537bd plz dont be synderen i hate that guy 
3.0,4ab376ee48cf23ae3881d6166733af9bf0920a69,np 
5.0,4e6e4eff7c49c3c778165167e4796ffc551ced9e,5 rubick pepew 
6.0,8d48408ef4b0c24b939946fafbe55d234a020941,peped 
6.0,caa12e033d42862545dc57bf00e05d53402211c2,whats your y in dota2 bro 
11.0,efd9bbda762399b38990af67d8b3c741776947a9,250b59187f90fd23ccc1d48e7895cb4b875da782 yo come on he's a nice guy 
11.0,0995730d144e7412b1afe8cedf9c7118c74184c7,pete 
15.0,985e3244a273ac227eb1b8a5ea6922f2290a9714,250b59187f90fd23ccc1d48e7895cb4b875da782 who hates synd 
15.0,6437c965b617b83013a105b2988db518f7e8ceec,4d56e15964989d7ab0c5086b88c6b0f3a2dfac6c lul 
16.0,0e4932bb7afcec4ae773a3994ef09db776ed7e62,64d4877254593117248e9f5e5fdd4ced401537bd yo how do i become a good support 
17.0,376113272debb0b505db46341e8eea2f7626f815,ban gorgc viewers and eucucks pepecool 
18.0,de3594b55a69701708c77736759ec3bcef144981,64d4877254593117248e9f5e5fdd4ced401537bd buddy you don't need to read all the stupid questions 
25.0,e693ebc6e15a1bd54116c6bf814ad39c5760c861,64d4877254593117248e9f5e5fdd4ced401537bd how is he not cutting at this point 
27.0,efd9bbda762399b38990af67d8b3c741776947a9,efa844835204904629c80805ef84b2baa88f9220 also if you are going to flame someone make sure you say im a nice guy but before it 
40.0,280dcc106b346ce73aa531524b2725582333755a,midas mode was a meme tournament synd's stack played it like it was fucking ti quals tryharding so much 
45.0,5c3a9856bb3a6dca288b78526f29bce466129f5e,medals 
53.0,5c3a9856bb3a6dca288b78526f29bce466129f5e,gm 
54.0,4d56e15964989d7ab0c5086b88c6b0f3a2dfac6c,babyrage 
57.0,8d48408ef4b0c24b939946fafbe55d234a020941,reeeeee 
57.0,efd9bbda762399b38990af67d8b3c741776947a9,typical 5pos rubick feeding 
58.0,07b92339236421cf6f96452811f63be00ab7801a,babyrage 
62.0,ae37ae06b66d435484be776b4b46affb3c58e5f7,gbaiteed 
65.0,efd9bbda762399b38990af67d8b3c741776947a9,tiny knew 
74.0,8980fbb99ec3eb1bfb8331e4d2972d9acf324870,efd9bbda762399b38990af67d8b3c741776947a9 lmao 
75.0,5a7f65374270f7bb6a0496f397044d9d1f4f21db,hahahah 
78.0,376113272debb0b505db46341e8eea2f7626f815,jubei gonna call him a psycho 
81.0,8a38343c3b5b9a7aa75929acb236dff876295237,uptime 
81.0,8d48408ef4b0c24b939946fafbe55d234a020941,he missed his q pepelaugh 
83.0,6ca846d09edd8b802e73282d45e82ec14d3209a9,fucks happening 
86.0,04c2e777f2ac5bdb094e1eb3d46d055102994e83,pog 
86.0,07b92339236421cf6f96452811f63be00ab7801a,pog mango 
90.0,ff75f12a415d22d116e48a75aea5863167630856,toxic streamer d: 
91.0,250b59187f90fd23ccc1d48e7895cb4b875da782,985e3244a273ac227eb1b8a5ea6922f2290a9714 who doesnt hate the way he talks/sounds 
97.0,07b92339236421cf6f96452811f63be00ab7801a,outclicked by 5k kekw 
99.0,83c55064fdf956c3a3525d2045855fd274a4a903,malding 
101.0,4ab376ee48cf23ae3881d6166733af9bf0920a69,calmd own 
106.0,a3826484e369f8e53d830c90ce52d06aa4af6e26,kekw this game kekw 
110.0,376113272debb0b505db46341e8eea2f7626f815,break items and leave pepecool 
110.0,985e3244a273ac227eb1b8a5ea6922f2290a9714,250b59187f90fd23ccc1d48e7895cb4b875da782 thats a retarded reason to hate lmao 
112.0,7d19601051222249c984235cd01e11c744cb7e7a,tiny nickname kekw 
121.0,f871fa4d2c36dc6bc2a6c8a2fbfb3b7f40c58688,oh shit did he get hosted again 
124.0,985e3244a273ac227eb1b8a5ea6922f2290a9714,i mean if you hate lumi or ee for their voice i get it 
127.0,985e3244a273ac227eb1b8a5ea6922f2290a9714,but synd 
129.0,985e3244a273ac227eb1b8a5ea6922f2290a9714,cmon 
135.0,f1842b2eeaca3c61a9ef8b9e3ec50328d3594340,click click clicky clikier clickierer 
140.0,efd9bbda762399b38990af67d8b3c741776947a9,b9ad87873ac7db4ccea559149cda58612b44fd49 get hit by the tower nerd 
141.0,8980fbb99ec3eb1bfb8331e4d2972d9acf324870,monkeys hosted him 
144.0,6ca846d09edd8b802e73282d45e82ec14d3209a9,thata just racist then 
145.0,6437c965b617b83013a105b2988db518f7e8ceec,synd has the power to convince you to go for a play that's bad most of the time but when it says it it sounds like it's a sound decision 
150.0,efd9bbda762399b38990af67d8b3c741776947a9,2pts lift over arcane supremecy very cool 
156.0,f871fa4d2c36dc6bc2a6c8a2fbfb3b7f40c58688,u can only hate accented voices kekw 
158.0,38f7e58e9e950c94acdb34bb7c405a25c0ef7e84,i think the shop 
158.0,2dd107c0f52f2d2e2ff75a010436800e49139a0a,tiny's name call him out :( 
158.0,efd9bbda762399b38990af67d8b3c741776947a9,64d4877254593117248e9f5e5fdd4ced401537bd fucking salve store bro 
158.0,250b59187f90fd23ccc1d48e7895cb4b875da782,985e3244a273ac227eb1b8a5ea6922f2290a9714 then lets go with dislike to me its like janice from friends 
159.0,84144fcab50d5d601249de1747db4a26a241a81a,he is potion master 
159.0,ae37ae06b66d435484be776b4b46affb3c58e5f7,lol 6437c965b617b83013a105b2988db518f7e8ceec so true 
161.0,c163b54225f12dc685796581550adc7612dcd9b4,you can buy them for gold 
168.0,83c55064fdf956c3a3525d2045855fd274a4a903,they come from the shop 
170.0,20c5118b763f3297b3024e419823d6c4f10a61a2,ls free farming lul 
172.0,203af7b5bba5295969520aedb35d277dc2d0f86c,c163b54225f12dc685796581550adc7612dcd9b4 lul 
176.0,4e6e4eff7c49c3c778165167e4796ffc551ced9e,openai 
179.0,985e3244a273ac227eb1b8a5ea6922f2290a9714,250b59187f90fd23ccc1d48e7895cb4b875da782 no clue who that is lul 
181.0,323e6fce219ba5cf8a8fd814b00370ea30bd754d,didnt you read patchnotes you can buy salve in sideshop now :) 64d4877254593117248e9f5e5fdd4ced401537bd 
183.0,985e3244a273ac227eb1b8a5ea6922f2290a9714,but i feel you 
184.0,fc205419e01a5b03363517f8b29091d0ab06cae6,this is an axe losing lane 
185.0,71685969759bd08a0fec01aaa8122a1410d4b8a6,so much action 
193.0,f6de9376398ef3bebb900ea85d57e0dddc8eb7e2,lmao 
198.0,6ca846d09edd8b802e73282d45e82ec14d3209a9,why tf lesh is btm lul 
199.0,985e3244a273ac227eb1b8a5ea6922f2290a9714,helenalive hates him too so you got a friend there 
200.0,8d48408ef4b0c24b939946fafbe55d234a020941,pepelaugh 
200.0,a95d9c9740fb4ef723d600b297d6ccb17574c4bd,pog 
200.0,decb59ae98f61b423d0dfdf826023c1ecf7bfd3f,what are these rotations 
201.0,880d5a4388bdb4b5018f7c6032118c9f53c55e87,clown fiesta 
204.0,ff4d04d9e05ba9dd41068042e5b7681bb1b2042b,ez trilane 
208.0,a3826484e369f8e53d830c90ce52d06aa4af6e26,kekw winning 
209.0,9498bacf76499fd34df2d669e4986a3821182829,gamers 
210.0,4e6e4eff7c49c3c778165167e4796ffc551ced9e,this games gone off the rails 
212.0,b6c8b727569cc19928adb0c948b6af220a7ccce6,wtf lmao they are mental 
215.0,20c5118b763f3297b3024e419823d6c4f10a61a2,no one top lul 
216.0,5bf5383df49b0f1a8132bc2ea00b52dbc1d33c56,jebaited 
217.0,8d48408ef4b0c24b939946fafbe55d234a020941,pog 
217.0,5bf5383df49b0f1a8132bc2ea00b52dbc1d33c56,jebaited 
225.0,250b59187f90fd23ccc1d48e7895cb4b875da782,985e3244a273ac227eb1b8a5ea6922f2290a9714 a side character know to have a really annoying voice 
228.0,0e4932bb7afcec4ae773a3994ef09db776ed7e62,why do you not get the arcane aura 
229.0,784c73751412e3b6dec3742d9bf26ed19c722c25,kekw 
229.0,0995730d144e7412b1afe8cedf9c7118c74184c7,do you like playing dark willow 4 
229.0,ecc6f514ff04fc51ebb500ffc59c654f26020527,np 
234.0,8980fbb99ec3eb1bfb8331e4d2972d9acf324870,team is really good pogchamp 
237.0,69536e8a7979247284ba9c1b5645a841c2df719c,efd9bbda762399b38990af67d8b3c741776947a9 feelsweirdman 
238.0,83c55064fdf956c3a3525d2045855fd274a4a903,efd9bbda762399b38990af67d8b3c741776947a9 lul 
241.0,376113272debb0b505db46341e8eea2f7626f815,pepew 
241.0,07b92339236421cf6f96452811f63be00ab7801a,64d4877254593117248e9f5e5fdd4ced401537bd why didnt you get the third spell 
242.0,8d48408ef4b0c24b939946fafbe55d234a020941,efd9bbda762399b38990af67d8b3c741776947a9 pepew 
246.0,a77ae15dbbf2d4fa7196742c90e4f83179e068fb,when game is going full retard you can only go with it if you start going against it if you start going half retard you're fucking done for 
247.0,efd9bbda762399b38990af67d8b3c741776947a9,what the fuck 
256.0,efd9bbda762399b38990af67d8b3c741776947a9,trying to help 64d4877254593117248e9f5e5fdd4ced401537bd learn where salves come from getting called out 
258.0,4e6e4eff7c49c3c778165167e4796ffc551ced9e,weirdchamp 
259.0,376113272debb0b505db46341e8eea2f7626f815,very funny pepew 
263.0,83c55064fdf956c3a3525d2045855fd274a4a903,weirdchamp 
267.0,376113272debb0b505db46341e8eea2f7626f815,im fucking dying bro 
272.0,376113272debb0b505db46341e8eea2f7626f815,so funny 
276.0,203af7b5bba5295969520aedb35d277dc2d0f86c,weirdchamp 
277.0,376113272debb0b505db46341e8eea2f7626f815,pepew 
291.0,07b92339236421cf6f96452811f63be00ab7801a,64d4877254593117248e9f5e5fdd4ced401537bd but now you will have to wait until level 8 to get it 
293.0,efd9bbda762399b38990af67d8b3c741776947a9,i dont understand frog culture sir 
296.0,8980fbb99ec3eb1bfb8331e4d2972d9acf324870,jaysue is just trying to improve the new player experience and he's getting flamed feelsbadman 
