Time,User,Message
0.0,a834ca83781e6fb201d968ae936f19ddd638fdc9,last time i benched i think i did 40kg im focusing more on legs 
7.0,665e0f5cae49768732d1fa5871afaf07a72f7fde,o/ 
8.0,b71843dbb95f4241bc0284d755f665521598b7a2,o/ 
9.0,d37a84e0c41dc6136ed02422b22e973ac857a7a2,modded megabuilds 
9.0,4ab999ef72832cf4af2a5e97bcf93becbc5ddc03,o/ 
10.0,878f648c1cd31d67856040dfc95e8d6e0c9dff76,in before the shulker de spawned buttonwut 
10.0,7cd9453eb274f1780c4b72d579c42623240404b3,o/ buttonheart 
10.0,98c997a7d5ad07a9df588d7be9b6a2a19bd68cb2,have you seen the death of sips his 5th run god dammit lul pogchamp 
10.0,dc73811226ad36b445c9ee4f9e79788bf5aed728,o/ 
11.0,7aec2bf7229ef0aaeb644f863180fb9ca50e81d5,o/ 
11.0,fecff839ee5c89d2b4a835bfd6a7940ef9544b15,roohi 
11.0,4c13b43caf747978694db9771833b95df2e164e3,o/ 
12.0,5a8d53960239f9cec160e57cc0a1aca808befc5b,45c1279034a4f8a11eac521aa7629218cadbbdf7 that's a very very good point ill make sure to include that in the speech :) 
12.0,9119caa21a483151fa83db358186171fba3875c0,o/ 
12.0,8469ea39cd23895334833af0f609bea6c7d8e343,o/ 
13.0,4f21019e8ada1f1a8c259655fd1808e7b27cbbd8,o/ 
13.0,22fd1ee44a4d5e342773195e6e1ba5c7740073fa,o/ helloo 
14.0,618329af0b39390f411ede39f3d77c860ca00375,hello buddies 
14.0,460fe2c9a40daecc9e295b006fe4dcbf0bdeea1b,o/ 
14.0,73326f400daeab717ba4b680b11a1818276277a6,good hello 
15.0,20b66a5dce3e9944ccec33851ddf6637ee89f720,o/ 
15.0,2cfda837199164ac99b6a1035d3507338eae0a9f,o/ 
15.0,d37a84e0c41dc6136ed02422b22e973ac857a7a2,o/ 
15.0,7206f53aac83536a3bd39281b3814f3674d5aec4,o/ 
15.0,5a8d53960239f9cec160e57cc0a1aca808befc5b,o/ 
15.0,b0799207bfe894ccdbf5e11e46bf1646dea2a78d,how tall are you button 
15.0,4c95f95c2deb4da97d998dc4b5110ef8d947466b,no 
16.0,4f27a5ec2099ef0fd7a3131e402de17402dff180,wyldhey wyldhey wyldhey 
16.0,29654d6809ff371801d7e1ddbdc21ad5e5defe38,o/ 
16.0,6d7986e7bd59a32e11f860532d5d31915fb34ecd,start the fkin game bruh 
17.0,af6580b02b560c58606a4c72ac7eced0fd175d9d,bits are always more exciting than cash donos for some reason 
17.0,0e34b35568505cff4b9db5629b2fff3ee4923970,o/ 
17.0,9d411f59aa2ca8eb4f0852263c4108c05b639927,o/ 
17.0,b0799207bfe894ccdbf5e11e46bf1646dea2a78d,o/ 
17.0,504aa36bbccd2faa7044d0fc7f83aa9d489d245e,hello 
17.0,2a26205392e5d8602ccda27527c7043c0e5f4273,ello berton 
19.0,dfee8cb66893e234be97179ce29c83a9a800abd2,o/ 
19.0,56c13b05a893f14e149d135b642ccc3611fb098f,o/ 
19.0,5c175f17dbc22c6a6d2592ce1a3ba4c0000304dc,hello 
19.0,85a2cccc6d465204a0b30d9e294cae939a465843,haloo 
19.0,765fae10cbdcf7b5179fd0fcf7b5a3031eda5615,o/ 
20.0,fba6553291f77a3c9601cc7f3e5a593629d53221,o/ 
20.0,7bbe643a07b2406bef4f415f44632ba3c0b26da1,o/ 
20.0,878f648c1cd31d67856040dfc95e8d6e0c9dff76,o/ 
22.0,8469ea39cd23895334833af0f609bea6c7d8e343,0/ 
22.0,3e70d86e6fbfa570ba54a9667d6fa60c255b1126,nmbwave 
23.0,0d11dc717d8f8bcd7501dca8218c02cb7bd0ac22,o/ hello 
23.0,ec25da57a3557f29e7c966ed4da5d7645e77d1d2,hello guys 
24.0,f213b77941ea179be72a6a3d22f2fcac0888007c,heeeeellllllllllooooooooooooo 
24.0,6d7986e7bd59a32e11f860532d5d31915fb34ecd,o/ 
25.0,a3142bcd2e79c05abb1f0857d5864a19385efe08,buttonwave buttonwave 
27.0,d9ec051f67d9790264d3c125bbf5d3ee4d593c8c,hello button 
28.0,106cff4472e208b18c5de839a3c8215fb4cf8ca4,o/ 
28.0,6f5c82962f543a6e19bbbbb9b58abdaaf0ccc060,koncha 
29.0,1892da253419ae70e8dcc0b3858fb9009a8f209a,o/ 
30.0,ceb3ced456ac3c9d856865ff025937eac940fcf6,i hope you're proud of yourself button - i feel like gyms are often so focused on the next mile marker they don't celebrate your current achievements enough 
30.0,852f916137a115432ae3eb9dfc04bcca6afc5783,o/ 
30.0,56a5c2c91d9cc9674a53d16f4c21a4d126920b04,o/ 
30.0,0efa4dca95f191a322640344a27d1930e577870b,hello 
32.0,1892da253419ae70e8dcc0b3858fb9009a8f209a,skiwiwave 
32.0,6d7986e7bd59a32e11f860532d5d31915fb34ecd,helloooooo 
32.0,04b178f6053e2438d2527545a47fa979103460ef,o/ 
33.0,b1d309edc96d6a7f55ef113db7a0e9dbae9cac1d,hey 
33.0,fecff839ee5c89d2b4a835bfd6a7940ef9544b15,buttonhi emote when roohi 
34.0,9d3fce483b5870b24f1656eec43b1e0d6fed54dd,o/ 
34.0,83b27d4f26f996c1520287a84b2cfd5705dbb9a0,o/ hello 
34.0,74ff9a5f0ab50dad3e19f47a06b64d88cb03360c,buttonhug buttonhug buttonhug 
34.0,7d05af8586fa9b4d5f43ef2a18b6ddbfd34f43bd,hello 
