Time,User,Message
0.0,c9e885620df3874e185febc49656438a6977b9a7,can't we just tallllk 
1.0,85122855c6107e24cb155be381df5a7bc0667f89,marcellllll 
1.0,901a1dbfef7fa3dfa77bf003a030423d88fedfe5,that 2k :microphone: 
1.0,2c71787985c7a0fc6821655ff313c956c4705315,omg please your voice :9 
2.0,efc5ed3e3a1f00dac532a087e0fa386e3df48c48,i love you 
3.0,1bbcd990f572325aaa6aa870c0a36ba0b1ee9c2b,who hosted you 
4.0,4e04c96c8b5fe9774c55c9fd076e8dd07413c8e3,marcel 
4.0,695512d6fa419bce1114186fc4c6ab1e391de2b2,sing it 
5.0,5bf4297eb52564f98bcfd3c32890d8ad01e2d07b,where is jack when u need him kappa 
5.0,16412dae0a0c9fec36a94711d3a841fcda253644,bye fisher community 
5.0,2de3a195e4a629e43e74b3f42dbb963e0ef91a14,marcellll 
5.0,2903350103dcb8872ebcb4d172b775a75badcd15,my brother is trying to make it streaming and he can really use a shout out his twitch name is rayelelel he has really good energy and deserves it 
6.0,083558bcc1c479b74cb550979001532fa64f0ac6,fuccc yes mane 
7.0,bf50a428b34131d0b254945741d8d304515e1a6d,did u get hosted 
7.0,b8c308a561ad1ec43e0ccc808b09cc0e0e89f312,curselit curselit curselit curselit curselit curselit curselit curselit curselit 
7.0,246bbbfff9d0085d3c767df2a5fe2574daab7819,uh s0meone can sing 
8.0,2c22dca0513be36b6b36103fb3d5af4aa9c3847c,fishfamlove welcome back slogro fishfampuggers 
8.0,52bacf8e5fa5092a6bca803b2ed04e59e3175e2e,damnnnn 
8.0,e5133655fa55105aeead49777208f4273beb6248,fireeee 
9.0,6e4c024a3f68637393c0dd9b2d1f134248c66ca2,peen squaad 
10.0,dfc69517d095fb6d864b66afe19999df337f1b88,yo that was so good 
12.0,20f3b1f50ddbd7a158856ca1ac58c2e32b9e518d,united 
12.0,57e1ba5da7992bbe2ccb0744520f203a14ffdc6c,yaaaaasssss 
12.0,f01d71de982c69edb22e588e661f26698057d865,pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp 
13.0,dd777d740087983b73b4cb4682502dfc7d5f5414,why ur game look so pretty 
13.0,78ed99d04697a8da61735d66fd3b4e2902046ae3,cloak3 cloak4 
14.0,f09a0128a7e6437c6286283520cedebc721d3a83,skratta dü forlorar dü 
14.0,88c3ec9e382046279ee5b99bb64fad4858c026a2,maaaaarceeeellll 
14.0,7bcbcad58fd485ad3105509cfab05e878b0f36d6,vocals r hot 
15.0,9aeaf0dd02db3fda63a90d34c10042b4ca0a7b26,sing for us 
15.0,4e04c96c8b5fe9774c55c9fd076e8dd07413c8e3,marceellllllllllllllll 
15.0,308f5e72524ada13d55dc771fc66b8c09c214969,f2f71a70c5af16417eb54c0570ce348f035e367b slo 
16.0,a2a3a68eae39e49bce84bc48e7d2b06fe73b3f4f,are you in liv and maddie 66b31fba20ae5250c03158788a289ebe379f66a6 
16.0,be3395b48bbf254a76ff7ded31c6047c0d637413,you can walk with that dance\ 
16.0,70635825ce7b79d6670d36cae7ec6674d2e2938e,can we just talk :heart_suit: :heart_suit: 
17.0,dab6451abc86dd7f19003cb8aa7d42348c5a7c97,oh my lord his voice lupogasm lupogasm lupogasm lupogasm 
17.0,013de7b1c793fe966ed3dbda66cb8f2b2cc345d3,ayee 
