Time,User,Message
0.0,4b3d041a9155d260a7753c47ccd2c2f2bbdc22c3,it's not in one sitting if you stand up at least once anneactually 
4.0,80eef8c8e1f61127a044381f6e54dbe63356bd36,actual tattoo or fake 
8.0,33335a78b22d09654d6fe1da66436761c609e8f3,that's such a big bag annelol 
10.0,46e499d0493fb09794b7e00d69b374156836e1c7,tattoos 
12.0,76b27109ac4e54dc962ece819011ae9931d0ad69,chips 
13.0,5b7f19480a9191e51a1ea8b213fdd293ba9e51f2,thats a giant bag annes 
14.0,5d5c13e9a3a217fea1a530a0dacba4a51b160045,omg fucking love cheddar and sour cream 
15.0,88a419ab41940a97910a79c5539d974997add031,theres no such thing as too many snacks tho 
15.0,a97c3bac32d406b31d9ee4c1c5a62c3c67cdd9bc,lirikobese 
16.0,4b3d041a9155d260a7753c47ccd2c2f2bbdc22c3,old chips annes 
16.0,07e6c84966458a6935058bc5afa524f44ebf235d,feelsbadman clap 
17.0,54516bbf09974c31b10a519d62dc1de8d17b305a,chedder and sour cream annegremlin 
20.0,1541052ac268f5b6b057a577fab747716102314a,beef jerky twerkcringe twerkcringe 
21.0,33335a78b22d09654d6fe1da66436761c609e8f3,wow d: 
22.0,f00d07f197f9e295bfcc89b7d16076a273b7ba0e,half of it is air 
22.0,164a91b376ad572cb6faa304865265dceb6d0325,d: 
24.0,07b354fd53ee941383146040dd446c9971a61268,anne is freaking out a tad 
25.0,07e6c84966458a6935058bc5afa524f44ebf235d,d: 
25.0,b036c3660045676dc1fd7f0f8774939c7b7fbf70,curselit 
25.0,4b3d041a9155d260a7753c47ccd2c2f2bbdc22c3,dash that's a normal size in america annes 
25.0,79e63fc4c2364aff01b6d01099ebe0dced7758c0,d: 
26.0,e63777a528f5555c66004f2d7fdf48efa5396d75,woah woah woah 
26.0,22a7254bfe721ec68782d027d2206337461202a2,now i want chips annewhy 
27.0,e76f44c84d5b15b4cbb2f5898fb2e8ba1bb103d3,ruffles 
28.0,62da0af6b03cb3f8ddbb70e2973638d87d11ecd3,i would pay a dumb amount of money to get ruffles here 
30.0,07e6c84966458a6935058bc5afa524f44ebf235d,rude d: 
30.0,e4631a1ac0399be9e099eadc7e5910712adbc331,rude rood 
30.0,76b27109ac4e54dc962ece819011ae9931d0ad69,d: 
31.0,88a419ab41940a97910a79c5539d974997add031,yummmmmmmmmm 
31.0,22a7254bfe721ec68782d027d2206337461202a2,she's right nerdy k3llysmug 
34.0,b036c3660045676dc1fd7f0f8774939c7b7fbf70,heck 
34.0,df50dafa9285a0391a7b6a91873331a7ee94a53e,biblethump biblethump biblethump 
38.0,234f662f41cbebb777b4e7f8637a1e1a4ca39b0f,charm 
38.0,33335a78b22d09654d6fe1da66436761c609e8f3,hude annepoint 
39.0,5d5c13e9a3a217fea1a530a0dacba4a51b160045,vocabulary pog 
40.0,3b03d382d886d7f72632221f028df346fada8471,guys im back home anneyay 
41.0,5b7f19480a9191e51a1ea8b213fdd293ba9e51f2,waz what annes thats the size of a monster truck annes 
46.0,88a419ab41940a97910a79c5539d974997add031,no u 
48.0,4b3d041a9155d260a7753c47ccd2c2f2bbdc22c3,wow i hate that fear-mongering annelol 
51.0,e63777a528f5555c66004f2d7fdf48efa5396d75,hude seagsmush 
56.0,319be5e5336a47ea18d264466a73086dd36b13d5,hi hude raecheer raelove 
56.0,5b7f19480a9191e51a1ea8b213fdd293ba9e51f2,stinkycheese resctoxic 
58.0,ffde7f31c92b17670f5027deb064171297990e77,stinkycheese 
58.0,07e6c84966458a6935058bc5afa524f44ebf235d,stinkycheese clap 
60.0,19a18905007b2f6a227b69ca355e7bd95c0372f9,stinkycheese 
61.0,22a7254bfe721ec68782d027d2206337461202a2,perriwinkle annechamp 
62.0,76b27109ac4e54dc962ece819011ae9931d0ad69,stinkycheese 
62.0,5d5c13e9a3a217fea1a530a0dacba4a51b160045,*she didnt like that* 
64.0,164a91b376ad572cb6faa304865265dceb6d0325,stinkycheese / 
65.0,22a7254bfe721ec68782d027d2206337461202a2,aylomn anne7 
66.0,3294be07bcc2f7c918b04a9698ccfe774d8a46dd,stinkycheese 
67.0,4b3d041a9155d260a7753c47ccd2c2f2bbdc22c3,dash it's not as big as it looks 
68.0,50150b5e0bbfa5de3b52f5fcc94171ab19041727,hude annelurk 
68.0,3ccf16dd2391cede059ff3827b5e91f3868cf35e,who is playing with anne 
69.0,f00d07f197f9e295bfcc89b7d16076a273b7ba0e,hey fromage stinkycheese 
70.0,33335a78b22d09654d6fe1da66436761c609e8f3,stinkycheese 
73.0,22a7254bfe721ec68782d027d2206337461202a2,briggs annelurk 
75.0,54d91b6b6cd33d948c5d349b5ee1f690bd823371,powerupl stinkycheese powerupr 
75.0,50150b5e0bbfa5de3b52f5fcc94171ab19041727,stinkycheese 
75.0,df50dafa9285a0391a7b6a91873331a7ee94a53e,stinkycheese stinkycheese 
76.0,54516bbf09974c31b10a519d62dc1de8d17b305a,fromage stinkycheese 
77.0,5b7f19480a9191e51a1ea8b213fdd293ba9e51f2,waz a normal sized bag here is the size of your head at most annes 
79.0,5d5c13e9a3a217fea1a530a0dacba4a51b160045,annegremlin 
79.0,06545a125f726ecd40be225567894769abfc0763,hi 
81.0,76b27109ac4e54dc962ece819011ae9931d0ad69,anneyay 
84.0,4b3d041a9155d260a7753c47ccd2c2f2bbdc22c3,hude anne7 
85.0,54516bbf09974c31b10a519d62dc1de8d17b305a,hude you're still here annechamp 
87.0,07b354fd53ee941383146040dd446c9971a61268,fromage 
88.0,909f9b913c19d5758d28d23e114efaaeb5724592,hi samsqulii anne7 
88.0,ffa27676ba7ebc2401f0c52cc45a3a9e39e15bc7,lol i love watching b71e96fc5a8ced7dcea465c0582d8e93aa3c4319 face when she tastes this stuff 
90.0,88a419ab41940a97910a79c5539d974997add031,stinkycheese 
91.0,22a7254bfe721ec68782d027d2206337461202a2,thatwazguy anne7 
91.0,4b3d041a9155d260a7753c47ccd2c2f2bbdc22c3,dash it's not that much bigger annes 
92.0,e6119935812028d2a673a087cb392a6c20ba8f84,hi 
93.0,54516bbf09974c31b10a519d62dc1de8d17b305a,rylea_b anne7 
98.0,54516bbf09974c31b10a519d62dc1de8d17b305a,lima_peperoni anne7 
98.0,22a7254bfe721ec68782d027d2206337461202a2,yess i'm mostly lurking k3llygiggle 
99.0,06545a125f726ecd40be225567894769abfc0763,hi 909f9b913c19d5758d28d23e114efaaeb5724592 
100.0,909f9b913c19d5758d28d23e114efaaeb5724592,hi lima_peperoni anne7 
101.0,54516bbf09974c31b10a519d62dc1de8d17b305a,anneburger anneburger anneburger anneburger 
102.0,76b27109ac4e54dc962ece819011ae9931d0ad69,annecop anneburger anneburger anneburger annek9 
