Time,User,Message
0.0,4c198c5c037844effb6bd5bf702ac9380c74e886,0a87d8b345da8ffd53c0ef4250f021bccca15888 play him lb 
1.0,a23500268832172b546ed74cea97e7ddf0b9e778,not even a walkout 
1.0,91f5afe1ba993a444f5cefa2dea5c15f68b91c92,kostic 
1.0,77686261e75f5a842443a13c4cc4eae7fe4cfa5b,schulz 
1.0,8ed5adc102b7da368bc581c5b5fd7a385f687483,only 1 schulz 
2.0,224c9b387e1691fdffb3870775f265a05fc82698,witsel 
2.0,a8992573f71063760164303cf21d30e4d27cc418,i got gnabry 
2.0,660ded102bf73e7db85fb8525686c18cbd9c215c,pavlenka 
2.0,a999b290be629f6fb3b6e9c2610e5408ba12b795,nothing 
2.0,498760f7fd4a5c9cc214d98b71e76eec8b94b56a,sancho x2 
2.0,6fe28be46e8b32b0ac15b6d8370bcc6da7f0bf5e,1 pack got kimmich 
3.0,9165bc5968c007cc21917c0fb45ce4bb075013e4,frankenstein 
3.0,d004438ec76e8bca777934cfc7ddaaf394bb2636,brandt 
3.0,3a7df0878e0428edb18a4a36732a5889c09a214e,rewards 
3.0,28729e0f159d09fd570c355bccc41aadcde0b4ad,fucking bender 
3.0,fd91a5c6d7ed38fa6b41cb6db93f07f07e31513d,gnabry 
4.0,dedc583af12e5e4124e7f28476c7e5c33e85b9d2,lewandowski 
4.0,4d078a9bb939f8754d36d350f79435ca07b2af3e,guys i got 98 reus 95 havertz and telles as my red picks l 
4.0,b42cffa7c1d6cf107030aa3c0c64e4b88036c71f,no one 
4.0,ae49fd7d19015e95626b6a73148553d33b1a42fc,jovic 
5.0,32e043512c16d8e22ee27336d3781c9db7bd1856,sommer 
5.0,6343f3728457bdbb64d46795b8d9e65959cd8bcd,trapp x2 and halstenberg 
5.0,f596ba4501a1426c560b1dadf5c1324eeec66b1c,kmple 
5.0,9ef81eafdfe429be32f01d528454fc34e99541f7,ronaldo 
6.0,b501342a337e422916d0cd7cfc70a470e7049f4b,no one 
6.0,e7ed43768b3804c0e0f9c5419ff918cc5d3800b4,pistol4rollout pistol4pistolpeters pistol4rollout pistol4pistolpeters 
6.0,b58ad158c80259babd2f2de64bf9bc0a9c9f5c82,da costa 
7.0,77d601264ca01f478e0f8fdc2debe870892c85d8,da costa 
7.0,11c0562de538eb00d5b1edc5d5906292badba9f1,84 javi martinez 
8.0,77686261e75f5a842443a13c4cc4eae7fe4cfa5b,4 
8.0,a321fb4bc27176cedb9d82e648a0a9f9c4e2a50a,pavlenka 
8.0,dedc583af12e5e4124e7f28476c7e5c33e85b9d2,lewandowski 
9.0,f960bf02fe3c0ed15810c9d0cbe13fa6659fe3bd,nothing 
9.0,efc88199afaa86f5ca419702e2c205f161a732a8,muller 
9.0,9e1fa3870dece0206a28e9782e33ec1e70e86638,kostic 
9.0,706a160c1e0644fd5a336e233d2b5cb42f9d62c1,gnabry 
9.0,7497f87a013cd1362eed141e1bbdeaa3703bc9df,i got alisson from the prem ones 
10.0,b16fa335e43c02bb415ee492cbde4b0fe36bdb8d,demibray 
10.0,5b54c68e569e40cf8aeafe0ab9a4cb87fd5de86b,maybe 10 
10.0,e469b0389e052b4c90677e05aa0e3e1260b1ae28,kostic 
10.0,f0eb3f66f74500f38a5777d086b54fe07e63fdcf,watched someone open 30 earlier and not get one walkout 
10.0,2a536e1721d1b39463c9dffd434b44e783fcc03a,volland 
10.0,b282d71e252f7fe901320b74821401651cc01a58,muller:rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: 
10.0,9b916f34114b0b8f9a7fc6640d16f49271ed8fd6,yo 
11.0,b48ab55b89c096cc4468167bac460ab846bec2fe,is tots gnabry good 
12.0,2abdbb2eb8ee0fee804c2b6ff0948ee603ea462c,kruse 
12.0,e3e2f47e58d1f8c3320bf8ebd4e8a5a656ddcb6c,halstenberg 
12.0,6fbbc579279ce05b7862a56e27b2ee4e3d081aa6,if you had to hide a giraffe where would you hide it 
12.0,06106a3a443681ff8b55e84c628b4fc5de133070,werner 
12.0,d630ec6f2325d6f6a9d6e68cc9375ff5e45ddd66,muller 
12.0,a9b924cac00f720081f00b637564899ebb8dc5de,kruse 
12.0,4f00eda268d54d19615cde0f3da82b0ecb15ab52,halstenberg 
13.0,b4cc2b5fe5d78dfa596c8a2883f191413978adff,no one 
13.0,a8992573f71063760164303cf21d30e4d27cc418,gnabry 
13.0,41d46e4f2145b51b83e9807d9a5a377950d14327,neuer 
13.0,dbbc02926ec449a5ca67a7259b28ac9b044a25c3,hummels 
13.0,c7abd0e6cd4d13f54d632d50edb2d6d305bde7d8,da cost 
14.0,50ffc4a15d2f16c8ea8f5d7db995fd32ff36e9ea,stindl 
14.0,5deb313c999ba4481bb4156576f517c67d46e2f3,havertz 
14.0,fd91a5c6d7ed38fa6b41cb6db93f07f07e31513d,opened 5 for gnabry 
14.0,1e4abaad4d1090f1b2fb9f0c73cb817d493bad6d,i got felipe 
14.0,f00ebed565df09108dcee5202d4d5ce14b5414e0,da costa 
14.0,4005784f75b08b730cda0d6d3676c378c74b1fda,thiago 
15.0,d85a22d415ca8dc6586f45e00fb079fdd393dff5,hradecky in 20 81+ 
15.0,070c90117cabbaf11860e7e4da4d1d321b92c237,kruse 
15.0,68169bca9a2143e4ddc0725746f05a85ccf2465a,two benders 
15.0,9ef81eafdfe429be32f01d528454fc34e99541f7,demirbay 
15.0,1789f445dc6ea6bc55fdbf9390e9938d5ee3b8c8,da costa 
15.0,389d2a9e940afd52f9ce8b6744ee2f961f3ee214,no one 
15.0,7f861cbe9ea0e1db7036674437196d612cf642ae,opened 1 and got witsel 
15.0,231a5190888f45231592ab340a3fd25d8132a3bb,kruse 
15.0,0adb2621161bf99b96cd68748d74227aeda69f3b,898f581d920824dd2a3857981b47d11396813075 wdym they were quality in the first half then just went to shambles after first goal by giroud 
15.0,4af5a8c81200e290e91ce7bad2dad3bc356264b4,is there packs better than 81+ 
15.0,9d91584d452feb46ba758a9e6ae4b4bd964d326d,neur 
16.0,076aa6b67d555fbef9a2062bf634a806ebc4b479,hi 
16.0,fd0e2117fe09d8fbbf23de3e7b4d80d027517865,schulz 
17.0,b266f9ba359c3fc3fd83f76c61db5dd08243d358,nothing 
17.0,b39cd1162d8aac0999c423f210ce4832f1117d0d,opened 3 
17.0,a3e58dd9ad31bf00ea9515648641c9ad7bb439ce,kampl 10 times da costa 5 times lul 
17.0,7f5d9ab973f84d43acf9c3d85bf072d9ac7ff1b2,witsel 
18.0,3c334fdf1751400bd937ffbe334110120fbc7f50,i opened 10 for kostic 
18.0,e01258aa786aa0bd07fd2f944d5bff85ea1f0bbf,hummels 
18.0,7433109dc11ee52f90bdb21138b334e9c402800a,da costa 
18.0,2a3a53aaff381c4f16c36fbaaa5cd5d663e21a5b,i get no one too 
18.0,bb0023538bd40162afe80aab139038cb023017ef,got sancho in 1st one 
19.0,5c8fa52ff27eb61e3c26ee44c4f46ddb16a9421d,my mate got lewandowski 
19.0,6bbf169d9b4cdd8eb4a432f0723c5794afdfb3e2,that 88 cm tots 
19.0,22183cda4d47795dcf856ad01e14554fbcc1ea4e,pistol pete sold his mums teeth for pack luck 
19.0,b323a735e6d18a53a3fb7cee6de3f470fc99d7ef,25 packs i got sule 
20.0,c7ba22f7deeffbdaed9c74aed52faef2610f3bc8,halstenberg 
20.0,47d7c9a1ca7d667862cf3928ae69b7a335d36bfc,6869376a9146faa58fd8daa07dc449e6d5eaaae1 tekk packed reus 
21.0,1a4b15171a23100ff5f5f759a02adcac8a8d479c,castro got a few didn't he in upgrade pack 
21.0,b0e946aed553d88fca1fc71a650c1742a3caf399,reus 
21.0,4dd3f68bea2e85d4923dc8ba2e033daadbaddafc,opened 3 upgrade packs and got sancho 
22.0,f732052e858c028649eaf7822d17767d91f553ab,akanji 
22.0,63b4060e25044cb3d5926e85105b4cb71facb177,addcom checkin make sure to check-in with the moderators if you are on the rewards list so they know you are present and ready :) 
23.0,b8708582858f4dcd5cae0a8f53cd28fcb22b4060,just got here have you done the red picks yet 
23.0,2a2635c9b57fd296adcaf91d29784796cb079156,got kimmich and acuna yay i can use one atleast 
23.0,0a87d8b345da8ffd53c0ef4250f021bccca15888,4c198c5c037844effb6bd5bf702ac9380c74e886 na i need a new cdm and his card is good enough to play cdm 
23.0,9ef81eafdfe429be32f01d528454fc34e99541f7,thiago 
24.0,56f9768264123efb22339e43528093c580cd1547,da costa and sommer in 5 packs lul 
24.0,6bbf169d9b4cdd8eb4a432f0723c5794afdfb3e2,i open 2 
25.0,4918eacacc85063fa60e0b338e9b9dad5b62bea3,reus 
25.0,507a37549138081329e5d526dabb26b4c297c371,bender 
25.0,b45f708850521cc532720727b1edc4d5b919abe7,trapp 
26.0,91d1fb1fdc46e37ecd46283f21bbb3aec0ff9a51,muller en 2x ribery 
26.0,19062c45cbcc2e5b241d718e4c4d16746b491e93,theilluminati theilluminati theilluminati theilluminati 
26.0,f8afe3a6c15b47e2af193b8da08a86a6d82ad812,f960bf02fe3c0ed15810c9d0cbe13fa6659fe3bd 112-115k for a 45k pack n28chins 
26.0,1296534538b879fb165a7017887f3c4aa2c877f1,muller 
28.0,86e5275c61ebe409eb29e60c118bf50462da213d,jovic 
28.0,1c0369d1bf55ddf3b4c612b4a6b07c3b94413092,ive not packed any this entire tots ive probably lost 200k of players 
28.0,e3e2f47e58d1f8c3320bf8ebd4e8a5a656ddcb6c,f for arsenal 
28.0,2abdbb2eb8ee0fee804c2b6ff0948ee603ea462c,tots kruse in th first one 
29.0,c52fad43957c47cc5908441fe4df1411c85e4df8,kostic 
29.0,a23500268832172b546ed74cea97e7ddf0b9e778,they shouldve done those 25k league packs 
29.0,81f704f2b271bdcf32dae880898f1d01604625a1,sancho gold 3 
30.0,7f4f4386d487d760cfc2e3b44c0d4008fbe53ab9,i made 20 83 was the highest 
30.0,4418e583304b9d89e8c4fbce95d2c3dc172a2891,telles 
31.0,24fe245febb99920f9e9ab0e0fecd7496db4aeac,danny da costa 
31.0,0218b31f3b0fdbfee585354ec704cf37c1bc60de,baumann 
31.0,14c04935d0398a6d7a0a1580c97b4c667ad59509,898f581d920824dd2a3857981b47d11396813075 tbf arsenal did dominate until the first goal then arsenal played like they was under wenger 
31.0,efe45c06fe6bb827badb5338a4c09f3d51cf90da,84 sule 
31.0,20f79d9dd1e71d5d8eb1a51eac318f2034255315,gnabry 
31.0,15365d6ceecb68af849d19550079353bf5b2a232,schulz kampl and kikimich 
31.0,7c3b11070c44e06d4a1a122a4ffef433bfaa75a6,1 
32.0,ac89933a988a9de133002336d44885116fc914c3,i got red trapp halstenberg and militia from elite 3 6869376a9146faa58fd8daa07dc449e6d5eaaae1 
32.0,c7af8b711141f7fe4f74e2b5dcbe564fe8c4d1ae,i've done 30 81+ no walkout 
32.0,4bca3557516cb0c7652ab29ec72ea335d6816009,probably palenka in my 10-15 packs 
32.0,1296534538b879fb165a7017887f3c4aa2c877f1,6869376a9146faa58fd8daa07dc449e6d5eaaae1 muller 
32.0,07a810d73c7992256f294a4b34d40a126fda3040,sommer and kostic back to back 
33.0,77686261e75f5a842443a13c4cc4eae7fe4cfa5b,i opned 4 got schulz 
33.0,cefaeabda587796af1b1470be08ff50a33d63b1e,trapp 1st one 
33.0,8a9d605e9b2dc9be366ba8365321b0ce9f72e042,jovic and hastenlburg from 6 
33.0,4f22d4ad250282b9109ef4c83159aa2a39d22195,reus 
34.0,231a5190888f45231592ab340a3fd25d8132a3bb,92 kruse 
