Time,User,Message
0.0,f57c2de05e4d8d4428a439dd070afc059273d236,rec down :( 
1.0,09e50932ed407bff8c2e07a74b1245ed3bc45434,in between afight press replay omg 
2.0,0c21a09b2131572465a6bff875c1e88e3d784977,oh 
2.0,94de13c422650268f56cb893261df2d39d56b6ce,ibiliq sambtyliquid ibiliq sambtyliquid ibiliq 
3.0,b0586dcaeaa56284e7b796b68ace5d5dd78e9ce7,replay with 5 teams left lul 
4.0,e4fb37112a3105d75339a068b5acce2a89b30241,these replays need to go 
5.0,6c8e0f11fc857472d0c37142a7678586ee48c514,liq nips 
5.0,d92479f2ae23f54dd5293d3ce7a2745a39a1cdd5,replay always bad timing 
5.0,a98a7ad393a70bbd73820c9d73c4906066ee074d,0kill seemsgood seemsgood 
8.0,f783c76d77abec3c2765e9dcc2cbc2f91c84160d,jesus who controls those replays?!? 
9.0,0f4cbe6e70a8369d5cf8da15c2f4739ccfda28ce,ttours ttours ttours ttours 
12.0,2273fe30547e25e34d7f42327e5134488ad3ff48,replay at this time wtf pr#duction 
12.0,1ad65ef8a64b87039f75da65168fee405a6c8489,this observer is something else 
14.0,2ecb2a063de54cd2262167c0502b4c6f97aab678,tl win 
14.0,e4fb37112a3105d75339a068b5acce2a89b30241,wtf r yall doing 
15.0,a9f765aaa72af2d81019f9a5521c74ae87eaf1a8,ibiliq ibiliq ibiliq ibiliq ibiliq 
16.0,df9ede25e9743865af231ba32a37a01773a6cd33,torsabraid 
16.0,fd38353adb2731aff57ce47feca4d4cf493c1338,liquid circle 
16.0,f57c2de05e4d8d4428a439dd070afc059273d236,ttours ttours ttours ttours 
17.0,be7fa0f13588aa3ac268c248c56b5aa16f462e99,ibiliq ibiliq ibiliq ibiliq ibiliq 
17.0,c67adfdaae8eb6b981b7ec1567f5f3af4da2c71a,team liquid run cobra strike 
21.0,d83efb512524b179957be74c0f0428f458a63ffe,yoink brkhmm brkhmm 
22.0,428cd7f598cced7a750bc8e5a4c320c10aa39cfc,da'ya kötü diyenler ne yaşamış acaba ya 
23.0,9851a93ef77ab3bdb04e13b8b2c05dd67ab08adf,vac 
29.0,6a0dacecdaf816f0c01717890c2255ae5fb5a4ed,lul still no kil for da lul 
31.0,94de13c422650268f56cb893261df2d39d56b6ce,ibipray ibiliq sambtyliquid ibiliq sambtyliquid ibiliq ibipray 
33.0,379552d7ad8dc51c0d84d3d43d48d17088c94e4a,ez4ence 
35.0,d25b272c67e900fd780dba53808bb4e925536ab9,da = champions club 
36.0,bc60e45212d85a9a73851612a573d6542552178e,cohhl da cohhl cohhl da cohhl cohhl da cohhl 
37.0,d83efb512524b179957be74c0f0428f458a63ffe,jmzn jmzn 
38.0,3e19fdef6554ad96e694845878b45453337b4f99,jimboo 
39.0,9fe7f789f03d31ba54ddca1cadc25a7bc591b84b,ttours 
39.0,9af0caee103125c203ff2d0c05a6638a8a23158f,so rec got eliminated while that dumb replay was showing lol 
40.0,ad669a010a1b148716dc2516fc8df8870ae8286a,liquid pogchamp 
41.0,7ea594ae47e9589616d30afc5d888e9259f4f31b,the second game was right but there was no gift code why 
41.0,d7d6dbda5a9267ada8c8b32b25955d20fcca23a7,nade god 
41.0,a97062380bc1a5e0af99d11bb1decc061b903fed,pogchamp pogchamp pogchamp 
42.0,1c1c82ecf66ef48c393a6bbaf49846393ba79e13,jmzn jmzc 
42.0,9321c360e5d08544e0f13e895eee3f7d4d50e896,jimbooo 
43.0,17ea6b3cc8f372fc7779f817c9460c883a0e6ffe,let's go da 
43.0,adc490f89d86e5e8d97c3c535df8e5495a965826,d83efb512524b179957be74c0f0428f458a63ffe james ibihi ibih 
44.0,393b054b2e3eed4ffe2ffd3c537ad0bf60a6d125,chocotnice chocotnice chocotnice chocotnice chocotnice chocotnice 
44.0,7941bfce7a4f39545149d2fb8c8e2d80820493d2,lul 
44.0,b6cdf61600fed3b073ac9b0e93ef8c699ef09dda,jmzn 
44.0,6f5cc2c29bcbcf773de1da7a8ece206946c8bb7d,pogchamp 
45.0,0a127be76a91eaf7e0780ef4525719beeec7ef8f,jmzn jmzn jmzn jmzg 
45.0,2ecb2a063de54cd2262167c0502b4c6f97aab678,jeemz kobe's 
45.0,9851a93ef77ab3bdb04e13b8b2c05dd67ab08adf,pogchamp pogchamp pogchamp 
46.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,yesss 
46.0,98c905259a9f849dd1f8c4c14bbf30d5a92ec552,pogchamp 
46.0,533cd4c3c7127114dc1edf2286eb5e1eeaf884a7,pk destroyed 
47.0,4dff010461a39008afcea52e508a837c8cf782f5,pogchamp 
48.0,a9f765aaa72af2d81019f9a5521c74ae87eaf1a8,ibil ibil ibil ibil 
48.0,7c07f2283754da59bb98420b1cf051e8432af937,ibiliq ibiliq ibiliq ibiliq ibiliq 
48.0,6576cb200d48aad1397ee8a5e9478b374ad887cc,pogchamp 
49.0,3e19fdef6554ad96e694845878b45453337b4f99,ibiliq sambtyliquid ibil ibigasm 
50.0,0c6b33f9f874f8c4e3719188f5ae14936625734a,sweep of the south 
50.0,94de13c422650268f56cb893261df2d39d56b6ce,ibiliq sambtyliquid ibiliq sambtyliquid ibiliq 
50.0,f62757814239a678f5f77f2277b9b792b3c80547,jmzw jmzw jmzg jmzg 
50.0,be7fa0f13588aa3ac268c248c56b5aa16f462e99,ibiliq ibiliq ibiliq ibiliq ibiliq 
51.0,096740d01b580154299e6f375d6072fc58a28c4e,ez 
51.0,139e8a476c856c59f37c7463a301e0a3cf080cf1,clean up time 
51.0,0b2c48d0c1436b707b1be22605730ab2221bc598,vamo liquid 
53.0,799c149f042670614efb8840b359b642528366f0,ibiliq ibiliq ibiliq ibiliq 
53.0,8559fdd2146a296cc59669f15158df4fce875d36,pogchamp 
53.0,37028cc7a43b9c7ff6d28b88102e2061f52d525a,pogchamp pogchamp pogchamp 
53.0,a2ce66600f843f472ecb44dd43053613b3c43204,ibiliq ibiliq ibiliq ibiliq ibiliq ibiliq 
53.0,2ea079f176918224f41ea5146c5fc76c3f423b88,literal nade god 
54.0,0f1bc71916d23f4a661568689bdffcc7bde09302,jmzc jmzc jmzc jmzc jmzc 
55.0,b972a2ac3cc2283c7ed7ac11f5ebf617eadef74e,animals pogchamp 
55.0,5da95aa4d78247db4ba44bf60f12946bd1e5c78c,mertgnda mertgnda mertgnda mertgnda mertgnda 
56.0,d83efb512524b179957be74c0f0428f458a63ffe,adc490f89d86e5e8d97c3c535df8e5495a965826 pog jmzh pogchamp 
56.0,393b054b2e3eed4ffe2ffd3c537ad0bf60a6d125,hahahahah 
57.0,7a4e72fab71457e7bf078dde8be0f6985d6fcb8c,holy nade 
57.0,39702d0bd4b8d9e7694b27acbe400e2fa7381d00,liquid is back 
57.0,94bbf68507670fae961932240d86bef2898950f9,ibiliq ibiliq ibiliq ibiliq ibiliq 
59.0,9fe7f789f03d31ba54ddca1cadc25a7bc591b84b,sprel sprel sprel sprel sprel sprel 
60.0,10412ef472789edeb0021a56ee803ee6cece8b05,ibiliq ibiliq ibiliq ibiliq ibiliq ibiliq 
61.0,d8630105cd736ff92ad9801e6f1869cecfb46c6f,liquid so good 
