Time,User,Message
0.0,110ed455cb565a5172853ced56b7c3d608d94945,probably like when you smack fire stones together 
1.0,4e70dcc0c972f2d2ac9d4c15bcef6e0f183824ca,you will make the iron farm soon so you wont need the iron since you'll be dead and all 
3.0,cd24c4abc22b1157694a67a4a3d1f714253607f3,sipsthink hmmm 
3.0,5e29ce175573f9a1c4660de77f7a52d136f13d34,hard dirt 
3.0,147a0c928a7ffc747c0c89edf420f4745bb0293d,twerkwut 
5.0,413a7f2d7c90282c9dcfb174990335d49236e325,you need some sort of farm for iron monkathink 
6.0,cbfa00f29c53adec46e323bf6bfa731da9fb1501,it smells like ass 
17.0,cade8bf3dd424457affcc1a583fcc073ccbba02a,smells like rocks 
19.0,110ed455cb565a5172853ced56b7c3d608d94945,lul 
20.0,5e29ce175573f9a1c4660de77f7a52d136f13d34,iron farm bad 
40.0,4f310df697702db1499fbc7feb5f884ac447727e,i hope theres a glass floor going on top 69ae3f1a9824eba59457a1505ea216972568a294 
42.0,057679106707af1ba1719ac7eeba8cd4c84fabc9,69ae3f1a9824eba59457a1505ea216972568a294 wht do you think smooth stone smells like 
43.0,c84723466b5b4255e7a7f00926ff781f30370298,22c414cd1bbd144102ac654ea562fe7b561565d4 dude you are gonna make me cry 
46.0,65c4b26d3a614325c751f2cb14bfa527b2f88219,69ae3f1a9824eba59457a1505ea216972568a294 were you a kraft dinner kid when you lived in canada 
46.0,09f6c23928f783874001a167570c9bc59a92a5dc,smells like team spirit 
47.0,11cc43dda321a29f073ead9d935deeed215cdef5,the big badaboom 
49.0,147a0c928a7ffc747c0c89edf420f4745bb0293d,twerkgasm twerkgasm twerkgasm twerkgasm 
50.0,88c43ebf07d7d86467886a962f90c40dc95e7638,smells like joe 
52.0,349bd155fdc1244b8ac17fb2735f6919066044ca,18 
56.0,0d93632c5d280d16cd0fa5c1c4de52e4c96cba0f,i have a piston for you 
61.0,12ec63691b602a58af00bdd4291a953bf01f3516,the glass floor looks great 
61.0,0150a37804cafe380d34c05959c470dd9ccd883c,who is joe 
68.0,c84723466b5b4255e7a7f00926ff781f30370298,joe mama 
69.0,3c2ba5506116c32b9ef251d550043e62f8c97509,who is joe 
71.0,af67f3b1125ea0fdeb9c6091f74bfa1ac53696ec,eww you piston it 
73.0,b4aa7ad0abe08b0aa5c71eaac3b0ef47b723e934,joe 
74.0,0d93632c5d280d16cd0fa5c1c4de52e4c96cba0f,gottem 
74.0,81ed6ab21190c85f8032581d77f0d52ffd5df5cf,why do canadians call it kraft dinner when we call it mac and cheese 
80.0,975b92e0c2830106612faf1ad894bb0017113d24,i too have a boner collection 
82.0,c2b2b472b5330a5b9e46c8da66f192806fb6145a,dicks 
82.0,24f3d02c71c40bcae12e952cc8d638baf0ffb048,ayyy 
83.0,b09ecf8608beef4e2c955fca249dc99b62613bfb,itaaaliiian puuurrrrnnooo 
87.0,22c414cd1bbd144102ac654ea562fe7b561565d4,well who wouldn't it would be like hanging out with your dad again and every so often you would hear yourself when you were young and life was nice 
88.0,e1eeca0334acf1503f038ea46a1700a886c88897,who is joe sipswut 
91.0,20fc6a1aa16b0b25833f71860a39a006b09ef725,i didn't know you spoke italian 
92.0,424c2ecd209b41ef0b1f7583e415df99aa82d335,sipspls bing bong 
93.0,5517091194f5ec70c3a5fedfb804e7ed32cdd2e5,is the creeper hotel 2 0 finished yet do we have all our cats 
93.0,77da210d0c889fa46b6355ed5ddc73f1d54c428c,big bong 
94.0,4ba4f8157281642b0361bb658a2f821229181207,you touch my tra-la-la-la 
98.0,85a239e30e0751f692332bc53f6349ded1c8000d,well i arrived at a strange time 
98.0,5e29ce175573f9a1c4660de77f7a52d136f13d34,taking the piston 
99.0,24f3d02c71c40bcae12e952cc8d638baf0ffb048,81ed6ab21190c85f8032581d77f0d52ffd5df5cf kraft dinner is the brand name easier to remember 
102.0,b3c70bcd5fa2eb4ac4fa15cc75d95b5825d6f506,69ae3f1a9824eba59457a1505ea216972568a294 you should get an infinity bow so you never have to fight with danger up close and just snipe from safety 
103.0,cade8bf3dd424457affcc1a583fcc073ccbba02a,81ed6ab21190c85f8032581d77f0d52ffd5df5cf because mac and cheese is way different 
104.0,383f3a313c76a69fa1a79e7362e638cba837755b,it was popularized in a canada-only kraftwerk music video 
105.0,4f310df697702db1499fbc7feb5f884ac447727e,bruh 
110.0,b4aa7ad0abe08b0aa5c71eaac3b0ef47b723e934,e1eeca0334acf1503f038ea46a1700a886c88897 joe is my dad's name 
116.0,9f77a1e45ec68998cd3bc438fb878cdc4a0eeb08,dingding 
121.0,88c43ebf07d7d86467886a962f90c40dc95e7638,touch my smooth stone 
124.0,2f3b182b8c5aa1706ae45829868894754dfcb1ed,69ae3f1a9824eba59457a1505ea216972568a294 badabing tony sopranos favourite club sipscreepy sipscreepy 
124.0,4f310df697702db1499fbc7feb5f884ac447727e,joe mama 
124.0,ae194ddd348382b98016a7739eeb8c32f347da3c,sipscreepy 
129.0,63a2021913fbeadee27d8da975e70228a6aae355,sipschamp 
130.0,81ed6ab21190c85f8032581d77f0d52ffd5df5cf,maybe the us box doesn't say dinner on it 
130.0,6f50add3edb74d325609e2e873d2ee2021bc1a62,bing bong bing bing bong 
132.0,6a29ef57f880051b506f974873c53ea9947ebf62,it's like seeing my italian cousins again 
134.0,dfb301685f43dcb4ca71c80dc0dda07217e95836,85a239e30e0751f692332bc53f6349ded1c8000d its sips every time is strange time here :) 
135.0,b866a0af4bc222708470dfcb8675b448c9a6230a,dont ask who joe is 
137.0,0d93632c5d280d16cd0fa5c1c4de52e4c96cba0f,sipso ooh 
138.0,e1eeca0334acf1503f038ea46a1700a886c88897,b4aa7ad0abe08b0aa5c71eaac3b0ef47b723e934 nice sipsthink 
139.0,0c9bdd1a3b74fa725559ac064da202dd7b1f1f72,alexa play gunther ding dong song 
140.0,af67f3b1125ea0fdeb9c6091f74bfa1ac53696ec,sips can you sing your lowest note plz 
141.0,c2b2b472b5330a5b9e46c8da66f192806fb6145a,why do you need so much sugar cane 
143.0,45de9890412b4a0901b85fbd79a0aaa97f56890a,69ae3f1a9824eba59457a1505ea216972568a294 alexa play ding dong song - gunther 
145.0,85a239e30e0751f692332bc53f6349ded1c8000d,ausafsaleem very true 
150.0,9d71d9ee17a7e40a34faa171308e297dace7ebd8,yogweird 
150.0,c84723466b5b4255e7a7f00926ff781f30370298,22c414cd1bbd144102ac654ea562fe7b561565d4 yea its kinda adorable but it reminds me of the vhs tapes i have of my dad and i feel sad now 
157.0,b1771f6dc2dc6ecb50adc97a61ee53e222a8ae9f,alexa play no pantalones by gunther 
160.0,842bd8b66dab15eead2833fa791d410f40881a01,what do you think a batch of observers smell like 69ae3f1a9824eba59457a1505ea216972568a294 
165.0,e95213492a56ee0b13630c81c39b1f1e4508f58b,c2b2b472b5330a5b9e46c8da66f192806fb6145a emeralds 
172.0,c2b2b472b5330a5b9e46c8da66f192806fb6145a,ooh 
177.0,0d93632c5d280d16cd0fa5c1c4de52e4c96cba0f,sipsgasm my ding ding dong 
177.0,4f310df697702db1499fbc7feb5f884ac447727e,glass floor tho 
180.0,63a2021913fbeadee27d8da975e70228a6aae355,looking good dad 
180.0,d065d1b89e11d62cc1b07b816f6a7e93242888c2,september 29th winner hyrrulfr contact theonlytermin on discord https://discord gg/j3hy72e to claim next winner on the 13th october rules can be found at https://sipsco net/stream under the prize! tab 
181.0,df6f395698bd28eae5e50583866110bbe5b61e7e,clap 
182.0,bb2aad872cc937c07f81aa90ca41f25397da0fa3,clap 
184.0,dfef6adfeefaeb5bd24c6079334f5b8b027a8a83,rooting and tooting i'm playing the fluuut 
184.0,d903a0c96d85b183dee88bbed53f7b4f4eb28ba1,seemsgood 
185.0,5e29ce175573f9a1c4660de77f7a52d136f13d34,now nice glass on top 
190.0,1824a6919291ebf476d7967487b23c59bf327bc1,looks really good man nice work keep it up 69ae3f1a9824eba59457a1505ea216972568a294 
190.0,4f310df697702db1499fbc7feb5f884ac447727e,backseat 
190.0,d065d1b89e11d62cc1b07b816f6a7e93242888c2,i'm wikiguzzler_69 and you aren't making that properly you've been playing this longer than i've been alive and this is how you play sipsrage also huh heh hmmmh huh 
191.0,9d5ff4160114db32366ad45f56287e655c1048a7,seemsgood 
199.0,24cb1f480063ebcb6c4a93de63b7e71ab4afcbe3,yeah glass on top 
201.0,f0e75dc1a71c478dd4fb3c19153326ff8a9a662d,will the red stone make it that far 
202.0,09f6c23928f783874001a167570c9bc59a92a5dc,you're doing great dad 
205.0,a7b9100857b6521929b2a0cb4e6b2e068fbd21b6,are you going to color the glass you put on top 
205.0,d4df3447d77fcfbb234cc84efee82c926e1638b0,glass on top 
211.0,d3ab755fd975c6af042661385ff056a88a8b844a,how are you gonna get the cane 
219.0,d065d1b89e11d62cc1b07b816f6a7e93242888c2,woweee brock5575_ just subscribed for a total of 8 months 
228.0,fd10d46f174e771157f2e78b0b5550faf29d5fa6,d3ab755fd975c6af042661385ff056a88a8b844a automatic cane farm 
230.0,e3abf422be02b9b8483fb56d23a615f0161bbe98,glass on top could look good 
233.0,0663f2ed549c56a709488c40b52dd11078d4067e,shouldnt sugar cane be on sand instead of dirt 
235.0,4f310df697702db1499fbc7feb5f884ac447727e,all we need now is connected textures 
242.0,81ed6ab21190c85f8032581d77f0d52ffd5df5cf,big daddy cane farm 
247.0,1824a6919291ebf476d7967487b23c59bf327bc1,ye 
249.0,ab3f542a214a3d5987c86c54b9389268227676ff,definitely not what she said 
250.0,8fc12c2e73d901652618172b97e4fe2700e69df1,d3ab755fd975c6af042661385ff056a88a8b844a everytime he hears the piston go off he has to run down and collect all of it 
252.0,09f6c23928f783874001a167570c9bc59a92a5dc,the largest cane farm in the land 
254.0,5e29ce175573f9a1c4660de77f7a52d136f13d34,first you make the cane then you get the woman 
255.0,7914d87236907799e5e1c4716939a90675dd8fcc,sips do one sand and see if its different to dirt 
256.0,186532c70e2e10d2c777fc61f8f70cbf32c3640a,imagine going through all this effort to farm such a useless resource 4head 
258.0,64dafd338a88076fecbc4dd42943ae336ba6ad40,0663f2ed549c56a709488c40b52dd11078d4067e makes no difference 
261.0,0150a37804cafe380d34c05959c470dd9ccd883c,why do you need so much sugarcane 
265.0,f092e5d1bd8d85a057631302cec416e59c0475b5,is sispco uni a publicly or privately funded institute 
266.0,a7b9100857b6521929b2a0cb4e6b2e068fbd21b6,some bright yellow glass would help tie in the ghostbusters containment unit 
267.0,8a522c820cea57c8aca4bc0b0a07c47251b77111,minecart collection 
269.0,fc8e66d88277cba343e730f507cf4802747e0c1e,c84723466b5b4255e7a7f00926ff781f30370298 makes me sad too dude biblethump 
269.0,b146e6267d4dccc15c92504868ef57964f500866,i think this size is about right it grows so fucking slow so you need it to be big 
269.0,df6f395698bd28eae5e50583866110bbe5b61e7e,call this place the industrial district 
274.0,0663f2ed549c56a709488c40b52dd11078d4067e,i thought it grew faster on sand 64dafd338a88076fecbc4dd42943ae336ba6ad40 
277.0,fd10d46f174e771157f2e78b0b5550faf29d5fa6,d3ab755fd975c6af042661385ff056a88a8b844a there will be mincart hoppers under the firt or something 
278.0,ae642605765bfdd5bcac68c3de5f89a11931bd1f,maybe green tinted glass on top would look pretty good 
284.0,64dafd338a88076fecbc4dd42943ae336ba6ad40,0663f2ed549c56a709488c40b52dd11078d4067e nope 
284.0,22c414cd1bbd144102ac654ea562fe7b561565d4,sadness is good it means you've lived a life where people had meaning to you c84723466b5b4255e7a7f00926ff781f30370298 
284.0,248676d7226b5c59f7f0a0fa80c48e275effebeb,the kappa 
285.0,d38571211fc31a12056f8995992e0cfb8073fc50,why does he need sugarcane 
287.0,c05cbd717e3758e2d381c19e517f8b5277b360db,daily golden kappa test 
287.0,6a29ef57f880051b506f974873c53ea9947ebf62,i made my zombie xp farm with glass walls and watching them walk up the water elevator is somewhat amusing 
288.0,51c7a0ead2fa6359e67312f653a5860322af7185,this farm tighter than a cats asshole 
289.0,dfef6adfeefaeb5bd24c6079334f5b8b027a8a83,ehh how are you going to collect the cane 
294.0,d3ab755fd975c6af042661385ff056a88a8b844a,does that work 
296.0,df6f395698bd28eae5e50583866110bbe5b61e7e,kappa 
304.0,186532c70e2e10d2c777fc61f8f70cbf32c3640a,whoops 
304.0,b4aa7ad0abe08b0aa5c71eaac3b0ef47b723e934,51c7a0ead2fa6359e67312f653a5860322af7185 how tight is a cat's ass 
309.0,0663f2ed549c56a709488c40b52dd11078d4067e,paper d38571211fc31a12056f8995992e0cfb8073fc50 
310.0,d463bd1fd5bc710caddcefdcd2771e7a51394c83,agricultural pisstrict dye the water yellow 
312.0,8fc12c2e73d901652618172b97e4fe2700e69df1,7914d87236907799e5e1c4716939a90675dd8fcc wouldn't it fall when the cart is not beneath it 
313.0,2a3554d0b1864791ffa8b4e06e136fa2f1a74c31,why do you need all that stone in between 
313.0,cade8bf3dd424457affcc1a583fcc073ccbba02a,81ed6ab21190c85f8032581d77f0d52ffd5df5cf i don't even know what the us box has on it but the canadian box just says kraft dinner in big letters 
319.0,51c7a0ead2fa6359e67312f653a5860322af7185,b4aa7ad0abe08b0aa5c71eaac3b0ef47b723e934 tight 
319.0,e9d5cd26507e9855b69038f01453718c70760cc9,using a whole iron block to replace dirt/stone monkas 
321.0,a26bf5782611783ec458f3ef08e8f8d2053b642f,perfect kreygasm 
321.0,8ebb50f1a0c8147564902817fe34ed93012e5d09,don't you want canes growing on sand 
324.0,fd10d46f174e771157f2e78b0b5550faf29d5fa6,d3ab755fd975c6af042661385ff056a88a8b844a i guess so i'd imagine chat would have piped in by now if it wouldn't 
326.0,96645ff6c4399bb39ee7cac6e3852da13e41739a,kappa 
339.0,8fc12c2e73d901652618172b97e4fe2700e69df1,e9d5cd26507e9855b69038f01453718c70760cc9 he is rich kapp 
342.0,4f310df697702db1499fbc7feb5f884ac447727e,i like smelling the paper 
343.0,5e29ce175573f9a1c4660de77f7a52d136f13d34,i don't think i've ever seen a cane farm made like this sipstea 
346.0,45de9890412b4a0901b85fbd79a0aaa97f56890a,69ae3f1a9824eba59457a1505ea216972568a294 glass on top 
346.0,d065d1b89e11d62cc1b07b816f6a7e93242888c2,falconchipp just subscribed with twitch prime pay up jeff bezos 
348.0,09f6c23928f783874001a167570c9bc59a92a5dc,the us box says kraft-like dinner 
349.0,af67f3b1125ea0fdeb9c6091f74bfa1ac53696ec,sips can you sing your lowest note plz 
351.0,b146e6267d4dccc15c92504868ef57964f500866,no glass stairs sadly 
356.0,4f310df697702db1499fbc7feb5f884ac447727e,glass clap on clap top 
359.0,3c2ba5506116c32b9ef251d550043e62f8c97509,can we get a command saying sugar canes don't grow faster on sand 
362.0,64a1aa88e055f3a0fa7b606810c8eb370f93c4cb,only blocks and panes for glass 
366.0,110ed455cb565a5172853ced56b7c3d608d94945,emeraldbells hyperion_97 minecarts with hoppers can pick up items lying ontop of a block directly above the minecart 
368.0,95efc936ea6da0cc7b84170dca1f733b0fb382d5,no way 
371.0,7df44b8ffce1883fc23efea9267dcb635a973c5f,if it works it works 
373.0,20fb2a7cfc02fb901cd98856c47d05a1fa87bf5e,4head 
375.0,d065d1b89e11d62cc1b07b816f6a7e93242888c2,owmop just subscribed with twitch prime pay up jeff bezos 
377.0,d065d1b89e11d62cc1b07b816f6a7e93242888c2,woweee morge26 just subscribed for a total of 10 months 
380.0,e9d5cd26507e9855b69038f01453718c70760cc9,play the game better babyrage 
380.0,6a29ef57f880051b506f974873c53ea9947ebf62,sips can you try to sign the brown note please 
383.0,a3939c7060767d96f47b89d7c104a455f9ca90b6,h 
383.0,fabc5237a3fa1fce16fb4061f3ba1c04d6d75e6f,inconceivable 
384.0,fd10d46f174e771157f2e78b0b5550faf29d5fa6,110ed455cb565a5172853ced56b7c3d608d94945 thanks for clarifying :) 
385.0,c8e4d4f15bd7a9c0a901cfbe935cdc801bb00eb6,we love you dad 
386.0,0f5fd2d653aba7ddd44403bb8984d7537c93b85d,its sips way or the highway 
389.0,017d350653afd1e9965da1d7f9f7431c29faffaa,mining pogchamp 
390.0,85a239e30e0751f692332bc53f6349ded1c8000d,michael caine farm 
392.0,9573b554649011fa476e850e9c0a860bc6fedb6b,hey don't you shit talk yourself thats our job 69ae3f1a9824eba59457a1505ea216972568a294 
392.0,110ed455cb565a5172853ced56b7c3d608d94945,emeraldbells seemsgood 
395.0,a7b9100857b6521929b2a0cb4e6b2e068fbd21b6,most people seem to use zero tick farms for things like sugar cane 
396.0,88d2ff0feb736c0b0f540f40dee350edf256008a,rip bret hart 
397.0,a2b9ec0934ff6975cf420efebc4e895feac73750,69ae3f1a9824eba59457a1505ea216972568a294 how will you collect it 
398.0,0185f9d52bf0b7e396fedb2fd9f22ad6f4d9aa5a,tnt cannon has promise 
404.0,f9e853fbbae53ca5b765ebcad954f61d3c62d58f,u r best 
404.0,1c5be6b298ee9c263610a2b18bb15e19f605cefb,sips the okayman sipsington 
406.0,47803967661e0502c9f16329157c655be6b6e3b4,why aren't you the best :pouting_face: 
407.0,8253fc641f7578647cef1f18df84433d209f06c0,sips you're the excellence of execution to me 
410.0,c05cbd717e3758e2d381c19e517f8b5277b360db,fishmoley / 
416.0,b8a768757ff7e07db5a6946d8f23bd160820ca47,well this is pretty much the best non cheat farm you can make you're doing great 
419.0,81ed6ab21190c85f8032581d77f0d52ffd5df5cf,cade8bf3dd424457affcc1a583fcc073ccbba02a looked up a pic the us has dinner in small letters under macaroni & cheese 
420.0,f5138d2632704dd2689e681fd87b69c50a63bd5a,lying straight to our faces dansgame 
420.0,d3685fef23504444667dbf35af3245a9811ca347,it's going to be like 216 a cycle 
427.0,63a2021913fbeadee27d8da975e70228a6aae355,monkas 
432.0,0d93632c5d280d16cd0fa5c1c4de52e4c96cba0f,lul 
439.0,85a239e30e0751f692332bc53f6349ded1c8000d,fishmoley / 
440.0,aa5fff12c672cae70f5ef43c80e58dbf50f1b337,are you writing a novel with all this paper 
445.0,39748d1f73f17dfe0dd6f317e2b1af3519b7d4a5,nice king of canada quote 
450.0,c84723466b5b4255e7a7f00926ff781f30370298,why su much cane you'll be rollnig in it 
460.0,ef833b98f341d087fbd052c3bba77d336c0b4b98,slabs for the rails 
461.0,59361c9b69695d84be215768cf4a5aac44269adf,paper for emeralds 
467.0,0d93632c5d280d16cd0fa5c1c4de52e4c96cba0f,sipshey 
467.0,d065d1b89e11d62cc1b07b816f6a7e93242888c2,sipshey 
472.0,cc662f81733af1bde5dc8b458607b17fd30e01e2,henlo fronds sipshey 
