Time,User,Message
0.0,55c27c7ee1bb5dd6aeed62b8ce7cf59341ff7e37,dont buy the cheapest one have no idea man :d 
19.0,143fb79f32a9b14818b9fdd69f35497d76844c23,you dont need a fancy keyboard to adjust repeat rates/delay 9591ce7662aa5ae0134904344557eaa4fe7bc502 
33.0,9591ce7662aa5ae0134904344557eaa4fe7bc502,dont i 
33.0,23b19c7c19039b385d7379326be3f1c3d191be5d,tempest you mean sniper gang 
33.0,143fb79f32a9b14818b9fdd69f35497d76844c23,aka spam infested terrans bials etc 
38.0,143fb79f32a9b14818b9fdd69f35497d76844c23,nah 
43.0,143fb79f32a9b14818b9fdd69f35497d76844c23,you can do it windows settings 
45.0,143fb79f32a9b14818b9fdd69f35497d76844c23,or i mean 
46.0,da1f7f777fd55e371d049ddb043b19bcb48fd199,longtime fan of your cast glad to finally see your stream 
57.0,9591ce7662aa5ae0134904344557eaa4fe7bc502,windows settings isnt good enough 
60.0,a6b92d9f6c3b8c863dd997c4ca2ed356485df32b,phoenix vs bc is kanda sad 
68.0,a63ca120128a66582bd86c893f136d793b661dbb,i think you can use regedit to adjust some repeat rate stuff 
72.0,23b19c7c19039b385d7379326be3f1c3d191be5d,yeah wtf they so tanky 
72.0,30f4c45811ee0953ed2ebc2bd85cf2b07e00171c,he is herrassing everywhere with so many different things its crazy 
74.0,7b0f8f4d8378603e91101a83416573f8bc4b1452,terran no late game failfish 
75.0,b937895e512f9b29429b87858bd8fcb63ffafd19,have faith in the carriers 
86.0,b937895e512f9b29429b87858bd8fcb63ffafd19,rottiport 
90.0,143fb79f32a9b14818b9fdd69f35497d76844c23,not the bar you drag but registry edit 
94.0,9591ce7662aa5ae0134904344557eaa4fe7bc502,a63ca120128a66582bd86c893f136d793b661dbb thanks for the ide i will check it out and try to do it if it works 
117.0,c59c4545113f64c187cea842ac178f6f79e46a32,oh man 
117.0,a6b92d9f6c3b8c863dd997c4ca2ed356485df32b,juicy 
120.0,c59c4545113f64c187cea842ac178f6f79e46a32,that hit so many ghosts 
125.0,c2e3374abb37237beab82d229b64e6d2cb828da2,too many phoenix pogchamp 
128.0,30f4c45811ee0953ed2ebc2bd85cf2b07e00171c,that was spicy 
132.0,55c27c7ee1bb5dd6aeed62b8ce7cf59341ff7e37,unless u constanlty send em poking at enemy minerals 
135.0,97224e2536da8141886528db864480d8b64d241a,sweet snipe on those ghosts 
140.0,143fb79f32a9b14818b9fdd69f35497d76844c23,what im talking about is the reg edit 9591ce7662aa5ae0134904344557eaa4fe7bc502 im using the settings namshar and sortof uses 
154.0,76bf7ebcc3969f50bb8f88c5da7b15d579b5d103,we believe in you 69f0b2ffa5c10882203d6557ddb5707ef59dd4b1 
155.0,a93df407331f52f0813ea52eabf962361e9275d9,subs 
178.0,9591ce7662aa5ae0134904344557eaa4fe7bc502,143fb79f32a9b14818b9fdd69f35497d76844c23 do you know how to do it do i just search on google/youtubr how to do it 
179.0,78da8defc178e247133f46453428e2c53b67094b,how many stargates 
179.0,a6b92d9f6c3b8c863dd997c4ca2ed356485df32b,hes doing it 
182.0,7b0f8f4d8378603e91101a83416573f8bc4b1452,partingwhat partingwhat partingwhat 
195.0,143fb79f32a9b14818b9fdd69f35497d76844c23,give me a few min ill find it 9591ce7662aa5ae0134904344557eaa4fe7bc502 
196.0,55c27c7ee1bb5dd6aeed62b8ce7cf59341ff7e37,mighty phoenix :d 
197.0,c59c4545113f64c187cea842ac178f6f79e46a32,i don't think i'm gonna win this just walks right through the terran army kappa 
198.0,b937895e512f9b29429b87858bd8fcb63ffafd19,marinelove carriers 
226.0,2609808e67d01cbbea7eef48eb6c8266714d70e8,omg that hit 
230.0,b937895e512f9b29429b87858bd8fcb63ffafd19,moneyshot 
249.0,55c27c7ee1bb5dd6aeed62b8ce7cf59341ff7e37,aiaiaiai 
256.0,55c27c7ee1bb5dd6aeed62b8ce7cf59341ff7e37,recall 
257.0,9591ce7662aa5ae0134904344557eaa4fe7bc502,143fb79f32a9b14818b9fdd69f35497d76844c23 a63ca120128a66582bd86c893f136d793b661dbb so repeat rate and delay can both be edited and dont depend on keyboard 
276.0,9591ce7662aa5ae0134904344557eaa4fe7bc502,jsut some registry tweaks 
281.0,b937895e512f9b29429b87858bd8fcb63ffafd19,more turrets yeah 
284.0,a63ca120128a66582bd86c893f136d793b661dbb,some keyboards might have some special settings but generally yeah 
288.0,143fb79f32a9b14818b9fdd69f35497d76844c23,maybe if you want insane rates but im pretty sure regedit can allow you to do it fast enough 
292.0,55c27c7ee1bb5dd6aeed62b8ce7cf59341ff7e37,nice nice ^^^^ 
293.0,653b476b6f2e928ca672d8c03e744247fe251624,omg gg dude 
293.0,d57608d54d4a980375eaa57b2d420cdd78d15364,69f0b2ffa5c10882203d6557ddb5707ef59dd4b1 swear to god u won cus eminem - ur never over came on 
293.0,e61692d3080494a3c834cbf2db1e37dee3eb3672,ive got to get up at 515 in the am to watch rotti stream first world problems 
294.0,221d9245819ca44b03db4d61931ef9bdb9b2c1c9,ggwp 
294.0,55c27c7ee1bb5dd6aeed62b8ce7cf59341ff7e37,gg 
296.0,337e4e29fcd0b5e5b8dc2971ca0dded612579aec,gg 
298.0,a57ee1253748ec2b09b901a5e35f44913b77cd23,gg 
299.0,c2e3374abb37237beab82d229b64e6d2cb828da2,gg 
299.0,7b0f8f4d8378603e91101a83416573f8bc4b1452,weeell i think his comp was not that great 
300.0,df2fa26c658c6d5a832fa84f00d3ab5282d3ae27,sup guys 
302.0,2926e3be1a8b546acbd8df78a9edb77bcf07c14f,gg 
302.0,92834f8ea87ecfb629b5d8058c5e5a1c405c0e50,gg 
302.0,d57608d54d4a980375eaa57b2d420cdd78d15364,gg wp 
303.0,a93df407331f52f0813ea52eabf962361e9275d9,location 
306.0,a6b92d9f6c3b8c863dd997c4ca2ed356485df32b,i dont think his economy was that great 
306.0,cac418cc9782f3debff315dac29bcb6f5263743a,psycho125cheer psycho125cheer psycho125cheer psycho125cheer 
310.0,c2dd1110cc20875adcec0aaaaf0fc94652cd0da7,well done m8 
311.0,5c39fa24828c036a99f44860d9a6dafd4c2faa1b,why oposite players make any ground vs rotti i dont get it 
312.0,7b0f8f4d8378603e91101a83416573f8bc4b1452,carriers did good 
313.0,560fef148ddc0b3bd833c047c60ef01940d7cb15,artogg artogg 
314.0,e61692d3080494a3c834cbf2db1e37dee3eb3672,rottigg rottigg 
318.0,c6449d018dbd544042dcfb5305bdf43c7c7b900c,2 massive ghost hits 
322.0,ae204501e164a75a34622b781ab0b400019dd912,wpwp 
322.0,82f44d4181763f8a344834a71d01c2021b01386c,morning 
330.0,07f635d26178ed99179bae3270f3ff04a9e65e41,+33 kreygasm 
333.0,2926e3be1a8b546acbd8df78a9edb77bcf07c14f,who was it 
335.0,76bf7ebcc3969f50bb8f88c5da7b15d579b5d103,69f0b2ffa5c10882203d6557ddb5707ef59dd4b1 have you seen lex yesterday with psv merch :d 
336.0,c59c4545113f64c187cea842ac178f6f79e46a32,you were on top of his production i think that's why he gg 
337.0,312bb30e3b6b90e05ea650ad2a9e8dd501cf5a93,action rottichamp thanks for the cheeky resub mastergberry for 2 months rotticheeky rottiluv 
345.0,0db56e06c249ecfeef1a1c1e25d23daa26b136dd,never heard a streamer play this song love eminem bro <3 
346.0,029fc32195fb85a8038d136a6667c2b5da5eff08,6 k mmr 
347.0,653b476b6f2e928ca672d8c03e744247fe251624,awesome save i thought you were gonna lose 
351.0,b8bbd80ca77a3b45378527aee749cd5523c28f9c,indygg partinggg 
359.0,52d28c21afd51f28cf354680b0bb6deb6c138a1a,kappa he must be pjsalt pjsalt pjsalt pjsalt pjsalt 
362.0,d57608d54d4a980375eaa57b2d420cdd78d15364,69f0b2ffa5c10882203d6557ddb5707ef59dd4b1 maybe he wanted to play a lategame vs his favorite caster 
365.0,9c38f9fb5042fe864147c8ffeaef88df11a507e8,oh what you won xd 
365.0,92bbb39ba0f586742ef6ca79bafe74758325a078,1-0 vs terran pogchamp 
369.0,9c38f9fb5042fe864147c8ffeaef88df11a507e8,i tabbed and came back lol nice 
373.0,7b0f8f4d8378603e91101a83416573f8bc4b1452,xd 
376.0,2926e3be1a8b546acbd8df78a9edb77bcf07c14f,xd 
378.0,208b0413b1939b38f22de44b31896601f26575a2,why not getting an oracel to reveal the army from him cause of the mines 
378.0,30f4c45811ee0953ed2ebc2bd85cf2b07e00171c,100 workers magic 
394.0,06db2d6b20e78f65c582a0217a4145dfea911e44,did he had any updates on his air 
403.0,208b0413b1939b38f22de44b31896601f26575a2,ok 
408.0,e1c033f59135e43b86940a448f69c1c936534e2c,69f0b2ffa5c10882203d6557ddb5707ef59dd4b1 where do you think you would be if you returned warcraft back in the day 
453.0,143fb79f32a9b14818b9fdd69f35497d76844c23,9591ce7662aa5ae0134904344557eaa4fe7bc502 go into regedit navigate down to hkey_current_user\control panel\accessibility\keyboard respons 
456.0,0db56e06c249ecfeef1a1c1e25d23daa26b136dd,returned is the key word that doesnt make sense there e1c033f59135e43b86940a448f69c1c936534e2c 
470.0,143fb79f32a9b14818b9fdd69f35497d76844c23,windows key + r and type regedit first 9591ce7662aa5ae0134904344557eaa4fe7bc502 
474.0,e1c033f59135e43b86940a448f69c1c936534e2c,i saw in an old interview that you nearly returned warcraft to the store after playing it for a day 
485.0,30f4c45811ee0953ed2ebc2bd85cf2b07e00171c,in the beginning you stayed back a lot because of what you thought would be starport follow up 
493.0,7b0f8f4d8378603e91101a83416573f8bc4b1452,when he came with 1 bc i was sure he was getting more at home 
515.0,e1c033f59135e43b86940a448f69c1c936534e2c,so crazy one small thing can change everything 
525.0,df2fa26c658c6d5a832fa84f00d3ab5282d3ae27,you gonna play war3 remake when it comes out 
527.0,c59c4545113f64c187cea842ac178f6f79e46a32,is the mine still technically cloaked when it's locking on or can you lift it as it's locking 
541.0,43d2d2e00ded8290b13b90e1811f3e3c0a04d791,how bad are phx vs bcs 10 phx take forever to kill 1 
542.0,143fb79f32a9b14818b9fdd69f35497d76844c23,can i get permission to post a link 69f0b2ffa5c10882203d6557ddb5707ef59dd4b1 picture of keyboard repeat rate settings 
545.0,e1c033f59135e43b86940a448f69c1c936534e2c,yeah maybe you were destined to play life is crazy 
554.0,76bf7ebcc3969f50bb8f88c5da7b15d579b5d103,we are happy that you are in sc2 with us 69f0b2ffa5c10882203d6557ddb5707ef59dd4b1 good choice 
584.0,7b0f8f4d8378603e91101a83416573f8bc4b1452,the libs 
586.0,c59c4545113f64c187cea842ac178f6f79e46a32,dario did a test yesterday to see how long the corruptor spray lasts turns out it's infinite lul 
597.0,f2903ad8b879649446d95b4c6fb24db24e210151,69f0b2ffa5c10882203d6557ddb5707ef59dd4b1 your phoenix were auto targetting the vikings instead of the libs 
599.0,55c27c7ee1bb5dd6aeed62b8ce7cf59341ff7e37,e-sports with no rotterdam would be sad :( 
609.0,f2903ad8b879649446d95b4c6fb24db24e210151,probably because you have phoenix range 
617.0,e1c033f59135e43b86940a448f69c1c936534e2c,yeah i love rotti casting 
621.0,ed65499d1d2c7b66fc23c18f9a9df0838e311758,i saw your disrupters kill like 12 ghosts that game 
622.0,b937895e512f9b29429b87858bd8fcb63ffafd19,what shirt are you wearing 
640.0,76bf7ebcc3969f50bb8f88c5da7b15d579b5d103,b937895e512f9b29429b87858bd8fcb63ffafd19 chelsea mate 
647.0,9591ce7662aa5ae0134904344557eaa4fe7bc502,143fb79f32a9b14818b9fdd69f35497d76844c23 i opened rededit and see the things you said: ratedelaybounceacceptence 
699.0,b937895e512f9b29429b87858bd8fcb63ffafd19,chelsea is yellow man i don't know much about football but do i know that little 
708.0,5e5149305e137cb508fe6157f57cb65987079c13,do you still do wc3 wednesdays i cant always tune into your stream and never know if its wednesday for you 
715.0,7b0f8f4d8378603e91101a83416573f8bc4b1452,they are 
722.0,c59c4545113f64c187cea842ac178f6f79e46a32,well those resources and souply changed real quick when the carriers came rolling in lul 
727.0,7b0f8f4d8378603e91101a83416573f8bc4b1452,that's the one thing carriers beat 
731.0,e5a011d56549c37eae0e63df127d9cdfbf5d0223,do intercepters have shields oo 
738.0,c2dd1110cc20875adcec0aaaaf0fc94652cd0da7,you can see the lion crest 
742.0,76bf7ebcc3969f50bb8f88c5da7b15d579b5d103,b937895e512f9b29429b87858bd8fcb63ffafd19 2014/2015 season they wore it 
754.0,c59c4545113f64c187cea842ac178f6f79e46a32,e5a011d56549c37eae0e63df127d9cdfbf5d0223 yes 
762.0,e5a011d56549c37eae0e63df127d9cdfbf5d0223,ts 
764.0,e1c033f59135e43b86940a448f69c1c936534e2c,gg 
767.0,e5a011d56549c37eae0e63df127d9cdfbf5d0223,ty* 
774.0,df2fa26c658c6d5a832fa84f00d3ab5282d3ae27,a1a8c52a05a129ef93727fdba296f4c1c7fdd1f0 you gonna play the war3 remake 
784.0,86e19050dd7b9fefee8898b09993fb51f2f8b0ac,funny when toss can play so bad and still win :d 
790.0,b937895e512f9b29429b87858bd8fcb63ffafd19,oh it's away jersey 
794.0,86e19050dd7b9fefee8898b09993fb51f2f8b0ac,no offense 
