Time,User,Message
0.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,the background looks a lot cleaner 
26.0,f8beb3ebf044c6537598c769192e17b2a4387d56,thats iron sights lol 
30.0,e5e388032b7cd6f99889be9abd570b3758c5ac77,:d 
49.0,0351613e3015b9bb144a517cb4ae664343738f56,katgunngg 
62.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,warm up game 
69.0,c9667c79d079ec12a809119c628528d5cb882221,watching any new animes 
70.0,0351613e3015b9bb144a517cb4ae664343738f56,oh 
82.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,either that or a cat tree katgunn katgunnaww 
85.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,or a box 
119.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,demon slayer 
131.0,f8beb3ebf044c6537598c769192e17b2a4387d56,catchy song : old town road 
146.0,c9667c79d079ec12a809119c628528d5cb882221,the last one i watched from begging to end was fma: brotherhood really enjoyed it 
150.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,i'm about to start fma:b katgunnsip 
152.0,b16b6c7fe798bd6cdc1b23d3be4f45f9cc4b65fa,hi sorry for my bad english 
152.0,c604d49f42c1236a4bd44ef263184098490c8c7e,hey guys :d 
164.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,hello machiavelli0000 
169.0,6dc73f3734255a3933ac53c23cecbfe89013eff0,6a5528fbfca07992045bffd0ea717e62833626b6 have you gotten to the flex mentallo doom ep yet 
171.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,cowboy bebop samurai champloo 
176.0,e5e388032b7cd6f99889be9abd570b3758c5ac77,cheer420 
182.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,katgunnclam katgunnclam katgunnclam katgunnclam 20 
190.0,e173ac5c25bd36f17348259dbdc6f03c3238dcac,katgunnclam katgunnclam katgunnclam katgunnclam 
192.0,c604d49f42c1236a4bd44ef263184098490c8c7e,i've finished samurai champloo but not cowboy bebop yet 
194.0,6dc73f3734255a3933ac53c23cecbfe89013eff0,katgunnclam katgunnclam katgunnclam katgunnclam 
209.0,d425f37f159e41d787289fc8d929de6bdd541e71,katgunnclam katgunnclam katgunnclam katgunnclam 
209.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,machiavelli0000 same people that made cowboy bebop cowboy bebop is great 
217.0,c9667c79d079ec12a809119c628528d5cb882221,yeah the only animes i have seen are from the ealry 90 to the mid 2000s 
231.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,really good dubbed version as well 
236.0,c604d49f42c1236a4bd44ef263184098490c8c7e,d99e3e9ec494716456919a6af0d845d4ae83c84c i loved episode 1 havent gotten further yet haha 
249.0,6dc73f3734255a3933ac53c23cecbfe89013eff0,epsidoe 14-15 gets really good 
253.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,really gud definitely worth watching 
273.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,i like these frames but if they hurt the nose bridge all bad 
276.0,6dc73f3734255a3933ac53c23cecbfe89013eff0,i just watched the cowboy bebop 2001 movie last night it still holds up 
298.0,cb82b88a7e051330e6079b5f0d17589e2e9bbff7,give her a putaso cookie walk 
305.0,f8beb3ebf044c6537598c769192e17b2a4387d56,mmmmm oatmeal cookies with cranberry 
311.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,no money shot feelsbadman 
329.0,6dc73f3734255a3933ac53c23cecbfe89013eff0,katgunnlul 
333.0,0351613e3015b9bb144a517cb4ae664343738f56,doom patrol's on that dc universe app guess it time to get caught up really looking forward to swamp thing on that dc universe too 
336.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,that song was stuck on me for a while katgunndafuk 
341.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,i kept hearing it everywhere 
383.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,pretend you're a zambie they'll never know 
408.0,f8beb3ebf044c6537598c769192e17b2a4387d56,a zambie lol 
412.0,6dc73f3734255a3933ac53c23cecbfe89013eff0,i have some almond butter cookie with mint & chocolate frosting d99e3e9ec494716456919a6af0d845d4ae83c84c 
413.0,d99e3e9ec494716456919a6af0d845d4ae83c84c,zambie skins are op 
