Time,User,Message
0.0,4aed039b1deb3476d1d0654bf2a13c09355860ea,nah nah nah 
4.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following jago424 welcome to the trash pandas 
5.0,4aed039b1deb3476d1d0654bf2a13c09355860ea,michael scarier 
5.0,497c7755d4827404303a0138fa2e427785d6a12f,the fear would maybe give debuffs or make you stronger or something 
6.0,63476ba1c15ff1697e9c65bc6384005106f3d4d4,only killer i can't play is clown 
16.0,c01f8b67da5d28f342f2a0f20ed4b8454a23e0c6,demogorgon is the scariest killer puppogorgon 
18.0,63476ba1c15ff1697e9c65bc6384005106f3d4d4,those bottles are the bane of my existence 
22.0,1573ded8792151806df4e2b0766c832e16960a98,meh different spelling same pronounciation 
26.0,497c7755d4827404303a0138fa2e427785d6a12f,kinda a mend option or snap out of it type thing 
27.0,33f3659437bc5e01031b28a344487b3202f86d3e,c01f8b67da5d28f342f2a0f20ed4b8454a23e0c6 confirmed 
47.0,4aed039b1deb3476d1d0654bf2a13c09355860ea,okay so like yesterday i played and the shitface literally yeeted my off the gen and i was looking the way he came in but lagged me 
52.0,c01f8b67da5d28f342f2a0f20ed4b8454a23e0c6,would anyone like a free hat nomnom4hype 
69.0,a50a1edf110e9b367c9f476840b32c3108cd3c39,i played clown today and hes only lvl 5 for me and i 4k cause in the ptb for him i mained him and he became my main 
72.0,2468f8906fc4623f46a5d045875c668d23212d2c,i want a killer with a glock 
83.0,c01f8b67da5d28f342f2a0f20ed4b8454a23e0c6,i like playing pig but i am a survivor main 
92.0,a50a1edf110e9b367c9f476840b32c3108cd3c39,your a clown 
95.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following dancephan welcome to the trash pandas 
95.0,a50a1edf110e9b367c9f476840b32c3108cd3c39,clown 
103.0,497c7755d4827404303a0138fa2e427785d6a12f,i still hate playing against doctor always have thought he was the scariest when he came out 
105.0,4aed039b1deb3476d1d0654bf2a13c09355860ea,he's a wraith main lul 
109.0,63476ba1c15ff1697e9c65bc6384005106f3d4d4,morfangry morfgun clown main huh 
117.0,1573ded8792151806df4e2b0766c832e16960a98,20 
117.0,4aed039b1deb3476d1d0654bf2a13c09355860ea,pls dono 30 bitttys 
117.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,https://cdn discordapp com/attachments/487913004810240003/606682070059712533/fb_img_1564713350256 png 
120.0,4aed039b1deb3476d1d0654bf2a13c09355860ea,^ 
125.0,a50a1edf110e9b367c9f476840b32c3108cd3c39,bro im wraith main i got p3 lvl 50 nurse wraith and billy 
132.0,a50a1edf110e9b367c9f476840b32c3108cd3c39,but wraith was my first 
145.0,4aed039b1deb3476d1d0654bf2a13c09355860ea,chill 
149.0,bb3ec8878a650396851a9ed8d0a9cd7908e5e6a5,i always get tunneled by wraith 
150.0,497c7755d4827404303a0138fa2e427785d6a12f,yeah doctor w a good setup is nuts to play against 
160.0,c01f8b67da5d28f342f2a0f20ed4b8454a23e0c6,morfsip 
172.0,4aed039b1deb3476d1d0654bf2a13c09355860ea,doktah 
173.0,c01f8b67da5d28f342f2a0f20ed4b8454a23e0c6,tofu plays a mean wraith 
182.0,63476ba1c15ff1697e9c65bc6384005106f3d4d4,i blink into trees but like every 12 blinks i'll hit someone kappa 
192.0,4aed039b1deb3476d1d0654bf2a13c09355860ea,lul 
196.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following premiouss welcome to the trash pandas 
204.0,c01f8b67da5d28f342f2a0f20ed4b8454a23e0c6,he played wraith during the double bp event 
215.0,22e57c0de19fe56e8f40212d5857e2ea2ece0e26,doctor is really hard to play against him and freddy to me at least 
216.0,bb3ec8878a650396851a9ed8d0a9cd7908e5e6a5,what timezone are you in 
230.0,c01f8b67da5d28f342f2a0f20ed4b8454a23e0c6,yeah i work weekends so i worked the entire bp event 
241.0,4aed039b1deb3476d1d0654bf2a13c09355860ea,everyone from the tofu community pls join our trash collective discord vaylinlove 
243.0,4aed039b1deb3476d1d0654bf2a13c09355860ea,discord 
245.0,c01f8b67da5d28f342f2a0f20ed4b8454a23e0c6,didn't think i could justify taking time off to play dbd lol 
267.0,63476ba1c15ff1697e9c65bc6384005106f3d4d4,same i missed all the event minus a few hours but twitch con was worth 
