Time,User,Message
0.0,c13e40435e92ef609868945e7f8957377c2d2a33,what game mode is this 
0.0,8a3c114f9162322b25706a77aee18acb8192cdd5,do you have a good heir 
3.0,6e4c9f9c9423d762fefd8512882289257490056c,burkeflag burkeflag burkeflag burkeflag 
4.0,db0bd68153a801f3ab40d906ad275b21596e591c,63 is like ancient in north korea 
6.0,9cd7f54daacc307d4624df229a727c88273ef151,did anyone play the romance of the three kingdoms strategy games back in the day on playstation that game was ahead of its time 
18.0,665f83833dd1661c5bbe82380b5b3417a62975e2,yes 
21.0,8d43b467a7acd3a9ce1d3b253a14b5efac18d131,can units size be changed in a middle of my campaign or i have to start a new one 
34.0,bbda88b5b6e1640790473924b10eb75cf9fb0818,would be so cool if theres a civil war after your empress dies and your generals divide up your empire 
45.0,6e4c9f9c9423d762fefd8512882289257490056c,do you have anything warm to drink to make you feel better encountered_death 
55.0,e779a489b4ac38808439db38962383826bfcf1a4,u can but just up not down 
70.0,c464d7dc0a381af55acf58a6c99a3b28c304c4f6,haha i've played the old romance of the three kingdoms games on snes 
75.0,8d43b467a7acd3a9ce1d3b253a14b5efac18d131,okay cool 
76.0,3e5b6c064797941551862264570059675b90b172,6e4c9f9c9423d762fefd8512882289257490056c i have ice on my abdomen rn 
79.0,c8cb707ae9eb822d7b928f9f585d6d6ee5e229af,6e4c9f9c9423d762fefd8512882289257490056c i have fireball 
92.0,c464d7dc0a381af55acf58a6c99a3b28c304c4f6,they had a really good run with rotk 9-11 actually 
99.0,c464d7dc0a381af55acf58a6c99a3b28c304c4f6,all 3 games were excellent 
103.0,45ed5eecf2417833f510d8e764a32227d6a0a932,action check out the new game + stream team to see some of the biggest names on twitch showcasing premier broadcasters with a variety of unique content check them out here: http://burke black/ngp_team 
110.0,c464d7dc0a381af55acf58a6c99a3b28c304c4f6,but i hear the series has really fallen off sadly 
115.0,6e4c9f9c9423d762fefd8512882289257490056c,oh you need cold treatment instead encountered_death burkehmm 
128.0,6e4c9f9c9423d762fefd8512882289257490056c,toxicunitatous burkefury burkefire burkefire burkefire burkeboom 
136.0,3e5b6c064797941551862264570059675b90b172,6e4c9f9c9423d762fefd8512882289257490056c possible hernia so yes 
149.0,c8cb707ae9eb822d7b928f9f585d6d6ee5e229af,6e4c9f9c9423d762fefd8512882289257490056c kgtvre kgtvee kgtvee kgtvee kgtvee kgtvee 
159.0,665f83833dd1661c5bbe82380b5b3417a62975e2,i haven't played any since the ps2 days 
164.0,db0bd68153a801f3ab40d906ad275b21596e591c,that's a lot of e's 
198.0,665f83833dd1661c5bbe82380b5b3417a62975e2,bed time 
199.0,9cd7f54daacc307d4624df229a727c88273ef151,that's sad i remember playin it back in like 2006 it's the game that started my love for strategy genre 
203.0,c464d7dc0a381af55acf58a6c99a3b28c304c4f6,yeah i think rotk 11 was the last one on the ps2 
211.0,db0bd68153a801f3ab40d906ad275b21596e591c,close defeat igacool 
212.0,a0aef4eaaeeb356af82ee502de45b77c48128097,112 deployed 3682 reinf lol 
215.0,c464d7dc0a381af55acf58a6c99a3b28c304c4f6,but it was a good one 
224.0,d83a09ee712b47ac72e07594b0c99b8f1ccbf64d,f5 amm0nibeer5 amm0nismex 
229.0,c464d7dc0a381af55acf58a6c99a3b28c304c4f6,similar to 9 
234.0,c464d7dc0a381af55acf58a6c99a3b28c304c4f6,10 had a pretty cool career mode 
238.0,6e4c9f9c9423d762fefd8512882289257490056c,i was thinking more of your acid issues guess thats a long term thing hmm hope the ice works cohhl encountered_death 
275.0,45ed5eecf2417833f510d8e764a32227d6a0a932,welcome back ajsa_rolltide burkeahoy raise your burkeflag burkeflag s to welcome back the returning crew member to the dirty skull burkehype enjoy your booty burkebooty 50 doubloons 5 soundbyte credits and 1 games credit burkebooty 
286.0,3e5b6c064797941551862264570059675b90b172,6e4c9f9c9423d762fefd8512882289257490056c me too it hurts <3 plus i walking funny cuz of it 
287.0,12dc2749d4d69ef1c7b71e5affe3989209d4d998,so now that burk has played this game for days will he actually read about the romance of the three kindom 
287.0,355ee8d2d11ce158af21ff3df946fe7a5528c0f0,burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag 
291.0,6e4c9f9c9423d762fefd8512882289257490056c,burkesalute burkeflag burkeflag burkeflag 
296.0,3e5b6c064797941551862264570059675b90b172,burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag 
301.0,823dcc8f758760ada36a17dd0af4f40d2229f970,hail saban 
301.0,db0bd68153a801f3ab40d906ad275b21596e591c,yellow turbans 
315.0,35bbec296b11755412452dcd9d8a3da4873afd7a,roll tide 
318.0,c8cb707ae9eb822d7b928f9f585d6d6ee5e229af,3e5b6c064797941551862264570059675b90b172 wud you do 
325.0,fdfcae82e9ccf99557a2ae0a204405d8ab238608,reading monkas 
327.0,6e4c9f9c9423d762fefd8512882289257490056c,encountered_death keep rollin get it burkelul burkeguilty burkeguilty burkeguilty 
327.0,419202da8db3226797459bf2e8b86b00d4784726,you don't tell me to beware i tell you where to be 
346.0,45ed5eecf2417833f510d8e764a32227d6a0a932,action think there is something we need to change about the stream burkehmm give us your feedback https://burkeblack tv/feedback/ 
358.0,9cd7f54daacc307d4624df229a727c88273ef151,guan yu = best 
358.0,3e5b6c064797941551862264570059675b90b172,c8cb707ae9eb822d7b928f9f585d6d6ee5e229af coughed so hard i pulled my ack think i tore something in my abdomen 
365.0,55601cf7d64e818a7622348161388f6315cd883e,dawgs > tide 
384.0,3e5b6c064797941551862264570059675b90b172,6e4c9f9c9423d762fefd8512882289257490056c yeah i smiled burkelove slysssh 
406.0,c8cb707ae9eb822d7b928f9f585d6d6ee5e229af,3e5b6c064797941551862264570059675b90b172 oof i have some rumchatta and fireball i'll make you feel real nice real fast 
409.0,6fd6d82c23b8844012899c04df1d52e8908d2f1d,burkedance 
420.0,6e4c9f9c9423d762fefd8512882289257490056c,cohhl danlove cohhfa glad to make you smile encountered_death keep the spirits up burkeyah 
429.0,2a3bec8602189b0c29236ef75dd4d0eb23260050,leave them in the bushes before ur seen 
438.0,cf5d6f60e632e9f35596e0e6d57e38a8971f4055,new soundbyte its a trap - star wars 30 sent by xhighrollerx123 sent from: https://burkeblack tv/soundbytes 
439.0,2a3bec8602189b0c29236ef75dd4d0eb23260050,surprise attack 
440.0,3e5b6c064797941551862264570059675b90b172,c8cb707ae9eb822d7b928f9f585d6d6ee5e229af ty but no that would back everything very bad right now 
451.0,db0bd68153a801f3ab40d906ad275b21596e591c,can't you fight inside and use the wall 
465.0,8a94c222981cd94c3058fe19198aa6cf90a324be,is there a strongest unit in the game 
466.0,3e5b6c064797941551862264570059675b90b172,sorry about spelling 
469.0,0fa13807407612871cbb51283b670e1b927e8064,now that's alot of troops walrusf 
496.0,db0bd68153a801f3ab40d906ad275b21596e591c,feels like got battles let's put them all on the wrong side 
499.0,3628b4451c4433bb3f901795f00623661a106c67,i read that as now thats alot of poops kappa 
504.0,45ed5eecf2417833f510d8e764a32227d6a0a932,welcome back chiefdirty530 burkeahoy raise your burkeflag burkeflag s to welcome back the returning crew member to the dirty skull burkehype enjoy your booty burkebooty 50 doubloons 5 soundbyte credits and 1 games credit burkebooty 
514.0,eae473aeb75534f50332619a4b9925189ac801f2,burkebilly burkebilly 
514.0,355ee8d2d11ce158af21ff3df946fe7a5528c0f0,burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag 
520.0,339e95862c457b507098f674ec1d1709f56f42f7,how goes captain 
524.0,6e4c9f9c9423d762fefd8512882289257490056c,civilians sealed the gates and left their generals outside burkebilly burkebilly burkebilly burkelul burkelul burkelul burkelul 
533.0,3e5b6c064797941551862264570059675b90b172,6e4c9f9c9423d762fefd8512882289257490056c leilafheart pearlove burkelove slysssh hobbsheart bwittalove carizelove nichpog 
545.0,4260a0188fdad4b2e8619ae7d5a1b0306b1bff3f,such a big army 
551.0,f0a68eb64c360508241a012f92899c432c6bd3a1,rip catapult 
555.0,6e4c9f9c9423d762fefd8512882289257490056c,cohhwaii cohhwaii cohhwaii 
560.0,81503b36214c14d5f98aa7835ef9d4ebb25f69e6,no u 
562.0,e792cb7508f90517988ec54235645e5f1444052e,lul 
565.0,761c1e5409e08cfc2621caa50ac4d253bd4e9653,lul lul 
565.0,9baf32ae8d834a979ce774ca3d491c4bbb664f35,dano 
569.0,f170f5322ebcc17c81e532fa452c5fbb90869b9e,lul 
570.0,c464d7dc0a381af55acf58a6c99a3b28c304c4f6,lol 
573.0,3e5b6c064797941551862264570059675b90b172,lul 
577.0,db0bd68153a801f3ab40d906ad275b21596e591c,lul 
577.0,07572fc5f6526fe4b881254fdb21b5104ba61bd3,burkelul burkelul burkelul burkelul 
578.0,eae473aeb75534f50332619a4b9925189ac801f2,f0a68eb64c360508241a012f92899c432c6bd3a1 burjeahoy 
579.0,8cbb48c008ac742c9cb91239ab0e12395a849dd7,no you 
586.0,45ed5eecf2417833f510d8e764a32227d6a0a932,action follow burkeblack on twitter https://twitter com/0burkeblack0 
588.0,cf5d6f60e632e9f35596e0e6d57e38a8971f4055,new soundbyte beverly hills cop 172 sent by draxthos sent from: https://burkeblack tv/soundbytes 
594.0,0ee3f721ea84af7275841697851c9dc6dfee5025,chinese plz 
598.0,07572fc5f6526fe4b881254fdb21b5104ba61bd3,action “shut up and die!” burkelul burkelul 
602.0,6e4c9f9c9423d762fefd8512882289257490056c,burkedance2 
611.0,46c9d84ae2a36f4b4ad9bd09d721f58e5dd7edbc,burkeepic burkeepic 
613.0,6e4c9f9c9423d762fefd8512882289257490056c,burkedance 
618.0,07572fc5f6526fe4b881254fdb21b5104ba61bd3,burkeepic burkelul burkeepic burkelul 
630.0,8dff5c8aa15550197b6b688d0ca1e1a3f9f13898,0ee3f721ea84af7275841697851c9dc6dfee5025 he would have to restart the game for that and no 
633.0,12dc2749d4d69ef1c7b71e5affe3989209d4d998,there are ants everywhere 
637.0,3628b4451c4433bb3f901795f00623661a106c67,sut up and dance i mean die kappa 
643.0,eae473aeb75534f50332619a4b9925189ac801f2,165542 in-game are playing 3 kingdoms pogchamp 
666.0,c464d7dc0a381af55acf58a6c99a3b28c304c4f6,lol those trebs 
683.0,0ee3f721ea84af7275841697851c9dc6dfee5025,no woman 
683.0,b85531c2eab85387e3dbf8a38b38ff9fdaebd7a6,https://www twitch tv/bundy_flex 
683.0,45ed5eecf2417833f510d8e764a32227d6a0a932,[bundy_flex] burkederp burkederp burkederp burkederp burkederp burkederp 
694.0,355ee8d2d11ce158af21ff3df946fe7a5528c0f0,burkelul 
699.0,355ee8d2d11ce158af21ff3df946fe7a5528c0f0,action pats kraken good girl 
713.0,c464d7dc0a381af55acf58a6c99a3b28c304c4f6,i'd hate to be one of those guys pushing that thing 
713.0,db0bd68153a801f3ab40d906ad275b21596e591c,single column 
723.0,3e5b6c064797941551862264570059675b90b172,kraky is always good girl 
730.0,355ee8d2d11ce158af21ff3df946fe7a5528c0f0,b85531c2eab85387e3dbf8a38b38ff9fdaebd7a6 is that really how you want to build your stream up 
740.0,0ee3f721ea84af7275841697851c9dc6dfee5025,lady feng everywhere 
817.0,0ee3f721ea84af7275841697851c9dc6dfee5025,what is his faction 
827.0,eae473aeb75534f50332619a4b9925189ac801f2,yellow rebels 
828.0,45ed5eecf2417833f510d8e764a32227d6a0a932,action join the black crew on steam http://burke black/steamcrew 
836.0,d475d719c934d7be50de697f08e41bee976fb940,bandit lady 
866.0,81503b36214c14d5f98aa7835ef9d4ebb25f69e6,can you set unit paths with shift right-drag in this game 
875.0,7c8b512bb9a5ab5a47fedfc87d642a37575283cb,yes 
903.0,81503b36214c14d5f98aa7835ef9d4ebb25f69e6,might simply things if it was used in this battle 
909.0,a95b299a5b1c58d196e94302312cd24f69aff00d,额 
932.0,0dace797e8964e1a259766e76ae74dcf9d798b63,how did burke get such a large army 
945.0,98dfebd8c2bc01916a000f91806f0a15ce57b8c6,wasn't pretty but job done 
950.0,bdfab6afeac2efdbea9370dd991cba1a255ef649,712dbc961a5a2b7102cb1ea6339b6fa79bcf0d4b how is the detail down on the battlefield 
956.0,6e4c9f9c9423d762fefd8512882289257490056c,burkese burkese burkese azure dragons 
963.0,f170f5322ebcc17c81e532fa452c5fbb90869b9e,0dace797e8964e1a259766e76ae74dcf9d798b63 this is near endgame 
978.0,0dace797e8964e1a259766e76ae74dcf9d798b63,f170f5322ebcc17c81e532fa452c5fbb90869b9e why end game :( 
980.0,d475d719c934d7be50de697f08e41bee976fb940,the smack talk 
982.0,419202da8db3226797459bf2e8b86b00d4784726,that's so craven roodab 
993.0,f170f5322ebcc17c81e532fa452c5fbb90869b9e,he had two full stack armies in reinforcement range 0dace797e8964e1a259766e76ae74dcf9d798b63 
994.0,81503b36214c14d5f98aa7835ef9d4ebb25f69e6,your leftside seems idle 
1020.0,07572fc5f6526fe4b881254fdb21b5104ba61bd3,lol ikr d475d719c934d7be50de697f08e41bee976fb940 burkelul 
1057.0,afe79f8b923f551324d45c4ed25050ba7b8f5a3d,this seems epic 
1062.0,07572fc5f6526fe4b881254fdb21b5104ba61bd3,i wonder 0dace797e8964e1a259766e76ae74dcf9d798b63 :thinking_face: 
1068.0,11b83b5b9fd5d292e6897de9aa4b43e5f16c27a4,could you imagine these battles in real life the body count would have been insane 
1069.0,45ed5eecf2417833f510d8e764a32227d6a0a932,action burkeahoy crew we are pleased to announce that burkeblack is now partnered with nitrado burkepog looking to rent a game server check them out: http://burke black/nitrado 
1070.0,3e5b6c064797941551862264570059675b90b172,go on git 
1080.0,1478767f4a460b98ad96ced73a301648052347ff,the artillery sound is cool sounding 
1087.0,3e5b6c064797941551862264570059675b90b172,wp burke 
1092.0,07572fc5f6526fe4b881254fdb21b5104ba61bd3,burkesalute burkesalute 
1107.0,6e4c9f9c9423d762fefd8512882289257490056c,that is the beauty of total war mylykky 
1107.0,d475d719c934d7be50de697f08e41bee976fb940,you should be able to send out of ammo archers to the piles of dead bodies and have them pick up arrows from the bodies ^^ 
1115.0,3e5b6c064797941551862264570059675b90b172,hey ya 07572fc5f6526fe4b881254fdb21b5104ba61bd3 leilafheart slysssh burkelove 
1124.0,07572fc5f6526fe4b881254fdb21b5104ba61bd3,aloha 3e5b6c064797941551862264570059675b90b172 :smiling_face_with_smiling_eyes: :red_heart: :call_me_hand_medium-light_skin_tone: 
1136.0,859cfe3c646893869bb2ec14c31e7cfd7a98dfaa,kimba that's only done after a battle 
1149.0,d475d719c934d7be50de697f08e41bee976fb940,:( 
1152.0,6e4c9f9c9423d762fefd8512882289257490056c,burkepog burkebooty burkebooty burkebooty 
1180.0,e8c7000a156a665d9b4bbc27919b8b06302de1bb,we need this game on ps4 :persevering_face: 
1182.0,32ee25b8656427c182bc7c5eef82676e9ef2a3e3,gbenbits gbenbits gbenbits gbenbits gbenbits gbenbits gbenbits 
1191.0,424f9906f8d57b7700a0ff3f8ad860a9fdc2ce1d,gotta say i love the mountains 
1196.0,a2fcc68dbb817106bb44d555563a40df1ceaa477,does this game have online or is it only solo 
1202.0,3e5b6c064797941551862264570059675b90b172,lol 
1218.0,823800ecb45b49f6a93c126c19ccb854df47e2e5,do u guys have fixes for crashes 
1223.0,e9ea94a684d09cbe38caab96872503170c9f41f0,what great factions are still left 
1231.0,823800ecb45b49f6a93c126c19ccb854df47e2e5,lowest settings also crashes 
1243.0,d1803a7cc191b21ff862626a52665ee094ccdbc2,haven't had any crashes 
1257.0,3891c0be7d6ddde9d6a3d90ba3c337a6feded211,:/ bummer bruh 
1258.0,8962c4e9dddcda2e90201690c0cacc6a3c2cec6d,guys how do u deal with corruption percentages t__t 
1260.0,a10f0cadcc4d7a92980b5eeb8a029f7266cb2711,make sure your drivers are up to date 
1262.0,836815a2c536bc19a5fc0af0d3b67b7ae20a5e3a,sounds terribly hard too fight battles with controller imo how you think that would work 
1267.0,d1803a7cc191b21ff862626a52665ee094ccdbc2,got a weird blank screen bug tho 
1282.0,823800ecb45b49f6a93c126c19ccb854df47e2e5,still crashes after update 
1283.0,4260a0188fdad4b2e8619ae7d5a1b0306b1bff3f,sooo much management it seems like now 
1284.0,823800ecb45b49f6a93c126c19ccb854df47e2e5,sad life 
1302.0,57377d8456aa8a3ae3c4be8e5904517cf7f59182,hello good morning from vienna :ok_hand_light_skin_tone: :ok_hand_light_skin_tone: 
1302.0,45ed5eecf2417833f510d8e764a32227d6a0a932,welcome back zbshadow burkeahoy raise your burkeflag burkeflag s to welcome back the returning crew member to the dirty skull burkehype enjoy your booty burkebooty 50 doubloons 5 soundbyte credits and 1 games credit burkebooty 
1303.0,9fc4c6886c31d5e86ee39350f09e4bd9733c7110,i have a feeling u could get all of them tonight 
1306.0,f170f5322ebcc17c81e532fa452c5fbb90869b9e,712dbc961a5a2b7102cb1ea6339b6fa79bcf0d4b apply your equipment 
1310.0,355ee8d2d11ce158af21ff3df946fe7a5528c0f0,burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag 
1311.0,2072a4ffbc53d170fd602735e6705232603ca067,jakety kak 
1311.0,45ed5eecf2417833f510d8e764a32227d6a0a932,action recent upload: age of wonders: planetfall highlights :skull: sponsored by paradox interactive - http://youtu be/hmoldskwnls 
1311.0,3e5b6c064797941551862264570059675b90b172,burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag 
1313.0,a4bc0706c7d178c8c907bc2162a5d8e2ec7b623f,what's that noise 
1321.0,45ed5eecf2417833f510d8e764a32227d6a0a932,welcome back sausageoutforharambe burkeahoy raise your burkeflag burkeflag s to welcome back the returning crew member to the dirty skull burkehype enjoy your booty burkebooty 50 doubloons 5 soundbyte credits and 1 games credit burkebooty 
1322.0,d1803a7cc191b21ff862626a52665ee094ccdbc2,yea feels like a 4x game now 
1327.0,6e4c9f9c9423d762fefd8512882289257490056c,burkesalute burkeflag burkeflag burkeflag 
1330.0,355ee8d2d11ce158af21ff3df946fe7a5528c0f0,burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag burkeflag 
1340.0,0fa13807407612871cbb51283b670e1b927e8064,only 55 characters rooblank 
1342.0,c134020d4476eefe06d21db878f95dff8dd2cb89,hey 712dbc961a5a2b7102cb1ea6339b6fa79bcf0d4b how's the ear doing 
1351.0,f2274af35f7fd07d4bbf2007cdf06a63d05c972d,i honestly think this game would manage well on console i mean lord of the rings battle for middle earth 2 was only meant for pc and it came out on console and did great 
1354.0,07572fc5f6526fe4b881254fdb21b5104ba61bd3,burkesalute burkesalute burkesalute burkeflag burkeflag burkeflag 
1358.0,f170f5322ebcc17c81e532fa452c5fbb90869b9e,lu bu 
1395.0,012a5b513f67a4dc7fdf048fb159d74a557a5f0d,712dbc961a5a2b7102cb1ea6339b6fa79bcf0d4b i was born in 89 i just have a strange feeling you did were too 
1410.0,f170f5322ebcc17c81e532fa452c5fbb90869b9e,that was cao cao sword 
1431.0,f170f5322ebcc17c81e532fa452c5fbb90869b9e,you own cao cao and lu bu's sword 
1433.0,d475d719c934d7be50de697f08e41bee976fb940,012a5b513f67a4dc7fdf048fb159d74a557a5f0d he's older ; 
1455.0,31ba8e363c777091a877c3f1e2274baaa75dc559,712dbc961a5a2b7102cb1ea6339b6fa79bcf0d4b lovin the game so far enjoy cohhbeer seemsgood 
1468.0,fefb45d633407b0bac6de1046379f7b99e8e1503,research teleportation technology 
1483.0,e056aaf194f50de367aa70c5d74d39595973642c,are there mounted archers in this game 
1487.0,22872c2f598d83292e1d3104fa68356ff09aa041,yeah 
1506.0,0dace797e8964e1a259766e76ae74dcf9d798b63,dose lu bu in this game still rise the red hair 
1552.0,45ed5eecf2417833f510d8e764a32227d6a0a932,action check out the late shift stream team to see five of the goofiest most entertaining streamers on twitch check them out here: http://burke black/ls_team 
1557.0,4984d1d3a16609fcb8e1307afb4e902759b992be,dauntless 
1557.0,45ed5eecf2417833f510d8e764a32227d6a0a932,want to get your hands on a burkeblack dauntless flare burkehmm well now you can burkepog head to https://burkeblack tv/dauntless/ to claim your own burkeblack dauntless flare 
1577.0,31ba8e363c777091a877c3f1e2274baaa75dc559,0dace797e8964e1a259766e76ae74dcf9d798b63 red hare is lu bu's main horse no so i would think its in-game 
1582.0,419202da8db3226797459bf2e8b86b00d4784726,so i just walked into my bathtoom and theres on single spider strand going down in front of my mirror guess i have to now burn down my bathroom 
1587.0,012a5b513f67a4dc7fdf048fb159d74a557a5f0d,i 
1591.0,1b5cec3d09ff0570adfd8ad7c82ae85b70ba24fd,burke i'm robman8908 know you probably don't remember me but i wanna play a song :d can i play a song for you 
1618.0,3e5b6c064797941551862264570059675b90b172,don't fear spiders they are generally good 
1636.0,419202da8db3226797459bf2e8b86b00d4784726,we have brown recluses here in illinois 
1641.0,419202da8db3226797459bf2e8b86b00d4784726,so no thank you 
1645.0,3e5b6c064797941551862264570059675b90b172,ahs 
1653.0,012a5b513f67a4dc7fdf048fb159d74a557a5f0d,d475d719c934d7be50de697f08e41bee976fb940 ok it just felt like it 
1656.0,3e5b6c064797941551862264570059675b90b172,not a fun one 
1663.0,c134020d4476eefe06d21db878f95dff8dd2cb89,spiders outside i leave alone spiders inside meet their maker 
1707.0,3e5b6c064797941551862264570059675b90b172,i don't kill them but we do not hve wild poisoness here 
1707.0,1b5cec3d09ff0570adfd8ad7c82ae85b70ba24fd,happy af that you've gotten so far in streaming my dude <3 
1712.0,91de74a892a1e1e9efa12c29c5ac6b951806ca04,i judge inside spiders by their size and their intrusion upon my path 
1726.0,1b5cec3d09ff0570adfd8ad7c82ae85b70ba24fd,remember when it was like 100 on a good night lol 
1729.0,419202da8db3226797459bf2e8b86b00d4784726,brown recluse is the worst common breed around here 
1732.0,31ba8e363c777091a877c3f1e2274baaa75dc559,but spiders just want creepy crawly races round peoples homes if you kill'em your destroying the spider race cohhbeer minik 
1752.0,062845558c932f96ac2ef8a6fee7215f0584fb6d,hello boys and girls 
1754.0,012a5b513f67a4dc7fdf048fb159d74a557a5f0d,regardless i'm addicted to burke it started with atlas and had ended up me just enjoying his personality i like burke :-) 
1756.0,419202da8db3226797459bf2e8b86b00d4784726,oh i got a spider up on corner of my bedroom 
1761.0,062845558c932f96ac2ef8a6fee7215f0584fb6d,i'm glad to see you 
1764.0,419202da8db3226797459bf2e8b86b00d4784726,but its as basic wolf spider 
1764.0,2072a4ffbc53d170fd602735e6705232603ca067,i killed one the other day crawling on my leg felt bad but i was watching porn at the time 
1764.0,45ed5eecf2417833f510d8e764a32227d6a0a932,[tusk1395] pg-16 means not using that bad word [please don't send religious poltical or obscene messages ] *warning* 
1768.0,062845558c932f96ac2ef8a6fee7215f0584fb6d,what's up 
1776.0,419202da8db3226797459bf2e8b86b00d4784726,i also cannot reach it 
