Time,User,Message
0.0,0bfb574a62471be2d409a8b5abb3479303c61cf7,d: 
0.0,e7bdb3878098923efd272c9178193601f9174193,awww 
1.0,42469310099b8b339b7cc2299bf2bd4a11c794ac,why isn't sym streaming 
2.0,70addba0dccfb82349b1f92988ac129dd1ec7dbf,bnroke 
2.0,f123fdbb50d6657548d36d41d6d1f9f567ffff86,widepeepohappy 
3.0,7eccf0244cc152d6f9ed08101e1444c9e9f514af,davidlowk lulw 
3.0,70e1a15aaff5cc35632a333b4ab41c9f98fcfeea,they about to fight lmao 
7.0,3a37f216d5111abf84b70755057be28d5fb99c8f,kill em 
9.0,017778e0b67652821c7018b8792e806e973818e8,:333 
13.0,7b7c3687d68a6b7c1f928627305885e69d2cc12b,monkarun 
14.0,0c13e303261678b3429dfb69217574583ffd15c4,d: 
17.0,e4bb25626646f03e1cb01b0e11d67d06ef21626c,68a19381b16a24cfe44cecbb0ee805f6568a4e88 forsencd 
17.0,d9d0cbf630a362ba11b60bf87401734880364958,pepepls 
19.0,ae7653440432eab82b5f03304400efb5f5b6ceda,n omegalul 
19.0,b1a87621d44a0de3e7b6ecf186dcbdf98350cc9f,xqcpoppin snackies 
20.0,60261f551d324856dfaf231dfeac2678c8a6e67b,snackys 
20.0,bd324d4aac1c85580267bf1bc89e399218b0e2b5,widepeepohappy 
20.0,0bfb574a62471be2d409a8b5abb3479303c61cf7,they about to eachother lul 
22.0,673e49ea3b79db96aaa4f309bdda476d34b47dfb,drop a diamond block in there 
23.0,eaeb7c0a3f6364ea0d18bf937672cc29fbcf0681,brooke15wave 
23.0,a8767dc1836a0aedbe40cfda204a8255253bd227,snackeez i remember those 
23.0,f1db3ebc83e15af7ad4e7bbcda5b67a568ff3d7f,brooke thinks those foxes are real lowkey 
24.0,518805a3572da40c78fb713fddfeb22e83816267,awh the foxes are so cute qtsblush 
26.0,7eccf0244cc152d6f9ed08101e1444c9e9f514af,imagine not being a poki sub in 2019 
28.0,68a19381b16a24cfe44cecbb0ee805f6568a4e88,poki1 poki2 xqcthonk xqcthonk xqcthonk xqcthonk xqcthonk xqcthonk xqcthonk xqcthonk xqcthonk xqcthonk poki3 poki4 
29.0,5aa30416c769aea212fd63dce8152fd800deadb3,brooke woud be a good nurse in a retirement home 
29.0,60261f551d324856dfaf231dfeac2678c8a6e67b,snacky 
29.0,f600f05eec24eb2aae90ab8ec6b8d6670f875904,poki1 poki2 
30.0,50191d54293bb08433580ed7f07136ae12d84ef9,chip chop 
34.0,5aa30416c769aea212fd63dce8152fd800deadb3,:) 
35.0,cb725dd17c6f2dcf890118311fc992077600418a,lul lul lul 
35.0,d9d0cbf630a362ba11b60bf87401734880364958,taylor swift pepepls 
35.0,9869bda51b1064c7cdb74367e2b5f518745597e4,a snack monkaw 
36.0,68a19381b16a24cfe44cecbb0ee805f6568a4e88,forsencd 
36.0,60261f551d324856dfaf231dfeac2678c8a6e67b,yess a snacky 
38.0,5aa30416c769aea212fd63dce8152fd800deadb3,kappa 
38.0,977ad20f4fc10e6d092ea64940a86ba99dc1f931,let's goooo broooookab i 
38.0,ee300b1004ace64d1f103178e12549151f1873ca,polio thumplove 
40.0,2a7ac1ff0b7ac770c469c140ed2c916d7de514eb,lul 
41.0,a8767dc1836a0aedbe40cfda204a8255253bd227,in da hood we call em snackeez 
41.0,60261f551d324856dfaf231dfeac2678c8a6e67b,snackys 
42.0,6d7141f46937e5818ed6f98ab2f801b49b71711b,100 dollars to kill one trihard 
43.0,87c85d48f78bbfd5fcd2cae7857aded35a29112c,right click on them with berries 
43.0,ba513d4a5499022471209b8ff1f3db6795bfadad,alexiahmm alexiahmm alexiahmm alexiahmm alexiahmm 
46.0,30941f2b7a6e259037c78b8fc521a1c162bf1b85,make the den big 
46.0,518805a3572da40c78fb713fddfeb22e83816267,oh sheesh brooke15laugh 
46.0,aa683c1ffb0d8a422b596d2a0058924a846473a5,you ever played destiny 71d1cca71086cdf55a01816a5aee97569594058f 
47.0,a8767dc1836a0aedbe40cfda204a8255253bd227,bryan f again 
47.0,2a7ac1ff0b7ac770c469c140ed2c916d7de514eb,pepepls 
48.0,70e1a15aaff5cc35632a333b4ab41c9f98fcfeea,now they have a fox slaughterhouse 
48.0,aa5c54c01a98e0754e3222b558276ee93a97facb,d: 
50.0,ca3c95cfe34d871591712e71da68395e8082dea8,a snak 
51.0,d4697d52f109310c969ecdbe634310f682187be2,sooo cringy 
51.0,7b7c3687d68a6b7c1f928627305885e69d2cc12b,pepepls 
54.0,75f45408422788e8470838d1e9591128e8824bff,uptime 
54.0,518805a3572da40c78fb713fddfeb22e83816267,we love snackies tlchapoof 
57.0,c803a846d6a9f349094e5a4fd6136ff84774a403,7eccf0244cc152d6f9ed08101e1444c9e9f514af okay really resubbing tomorrow pepelaugh 
58.0,c40c4b1d2592df3f29f88b1e364a703eb41dd2d1,brooke teaching sym how to drive stream make it happen brooke15laugh brooke15laugh 645d063964cecd9b2d608dbe509fa0f655cf7fca 
60.0,51c5d9cfb19a3edfbf435c49dc6cf2982c025d6c,i imagine this is how you talk to sym at dinner when he eats 
62.0,673e49ea3b79db96aaa4f309bdda476d34b47dfb,ill gift 100 subs if you kill one 
62.0,68a19381b16a24cfe44cecbb0ee805f6568a4e88,pepelaugh 
65.0,a8767dc1836a0aedbe40cfda204a8255253bd227,6d7141f46937e5818ed6f98ab2f801b49b71711b this ain't fitz lul 
65.0,bd324d4aac1c85580267bf1bc89e399218b0e2b5,waitwhat 
66.0,19baf597c42f527edfa64f436134dcfef1fc2b45,hi brooke just got here 
66.0,aa5c54c01a98e0754e3222b558276ee93a97facb,645d063964cecd9b2d608dbe509fa0f655cf7fca $100 to kill one 
66.0,f1db3ebc83e15af7ad4e7bbcda5b67a568ff3d7f,abmr is back 
67.0,c1a0907a2164b70617f0044e19830f1c0f3b6d46,artic fox 
69.0,f123fdbb50d6657548d36d41d6d1f9f567ffff86,pepepls 
69.0,68a19381b16a24cfe44cecbb0ee805f6568a4e88,i hate this 
70.0,8b48c4f8141ab05406d766ca87dc59a2a25ffb33,71d1cca71086cdf55a01816a5aee97569594058f thank you so much for the gifted sub i didint even notice until now thank you :)) 
70.0,d9d0cbf630a362ba11b60bf87401734880364958,starbucks lovers pepelaugh 
70.0,673e49ea3b79db96aaa4f309bdda476d34b47dfb,and sub myself 
74.0,bd324d4aac1c85580267bf1bc89e399218b0e2b5,oanzty 
74.0,05ef10eb598564d1b4b573fb3035852f40678f8e,right click to feed 
74.0,09e4d29aaf0e5fdcc6117dfe1154f578f35c9d41,jay lmaoo 
75.0,1057b6c0bbceb712fe11000ca46bf7f2766bd279,can i have snackies brooke15hypers 
75.0,68a19381b16a24cfe44cecbb0ee805f6568a4e88,poki1 poki2 
75.0,bd324d4aac1c85580267bf1bc89e399218b0e2b5,pepelaugh 
76.0,518805a3572da40c78fb713fddfeb22e83816267,i like this song but you didn't hear it from me bings 
76.0,a8767dc1836a0aedbe40cfda204a8255253bd227,51c5d9cfb19a3edfbf435c49dc6cf2982c025d6c it probably is 
79.0,68a19381b16a24cfe44cecbb0ee805f6568a4e88,oop 
82.0,7088591e6490d5a45dd7aa64bc23919dd6cfee98,ok does it say starbucks lovers 
83.0,d9d0cbf630a362ba11b60bf87401734880364958,pepepls 
83.0,cce4967ecd54447488cb5ab1dd2456502b61fb2c,7ebb112a9eec6e8cda08078b4ce5d87f8f8cebaf 
84.0,5aa30416c769aea212fd63dce8152fd800deadb3,51c5d9cfb19a3edfbf435c49dc6cf2982c025d6c she gots the baby spoon :) 
86.0,5de9b0b7cdff3d6dfa7da1caba5c21ef9498f61d,51c5d9cfb19a3edfbf435c49dc6cf2982c025d6c lulw 
87.0,b7a3763b458b28286994874bd6252283420f81d6,my guy this is a game 
88.0,5ccbc5d38ae0a3ebfe9df8991457e2cef29b292e,51c5d9cfb19a3edfbf435c49dc6cf2982c025d6c she prob does 
88.0,bd324d4aac1c85580267bf1bc89e399218b0e2b5,71d1cca71086cdf55a01816a5aee97569594058f read what jay just said pepelaugh 
89.0,67cb91e9754f82a6152ea4a6a317ce8d6d473f42,couragedad couragemilk 
92.0,c97ccd3751e4b178c60fedab68726b1cedbf11cb,brooke you are the best 
95.0,6a962a53b3375bcb76267e9b189eaf69b196a3fd,do a live feeding 
96.0,ce94294b2a1b25416035c31efdda8f101fc56abb,fox cage residentsleeper 
98.0,1057b6c0bbceb712fe11000ca46bf7f2766bd279,it's the opposite 
98.0,68a19381b16a24cfe44cecbb0ee805f6568a4e88,pk pokiw 
99.0,a8767dc1836a0aedbe40cfda204a8255253bd227,“come here mason you want a snackies” 
102.0,2a7ac1ff0b7ac770c469c140ed2c916d7de514eb,pepepls 
104.0,b1a87621d44a0de3e7b6ecf186dcbdf98350cc9f,71d1cca71086cdf55a01816a5aee97569594058f foxes will spawn infinitely therefore they are not endangered 
105.0,bd324d4aac1c85580267bf1bc89e399218b0e2b5,jay pepelaugh 
107.0,5cdafad94caab7c22c2a56f52e2bdf7743d7a695,71d1cca71086cdf55a01816a5aee97569594058f can foxes have babys 
107.0,166e1d9f9cfccdd516dba79b92aa709895cd4514,true 
108.0,6d7141f46937e5818ed6f98ab2f801b49b71711b,a8767dc1836a0aedbe40cfda204a8255253bd227 fax lul 
109.0,c803a846d6a9f349094e5a4fd6136ff84774a403,bd324d4aac1c85580267bf1bc89e399218b0e2b5 yo wassup midget trihard 
110.0,70e1a15aaff5cc35632a333b4ab41c9f98fcfeea,i'll call peta 
110.0,e41e63a84b51936d7bed4ea5f736fcc7e33d27fb,2 deaths brooke15gasm 
113.0,5ee322e8590aea1989adddd2b0ff7f358fb1a397,i want snacking 
113.0,b6367975083a9c44f3d4a9d0c78ec663c9462ec5,i really be eating corn rice and ribs at 10pm lmao 
114.0,f34b515c6a31ad96ecd4e9dfe556fc38700ab208,brooke what about the turtles 
114.0,518805a3572da40c78fb713fddfeb22e83816267,bryan tlchapweeb 
117.0,09e4d29aaf0e5fdcc6117dfe1154f578f35c9d41,d: 
117.0,2da64f6de820914e6e904d95902c0389df7bdc13,invite chibi to call 
117.0,d9d0cbf630a362ba11b60bf87401734880364958,pepejam 
117.0,75f45408422788e8470838d1e9591128e8824bff,where sym go 
118.0,5ee322e8590aea1989adddd2b0ff7f358fb1a397,snackies 
118.0,5aa30416c769aea212fd63dce8152fd800deadb3,here u go babay 
118.0,7b7c3687d68a6b7c1f928627305885e69d2cc12b,pepepls 
120.0,18f8c32541223c809fd7ffea47400e8d6dc1e861,wait 
122.0,bd324d4aac1c85580267bf1bc89e399218b0e2b5,c803a846d6a9f349094e5a4fd6136ff84774a403 cmonbruh 
122.0,8b48c4f8141ab05406d766ca87dc59a2a25ffb33,brooke15love brooke15love 
125.0,432c579645524db19157eea8cb5f940171617f11,can someone whisper me i have a question it's only for someone who has had a sub in the past months or months 
125.0,673e49ea3b79db96aaa4f309bdda476d34b47dfb,sym do it 
125.0,8b782881af6bdb662df2112d9678f014c2fe76d5,is that horse drunk 
126.0,a17187804615dbef953eb0c5d77e8e779736e36d,peta 
127.0,c40c4b1d2592df3f29f88b1e364a703eb41dd2d1,brooke teaching sym how to drive stream make it happen brooke15laugh brooke15laugh 645d063964cecd9b2d608dbe509fa0f655cf7fca 
127.0,68a19381b16a24cfe44cecbb0ee805f6568a4e88,imma try it again 
128.0,2a7ac1ff0b7ac770c469c140ed2c916d7de514eb,poor chickens pepehands 
128.0,ee300b1004ace64d1f103178e12549151f1873ca,yaoxku ribs brooke15gasm 
130.0,978f884a2f775c6994f9efa8ada90018ea628998,hi brooke how are u 
130.0,f2b25f7932cf1665e0a360363884dd428f2da129,71d1cca71086cdf55a01816a5aee97569594058f isn't it crazy i'm a sub brooke15gift 
130.0,a17187804615dbef953eb0c5d77e8e779736e36d,in here 
131.0,f47a1c69541bf55642fa4c26de372384eb44150d,the horse updside down 
132.0,d9d0cbf630a362ba11b60bf87401734880364958,a whole zoo pog 
134.0,c83c0116647c63c4ecedd5c2c90d15ccbaebb63f,hello 
134.0,7eccf0244cc152d6f9ed08101e1444c9e9f514af,please don't brooke15cry 
135.0,5e14db98c209901cf8201247f73fde6b0886e0e5,d: 
135.0,afa3b69c8fbb4951d63f9760c56fe8da002f6231,i want cereal but theres no milk :( 
137.0,d8fa6553194ac08ed2373f2350fbfc6bce1c6a5a,the title lol 
143.0,0bfb574a62471be2d409a8b5abb3479303c61cf7,jurassic park all over wgain 
144.0,b3a3c3653711178acfa8ad028e941aa992aae9c4,symfsip symfsip symfsip 
145.0,f1a762a3d9f50884659705ae56f3db9e5749108c,thats like an airlock in rust lulw 
146.0,e7bdb3878098923efd272c9178193601f9174193,#savetheturtles 
147.0,5e14db98c209901cf8201247f73fde6b0886e0e5,brooke15hands brooke15hands brooke15hands 
147.0,c83c0116647c63c4ecedd5c2c90d15ccbaebb63f,ssssss ssssss ssssss ssssss ssssss 
149.0,c83c0116647c63c4ecedd5c2c90d15ccbaebb63f,ssssss ssssss ssssss ssssss 
149.0,391122336483793ab5eeaf7d4a5271e4511a00a8,everyone bouta go vegan 
150.0,5aa30416c769aea212fd63dce8152fd800deadb3,use water afa3b69c8fbb4951d63f9760c56fe8da002f6231 
150.0,c83c0116647c63c4ecedd5c2c90d15ccbaebb63f,ssssss ssssss ssssss ssssss ssssss ssssss 
151.0,1a109139617efb412e53ff29f7abacae68bec06c,sym stream 
152.0,a8767dc1836a0aedbe40cfda204a8255253bd227,come here masey wasey i got snackies for you 
152.0,d9d0cbf630a362ba11b60bf87401734880364958,not the baby chickens d: 
152.0,51c5d9cfb19a3edfbf435c49dc6cf2982c025d6c,afa3b69c8fbb4951d63f9760c56fe8da002f6231 just use water :) 
152.0,c83c0116647c63c4ecedd5c2c90d15ccbaebb63f,ssssss ssssss 
153.0,7eccf0244cc152d6f9ed08101e1444c9e9f514af,no brooke15cry 
153.0,7b7c3687d68a6b7c1f928627305885e69d2cc12b,d: 
153.0,c83c0116647c63c4ecedd5c2c90d15ccbaebb63f,ssssss ssssss ssssss 
154.0,bd324d4aac1c85580267bf1bc89e399218b0e2b5,d: 
155.0,c83c0116647c63c4ecedd5c2c90d15ccbaebb63f,ssssss ssssss ssssss ssssss ssssss 
155.0,d9d0cbf630a362ba11b60bf87401734880364958,omg d: 
156.0,68a19381b16a24cfe44cecbb0ee805f6568a4e88,i need to get gifted to sym tomorrow pepelaugh 
156.0,fc25148ed9eca0cb9151565b06627da25a4fc300,d: 
156.0,bd324d4aac1c85580267bf1bc89e399218b0e2b5,wtf d: 
157.0,afa3b69c8fbb4951d63f9760c56fe8da002f6231,5aa30416c769aea212fd63dce8152fd800deadb3 ew 
157.0,e4bb25626646f03e1cb01b0e11d67d06ef21626c,d: 
158.0,d5cd580339050e255a0332a6ae28aec47db65378,hi chat brooke15wave 
158.0,ad5d73cfa8d1186bde5bb5b06050582fe8f68e54,d: 
