Time,User,Message
0.0,98f6dc994dfe242933ff672678d5eb0d441c339c,okay gachigasm 
9.0,13906fa0bb375e98adc1e6fce473f24bb82c0e64,wutface wutface 
14.0,816b2fbbc1f0487e2e458e3da8667d96d51c21fa,yes sir gachigasm 
19.0,6522d23a8546a9e81caea954abf0d27ba0c087a0,kappapride 
22.0,b2d8dae0c6fe5d43abaa334f89684e6e97231f21,ok kappapride 
24.0,97cbb5cdec11467ac140b44a5b91978f044221ba,uhhh okay 
25.0,215c3db38affac9ed2bf35caab9b317e3d965a75,heal 
38.0,4128fecfe7685a6c810214d3eaa3f591550b86d9,sure its sunday why not kreygasm 
62.0,215c3db38affac9ed2bf35caab9b317e3d965a75,yes 
65.0,1c8a9386f07ef27cd00259002587d6aef29a8b61,y 
82.0,65bce2ed523b86ca0224d206e179a007815469c1,c4c6bc29260ecd775f5b73d36fc0e87718e40141 
99.0,c2f9f828cd8304832cb2c8c766009ebe5ef9e349,monkas 
112.0,8844d3bcdfd487c94ef02e37c15445f3c6f3330d,pepehands 
115.0,1c8a9386f07ef27cd00259002587d6aef29a8b61,lul 
118.0,c2f9f828cd8304832cb2c8c766009ebe5ef9e349,lethal wutface 
121.0,1c8a9386f07ef27cd00259002587d6aef29a8b61,serious smorc 
122.0,215c3db38affac9ed2bf35caab9b317e3d965a75,damn 
127.0,f8009347382f0e3259613e447419a9a7601ceac2,143 lul 
129.0,b2d8dae0c6fe5d43abaa334f89684e6e97231f21,blastoise so good lul 
130.0,13906fa0bb375e98adc1e6fce473f24bb82c0e64,trolden 
146.0,699bde9a33491105754d613551c5485c8af8e938,dat 8mana card won him the game heyguys 
185.0,7ead26553a47f91db22b179fee7af55784fe0052,blastosari powerupl ea1flm lul rupr han 
188.0,e22ed5421cf1f8ebd8fd0a3e85f98a903c5dced6,that ancient of war was rough too 
197.0,9075edd2df8e8b7a1bdc0a4c7583498e9dd24717,everyone that said squid1 squid2 squid3 squid4 was bad 
203.0,1c0b53029e5fd30915a03cc85d60ea2c2d26a9d4,gachigasm 
204.0,215c3db38affac9ed2bf35caab9b317e3d965a75,monkahmm 
205.0,3ca1cb1e834d0431c0e7d82a63f69e6a68ed8269,omegalul 
208.0,13906fa0bb375e98adc1e6fce473f24bb82c0e64,*** jebaited jebaited 
213.0,7db1b261374ca8e8eb9510920757dbad5b0834a5,me :) 
215.0,215c3db38affac9ed2bf35caab9b317e3d965a75,babyrage 
216.0,383e6abf3bc6c56a1875fd72889c200b3c22fb7c,me 
216.0,2a898a527486c9d6145281792613e42eaec8aaab,me :) 
218.0,175cd5fd5c8e695931c3a0add8e2b26dfa676604,yes 
220.0,ec1cce7a54b873194dbd11a63077ce8f7f622b40,i am 3 
220.0,1c8a9386f07ef27cd00259002587d6aef29a8b61,yes hahaa 
221.0,2538f33bef5d0ad020d49ca828dc263fbbdd160e,im 35 - basically a kid 
225.0,377ac4fcd22ab19e2c95402f83ca4609246efd27,yagutweeb 
227.0,b2d8dae0c6fe5d43abaa334f89684e6e97231f21,i am 6 years old :) 
228.0,1e6a3dac1efd9a989837fc4e0e51be8e850402e1,ellostop 
228.0,13906fa0bb375e98adc1e6fce473f24bb82c0e64,i am kid biblethump 
230.0,383e6abf3bc6c56a1875fd72889c200b3c22fb7c,fuck 
231.0,2380b727e204cbff240e2d5adda286bbbc19cb5f,i am 8 years old 
232.0,175cd5fd5c8e695931c3a0add8e2b26dfa676604,ban that sick filth 
232.0,97cbb5cdec11467ac140b44a5b91978f044221ba,im 12 and what is this 
238.0,2e1b75dcc8ebdd16eca9e4719ce891dc48765ab5,im a kid can i see your rabbit 
243.0,dfe325803bea5e29bfbe9647825f83ee634300a4,think of the kids 
245.0,2db78ebd2462830344b803b2891b686f257a00a4,only 26 yo still 15 in head 
246.0,4128fecfe7685a6c810214d3eaa3f591550b86d9,i was a kid until i read this pepehands 
248.0,9d2f38ffeb5e343ce04b6c9041e4d872a4811187,i am 12 and what is this 
250.0,289180e06b6ec8de66a0b7bc438da6cfef8f7a68,hi 729e4a900de81caf04184056597cfab5ad4bced7 its your parents we are very disappointed in your rank get top 10 or don't come home this thanksgiving 
261.0,1e6a3dac1efd9a989837fc4e0e51be8e850402e1,impybow 
261.0,9075edd2df8e8b7a1bdc0a4c7583498e9dd24717,im 12 wat the fuck 
262.0,215c3db38affac9ed2bf35caab9b317e3d965a75,he stole our innocence biblethump 
263.0,596aabc07c5f62878e26a7b2b3293d1e63aab6ec,i'm **** years old 
267.0,c2f9f828cd8304832cb2c8c766009ebe5ef9e349,oof 
275.0,383e6abf3bc6c56a1875fd72889c200b3c22fb7c,yes 
277.0,d8f3382066b277b7b8296723d0ce324d0f785fc1,yes 
279.0,d8f3382066b277b7b8296723d0ce324d0f785fc1,:) 
283.0,1c8a9386f07ef27cd00259002587d6aef29a8b61,you dad 
284.0,377ac4fcd22ab19e2c95402f83ca4609246efd27,fair and balanced as always kappa 
287.0,2a898a527486c9d6145281792613e42eaec8aaab,murloc paladin is all about skill 
290.0,2e1b75dcc8ebdd16eca9e4719ce891dc48765ab5,ehrenss ehrensx ehrenstime 
291.0,ab3cf7d331a435ca6a671175f0b86de2ce4b0f24,yes 
291.0,c2f9f828cd8304832cb2c8c766009ebe5ef9e349,quest done turn 4 lethal on turn 5 kekw 
321.0,215c3db38affac9ed2bf35caab9b317e3d965a75,priest dansgame 
328.0,0c9ce849c9f53ec0f68ead3e9a362916da6fc659,at least the loss didn't waste your time kappa 
330.0,383e6abf3bc6c56a1875fd72889c200b3c22fb7c,cuz bad 
330.0,55ef694c7d7606b09dbd90574a4fab9a82fd3b63,<3 
331.0,c2f9f828cd8304832cb2c8c766009ebe5ef9e349,no cleric on 1 
337.0,2380b727e204cbff240e2d5adda286bbbc19cb5f,yesterday i gave a druid a 12/12 on turn 3 as a priest lul 
339.0,2e1b75dcc8ebdd16eca9e4719ce891dc48765ab5,because the skillcappuccino 
359.0,39b61e15172d32e51e12d9e5e8e798bafcf4f34f,you lost because you aren't playing rogue 
370.0,4fb4513037c47693f1c1d23b369f4be862512832,lulw 
379.0,377ac4fcd22ab19e2c95402f83ca4609246efd27,link's awakening is a good deck play that yagutsmile 
