Time,User,Message
0.0,c8248fe2172160aa924d21c5cdfa4a34e3bb5214,trihard 
1.0,aeb8e634258c4ee15d18d53f1b1f1becbeb93d01,trihard 
1.0,8f36fe375a4db7fea0360271ae07123c97850d51,trihard 
2.0,106798a0c41f9145c6b3ca1e92d8dc5fe019f3fb,oerpoergpoeropergoperoperopoerropropropkrkopgerporpoergpoeragpogerapo'aregoargeoprageokaergo'ergka'rgka'erfopgjdfgjsdfsdfkjrijgffmsdlfkweirjfdkgjsdkvjcnvjkdfg;sdiohjse;foigh[aeoirhgt'aoierhg'arioghaiohgaeroighairehga'eirgha'ierhga'iregh'zsdkfhb]aergiuj]are9usa'iohrga]erihg]sifgh 
2.0,20c00c8b0f0790af617fbb75055093931d858857,trihard 
3.0,477297439f2b438f543ea1d0a2cdcbd7ef9c11cd,learning pog 
3.0,c1f899c41417749772fb5dbd6f7733824a9d4baf,73ba9389c4d6fafcd0cced274fac85b82e929988 just make one and het a few stone 
5.0,89a18bdce31131c0d0ab197b9acbb9a56aad8962,wood sword lul 
5.0,7d659f7c40c6713e7899c570f1cbb8e615ecfb22,whole lotta stick 
5.0,92f0159dd2af8490305eb3308f8bb8f3aec3b690,trihard 
6.0,4efdaf89e2999898570f9e06907e204c71279d85,trihard 7 
7.0,8b18cac5766ab32681e129661b1c5fafa2617bc7,wood axe lul 
7.0,8f85a0b97332625a2e625251f7c2dbfa9eb903a9,trihard enabled 
12.0,68980e37be2c141ae2befe1b32089c6d67e10eb9,trihard 
14.0,7aee428a09f97368b1e55abb537fc3460476019f,feelsgoodman 
14.0,9f28e13890217ac6211d8a0ada0efabf79d848ba,yeah you were so far 
15.0,63670bf869387b192afe3809a6ad066bf7b14055,pogweird 
16.0,89a18bdce31131c0d0ab197b9acbb9a56aad8962,poggers 
18.0,73fe835ef6dd93997cf5438d9df768c04ea4153f,wooden sword omegalul 
18.0,683f2fc31206d701416c6b4beae8ca687c372faa,from riches to rags feelsbadman 
19.0,908f0a3d86e3a60fb040f6d1f80cacf05fe8a2b0,gold splits pogchamp 
20.0,28052b5add4afdbce82cb21ada415a788056c667,vade1 
23.0,2f4a7fabaacb00740ded1ac4c8ed0ade1abb5e86,youre making me emotional clint 
23.0,85cf3d82dfcc6e13361f8c4126036ce517b55010,punoko 
27.0,753093ff9521c79af60012a005884b9fc7c39ab9,pixelbob 
28.0,a8744eecc232c7109c9256651e9d85868694e8bb,should make a clint stevens minecraft server 
29.0,76f729fba44ccfda91dcbec362234fb74ad5f34a,73ba9389c4d6fafcd0cced274fac85b82e929988 when crafting you dont have to click once and move it into your inventory you can keep clicking and it will stack 
30.0,294c98312b0f53cf78547be0c5ac5e0066a74f8b,it has made you stronger 
31.0,0eec4c0fcec775fd997804cba85d9ebdd93c0fcf,just go to the nether now with a bucket of water and that lava pit you passed 
31.0,3192a2cce3781fc960bc9133c1fad07927067eeb,make stone tools 
31.0,7d659f7c40c6713e7899c570f1cbb8e615ecfb22,make bedddd 
35.0,9449633dfdadfe15035cd908d86f015ff7f02702,ruruurururur 
37.0,7aee428a09f97368b1e55abb537fc3460476019f,monkaw 
42.0,5296ef8a9c818ae85b745e366cf97c412ce1847c,trihard now disabled until he says it again 
43.0,f7051ffd8c7b1cca73e2588a60fcb3de14ab6f18,monkaw herobrine will attack 
44.0,9ce1d7f090a4a696556c338e72f021902dec7ae4,you might as well accept your fate if that happens 
45.0,95a0aaa38760cd8ac7215c28c43f930255a71fd1,action hey chat take it easy please sometimes i see the same message posted twice take your time to actually read chat to avoid embarrassing incidents like this thank you :) 
45.0,b853fefc09a285169ffddc48dcc3e9a61b742b51,ssssss ssssss ssssss 
45.0,a1790497575304e6ae03020f855f052276779499,monkagun 
46.0,502ee523c89c5f0f44b919e35acf924e832caaf3,stay strapped 
46.0,753093ff9521c79af60012a005884b9fc7c39ab9,lul 
48.0,5e5f2118d5a0188761e6fe6b162029e696ef3844,n omegalul 
49.0,a1790497575304e6ae03020f855f052276779499,no :) 
49.0,76f729fba44ccfda91dcbec362234fb74ad5f34a,no 
50.0,7aee428a09f97368b1e55abb537fc3460476019f,:) 
50.0,61bc1d3188e444f6605fc78d6356fc483991c180,nah 
51.0,71b78489d8225e2cc5713c33359adc839a486a54,n omegalul 
51.0,63670bf869387b192afe3809a6ad066bf7b14055,no 
51.0,ba9b143eb578db15502ade2e33dc99a7b60e3f1a,no pogweird 
51.0,c82eab1fb6530d4135a5b69915b4bbad604c2688,make stone pickaxe 
51.0,cf8b94454060733e307d60f1521e8a7508867498,no :) 
51.0,8f72aa884880baadf74035f5b5da5eaa05997f9d,73ba9389c4d6fafcd0cced274fac85b82e929988 you should do minecraft speed runs 
51.0,92f0159dd2af8490305eb3308f8bb8f3aec3b690,n omegalul 
52.0,86f56fffb5e870146951cc993f979b1d235827b6,no :) 
52.0,595824a75376f881c72480a944ae60bbff041a13,no :) 
52.0,51e2f029264248d289781cf6fe11c31b7a401d9e,no 
53.0,b3ea60996abf30b7947dd4c967ef52891105a78b,no 
53.0,2f4a7fabaacb00740ded1ac4c8ed0ade1abb5e86,you have a tiktok 
53.0,63503f048ca3a6e80085c4bc229b90d738b146bf,tik tok omegalul 
53.0,08a8f5af25a182eadd3ea8f3928d767091b3c786,im good 
53.0,1dda72ced23f6e3f9c8ea17d79c2f3967062970d,no :) 
53.0,a6033086d3d06e6f3a5c0fe70be8aa2d8898f17d,no thanks :) 
54.0,cf16d5fe0c41f11213fbf76ea1fb0dd4bddfa2cf,no :) 
