Time,User,Message
0.0,ffac8a39f2bbf4055df0f9ff6804e14f1e020254,i think manure is a lot more tolerable than human shit lol 
3.0,19c7f46e3b1ddd38153975b368baf96cace294d1,brkderp lordofgeorge 
10.0,bb795e33e6d6634b74c9feb8e0cd1ebf57c5f38a,e1b4793a6741512c3ab7485df9f56852c7063b3a i ant sure made my brain hurt 
17.0,39f053374a77294a9fbbfbaa4fb20b3aa537ad8d,brkama follow brek on twitter https://twitter com/tsm_break brkpog 
28.0,84f3b917fcfb7ef02b21f180a37714a5a2da9362,2-stroke is the best smell on earth 
29.0,6b6bf8dbdcb3dbd3c6e3fe28d9b2004b517719ef,73d8da9843ee0af9daa3382f5dda5078264d3680 brkroger 
39.0,a03c6eaf5b9e968328fe8b14adc0dc2dfad0a7d7,chat it's been fun off now to watch re2 brkheart 
41.0,c1d09b6d5f312f6810e7fd54e71373f0380f4a82,it's the smell of money 
43.0,ba826626203f508472dde864c1346098cb548115,i grew up on a dairy farm you get used to the smell anyways 
55.0,fd79b4ab9f304120a7d1d40db43fb6327610e402,73d8da9843ee0af9daa3382f5dda5078264d3680 i think my issue w/ that place is that it was more of a 4/10 feeling on the house itself it's just the view that's making me really want it 
56.0,e1c586cdeaea6caa2e7d8dfddeebcbaf83dc5d2c,73d8da9843ee0af9daa3382f5dda5078264d3680 did you get the internet sorted at the new house 
59.0,b6e2bd9c0a20ccf44d413415a2837bf5079db3ac,thats country life 
60.0,ffac8a39f2bbf4055df0f9ff6804e14f1e020254,has a whiff little taste of the wind *pop* niiice 
61.0,f0d6cb227db4f67d05cfed20a8a14910dc4acedc,i kinda enjoy it i miss the farms i used to go on vacation too loved the smell of all the hay they used to put out for the horses and cows and hamsters man those were good times 
64.0,f2464aeab5410dd636c431027f0f3f5a05baca1c,yeah but every day and also if you hang clothes outside they gonna be smelly babyrage 
68.0,86dd7e6da3c354224bc4921a38ce4d184d27ac34,roger blyat let's get this win break 
70.0,7607747f98eda3c8cb2306415c95931332f62e56,because city smells are any better kappa 
73.0,fb826b51bb6be77b3b64a84f1d0df47ddc67d232,so did i ba826626203f508472dde864c1346098cb548115 fermented silage water is a diff matter lol 
76.0,cecd12ff58310cf1a0f304435e7316728ffe2c6a,wtf is the connection with motorcross and shit 73d8da9843ee0af9daa3382f5dda5078264d3680 
88.0,fd79b4ab9f304120a7d1d40db43fb6327610e402,motorcross is done in fields 
88.0,f0d6cb227db4f67d05cfed20a8a14910dc4acedc,he was shit at motorcross 
91.0,fd79b4ab9f304120a7d1d40db43fb6327610e402,fields often covered in shit 
94.0,567e5d018d438ff429f350174ccedd904ea04682,move closer to llandegla 
96.0,8441db0e09c67826c19680fb49d1e3db9e53a27d,dude press alt 4 it will make u op 
101.0,0298d1831ab72d79d7bd8a69ad472b0c32b34b7e,f0d6cb227db4f67d05cfed20a8a14910dc4acedc lul 
103.0,e1b4793a6741512c3ab7485df9f56852c7063b3a,you definitely get used to the smell it's honestly not an issue 
105.0,b44a7b72ead31a95b91509bb487db8698c17ca64,fd79b4ab9f304120a7d1d40db43fb6327610e402 the only thing you cant change about a house is the location 
108.0,ba826626203f508472dde864c1346098cb548115,fb826b51bb6be77b3b64a84f1d0df47ddc67d232 yeah some smells are best to not make into candles lul 
108.0,cecd12ff58310cf1a0f304435e7316728ffe2c6a,i prefer namelessdudes answer 
116.0,fb826b51bb6be77b3b64a84f1d0df47ddc67d232,lol 
119.0,f0d6cb227db4f67d05cfed20a8a14910dc4acedc,lul i'm on fire today with my jokes keepo 
121.0,d66eb52afea706c7415f300e10aa1af1564dfa2c,what gun was that 
127.0,ffac8a39f2bbf4055df0f9ff6804e14f1e020254,b44a7b72ead31a95b91509bb487db8698c17ca64 unless it's a camper van xd 
130.0,8441db0e09c67826c19680fb49d1e3db9e53a27d,sorry just playing lol 
136.0,6b6bf8dbdcb3dbd3c6e3fe28d9b2004b517719ef,d66eb52afea706c7415f300e10aa1af1564dfa2c the aug 
