Time,User,Message
0.0,e5e114d4f40cd83578f86fba841d5e48495d7377,9be90d603bbe7e7ff75264c4de25dbf25f4ba7ad missglick 
4.0,178485118448e49e7d0db7db9d01b2f430a56de8,but you fought for the banner 
12.0,3ec0626f4ae606ccc29ca2a11a7f9b925f1b7491,chat going psychotic about bad omen 
13.0,7925b79c5f9e49c314b10aaef58ab939d5aa3a81,alexiaaaaa qtscute 
14.0,e19b4dc61ac342d7adc312582748cbb016eed743,get it girl 
16.0,8212aeaad8813fb3866eb45b08844737b3ab22e4,no banner chat alexiarayed 
18.0,9694500c026c37d6687f347d46b37f0a493eb57a,178485118448e49e7d0db7db9d01b2f430a56de8 wait are you same person from hsc 
20.0,50382fbf5c05dc428d01c7c6ab5ab2ae757465dd,getting tired yet alexia 
22.0,a50f8081422183bc662e9b3196b8815cace2438b,what does the milk do lol 
23.0,c2836811f2b8ded16b9c0528b7ccbec27b039ba5,19 hours woo alexiah 
28.0,5931e3c31a9245d5a1f1c46b851cb7671f33e9e2,time for spiders 
29.0,b05c7428fb7a531109b201ae163ae0844a7fc7c7,the banner is epic tho 
29.0,3ec0626f4ae606ccc29ca2a11a7f9b925f1b7491,she was tired a long time ago 
30.0,e19b4dc61ac342d7adc312582748cbb016eed743,noice 
32.0,4777480213977d6406f5a1bfd9a9145870b51e8b,banner is ugly too lol 
32.0,5a605b47cb42ac1a7a5ecc83d91a111239056a81,how many subs this stream 
32.0,178485118448e49e7d0db7db9d01b2f430a56de8,yep :thumbs_up_medium_skin_tone: 9694500c026c37d6687f347d46b37f0a493eb57a 
33.0,f2efc9fc14dd85d2173181fc3d76ebd459ca6af8,syknugg 
40.0,b05c7428fb7a531109b201ae163ae0844a7fc7c7,kill spider 
41.0,17dcb4ee30e988341a83ec796e6f7f28074eb3ee,i decided to stay up 
42.0,839215b7af12bef862c0c0d757de8cdb5957392a,burn the banner 
43.0,17dcb4ee30e988341a83ec796e6f7f28074eb3ee,so fml 
44.0,d3ca37a182d6733ba62b9f2c2349142898ee6f7e,alexiah alexiah 
47.0,c481a19dd558b0a417c574df00b0040e33531710,cook ur meat 
47.0,b05c7428fb7a531109b201ae163ae0844a7fc7c7,wack 
53.0,e19b4dc61ac342d7adc312582748cbb016eed743,latchhing 
54.0,0b4ed051196217176c7e7604b907122466e5def4,ssssss 
56.0,9694500c026c37d6687f347d46b37f0a493eb57a,178485118448e49e7d0db7db9d01b2f430a56de8 nice i hope you have been great alexialove alexiauwu 
56.0,288fe5b14de1c98309818475f1a4958947014bf0,lekalihug 
57.0,279d754561c91273231ecbdfee491fef17f81d96,f 17dcb4ee30e988341a83ec796e6f7f28074eb3ee gl 
61.0,17dcb4ee30e988341a83ec796e6f7f28074eb3ee,why not 
62.0,288fe5b14de1c98309818475f1a4958947014bf0,why not alexiahmm 
62.0,c2836811f2b8ded16b9c0528b7ccbec27b039ba5,17dcb4ee30e988341a83ec796e6f7f28074eb3ee oh rip lol 
66.0,5db49647ed2b78735f6623da326776b5b59e2634,me irl 17dcb4ee30e988341a83ec796e6f7f28074eb3ee 
67.0,f0cd8f49dd38f74291b9cfe988171dc03d4d915f,but chat wants it cloakstare cloakstare cloakstare 
69.0,17dcb4ee30e988341a83ec796e6f7f28074eb3ee,gotta support my friend 
69.0,d71f132c5dde3e9fa59866c14080fe97503a583b,w 17dcb4ee30e988341a83ec796e6f7f28074eb3ee 
73.0,17dcb4ee30e988341a83ec796e6f7f28074eb3ee,missgswole 
81.0,e5e114d4f40cd83578f86fba841d5e48495d7377,missgcozy 
89.0,7c227343acc006347d086b12e89c139751fb0e0f,get mending 
91.0,20f79d80cb0cc42be76c602a6840e323777153e6,i nominate greatest human alive to jamie 
91.0,7925b79c5f9e49c314b10aaef58ab939d5aa3a81,qtssip 
93.0,b40d34d87ffc97d7515e6ad5e0e6376e11a9410b,milk removes all potion effects chat good and bad 
96.0,567ac527d820921e55e9a38c63db2b97e7fe5557,enchant your armour 74c29407364c4b48ec2d473b778b97b8455aad93 
100.0,5f1cd2d8645447e176bef98a9aaaf8b208702052,whatd ya get on your pickaxe 
104.0,13dd2a84c8fc3080834218c320ba3e52c3147365,i gtg hope the best with your sream 
105.0,17dcb4ee30e988341a83ec796e6f7f28074eb3ee,i havent shown enough support recently so now is a better time than any other 
110.0,178485118448e49e7d0db7db9d01b2f430a56de8,doing well hope you are too lost my minecraft house to fire last night sheesh lol 9694500c026c37d6687f347d46b37f0a493eb57a 
134.0,e5e114d4f40cd83578f86fba841d5e48495d7377,178485118448e49e7d0db7db9d01b2f430a56de8 gg i was the fire 
135.0,5f1cd2d8645447e176bef98a9aaaf8b208702052,lmao 
141.0,ba960edf5fc4ac2a8be7b3f2151d86b705e057b4,hiii 
142.0,3ec0626f4ae606ccc29ca2a11a7f9b925f1b7491,earpods are a thing 
146.0,d71f132c5dde3e9fa59866c14080fe97503a583b,q-tips the poor-man's ear pods lul 
146.0,5db49647ed2b78735f6623da326776b5b59e2634,aaaaaiiiiiiiiirpooooooods 
153.0,37f8fff9fb8ddb41ee922a618a573e2ccdb2167a,rae is so funny 
155.0,3ec0626f4ae606ccc29ca2a11a7f9b925f1b7491,:d 
163.0,804ea2f070259f2021c332042bf317fbd7d42895,i hear valky alexialove 
165.0,17dcb4ee30e988341a83ec796e6f7f28074eb3ee,no its not ok 
166.0,9694500c026c37d6687f347d46b37f0a493eb57a,178485118448e49e7d0db7db9d01b2f430a56de8 oo noo 
167.0,17dcb4ee30e988341a83ec796e6f7f28074eb3ee,:pouting_face: 
186.0,e5e114d4f40cd83578f86fba841d5e48495d7377,:pouting_face: 
196.0,c481a19dd558b0a417c574df00b0040e33531710,have u ever tried to press ctrl+w chat 
197.0,178485118448e49e7d0db7db9d01b2f430a56de8,yeah apparently lightning pffft 9694500c026c37d6687f347d46b37f0a493eb57a oh well lol 
208.0,288fe5b14de1c98309818475f1a4958947014bf0,action alexialove alexiah welcome to the famiraye tominator425 alexialove alexiah 
212.0,ba960edf5fc4ac2a8be7b3f2151d86b705e057b4,hows your day going 
213.0,9386fb1a3055072efaffd8e0d285177d52b2a0f1,ice wallow come 
217.0,dd2b5cc296efff9132d735ebba9a2f676514d6fe,alexialove alexiagift alexialove alexiagift 
222.0,9694500c026c37d6687f347d46b37f0a493eb57a,178485118448e49e7d0db7db9d01b2f430a56de8 freaking lightning alexiarayed alexiarayed alexiarayed alexiarayed alexiarayed 
224.0,e19b4dc61ac342d7adc312582748cbb016eed743,ur amazing 
229.0,2581e5ee555dd761a8848c944c11c7d2789ca333,tc 
229.0,288fe5b14de1c98309818475f1a4958947014bf0,action alexia's meet and greet at twitchcon is on saturday at 10:30am-12:00pm! bring hugs alexialove 
231.0,e5e114d4f40cd83578f86fba841d5e48495d7377,c481a19dd558b0a417c574df00b0040e33531710 press ctrl alt4 
231.0,c481a19dd558b0a417c574df00b0040e33531710,or alt=f4 
234.0,d3ca37a182d6733ba62b9f2c2349142898ee6f7e,alexiah alexiah 
235.0,178485118448e49e7d0db7db9d01b2f430a56de8,aw man thank you for that gifted sub you rock 9694500c026c37d6687f347d46b37f0a493eb57a 
235.0,0fff770f13790ee6a5bd026153ab274a7bab62a2,tc 
235.0,d8e6dd02904bd81ef0ca49bd032d23ae966c9351,i'm going to sleep i try staying up with you but i'm tired and watching in the dark is killing my eye soo goodnight 74c29407364c4b48ec2d473b778b97b8455aad93 and chat 
235.0,288fe5b14de1c98309818475f1a4958947014bf0,action alexia's meet and greet at twitchcon is on saturday at 10:30am-12:00pm! bring hugs alexialove 
235.0,c481a19dd558b0a417c574df00b0040e33531710,+ 
238.0,fae5f324b809cd74302c296ae3571628d687fefe,cardihmm 
241.0,e19b4dc61ac342d7adc312582748cbb016eed743,:red_heart: 
247.0,dd2b5cc296efff9132d735ebba9a2f676514d6fe,alexialove 
254.0,ba960edf5fc4ac2a8be7b3f2151d86b705e057b4,gg 
263.0,adc8f1545a35b268d84968f612867406a094455e,im in anatomy class rn 
267.0,f564bfe24427d34b75f54fc058c3be15f76bbb87,alexiaaaa how's your day going <3 cloaklove 
267.0,a2b94baa1c696061ec14fdf7d33138c47c5ad1d7,she is really doing 26 hours 
269.0,37f8fff9fb8ddb41ee922a618a573e2ccdb2167a,good night tlchapsleep 
275.0,e19b4dc61ac342d7adc312582748cbb016eed743,boooo 
278.0,4234275b4e03f95e72a73db7d1aaa1474e20a6a4,how's it going 74c29407364c4b48ec2d473b778b97b8455aad93 
282.0,63dc65b6cc795f4f5b4694dd501ea375a0a8cc89,guitar pog 
282.0,e5e114d4f40cd83578f86fba841d5e48495d7377,gn 37f8fff9fb8ddb41ee922a618a573e2ccdb2167a 
282.0,99058df2eb38319be4ab5d45152ac87504bc9245,good night sushi 
292.0,b671b5e78864808a7e537343aefc27014df143ae,your minecraft's world beautiful 
294.0,23443468f0c78ec8c30e71f8cae8e3f8e5933fc9,u still w/ cloak 
294.0,9694500c026c37d6687f347d46b37f0a493eb57a,178485118448e49e7d0db7db9d01b2f430a56de8 your welcome thanks for being so nice in hsc community alexialove alexialove 
294.0,178485118448e49e7d0db7db9d01b2f430a56de8,afk fishing farm for enchanted books overload 
295.0,63dc65b6cc795f4f5b4694dd501ea375a0a8cc89,used guitar 
303.0,e19b4dc61ac342d7adc312582748cbb016eed743,:musical_notes: :musical_note: 
313.0,db8e55f1d6e284edbd12e85b34b25ed9df86265c,u stole a guitar 
314.0,c9ebf4b5313b6d287678e7b684e9afe72480e17f,i beat minecraft ina hour 
319.0,a2b94baa1c696061ec14fdf7d33138c47c5ad1d7,is she really doing 26 hours chat lol 
323.0,e5e114d4f40cd83578f86fba841d5e48495d7377,db8e55f1d6e284edbd12e85b34b25ed9df86265c no 
333.0,c9ebf4b5313b6d287678e7b684e9afe72480e17f,i happy she is 
339.0,6e0bc7ee7100acfe4bc4b43647f3dfefc361182b,wait what city do u live in 
340.0,adc8f1545a35b268d84968f612867406a094455e,i want go home and playy 
342.0,e5e114d4f40cd83578f86fba841d5e48495d7377,a2b94baa1c696061ec14fdf7d33138c47c5ad1d7 it could be more if more people sub 
344.0,178485118448e49e7d0db7db9d01b2f430a56de8,i appreciate that 9694500c026c37d6687f347d46b37f0a493eb57a very kind alexialove 
356.0,d3ca37a182d6733ba62b9f2c2349142898ee6f7e,marbles time kappa 
360.0,0fff770f13790ee6a5bd026153ab274a7bab62a2,what shaders is she using 
360.0,288fe5b14de1c98309818475f1a4958947014bf0,0fff770f13790ee6a5bd026153ab274a7bab62a2 default texture pack and sildur's vibrant shader w/ optifine 
366.0,a2b94baa1c696061ec14fdf7d33138c47c5ad1d7,e5e114d4f40cd83578f86fba841d5e48495d7377 haha omg 
366.0,138cbc348a21dacc6e0fb5031b9fa02cd0c5b153,how tired are you 
369.0,63dc65b6cc795f4f5b4694dd501ea375a0a8cc89,marbles 
373.0,4234275b4e03f95e72a73db7d1aaa1474e20a6a4,get sugar csne 
373.0,ab00fdbe302a4988da3e90fbda9f0480bc749fef,haha mine too it's been a long 19hrs tho 
373.0,9694500c026c37d6687f347d46b37f0a493eb57a,marbles one time for the one time alexiah alexiah alexiah 
374.0,f564bfe24427d34b75f54fc058c3be15f76bbb87,hope all is well alexia <3 <3 
374.0,e6aef19c2e4aebb297d333a9b526a843315ab1df,26 hour are u insane 
374.0,d3ca37a182d6733ba62b9f2c2349142898ee6f7e,pog 
376.0,dd2b5cc296efff9132d735ebba9a2f676514d6fe,pog alexiah 
377.0,59847c361b62ac0d5bc0ed131e03c8b8a821eba0,marbles alexiah 
377.0,c9ebf4b5313b6d287678e7b684e9afe72480e17f,she got diamond armor 
381.0,e19b4dc61ac342d7adc312582748cbb016eed743,lol 
401.0,d71f132c5dde3e9fa59866c14080fe97503a583b,so league 
404.0,d0deebb31b430fbed7d8dba0def9bc04fceabca5,qtsangel 
405.0,279d754561c91273231ecbdfee491fef17f81d96,autopilot league kapp 
405.0,d71f132c5dde3e9fa59866c14080fe97503a583b,raederp 
407.0,5931e3c31a9245d5a1f1c46b851cb7671f33e9e2,rae is addicted 
408.0,dd2b5cc296efff9132d735ebba9a2f676514d6fe,alexiahehe 
410.0,d6a63c130b4d5f0cb8dda7b9c7a559f209c230b2,paper 
420.0,e5e114d4f40cd83578f86fba841d5e48495d7377,break your heart 
423.0,53aec187a0cc75909616c6b48b63c230484fc02a,alexiahehe 
428.0,e5e114d4f40cd83578f86fba841d5e48495d7377,missglick 
430.0,f6a50f6c869b5d09ade47c54f4c36e42d3fccf04,smile it on 
430.0,f564bfe24427d34b75f54fc058c3be15f76bbb87,d71f132c5dde3e9fa59866c14080fe97503a583b missghug 
438.0,e5e114d4f40cd83578f86fba841d5e48495d7377,missghug 
442.0,ba960edf5fc4ac2a8be7b3f2151d86b705e057b4,djdjdxjxkxk 
446.0,f564bfe24427d34b75f54fc058c3be15f76bbb87,279d754561c91273231ecbdfee491fef17f81d96 missglove 
456.0,17dcb4ee30e988341a83ec796e6f7f28074eb3ee,missgcute 
463.0,178485118448e49e7d0db7db9d01b2f430a56de8,so is this a village or she made all this 
465.0,279d754561c91273231ecbdfee491fef17f81d96,f564bfe24427d34b75f54fc058c3be15f76bbb87 missglove hiii 
465.0,f564bfe24427d34b75f54fc058c3be15f76bbb87,17dcb4ee30e988341a83ec796e6f7f28074eb3ee cloaklove 
466.0,ec45b4f7b2deb9ba5871460b58edebca74f41b38,prot 
468.0,5fb462bc9d67048a4d19a5b1023bbe049810f0d3,prot 
468.0,d11264432af51e632b2da7da7faa39058dde9640,unbreaking stacks really well with mending 
471.0,e5e114d4f40cd83578f86fba841d5e48495d7377,saphylurk 
473.0,fa05030874536ea0663a95fa08a793a484257078,protec 
473.0,99058df2eb38319be4ab5d45152ac87504bc9245,prot 
475.0,17dcb4ee30e988341a83ec796e6f7f28074eb3ee,f564bfe24427d34b75f54fc058c3be15f76bbb87 cloaklove 
