Time,User,Message
0.0,56b541289075201fa897c5cf18c6148a05c25a5c,the bottom of the car oh yeah shogiegasm 
33.0,515df34c350aa6863be9b962c66ccf1e2b679b4f,d: 
47.0,557c761a707cc22d9508a5ef1fa332c10e464da3,so last night doesnt count 
47.0,0e1c67bcbba514673f95517f425934a66bf9e7fc,kappa 
53.0,9940d45c45675ec7ca50d062f81c487f2700f404,don't watch jump king segments 
55.0,557c761a707cc22d9508a5ef1fa332c10e464da3,something about lasers 
64.0,515df34c350aa6863be9b962c66ccf1e2b679b4f,you'd better have the age thing on 
64.0,92a6596f8c918c35f17a4c737f519920f119872b,fuck sake shogun watch the profanities please 
64.0,d99b0ace6ccb768a0fe1d9beccf4bae774fb92af,poppycock 
94.0,557c761a707cc22d9508a5ef1fa332c10e464da3,paddy wack 
106.0,92a6596f8c918c35f17a4c737f519920f119872b,did you just call him a disgusting snack 
107.0,e742cfd96315c7745984210eb3fb5d36006b4f44,at least he said hi 
112.0,e18f90a4831aa5a9ab80f68a5e2c129085853362,sign his profiel 
114.0,3aa48c26454d54dd5d6359d03c55d993c28f74c0,polywag 
125.0,55503e1a25047fb1a96c92276d3aad4adddf41f8,sign my profile 
132.0,92a6596f8c918c35f17a4c737f519920f119872b,this is rocket league 
138.0,515df34c350aa6863be9b962c66ccf1e2b679b4f,shogiepog 
140.0,9a688cd7e8af45f766ccbb57f5d720963e6aef40,told ya lul 
140.0,3aa48c26454d54dd5d6359d03c55d993c28f74c0,shogiesad 
149.0,515df34c350aa6863be9b962c66ccf1e2b679b4f,tree and his new name 
150.0,e742cfd96315c7745984210eb3fb5d36006b4f44,it's the name 
158.0,3aa48c26454d54dd5d6359d03c55d993c28f74c0,atlas ftl 
159.0,5218ca67c46aff83c728b1eec102f068e16063d0,i don't know who treefork is 
159.0,0e1c67bcbba514673f95517f425934a66bf9e7fc,shogiechoke shogietoxic shogiesmirk 
160.0,43897d0bc522fbb79bb1e680f22677475b24c431,shogun 
174.0,43897d0bc522fbb79bb1e680f22677475b24c431,dont let me shoot 
177.0,92a6596f8c918c35f17a4c737f519920f119872b,atlas has been off the map one too many times 
197.0,515df34c350aa6863be9b962c66ccf1e2b679b4f,uhh 
202.0,55503e1a25047fb1a96c92276d3aad4adddf41f8,the fact that lady penelope isn't a woman annoys me 
212.0,e742cfd96315c7745984210eb3fb5d36006b4f44,that's sexist 
213.0,55503e1a25047fb1a96c92276d3aad4adddf41f8,confuses me 
223.0,43897d0bc522fbb79bb1e680f22677475b24c431,it is lad -y 
232.0,55503e1a25047fb1a96c92276d3aad4adddf41f8,woah 
235.0,55503e1a25047fb1a96c92276d3aad4adddf41f8,mind is blown 
236.0,515df34c350aa6863be9b962c66ccf1e2b679b4f,lad why penelope 
