Time,User,Message
0.0,d7aad8af634be86527309b58460ffbc6a9c79855,787744075c04807784af89243e7a77222c94c37b he beat u last game 
2.0,08a61d0b787872d0ea50f154eac4822bdd94be71,irelia last game 
6.0,4d9e416c630574def9d70be9e130bcb5040b9409,tf pls 
7.0,1d03cf848aa320fefbc786eebdd98ce4f1f70837,elo 
8.0,8d292e0ac22a6fb18dde9f96784b2bd1e78da669,poopy diaper is a troll and has trolled dom 787744075c04807784af89243e7a77222c94c37b 
8.0,3632dafa1d20a9d3adb939417fb9782dca2b2d6c,twitch 
13.0,4e5773a77795e3b13402bfa410a3015b9ec26d3d,is garbage 
13.0,ad0ab415be9fbe0bed5d4e77ef61b913c3032ecc,787744075c04807784af89243e7a77222c94c37b full app amumu 
15.0,d6e9eb23cf3b2c7574030f74eeb13008c9b4da05,viiiiiiiii 
15.0,883648bd632c22f0e21638d0d376a40325d21633,can you play the best jungle which is nunu 
15.0,95d727e24003b3d329232a6c2868102086ab09ed,ekko 
15.0,ebf90d229ac49f641a1e257faebad571336b4300,tf 
17.0,953665504f25168c33aa951c761cdf4544126bff,ekko 
18.0,23fba3f4ad006a75adc428f862e64e80cbd304e4,twitch 
19.0,5f6ca70f66d95d0136b4fd8be1511abcb08c7b94,troll him back now 787744075c04807784af89243e7a77222c94c37b 
19.0,272bbd26368a68277138374d53a84eab7138b03b,ekko 
19.0,eeb39200ef9bd79d44c5b5348a9ef887eff8b51c,twitch 
20.0,9077852fa57829dba696e5c66d15689a6e9c2499,twitch 
20.0,68fb46cb9b1bf28da6f1f928553ffca6b05567bd,6ec574fb95b4b41b56012116ef17313d280ffa80 ok makes sense thanks trying to learn more and more 
21.0,4d9e416c630574def9d70be9e130bcb5040b9409,tf 
22.0,7de590a2478cef5fd0af5eaa4ea91d0c3fe09a5d,yi 
22.0,44fc00e4cef5e710c3e26413c4abfbb6a4e234e5,ekko 
22.0,d82b287e85cba72d68537c93a59fc7f311ae86b5,kayne 
23.0,f19efea3405b48c943a53f856321461706b79291,varus or vayne 
23.0,57a48145cad4be887b967420df0325e4a251f723,787744075c04807784af89243e7a77222c94c37b amumu ap 
23.0,82ab15cf2d3d1be7e490521ece019416ce1fdab7,amumu 
25.0,141a292df5464df6c9d58a00e26acd42c008831c,mundo 
26.0,4345cc642c2b5e7ef50996e2e2b3b69fce60fad0,kindred blessrng 
26.0,ba3340e654460507c12de593adc83b946f72f6ba,riven 
26.0,c6e4edfc65ef84c42bf307ca1f6e272e4c301105,evelyn 
27.0,d8f21c26f367b1a76b12aff16b18e199c6d3cb49,kai sa 
28.0,86c0064f547f8b9f046819db3708465148455bf1,787744075c04807784af89243e7a77222c94c37b kinred kined 
28.0,279051083cee7313bf4769fc89e2a992caf3dcd1,my dude literally banned kog because he knew it was you lol 
29.0,c6e4edfc65ef84c42bf307ca1f6e272e4c301105,eve 
29.0,141a292df5464df6c9d58a00e26acd42c008831c,mundo 
29.0,7de590a2478cef5fd0af5eaa4ea91d0c3fe09a5d,master yi 
33.0,c2894d05c69e596bdc17ea880ed79bbcac91ecf0,hello :) 
33.0,7de590a2478cef5fd0af5eaa4ea91d0c3fe09a5d,yi 
34.0,4e9695cdc5d7c0ad4cda72c870cfd55b8697de17,shacooo 
36.0,d7aad8af634be86527309b58460ffbc6a9c79855,8d292e0ac22a6fb18dde9f96784b2bd1e78da669 poopy diaper is good tbh 
36.0,ba3340e654460507c12de593adc83b946f72f6ba,play riven please 
37.0,279051083cee7313bf4769fc89e2a992caf3dcd1,he ghosted you last game for sure 
38.0,6420e3763543b4c492d237f428b2de378b77c71f,better jungler wins - trick2g 2019 
38.0,7de590a2478cef5fd0af5eaa4ea91d0c3fe09a5d,master yi 
40.0,ad0ab415be9fbe0bed5d4e77ef61b913c3032ecc,787744075c04807784af89243e7a77222c94c37b go full ap amumu 
