Time,User,Message
0.0,aba5929077f3385f639eb9a85bd48e50b4331877,quiet chat monkaw 
6.0,3e235881b7fe250223ab5f3d7cf81c64e0d80c5f,decal 
11.0,6745648d0eb399a970b9c2d99636ef0419e98732,playlist 
14.0,4d89812b9853997c26f1399b45675db62dd1c8aa,chris 
19.0,2c8def747e7d524d653f62d575bf54a210d37f08,b0a0efe44ce319c64ad591a95e3bf707fc2d1b89 fr 
21.0,6745648d0eb399a970b9c2d99636ef0419e98732,playlist 
44.0,55ea621f47053767f3f5fd875e6dcd5ba36c0ea2,song 
46.0,26e74d12080e3a051e5983eba50dcfa1e43c91a0,ayyy 
73.0,9c43c9e3c6d065cf378782446c5c229b5bf0a882,do u play any other games besides rocket league 
78.0,a1efe3626fa201596f3e55a40e94b8903bd43711,t90 banger 
80.0,d03782cae7c86945fb83e0c829327957660d22a5,coggers 
85.0,231797c138a8261639d31aa3da81cee00f894580,poggers 
92.0,3d3a8a063122e8f6e8974383d794f318e9af8905,banger \ 
94.0,e97ed44ca69fe716f5955f84655f70b8259824d8,tourney 
102.0,a633bcd6f1e409250bbdd4e5ceb24af15cf73009,waffles > pan cakes 
102.0,05b519693b2cbd5f712827ca3adde20ad1274fd7,sub 
114.0,46b818c168c5646a554d3a8f90cce5d29a52e9be,man i definitely do not use m handbrake properly wish i had better mechanics so i wouldnt lose so much in 1v1 
119.0,4d89812b9853997c26f1399b45675db62dd1c8aa,squuuih yee 
141.0,4d89812b9853997c26f1399b45675db62dd1c8aa,song 
145.0,318e337af12d515e6edf4c93b1e6d8cfddcfbc56,uptime 
155.0,05b519693b2cbd5f712827ca3adde20ad1274fd7,prime 
157.0,9d0d9eae3e03f7e2c0109b8f6fd62bf765a9821f,fuck it dud 
161.0,27def281cb8278c46d68d38f89d9ec85e22ee47b,ppjedi 
180.0,9ffe19a362d7b091d50b5ad2314e498647d1e5b8,hello 
183.0,46b818c168c5646a554d3a8f90cce5d29a52e9be,bold statement squishy he says he is your biggest fan ask him how much he donated if he is the biggest fan lol 
183.0,38b1733bcae812edc6173c21c0ba910334ac64d7,widepeeposad widepeepohappy pepegaphone 
187.0,231797c138a8261639d31aa3da81cee00f894580,ppoverheat 
192.0,2c8def747e7d524d653f62d575bf54a210d37f08,guys i dont know why fluump and sunless are talkin such trash wdym that baguette guy is the best player in the world xd squishy‘s still n 1 
196.0,aba5929077f3385f639eb9a85bd48e50b4331877,n omegalul 
201.0,38b1733bcae812edc6173c21c0ba910334ac64d7,trieasy widehard kekw 
203.0,ae7d7a6b943eb7f08918cc35d693520fa31ec62f,squishyfeelsbad 
207.0,4d89812b9853997c26f1399b45675db62dd1c8aa,fluump straight ass youtuber 
210.0,d03782cae7c86945fb83e0c829327957660d22a5,i still cant see ffz widepeeposad 
210.0,27def281cb8278c46d68d38f89d9ec85e22ee47b,frankerz is working but not ttv for me 
217.0,0ced635103b3ce65b4653855e753ee88cd50bcf6,give the man a sign biblethump kappa 
219.0,16bf84488338f62c585bcaf5d1f493271f34b122,votenay votenay 
223.0,27def281cb8278c46d68d38f89d9ec85e22ee47b,make sure you installed ffz 
