Time,User,Message
0.0,ac693cf5f56f05622b60caeb5b4f195effac0182,7b2f4d5a7c409603385b0c879c30bf89f18e90f1 you and me bb 
0.0,0d90a7dc47d14872708e4403c429d328c79b0543,lol 
7.0,8247cedf90fbb823f2f8bd456d6c5e246ce9c2dd,insta quit required 
13.0,2a46b0e082d92cc05d6e8c37d4187f023e6d2fe1,peace 
14.0,e55f41d50f42cd70bf0ddfca78b50447cd6d295f,doctorlul doctorlul doctorlul 
26.0,88e4090b44a563e9964153426414964431cbda8c,kinda late but did anyone get free chicken last night 
38.0,cc82ef304bcd70fec6bdb88b947c55190606d416,nope 
55.0,7eb0080c2590deb28b7035b29878430db7d9e949,why does nobody ads lul just hipfire smh 
63.0,e180224b5b27ae21da80d3dc34a81f3e34df4b9d,watching some of these people aim makes me wonder how they get up in the morning 
67.0,1910b4c21bcbcc4b4d929d87992104f20e9b9915,let's go my boy is number 1 right were you belong 
72.0,92e6b97eb21366bf1dfa0f1683e65eb8f0e4b9cd,ouch my ears 
73.0,87ce7f6d475f56fd25f9a1ce9a688912d771ba1e,hey it's g pa doc 
94.0,92e6b97eb21366bf1dfa0f1683e65eb8f0e4b9cd,you pounding your mic 
101.0,a345ac155d576c72da7603ce164fe244ce417e15,monitor 
101.0,92e6b97eb21366bf1dfa0f1683e65eb8f0e4b9cd,lul 
111.0,0dcf627bc1b5bca6d23f5aebaac0a9db7cba4f12,92e6b97eb21366bf1dfa0f1683e65eb8f0e4b9cd thats not all he pounds ; 
118.0,92e6b97eb21366bf1dfa0f1683e65eb8f0e4b9cd,i believe it 
166.0,1da427012c99189bd8d9f6c4eb7ceea0826a04e0,that headshot kill sound is so satisfying 
174.0,aa360f3dbe1cba96611237201566a6d5a966bc4d,7eb0080c2590deb28b7035b29878430db7d9e949 mostly muzzle flash it can make you lose enemies but also because hipfire in this game is about the same as ads unless they're far away 
212.0,b59ce3accc15d33cd65952efb7e9c2f4f5390778,wut uuuuuuuuuuup 
228.0,b59ce3accc15d33cd65952efb7e9c2f4f5390778,happy friday fam 
239.0,30f2bcef82885c274819c17296cbec77ef7a62c9,my laptop is so slow in this game can't event shoot a target 
245.0,a345ac155d576c72da7603ce164fe244ce417e15,mouse 
255.0,16566b60f44b606c160e159e6444c320b4df1ad2,u swinging by any late twitch parties 
257.0,a345ac155d576c72da7603ce164fe244ce417e15,mouse 
260.0,199d58cb76bf3526ec3919dc50d92d48f09b60af,yo 
265.0,15fcdadb4cdb0ef52ca506e8cf4d2c828c53038a,mrsiyeyuhs mrsiyeyuhs 
278.0,a345ac155d576c72da7603ce164fe244ce417e15,gear 
