Time,User,Message
0.0,7b34d4d8b569f2f682c4f31fe25531f92a527023,c mon los get it to work 
665.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,idk bro i tried how lalo said but it ain't workin but i'll be back on on my birthday 
765.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,birthday on sunday :sign_of_the_horns_medium_skin_tone: 
923.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lol 
960.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,you tried the new character yet 
980.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,that's what i said about gibby 
1012.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,he looks useful especially with people who put traps all over the place 
1076.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,they added new hop ups for the flatline & 301 & also for the eva 8 & the g7 & lol that's badass 
1131.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,i don't see why they added hop ups for the 301 or flat line & lol yeah they took off skull piercer this season 
1225.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,you like it 
1297.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,ill see into it 
1378.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,:face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: 
1393.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,:thumbs_up_medium_skin_tone: 
1432.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,you guys seen the new battle pass 
1464.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,the skins looks badass :clapping_hands_medium_skin_tone: especially life lines 
1484.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,& pathfinders 
1493.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,ima try to get that bih lol 
1527.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,u like bois 
1561.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,i can't hear alex 
1628.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,i'm playin red dead lol story mode & we should all get on fifa 20 i got it but no internet :face_with_tears_of_joy: 
1857.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lol people asking why i aint getting on for the new season like chill cuhh you miss me or something :grimacing_face: :face_with_tears_of_joy: 
1915.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lol i'll let you guys know when i'm back on so i can stream 
2004.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,damn 
2029.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lalo got quiet :thinking_face: 
2487.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,can you put your resolution to 360 my thing keeps laggin lol 
2787.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,shoot it lol 
2830.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,3rd person didn't do shiet 
2878.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,yeah 
2891.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,without you doing the sneaky shit lol 
2985.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,i just realized you don't have the setting to a call of duty style 
3007.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,it's like the havoc with the select fire 
3027.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,aiming with l1 & shooting r1 
3099.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,oh lol ok it gonna take you a min to get use to it & lol :face_with_tears_of_joy: :face_with_tears_of_joy: 
3165.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,button layout 
3181.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,go solo lol 
3185.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,w lalo 
3213.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,where lalo go 
3234.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lol 
3264.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,what's that in the sky 
3325.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lol 
3360.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,use your zip line 
3472.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,recharge shield 
3493.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lol 
3649.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,take that thermal 
3669.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,improves your aim by alot 
3673.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lol 
3697.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,next fight lol 
3723.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,gibby 
3774.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,what a bitch 
3856.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,he had all the time lol 
3956.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,bait em out 
4050.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,initiate a fight 
4088.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,switch your setting 
4112.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,customized 
4155.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,attack 
4180.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,yup 
4183.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lol 
4306.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,you can use his gas to make space tho unless they got height advantage then yeah he's fucked 
4350.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lol a couple days in you'll be use to it 
4400.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,get select fire with the prowler & it's beast 
4423.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,he left 
4464.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lol i'm tellin you 
4552.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lol 
4568.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,slowly but surely 
4643.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,perfect :ok_hand_medium_skin_tone: 
4703.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,:face_with_tears_of_joy: :face_with_tears_of_joy: 
4771.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,without crypto usin the emp 
4811.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,got a level 4 bookbag lol 
4848.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,the all seeing eye lmao 
4933.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,lol don't get confuseddd 
4962.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,3 squads left 
4980.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,2 now 
5028.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,don't get 3rd partied 
5087.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,:face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: 
5109.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,easy dub 
5116.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,fuck lol 
5149.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,he's over there * shoots * 
5186.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,& didn't place the dome that tim's but its straightt lol 
5220.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,yeah take a bit of time to get use to it i switched it since the game first came out 
5272.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,me too lol 
5283.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,yeah exactly 
5299.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,always had it l1 &r1 
5332.0,ecf14873f7e7334ae9ebce05d5680281f962ebfa,get the select fire 
