Time,User,Message
0.0,bcecf5c50cd65f5e275d88f98c2671c1edbcd6b1,nick 5 before i go 
0.0,f3082319643953ddfc0c6270e0015e542feca573,do the 1-2-1-2 tactic it is op 7bcd278005dedd3252af6e1ecb91648e6baa07a2 
1.0,2f3d2c48b027de0341c48ff0e18c23fa9404fbed,14 for kramaric 
2.0,4df5d713349680c8edc588d6a7635e4288dd18de,pack 39 for havertz 
2.0,ff4a17c8d178b764c00e2a5484fe1124f11daccf,the weight on these bruh 
2.0,dbcfe117d544a11e1892411c82388644868ffcd2,1 is op 
3.0,7102e8dd28b43daf13bb304a9a6aeb7107c69466,b2b hazard 
3.0,b92cd71c27561b4ea3b70559923aa46913b41f20,6 is a tot above 90 or above sike 
3.0,246fb2a145b7bc34069ac8a24020fd620845aa52,back to back hazard 
3.0,2ceb517db1410113f2d9b16ba3c24a6b81b43dbc,pack 12 for kampl 
4.0,2640417082fd8a50517b3e36364d7b84a3dee4c4,7 for blue 
4.0,ebfea1024374b9684663bf9a143b4ca2f8facbe6,14 for special card 
5.0,a0e03f4ee10439b154693cbce713b82949740e67,pack 19 cause 419 is the way forward 
5.0,244cbb33c13d2f085072d3f9cc522c8f012a3dd4,19 for panchos age 
5.0,4b11195b0e7691c4d6c88facbf3c44f8cdc1f0a4,8 for a walkout 
5.0,90a84737ec7525d0a059e9ceaaeba7d9b59aee2a,6 for my club in england :( 
6.0,a13076893eea09c32e156338b51071657d3c4d2b,22 
7.0,1fd2186a1d3cc6a9e5787fdedaeb54a5062f3b02,pack number 8 
7.0,df8c7e6d568a961a149cf92b8e7e9e3c4507cb02,open any of them for hazard 
8.0,1866011c725958f81f37ad077fee0e80d672d60b,pack 6 for casteels 
8.0,0e2b242077e3ff5722d19b3fcb34bde867ada9b7,pack 1 for bender 
8.0,a3d5ff9ec3ad6821ff0b4850043d74f9e9407064,pack 10 
9.0,96a7686425f4b175234f4f99d941836acb26ba31,pack1 for belguim 
10.0,80477c7c1b4c960ca35fda7c573ba46e0a8652bd,pack 5 for tacos de pastor 
10.0,7197a79dd2d8c5459fb39a33ed14c608da238327,2 pls 
11.0,573c56335a667a667b5da1dc0c96e6f88a4a8eef,you looked at the wrong tweet i packed trapp again lmao :face_with_tears_of_joy: 
11.0,56a6e09bb59c0f83a5eb26a0f698385d40399377,lucky number 8 
12.0,5ef7091d0a30c02737305b895922aa341c65af10,11 for reusss 
12.0,adb7759dfb4be55b181c672cda739726dcc80409,biblethump biblethump 
12.0,abf8cd378f1d48dd12e489e547b3579b3e928e7d,pack 21 for such 
13.0,c4d116819598d1ca9099486e51372d1b62fb6ad4,7 for a leipzig player 
13.0,bcecf5c50cd65f5e275d88f98c2671c1edbcd6b1,5 before i go nick 
13.0,e401beb4c59524a8186a19b4a64033e510ffce45,they may aswell call this sbc hazard sbc 
14.0,ce3f36234255cf5a4df98eb68aa43d7c94280678,19 for a nice blue if you get a blue i'll sub 7bcd278005dedd3252af6e1ecb91648e6baa07a2 
14.0,5a95e1ea27ed5b3a89880acd1ca5edc1312b33ed,followsince 
14.0,3149c20dd4bdad88fd7625f65d272323bf6ef7c3,what's the next banger on the playlist 
15.0,bf99b5959bab0e9c369e0c244a75b996b99646e6,mathd told me pancho in nr7 
15.0,6251fbc7bfbfbae5e42760cb5c884e58c8331906,i packed reus tweeted at you 55420874625b805456e99d49d5e0553f41cc7af1 
17.0,512e49f69c8e4bddbc28e8ed7039fd8f94b7301c,9 for the polish hitman 
18.0,9b3f13d234bf2b3cf9e644d4530c36ceeb188f7a,if i've worked it out right your tp times by how good looking you are times by your age =pack 13 is defo a blue 
18.0,5222bb3ea50cbb8699900adf7364ea57db331462,pack 17 for how bad man utd are out of 10-/ 
19.0,01eb7066bee5873fbc62b6fd60b62df8da73399e,buy mendy ffs 
20.0,d0625b7f20075a50bece79dbf9747c0468f745c3,5 for sommer 
22.0,65175adb4f61781ad8d4ce4caf486cad2468fa68,33 for the german ronaldo 
22.0,619f8d908228cc2988c2b6bbbdc1f3cf54be0936,77 
23.0,b70727853694eeffe2d32512f9d0216b5d3865e8,got havertz from my tots pack 
23.0,7ec54656992445308a1764386271433510538122,21 bro 
23.0,9c00584328b85838a44c07b0a6912f1103d90584,pack 20 
24.0,7102e8dd28b43daf13bb304a9a6aeb7107c69466,lmao 
24.0,80bf07acfc453786b77847c06af6c8cc7105fb3f,danny went up 40k after sbc came out 
24.0,ce80e0a5876be960ff9c4f29e6b3cfbef25b6e6b,you should do 14 before you cant trust me 
24.0,0b513b70b9fd8789bcbaa29bee2d3243aafb5f1d,you think the whole market will go up on thursday 
24.0,bcecf5c50cd65f5e275d88f98c2671c1edbcd6b1,ye 
25.0,b07d27e2e2fb7a3bbdb5f096567f52735e3c1a7d,2 for baumann 
26.0,7102e8dd28b43daf13bb304a9a6aeb7107c69466,hahahhaha 
26.0,441b651d6fbeef1268cb69b6764b3f7352a09e4f,do 7 for a player 
27.0,ffca8f376fb73eac37fddf8e23de0dea56f1f093,pack 30 for lewa 
27.0,1323fb2e110f184e5ba0992ec14ffcd61635403d,pack 4 has casteels how much u wanna bet 7bcd278005dedd3252af6e1ecb91648e6baa07a2 
28.0,d4eb8a4f2224cb002cadad75656af71f68e3a596,follow 
31.0,8091aba0629ed5992080f393171963547daef27f,if there's no blue in 7 perma ban me 
32.0,18419324346237f9c1b0c42b69680ea89af058cc,nick quick question what do u think the requirements be for the best of tots 
33.0,bcecf5c50cd65f5e275d88f98c2671c1edbcd6b1,rip 
33.0,fd46c1be68b6ee9a30e8a0bfaccda55fdb4907d6,just got here we packed anything yet 
33.0,f7c8573d04075b8546e3d32ce2d62d8ffc4e5574,11 for a walkout 
33.0,91534312ca2f72aaf884ebb8f0633424a5e640a1,pack 3 for how many stars weak foot pancho has 7bcd278005dedd3252af6e1ecb91648e6baa07a2 
34.0,f3082319643953ddfc0c6270e0015e542feca573,do the 1-2-1-2 tactic it is op 7bcd278005dedd3252af6e1ecb91648e6baa07a2 
34.0,49600dde612f9aeaca422aa6e228ca870d90579d,followsince 
35.0,4df5d713349680c8edc588d6a7635e4288dd18de,pack 39 for havertz 
35.0,b0e439979c5eb6d24efcdaee9de6be3fffcdfdd2,last pack pogchamp pogchamp 
36.0,7130793bf0b506d17233a0faf21c85b68a5b0d29,doing bronze pack method so fun 
36.0,7102e8dd28b43daf13bb304a9a6aeb7107c69466,unluckeeeeeee 
36.0,233d5f35584e5b37b0d7d5f4e27a616d1820597c,followsince 
38.0,db21e76bdfbe389fe424b074648e76302fd04da3,check out mathew kheafy on twitch dude is twin brother of rtfm 
39.0,244cbb33c13d2f085072d3f9cc522c8f012a3dd4,pack 30 for how many inches my toes are 
43.0,c59eaa99a707d0157d5d7b8eb0538ad00b0a37e4,how much did you spend on these packs 
43.0,bcecf5c50cd65f5e275d88f98c2671c1edbcd6b1,not awful 
44.0,573c56335a667a667b5da1dc0c96e6f88a4a8eef,yeah :face_with_tears_of_joy: 
45.0,57ee5219e38a41a8a6bde63f0839ae688e37f47b,lazy buyers in 1st pack 
45.0,09ebc8b81e1a9efe47b14670c724239bd8f914f8,i got havertz from normal upgrade 
45.0,384e86955bfcf64403687b5a8838fd5c93d6277e,done 10 bundes packs got kimmich and da costa who's better and guaranteed pack got jovic nice 
