Time,User,Message
0.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,blue one 
2.0,96d4000cbc3bdc71fcad22b120cca86a88faabf5,no the blue is 
6.0,3e0bbec8cdb3960be507b52dbd04b4d3d600a1e2,weirdchamp teatime stop pretending weirdchamp teatime 
6.0,c562ccf2a138b01b711de7e11640f33bce738701,lul 
7.0,e7663cedcc3856ee33c52f0870910b50a9d14268,hahaha 
7.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,no blue one 
8.0,d3a4d09c443705e2ad7ec0237d6bcb56866f8bc9,paid actor weirdchamp teatime 
9.0,dcc7ef3977fc3ea36461a569780a4072c1c635f0,austria is not there 
9.0,6c7897427fe527e11c8c7f4c94aea7889e805d9e,luxembourg is the tiny one 
13.0,c562ccf2a138b01b711de7e11640f33bce738701,austria 
18.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,no on the left 
19.0,6c7897427fe527e11c8c7f4c94aea7889e805d9e,germany is the yellow one 
20.0,96d4000cbc3bdc71fcad22b120cca86a88faabf5,blue under the netherlands omegalul 
21.0,0e0916523a9dfd495d2e3c76e31ef47a3e405f9c,i'm belgian now pepega 
24.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,left blue is belgium 
25.0,c562ccf2a138b01b711de7e11640f33bce738701,no 
26.0,81acd736868d9d1af95e0cf5882c6b6952d598de,austria is the purple one over italy 7da1e9f8f6c6a6e6c795b336d92b7b88ef377ec8 
29.0,a5be62a2d915c58e550b150da7599552d4089511,spain is the red one pepelaugh :) 
31.0,44d70f5c164673b0ddf51b182ed71af8ee892ef2,austria is by poland 
31.0,c562ccf2a138b01b711de7e11640f33bce738701,austria is purple 
32.0,5e0117cc32e90edbb4d8405ce8a4bc5520a8e405,hahaha hes really trying not to laugh 
39.0,93787c38ab800f38f27fd010bb631ebe841b6f52,the tiny one is liechtenstein 
39.0,d716e96bec08e0e19690752c804cf957e58b60b4,rip the guys account you where trading on 
42.0,3e0bbec8cdb3960be507b52dbd04b4d3d600a1e2,weirdchamp teatime stop pretending weirdchamp teatime 
43.0,96d4000cbc3bdc71fcad22b120cca86a88faabf5,d: 
44.0,7ba8acb66fba00d5be316d1e4b00a38606647e12,haha 
49.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,spain > 
54.0,d4ca12b33b2a69d13f4cf7026afcb868bee0b917,lol 
54.0,b8c3087d59e750864f47eba79fc8e0e775499d66,stopppp failfish 
55.0,db45366292a00619a21399bc29871e5162639178,irrelevant lul 
55.0,dcc7ef3977fc3ea36461a569780a4072c1c635f0,woah 
55.0,c562ccf2a138b01b711de7e11640f33bce738701,wow being so mean to the slavs 
55.0,098f9d76542802f774f9a632c13e38cb2f13a650,paid actor weirdchamp 
59.0,d3a4d09c443705e2ad7ec0237d6bcb56866f8bc9,paid actor weirdchamp teatime 
60.0,a5be62a2d915c58e550b150da7599552d4089511,d: 
63.0,c562ccf2a138b01b711de7e11640f33bce738701,lul 
64.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,switz next to france 
64.0,e7663cedcc3856ee33c52f0870910b50a9d14268,irrelevant :) 
64.0,fe6b5d3a2eed1f040a31227ae1e334974d13643b,go explore china on geoguesser pepesmoke 
70.0,34c623ef34cec2455afdb74a82c9ec33587135df,swiss is orangr 
71.0,6c7897427fe527e11c8c7f4c94aea7889e805d9e,switzerland is orange 
71.0,5e0117cc32e90edbb4d8405ce8a4bc5520a8e405,tubareally tubareally tubareally 
72.0,0e0916523a9dfd495d2e3c76e31ef47a3e405f9c,#slaviclivesmetter 
73.0,6c7897427fe527e11c8c7f4c94aea7889e805d9e,next to france 
75.0,d3a4d09c443705e2ad7ec0237d6bcb56866f8bc9,geoguessr pogu 
75.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,https://www sporcle com/blog/2017/10/is-russia-part-of-europe-or-asia/ 
75.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,https://www sporcle com/blog/2017/10/is-russia-part-of-europe-or-asia/ 
76.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,https://www sporcle com/blog/2017/10/is-russia-part-of-europe-or-asia/ 
76.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,https://www sporcle com/blog/2017/10/is-russia-part-of-europe-or-asia/ 
77.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,https://www sporcle com/blog/2017/10/is-russia-part-of-europe-or-asia/ 
77.0,fe6b5d3a2eed1f040a31227ae1e334974d13643b,lul 
77.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,https://www sporcle com/blog/2017/10/is-russia-part-of-europe-or-asia/ 
80.0,af7a1558e2d99ec2e99be203ad9e4df8eac937b5,denmark 
85.0,d4ca12b33b2a69d13f4cf7026afcb868bee0b917,leave the stream if you live in an irrelevant country pls 
89.0,fe6b5d3a2eed1f040a31227ae1e334974d13643b,explore china pogu 
89.0,109997be7e4817f865121656f363198c8a0a32ee,thanks for calling me irrelevant bro 
90.0,0e0916523a9dfd495d2e3c76e31ef47a3e405f9c,^ 
91.0,96d4000cbc3bdc71fcad22b120cca86a88faabf5,play geoguesser pepelaugh 
96.0,d3a4d09c443705e2ad7ec0237d6bcb56866f8bc9,pogu https://geoguessr com/ 
97.0,d3a4d09c443705e2ad7ec0237d6bcb56866f8bc9,pogu https://geoguessr com/ 
98.0,d3a4d09c443705e2ad7ec0237d6bcb56866f8bc9,pogu https://geoguessr com/ 
100.0,c562ccf2a138b01b711de7e11640f33bce738701,lul now do africa 
101.0,fe6b5d3a2eed1f040a31227ae1e334974d13643b,pogu 
105.0,81acd736868d9d1af95e0cf5882c6b6952d598de,d4ca12b33b2a69d13f4cf7026afcb868bee0b917 half of chat left xd 
108.0,098f9d76542802f774f9a632c13e38cb2f13a650,pogu 
109.0,a5be62a2d915c58e550b150da7599552d4089511,explore wales on geoguesser 
112.0,951f8e8c644b35a24fa33b5e46a03034dcfebf5f,^ 
122.0,3328b2bac9abcd85e546a65c87dee75ee2dc4443,russia are a eurasian country 
122.0,d3a4d09c443705e2ad7ec0237d6bcb56866f8bc9,https://www sporcle com/games/g/europe 
124.0,4776216db6a50ab5ed69107eb7279325fae29ae9,bosnia 
131.0,c562ccf2a138b01b711de7e11640f33bce738701,search up europe map quiz theres got to be something good 
132.0,44d70f5c164673b0ddf51b182ed71af8ee892ef2,find belarus 
139.0,81acd736868d9d1af95e0cf5882c6b6952d598de,7da1e9f8f6c6a6e6c795b336d92b7b88ef377ec8 yo why you listening to german party music 
142.0,6dde8c17dce005a2d83f9c1ebcef6574f6b2ba3a,7da1e9f8f6c6a6e6c795b336d92b7b88ef377ec8 i'm acc disappointed u fell for the brazil meme i did is as a joke notlikethis 
143.0,d14f01bb80e5129c151e062548226d75262844d4,the old soviet union 
145.0,dc1fb8655528744bc2fb595550b949b721a50d4b,going to turkey is cheap as chips 
146.0,d3a4d09c443705e2ad7ec0237d6bcb56866f8bc9,find andorra pogu 
149.0,4711ef08926cfd09c9e7e6b4b543cdd3b4ffe33c,7da1e9f8f6c6a6e6c795b336d92b7b88ef377ec8 twitch dms 
149.0,32112b00826e3679983d090bf39a5fdd612a8e53,andorra is inbetween france and spain 
151.0,3e0bbec8cdb3960be507b52dbd04b4d3d600a1e2,weirdchamp teatime stop pretending weirdchamp teatime 
151.0,6c7897427fe527e11c8c7f4c94aea7889e805d9e,do benjaniiii's sporcle 
151.0,9d35a05868106c5a4ac8ecd568880f5bed184869,flairpogu flairpogu 
153.0,44d70f5c164673b0ddf51b182ed71af8ee892ef2,andorra pog 
155.0,fe6b5d3a2eed1f040a31227ae1e334974d13643b,yikes 
158.0,96d4000cbc3bdc71fcad22b120cca86a88faabf5,lul 
158.0,d515e545bc2edf224693c0baed32b3eb43efd313,what was that 
158.0,2bbe261f54b7c6b87f70a3c28af818e6f58b0925,little yellow one at bosom is romania 
161.0,fdf7f6f8aea8d48361f9dded93a1e7ef5213fe04,where is the uk 
162.0,fe6b5d3a2eed1f040a31227ae1e334974d13643b,geoguesser pepesmoke 
