Time,User,Message
0.0,29c5c6f91b34c3ab0051b8b19d7af54b1145f4c9,ur good bro what was ur game before 
1.0,f9ae56373fbd6e75ee3dc03437b0394195959361,<3 
5.0,beef15e6baeff533c9bb9d6d26f6968efc8bc60d,commands 
6.0,556ae7f7be4f4cf59c3b0d60562a573159f6192c,apex bots watching your channel 
9.0,9e64dff103f302884c4e27543e208c86b748e9e3,thanks my man 
14.0,d925be73c04a84bfff37dcec6205506c4e30e445,lol 
15.0,3b3b9be2d34f85f56c966b6c9511be0370376782,29c5c6f91b34c3ab0051b8b19d7af54b1145f4c9 ring of elysium 
15.0,7ef097185fb08f6b944ba5e94f03780d47200893,kappapride 
16.0,0fc67b958e5def9b8a787c925b466a611469a2bf,how do i get good like u 
19.0,f73019d2b23dfa280fb607d3bdace8c7abe6cda2,7dffc2ba08c182c0d677e44aa1025fb537907a4c i like your stream because you are so friendly and do not restrict to subscribers only 
22.0,16601b45aeb2ad973632b91da287761fc05fe82d,i'm a bot beep bop boop 
23.0,5abeca006d00bd47baf46a2cccd49580582605cf,i saw a highlight reel on yt and liked your hair 
24.0,b332024ce38053d1475631937adb78acc09a3437,well the number of twitch steamers doing apex has definitely decreased so diego is putting up great content w less competition now 
24.0,d727c0adc827eb09476aced2cc1442f366d2103c,you're amazing at this game that's why :beaming_face_with_smiling_eyes: :raising_hands_medium-dark_skin_tone: :raising_hands_medium-dark_skin_tone: 
25.0,169648509c85097e8ae72761f99901ba2ca7b170,you and gamesager are my fav apex streamers 
26.0,9c30adafd9cddf7a293591f34c2af28933805735,i watch when i cant play 
26.0,a7b2a5d176aebb86b5641b91faa87fb1907e4314,we out here brother 
27.0,c0a331998641ae25fbf662ab7454344067f76d76,wingman 
28.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,plucilla just subscribed with twitch prime 
29.0,f9b69b446b37a2111810895246bcdee0633923b2,can we have some peped in the chat 
30.0,71b975a59eed359ecc71cbc0950ac139037c9fd0,diego have you participate in a tournament yet don't thought so 
31.0,71dacdbb81b448f4db4666d3fd4dad093956d0ed,anyone else from south africa 
31.0,247e86d8ca4305d465b2da3412d172a995c5e045,how did apex die down 
31.0,c0a331998641ae25fbf662ab7454344067f76d76,no wingman 
32.0,961b7dd57fd94e56e1cada5db5c1aef4823b9441,man i hate caustic cooldown on his tanks 
33.0,f9b69b446b37a2111810895246bcdee0633923b2,peped 
41.0,9e64dff103f302884c4e27543e208c86b748e9e3,i've played with tsm_tthump once but he died off the start and left lol 
44.0,2a0bb8861882c93579e7acf3bf2053244acaf2eb,where are you from 
45.0,b900cd4a238a526a659cca8ee400b0ce19f4cdab,lol toxic man thought he was sly 
46.0,7a2f19aca59b420abc1c6b0cb5cd4f62eeee8b62,i watch for the plays and opinions on the game pepothink 
51.0,13cf97ef4e02e103d595154e93ac814aa93b95a7,what server do you play 
52.0,cdff459c27ee73881084529f8c35120555f8a53d,shot gun ammo in box 
53.0,edd63cb522761db6fc929faa4e8ec4bab20a5b7c,anyone play on ps4 
54.0,d6f2847e6ddb752a2e9675e069daed6bdc148ab2,how do you bunnyhop on the ps4 
55.0,16601b45aeb2ad973632b91da287761fc05fe82d,we are all bots down here 
56.0,d2bdffc8d35a976ef077581cfd73b6e42b74483b,play this with aceu 
58.0,978235bb66a4ec14a54517743f2c909cae075fa1,diego you can get on a zipline with your grappel 
58.0,7ef097185fb08f6b944ba5e94f03780d47200893,play with shoud kappa 
59.0,c5d52a1c11f860ab7a134102cffe5d6d72303ca7,viss and krafty my guy 
60.0,d6f2847e6ddb752a2e9675e069daed6bdc148ab2,<3 
61.0,b2e407c5bddfb5032d73ef1b81aae79d9f3aaccc,same 
63.0,bc6078d73cdca2e7649ca7fdaa8cdd0935af522b,play with team harambe 
64.0,599e8e366a572741309850a140cf19cfd74d2b95,7dffc2ba08c182c0d677e44aa1025fb537907a4c shiv said on his stream that he wants to team upwith you 
64.0,b7cfe8a16565bb41bc33ae53d983241e90977999,you can solo that shit and dominate 
66.0,f5e161e5de06bee396b408d2c78630d322671a59,feelsbadman 0 friends 
68.0,1b5c27b1896b4cd3658f72ca89c6841487ec6d10,i'll play w u 
69.0,8415de1b0819d2c25246462d0895909d6a4b03e2,yeah im play on ps4 
69.0,240d2e7416c0451802feb6b867295928db56ca94,u should make good friends with tsm_tthump 
69.0,60c1792a151cc58038c0185233840673f685ed6e,pepehands 
70.0,c5d52a1c11f860ab7a134102cffe5d6d72303ca7,oh thats true 
72.0,ab032cf9957466f905bfff88269e40856fdc3d0c,cant you play with viss or crafty 
72.0,f40d4895e843560723cde6c9c0d75551781fbec9,relatable :pensive_face: 
72.0,f73019d2b23dfa280fb607d3bdace8c7abe6cda2,team up with faith come on 
74.0,12575b94e65dbef5ebf4270709e19a249d9886c7,kr said he would make a team with you and mendo 
74.0,6965342f360d29fbedc34323ce6491d0eedf22d1,pepehands 
75.0,169648509c85097e8ae72761f99901ba2ca7b170,edd63cb522761db6fc929faa4e8ec4bab20a5b7c ima god 
77.0,ea45333941f900077d74ac7179364a425c7377c1,u can team op whit me bra 
77.0,8415de1b0819d2c25246462d0895909d6a4b03e2,play with shroud 
78.0,8a982d0f372d335794275d1ca61ff55811ba1bf7,u got faith 
79.0,fbd8da47f5a83fdbbc309851a9bf36c1ded03816,who do u think are top 3 apex players rn 
81.0,8bda6f3c545268c71f3e420461e832f6acf807da,i'll play with you i feel like my time has come lul 
81.0,c5d52a1c11f860ab7a134102cffe5d6d72303ca7,im trash but i got you bruh 
83.0,f5e161e5de06bee396b408d2c78630d322671a59,lmao 
83.0,3e037e8842b4dd824b7cd4b0774ccbac408d4b84,man i love aceu 
83.0,77c6da1c3734158dc4b6f03cd67fd1ad3c365f7e,pepehands 
84.0,c0a331998641ae25fbf662ab7454344067f76d76,mendo 
84.0,6965342f360d29fbedc34323ce6491d0eedf22d1,just like me pepehands 
84.0,9e64dff103f302884c4e27543e208c86b748e9e3,i'll play with you 7dffc2ba08c182c0d677e44aa1025fb537907a4c kkool 
84.0,cdff459c27ee73881084529f8c35120555f8a53d,shotgun ammo in box 
84.0,52c3abe9f09fe866bc16eb43839df1745b4e5626,damn i missed you playing with king richard that sucks you guys are my two favorite lol 
85.0,7ef097185fb08f6b944ba5e94f03780d47200893,shroud and skadoodle 
86.0,73200149f155c5b30d790cb48206abb25981f61d,diego what is your ping 
87.0,7a2f19aca59b420abc1c6b0cb5cd4f62eeee8b62,4k viewers no pro friends pepehands 
89.0,5abeca006d00bd47baf46a2cccd49580582605cf,i'm on ps4 add me 0c486751bea19144608e572a70f44af58edac032 shirtlesss_bob 
89.0,54eb3169b2e9b934802df30d98c3f59956c0b8e1,dont forget tanner 
90.0,eb56a1d44bad10f151bcb23431d5d22f39fed1f8,lul 
90.0,c4ebadbebd6d937553d186a212402d658b97976e,average aden is good and has no team 
90.0,c7d7f71d397eaf82960ab119634d50c921962782,ace playing solo the whole time lul 
91.0,e657c976111fc4cbd3c2bd210fbf24e2405f3f05,ever thought of making a team 7dffc2ba08c182c0d677e44aa1025fb537907a4c 
91.0,d248a8ad5439c61eaf5caf51eaa3663f980c0fce,you would do really good in comp dude 
91.0,35a9fa3a733067375074ffa3c961a2405b3e8a54,do you play any other legends 
94.0,1a412a7597ea9b197c130048067dfa07f6153df2,play with other tsm members 
95.0,556ae7f7be4f4cf59c3b0d60562a573159f6192c,syncedez shrouds frnd says he'll be happy to play with you 
96.0,7ac41e63284673615f54f0e7cb91257abfa832bd,team up with imaqtpie 
100.0,1a412a7597ea9b197c130048067dfa07f6153df2,tsm members 
103.0,169648509c85097e8ae72761f99901ba2ca7b170,7dffc2ba08c182c0d677e44aa1025fb537907a4c im a demi god 
103.0,e1fc2559d8df463cc9f58ad28f66a02d8653d1d0,joshog 
103.0,d248a8ad5439c61eaf5caf51eaa3663f980c0fce,your game iq is stellar 
104.0,02b796fd0b173e9fa199f8721fcf82f68d81c3a7,what about jaylee 
105.0,f40d4895e843560723cde6c9c0d75551781fbec9,monkas 
105.0,1f968f8a94baae53b02d4ce716f79113cbf2f1e7,play with moxyy 
105.0,f5e161e5de06bee396b408d2c78630d322671a59,be careful here 
107.0,5e6a170967717b42e8c86a849dd5df4934ad0ba5,savage 
107.0,b7cfe8a16565bb41bc33ae53d983241e90977999,you just need a teamate to enter you can solo her 
107.0,1ec62806e9372d67ce1a7b8e8b521a1295c7614e,reppin tsm 
111.0,8415de1b0819d2c25246462d0895909d6a4b03e2,team up with shroud 
112.0,50c05a292aa36dddfa3fd75467957fa16d640c43,so your saying faith sucks 
112.0,56e19186ccc4446d2e710e96704a1914656dfe14,play with tannerslays he gets booted for doc with viss/krafty 7dffc2ba08c182c0d677e44aa1025fb537907a4c 
113.0,599e8e366a572741309850a140cf19cfd74d2b95,7dffc2ba08c182c0d677e44aa1025fb537907a4c shiv said he wants to team up with you and mendo no cap 
113.0,722df1129266c1e6ea5683181ad35cbe8e55800f,faith is decent 
114.0,c0a331998641ae25fbf662ab7454344067f76d76,mendo 
115.0,02b796fd0b173e9fa199f8721fcf82f68d81c3a7,*jaygee 
115.0,50c05a292aa36dddfa3fd75467957fa16d640c43,wow 
119.0,a2d6d4d02c02745e83008727fcf0170737dcfec7,sync dez(wraith and itwiked(bagalore 
120.0,fbd8da47f5a83fdbbc309851a9bf36c1ded03816,top 3 apex players in your opinion 
120.0,9e64dff103f302884c4e27543e208c86b748e9e3,i feel like tournament play isn't nearly as fun as just pub stomping so different and tactical 
123.0,12575b94e65dbef5ebf4270709e19a249d9886c7,play with kr and mendo 
124.0,be9d22a8af30b567d8cd9ecb362bcf89847d9437,play with shiv 
126.0,02b796fd0b173e9fa199f8721fcf82f68d81c3a7,*jeelo 
127.0,f40d4895e843560723cde6c9c0d75551781fbec9,yo you cant go around saying that faith will get mad lmao 
133.0,8fd5ac8502fbb2d7a1d3b42d4cfca4c1aa8db331,coolstorybob 
137.0,1f968f8a94baae53b02d4ce716f79113cbf2f1e7,play with moxyy 
137.0,7ac41e63284673615f54f0e7cb91257abfa832bd,imaqtpie is a god among men 
138.0,edd63cb522761db6fc929faa4e8ec4bab20a5b7c,169648509c85097e8ae72761f99901ba2ca7b170 nj_gunna1016 add me always looking for ppl to play with 
141.0,7a2f19aca59b420abc1c6b0cb5cd4f62eeee8b62,play solo pog 
142.0,7ef097185fb08f6b944ba5e94f03780d47200893,play with daequan and hamlinz 
142.0,57ccf2e5f3953d9f3c9c74935cebdd57427b5021,there's a less than zero percent chance you come in last in any tournament 
143.0,882045324d9f81fc37e93753fee0c6ca4bcfc721,can we play around im new to the game 
143.0,cfd7c2b765cbec0885176aabb634b25855edce28,that's very true 
144.0,110a97fe7d737a1d6ceeeaca341b66429cf6ca21,play with shiv aden or tanner 
144.0,fbd8da47f5a83fdbbc309851a9bf36c1ded03816,top 3 apex players in your opinion 7dffc2ba08c182c0d677e44aa1025fb537907a4c 
145.0,02b796fd0b173e9fa199f8721fcf82f68d81c3a7,*lojee 
145.0,c0a331998641ae25fbf662ab7454344067f76d76,mendokusaii 
145.0,d248a8ad5439c61eaf5caf51eaa3663f980c0fce,you're community looks pretty dedicated to you 
147.0,0693af0961dd77ceb233ef2182251c16717cfb96,7dffc2ba08c182c0d677e44aa1025fb537907a4c you don't need to be friends to make money isnt this your job 
151.0,7b72d949ba4f5d80c9aa5f746d6ccbb3d7ac1687,no faith is good but she prefers fortnite over apex so she isnt going to play as well 
152.0,cdff459c27ee73881084529f8c35120555f8a53d,loot first wouah lol 
157.0,e8d75a34d4e1ea41e37e62356068ee127bfb66a1,for fun is one thing but when come to be a pero at the right time there's no argumebt with that\ 
157.0,8415de1b0819d2c25246462d0895909d6a4b03e2,who is faith 
157.0,8fd5ac8502fbb2d7a1d3b42d4cfca4c1aa8db331,true 
158.0,54b9945670f372729da1ed72dad5b2e280f8081d,f40d4895e843560723cde6c9c0d75551781fbec9 yep has no idea how in trouble he is for saying thath lmao 
159.0,3af11bb1c0706bf11c321b0e86e73bba4b601ea4,so faith lands you last place she that bad 
