Time,User,Message
0.0,d4b84734d3f89199a8730c2bbb4b40b083e823d9,ron 
3.0,d4b84734d3f89199a8730c2bbb4b40b083e823d9,romance 
23.0,528f4c49747616263e89c526c025471e00b67d11,he is kinda old though 
36.0,528f4c49747616263e89c526c025471e00b67d11,does that matter 
164.0,d4b84734d3f89199a8730c2bbb4b40b083e823d9,they like him 
166.0,d4b84734d3f89199a8730c2bbb4b40b083e823d9,thats other people 
239.0,faca3297d36460987c91f3520f946e51c801ceb6,really unhappy cities 
250.0,0aa11eebd4d8d84673557fb1b42bf7aa63a4a225,i wonder if on legendary the ai knows what landscape is bad to fight around 
270.0,018d05c136dfb08dcc4a4eb1c63da69e99c9da52,his army isn't even half strength won't beat a garrison 
338.0,507f92ce570a0efed9d0a66d185c44ab6df5d7f7,my twitch keeps freezing 
357.0,cdfba7204289f77b512635985548c57a1b1b6051,twitch is eating ass today 
366.0,e7445caddbe1b3efe62a1f0051ffe852b6084c20,i see nugy has returned to mass range unit strats 
427.0,faca3297d36460987c91f3520f946e51c801ceb6,thats facing the wrong way 
438.0,faca3297d36460987c91f3520f946e51c801ceb6,thicker line is the front 
446.0,faca3297d36460987c91f3520f946e51c801ceb6,halberds east 
549.0,11d8e4958e815c3295191d34c0a5aff3758c278b,fite me nugiw peepobox2 
678.0,27f0d323fa2fef327c6e68e0bdc0ba2af2f5485f,feelscoffeeman 
683.0,8830dc26f4ce10abf69d6e3e56d8d008bb986239,she might die 
740.0,8830dc26f4ce10abf69d6e3e56d8d008bb986239,generals are so strong 
792.0,e7445caddbe1b3efe62a1f0051ffe852b6084c20,i'll fite you mcdumb peepobox in bed nugi1 nugi2 nugi3 
814.0,0aa11eebd4d8d84673557fb1b42bf7aa63a4a225,clap 
826.0,11d8e4958e815c3295191d34c0a5aff3758c278b,warfirev whoa there big boi handsup 
842.0,cdfba7204289f77b512635985548c57a1b1b6051,darkmode execute 
852.0,babe06035671923c0a4e9253b1bdb5f1bd14986e,execute his ass 
854.0,babe06035671923c0a4e9253b1bdb5f1bd14986e,etupdab 
858.0,4144ef7ba51a8d83bc1a6739609328a65082a2f0,lul 
863.0,528f4c49747616263e89c526c025471e00b67d11,lul 
863.0,babe06035671923c0a4e9253b1bdb5f1bd14986e,his daughter 
878.0,babe06035671923c0a4e9253b1bdb5f1bd14986e,omegalul 
880.0,528f4c49747616263e89c526c025471e00b67d11,she looks like his mother 
883.0,d4b84734d3f89199a8730c2bbb4b40b083e823d9,yea wtf 
887.0,d4b84734d3f89199a8730c2bbb4b40b083e823d9,she looks 60 age 23 
890.0,3eb704653d13257a4d1862ed237dd4b38eed2490,omegalul 
918.0,11d8e4958e815c3295191d34c0a5aff3758c278b,age shaming feelsweirdman 
942.0,9ef52108f3177caa2ac864784206e2db77ad512d,pepocheer 
951.0,27f0d323fa2fef327c6e68e0bdc0ba2af2f5485f,pepocheer 
965.0,9e680961c13d0a162bd53ef35ee6803e0b2a2b90,pepocheer 
983.0,3eb704653d13257a4d1862ed237dd4b38eed2490,damn u lost alot for a 1200 vs 300 
1060.0,faca3297d36460987c91f3520f946e51c801ceb6,they heard you murder somebodies daughter getting happy cities 
1112.0,3eb704653d13257a4d1862ed237dd4b38eed2490,whats this sound 
1113.0,821149bc7975f186655cb6af0f8ead352f1e9ce4,loud fan 
1127.0,0aa11eebd4d8d84673557fb1b42bf7aa63a4a225,sounds like a busted motor 
1128.0,8830dc26f4ce10abf69d6e3e56d8d008bb986239,i though tit was my computer but it's just nugi xd 
1130.0,8982779adde7a7e8b639b558315a29a2e196be5f,game sound is strange voice is fine though 
1138.0,d4b84734d3f89199a8730c2bbb4b40b083e823d9,lmao 
1139.0,d4b84734d3f89199a8730c2bbb4b40b083e823d9,this sound 
1148.0,faca3297d36460987c91f3520f946e51c801ceb6,its a sound on the map 
1149.0,3eb704653d13257a4d1862ed237dd4b38eed2490,feelsgoodman free noise soundtrack clap 
1157.0,8830dc26f4ce10abf69d6e3e56d8d008bb986239,the lumber yard is lumberin 
1159.0,8830dc26f4ce10abf69d6e3e56d8d008bb986239,lol 
1159.0,babe06035671923c0a4e9253b1bdb5f1bd14986e,wtf etupxd 
1161.0,9ef52108f3177caa2ac864784206e2db77ad512d,monkat 
1163.0,faca3297d36460987c91f3520f946e51c801ceb6,those natural chinese sounds lol 
1180.0,11d8e4958e815c3295191d34c0a5aff3758c278b,monkahmm 
1181.0,3211bb9abc6f015cbfad78d064f85bae427bdcb7,is this another koei game 
1182.0,af3af9a0b020d3412a9a8b5b86cad228065e3573,its the yangtze 
1182.0,8982779adde7a7e8b639b558315a29a2e196be5f,its the game but idk if the game makes it or the stream makes it 
1194.0,9ef52108f3177caa2ac864784206e2db77ad512d,always atak 
1204.0,9ef52108f3177caa2ac864784206e2db77ad512d,peepobox 
1214.0,babe06035671923c0a4e9253b1bdb5f1bd14986e,attack 
1217.0,babe06035671923c0a4e9253b1bdb5f1bd14986e,smorc 
1228.0,27f0d323fa2fef327c6e68e0bdc0ba2af2f5485f,danmad give back free etupxd and alkxd 
1232.0,ce892a6ea184f3af26c878c13a1b28d2dad29ed1,smorc smorc 
1247.0,f6b979f1a41e700e5a6ed8983450347c873193ff,hi 
1253.0,3eb704653d13257a4d1862ed237dd4b38eed2490,27f0d323fa2fef327c6e68e0bdc0ba2af2f5485f fuck alk 
1256.0,bb314c29af5128fa4891a3f68183e219f89f4370,danxd 
