Time,User,Message
0.0,80d2c4565c87557dd2a8bd42ea2c5cb4c5315f66,what rank is this 
2.0,b1197bafd2a35f733b89850e8d658e6d96e4381c,what rank are u 
8.0,80d2c4565c87557dd2a8bd42ea2c5cb4c5315f66,xd 
12.0,14a2c3772b60a556febc68c66613ff7c17a7737b,commands 
22.0,2988e45ccf3f4928827253ca7973c8683847af26,ooooh honey you are famous now <3 
23.0,a61a525c36f27bfc1a44a882fd1cc326342186b0,rank 
24.0,1ffb96cc8ab5482410403356ae1599aeac518f2b,who hosted 
26.0,a61a525c36f27bfc1a44a882fd1cc326342186b0,darn 
31.0,a61a525c36f27bfc1a44a882fd1cc326342186b0,squishy 
34.0,594d23fc51e48bc2588552d8b799fa036f428e25,squishy hosted <3 
37.0,80d2c4565c87557dd2a8bd42ea2c5cb4c5315f66,squishy 
43.0,a61a525c36f27bfc1a44a882fd1cc326342186b0,gimmick 
45.0,eadf737bb85d19f0fac177f7e5c7504538d77d99,no pressure we're just watching you 
47.0,2988e45ccf3f4928827253ca7973c8683847af26,i believe in you 
49.0,2988e45ccf3f4928827253ca7973c8683847af26,you got this 
49.0,1ffb96cc8ab5482410403356ae1599aeac518f2b,holy shit dude nice 
51.0,a61a525c36f27bfc1a44a882fd1cc326342186b0,ggs 
66.0,594d23fc51e48bc2588552d8b799fa036f428e25,he said gimmick xd 
80.0,40e46978a991eba1a6cfd170537405d064b0ac45,serpentoctaaf serpentoctaaf serpentoctaaf 
90.0,80d2c4565c87557dd2a8bd42ea2c5cb4c5315f66,ahh diamand :ok_hand: 
98.0,2988e45ccf3f4928827253ca7973c8683847af26,hey a dutch person 40e46978a991eba1a6cfd170537405d064b0ac45 
98.0,ccbf8211766d24a3284fb1c075e055c5f69eabc4,aye close to9 champ bro keep it up :d 
103.0,f8648e18a154066a0507ffa570472e14698d10b6,are you canadian 
110.0,875aff00f94a54b4566d561117868418f94353c3,champ hype pogchamp 
111.0,a61a525c36f27bfc1a44a882fd1cc326342186b0,hey man i'm plat 2 any hints for getting out 
114.0,40e46978a991eba1a6cfd170537405d064b0ac45,haha ja 2988e45ccf3f4928827253ca7973c8683847af26 
131.0,eadf737bb85d19f0fac177f7e5c7504538d77d99,a61a525c36f27bfc1a44a882fd1cc326342186b0 learn how to crush the ball 
135.0,875aff00f94a54b4566d561117868418f94353c3,biblethump 
144.0,b1197bafd2a35f733b89850e8d658e6d96e4381c,a61a525c36f27bfc1a44a882fd1cc326342186b0 play fast 
153.0,2988e45ccf3f4928827253ca7973c8683847af26,alles goed 40e46978a991eba1a6cfd170537405d064b0ac45 
157.0,953035ad8ba2495ce5042e75eca35f002af711ad,what's up man new here 
