Time,User,Message
0.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,but he gets 10 food a turn for 10 turns lol 
44.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i don't care if he leaves it's his son leading the army anyways 
94.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,yuan shu only has 1 army 
114.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i'm his ally so i should be able to see his whole forces right i only see 1 army in his territory 
160.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i can liberate him and then you can take him 
193.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,from what i can see 
206.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i'm tempted to break the pact and strike and take him out 
211.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,then it would just be wu and dong li 
273.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,oh i didn't know that 
278.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,he's not he's my military ally 
289.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,but isn't that going to allow me to see his forces in full 
295.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,oh 
310.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,dong li doesn't like me 
342.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,you want me to liberate han fu 
433.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,nvm then i'll just liberate han fu and take out he yi 
448.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,and those yellow turbans in my territory 
675.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,when i try to confederate lady wu she's not really hating it she's only a bit over the negative amount 
724.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i mean yuan shu did the same thing but we're in an alliance so it won't work 
751.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i'm going to try to raise our relationship and try it before we end the stream so no big time will be lost if it breaks 
866.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,true i like lady wu too 
869.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i'm torn man 
915.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,yup 
923.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i don't want to risk the war but i would love to see it work 
979.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i'm tempted to try it next turn i mean worse case i screw myself over with the war 
988.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,but it makes for interesting viewing either way 
1021.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,wish me luck 
1036.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,rejected 
1056.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i wonder if that breaks our trades 
1178.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i'm going to make liu yao declare war on her 
1350.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,he's not supposed to win just hold her off until i can arrive on the field to fight 
1472.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,he's a different one 
1474.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i hope 
1484.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i saw that a few turns back 
1541.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i just raised another army 
1603.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,that's what i'm wondering 
1771.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,how long do i have to wait before i can annex my vassal to avoid any hit to my rep 
1774.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,oh okay thank you 
1813.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,thanks i missed that 
1979.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,liu yao paid me to declare war on lady wu 
2042.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,this was an interesting turn of events 
2067.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,took out yuan and vassalized him and i started a war with wu 
2101.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i mean our campaign started off with me confederating kong rong and cao cao 
2148.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,i got into a war with yuan shao then he vassalized me and then released me and then became my ally so yeah pretty interesting 
2156.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,yuan shu* 
2165.0,c9d6cf58cef4b19390e438f4c7d78e3546bfff24,good night everyone 
