Time,User,Message
0.0,95837e38fa9ac9131f637ac8c2c0fa453782d252,tatyova 
0.0,71f15c439bbe1bab4d3ecfa45dfc63bcd367188a,not dead 
0.0,5788fa43896bdefe08bc13d5610b615927f21d2c,gained two life@ 
0.0,c99fc049dc0c6d878e3d7127622ae20dd7e381e4,but we go to 8 
1.0,b86cbd3991e8ae1845cb8df777daf9958604d391,is the bad weather heading your way 
2.0,9b71e9f7489d961dda3cda0efd30f1ca9929412b,1 life off we have no more lands 
3.0,d0322e3db4dd51055c268a5ce939e8ece370ef77,but we live becuase we get land 
3.0,f218458d90b657331d5763b1e421273b02e95efd,and you're out of basics to gain enough life to live :( 
4.0,5788fa43896bdefe08bc13d5610b615927f21d2c,oh nooooo 
5.0,d0322e3db4dd51055c268a5ce939e8ece370ef77,noooooooo 
7.0,71f15c439bbe1bab4d3ecfa45dfc63bcd367188a,ohno 
7.0,c99fc049dc0c6d878e3d7127622ae20dd7e381e4,nooooooooo 
8.0,95837e38fa9ac9131f637ac8c2c0fa453782d252,oh noooooooooooooooooooo * 
9.0,74502101c19c4a6e0291ff28f1a02bdfc412ecc7,lul 
9.0,63d4b56e8451437a204678cc1533b42a69bee0a6,not like this t_t 
14.0,f218458d90b657331d5763b1e421273b02e95efd,never lucky 
14.0,95837e38fa9ac9131f637ac8c2c0fa453782d252,nooooooooooooooooooooooo 
15.0,a9560cc0f347ee9399ab13313a305f3a91fe1427,did the eye go away on our kefnet 
19.0,5788fa43896bdefe08bc13d5610b615927f21d2c,nooo 
21.0,95837e38fa9ac9131f637ac8c2c0fa453782d252,this is so sad 
24.0,77c37265a2d60d65944fcb31419bcc7ce948a005,what a way to go 
25.0,661a378f06cbedfb00040be9e57cca2d863f2dbd,ouch 
33.0,12f90acd2573cc7d8b1a793853d7a2c224f503e4,what would you think about multani in the sideboard instead of pelakka wurm it's a big legendary threat that tramples it does a similar job to pelakka wurm but is also picked up by vow it gets stronger with vow being able to pick up lands as well it also stays big if the lands from nissa's uptick are destroyed the only way i can see wurm being better is that it gains 7 life basically my argument is that it provides more synergy than pelakka wurm 8141ddc5687c0d8e1002056ade07d8172b00fb0f 
39.0,f218458d90b657331d5763b1e421273b02e95efd,wow only 10 basics no wonder kappa 
57.0,7c56357c69f89a488a63ef2b33e123a3cb1b2831,yeah i believe the shock was the right play 
58.0,12f90acd2573cc7d8b1a793853d7a2c224f503e4,gotcha 
70.0,77c37265a2d60d65944fcb31419bcc7ce948a005,also pelakka wurm blocks everything but ghalta on the ground :d 
73.0,5788fa43896bdefe08bc13d5610b615927f21d2c,wakka wurm can';t be cast off vow though right 
105.0,12f90acd2573cc7d8b1a793853d7a2c224f503e4,my thinking there was that the legendary merfolk was for the aggro matchups and that the wurm was for going big over other big creature decks 
112.0,7c56357c69f89a488a63ef2b33e123a3cb1b2831,they had triple duress and double trophy it happenss 
113.0,12f90acd2573cc7d8b1a793853d7a2c224f503e4,thanks for the clarification 
119.0,60f8a8dd49535de71e810e729f77cdf71fe22f52,to be fair you have yet to cast vow while you have been winning g 
127.0,cf8bf19264a5b1940b037d331c3fde7738d734b9,question if you cast a legendary sorcery and while its on the stack they destroy your only legend does it resolve or fizzle 
133.0,1c30a84438ff40e482e4fd0006c84c11736b4fe8,down on fblthp 
139.0,9b71e9f7489d961dda3cda0efd30f1ca9929412b,should resolve 
151.0,5788fa43896bdefe08bc13d5610b615927f21d2c,please sac 
155.0,5788fa43896bdefe08bc13d5610b615927f21d2c,awww no red dot 
156.0,9ee2c7947b0d89803cc2ac70d4935533741fe535,they should have put the god eternal recursion ability on to fblthp just because i think that would be funny 
181.0,7c56357c69f89a488a63ef2b33e123a3cb1b2831,well live and learn next time we know to triple block 
183.0,3b9449fcf1c86bd70c1dc9a2662ab0b2f479d0f4,play against sparky :) 
194.0,9ee2c7947b0d89803cc2ac70d4935533741fe535,:) 
194.0,661a378f06cbedfb00040be9e57cca2d863f2dbd,at least we did the thing once 
197.0,d0322e3db4dd51055c268a5ce939e8ece370ef77,this deck is terrible but it is also wonderful and i love watching it 
204.0,f45877dc35e167e944fcc5b5a18fdb9d79b4a63f,is this the last one 
209.0,77c37265a2d60d65944fcb31419bcc7ce948a005,39ee093dd8093799dbf7656a569ac5e100c60b2a blasphemy there's never too much dog :c 
211.0,ca35eea5c5443987ee280e1db9064d08e805ce32,so what about the other builds of this archetype i submitted one with a number of planeswalkers and i know someone else also submitted a bant build with cleansing novas 
215.0,13b4dd5cecd1ea78272c1fa2f7abb9278a694f3b,this one seems cute less aggressive and like a for fun in a group 
216.0,9ee2c7947b0d89803cc2ac70d4935533741fe535,i have actually never played against sparky 
232.0,f45877dc35e167e944fcc5b5a18fdb9d79b4a63f,yay for more stream woo 
237.0,d0322e3db4dd51055c268a5ce939e8ece370ef77,i think nissa's triumph might be better as a bond of flourishing but i am not sure 
239.0,36bb3c59979d47d51f8725c3519a83c8d4d6b995,8141ddc5687c0d8e1002056ade07d8172b00fb0f no worries buddy thank you for the awesome content 
247.0,5788fa43896bdefe08bc13d5610b615927f21d2c,8141ddc5687c0d8e1002056ade07d8172b00fb0f does shocking off of grazer let it come in untapped 
255.0,6f7ef951fefddc554ed7cea81772a8b4a0b17beb,8141ddc5687c0d8e1002056ade07d8172b00fb0f - hi first of all second: tldr on how you see sultai flash in today's standard 
263.0,cf8bf19264a5b1940b037d331c3fde7738d734b9,6f7ef951fefddc554ed7cea81772a8b4a0b17beb always tapped with grazer 
266.0,c7d6d5af802198d8730d9dc3e1af2d30eead9850,mtgnghi mtgnghi 
275.0,6f7ef951fefddc554ed7cea81772a8b4a0b17beb,cf8bf19264a5b1940b037d331c3fde7738d734b9 - huh 
289.0,60f8a8dd49535de71e810e729f77cdf71fe22f52,hi nerdgirl 
293.0,95837e38fa9ac9131f637ac8c2c0fa453782d252,playing flash decks in the lil tef meta is scary tho 
301.0,cf8bf19264a5b1940b037d331c3fde7738d734b9,6f7ef951fefddc554ed7cea81772a8b4a0b17beb tagged wrong person sorry lol 
301.0,3b9449fcf1c86bd70c1dc9a2662ab0b2f479d0f4,you still deciding what deck to play tomorrow jeff 
301.0,d0322e3db4dd51055c268a5ce939e8ece370ef77,hi dayfive 
309.0,89baa87fbcaca525f102e0ed128f4b8bae696c2e,what deck is your choice if its only to win 
313.0,6f7ef951fefddc554ed7cea81772a8b4a0b17beb,oh they only spike i am looking for is in my heart rate when i play sweet decks :-d 
329.0,da9acfce9c850213cf71b7b3a387ff2662ec5869,c7d6d5af802198d8730d9dc3e1af2d30eead9850 hooglwave 
337.0,36bb3c59979d47d51f8725c3519a83c8d4d6b995,8141ddc5687c0d8e1002056ade07d8172b00fb0f are you playing at louisville scg 
339.0,0245cd3fe83ee69843da4185aa5f58631144068e,scoreboard 
341.0,25ec87f053e4182b5e06a1f96e768cee035e680e,whats you pick for play to win deck 
341.0,eaff4c58f6a5811c9a173e3e6bf4a8133e77e9d2,1-2 
342.0,5788fa43896bdefe08bc13d5610b615927f21d2c,6f7ef951fefddc554ed7cea81772a8b4a0b17beb from your keyboard to god's ear 
349.0,f4af044c696a45d4ef55d590216b65135ac797fb,to play hoogland bingo go here and click new card to get your own bingo card: https://mfbc us/m/rpr3wd 
355.0,95837e38fa9ac9131f637ac8c2c0fa453782d252,opp was the one tryharding 
357.0,d75b6127ad9eb2018930428c86cdf522524f7bf6,deckqueue 
358.0,f4af044c696a45d4ef55d590216b65135ac797fb,http://bit ly/deckqueue 
360.0,95837e38fa9ac9131f637ac8c2c0fa453782d252,why did he concede?* 
360.0,56a743ec00b407ad1a603b49eb77817244d8e79a,we did it 
369.0,478dfafd94daaf9eeb93f959d2d1d6a46039c202,is nissa ultimate worth doing 
370.0,12f90acd2573cc7d8b1a793853d7a2c224f503e4,that is also why it's useless to have a win-loss scoreboard 
376.0,bf140ba04e153dc080745d990d58aa68b4c0b996,what are we trying to accomplish with this deck i see jace as a possible win condition and kamahl to get a lot of stuff out on the board especially if nissa's already there 
376.0,56a743ec00b407ad1a603b49eb77817244d8e79a,hoogljeph we did it 
390.0,0245cd3fe83ee69843da4185aa5f58631144068e,super cereal in the unranked queue 
394.0,95837e38fa9ac9131f637ac8c2c0fa453782d252,why is he playing jeskai walkers in casual then? 
402.0,eaff4c58f6a5811c9a173e3e6bf4a8133e77e9d2,raaaaamp 
404.0,2c15369cd45ea1093f0d3bfa937c73530b0cac68,deck is silly and i love it 
413.0,7c56357c69f89a488a63ef2b33e123a3cb1b2831,bf140ba04e153dc080745d990d58aa68b4c0b996 jace and nissa are the win conditions 
426.0,539c38029408833ae27efc7e85c5855eba2fbf47,hey jeff last night i hit mythic with gr pig floops from bronze 1 
430.0,d0322e3db4dd51055c268a5ce939e8ece370ef77,bf140ba04e153dc080745d990d58aa68b4c0b996 i think you might be missing the point of this deck there is no winning only throwing your mana at your opponent and saying look what i can do 
431.0,95837e38fa9ac9131f637ac8c2c0fa453782d252,grazer the god 
433.0,eaff4c58f6a5811c9a173e3e6bf4a8133e77e9d2,reach monkey is gas 
434.0,b2863b686cfdcf0ca4db60ffa368eb400e60dca0,what if you just don't want to play against a single archtype *looks at reclimation* 
436.0,579a39efaa4267f2e6cf8775f0be804cf422a6af,i also concede to really slow players in unranked 
