Time,User,Message
0.0,545b0841ee25da9836ae514bc1ff215a8afdfe7c,9 7 
6.0,d8434bc872d5e34a6c335534607939999bb3d905,9-8 8-8 
7.0,423da11099a8b38dec4e2d1240570e35954fe565,9-7 chinese government confirmed 
11.0,fa85369664a57a7751dccbe8821396c93df23a04,ago so trash 
16.0,b93a6ddfdfd6b10e00f1d4e90c81785cb42bb383,52a2b33239f150a924cc6ade22bb41e6c18764d4 its the caster x ray 
16.0,1975905b6f4d47e2a73b9dc7170447847e841d0b,545b0841ee25da9836ae514bc1ff215a8afdfe7c who win finally 
21.0,e42ff7c0b60b0b64788ae2e9eb983a88ab0bfd5c,545b0841ee25da9836ae514bc1ff215a8afdfe7c u joke 
23.0,fa85369664a57a7751dccbe8821396c93df23a04,ago should disband lul 
35.0,545b0841ee25da9836ae514bc1ff215a8afdfe7c,unique win 16 13 i guess 
39.0,1975905b6f4d47e2a73b9dc7170447847e841d0b,e42ff7c0b60b0b64788ae2e9eb983a88ab0bfd5c why you think ago win 
46.0,5cf9a9a04a0838620019c66f967302db219447c4,14-16 dream scenario for 3rd map money 
52.0,52a2b33239f150a924cc6ade22bb41e6c18764d4,b93a6ddfdfd6b10e00f1d4e90c81785cb42bb383 xd i know it im talking about their movement 
55.0,52a2b33239f150a924cc6ade22bb41e6c18764d4,s 
60.0,e42ff7c0b60b0b64788ae2e9eb983a88ab0bfd5c,because ago low odd 
62.0,d8434bc872d5e34a6c335534607939999bb3d905,9-6 
63.0,2a3663193e26bc807eff563cf2af4d134cc0ca61,you don't think wow re-release of classic wasn't a jab at healthcare reform funded by the chinese government i got some stuff for you to read kid 
65.0,d8434bc872d5e34a6c335534607939999bb3d905,rip my money 
71.0,13918bc1740fabeed96891722f24098e605798df,3 1411 sensi with 1000 dpi is okey 
72.0,3afb4d5ba27900c36354ec193d234181ae94b79f,9 6 
73.0,d8093f4632e99326e22ec1a240b97e8dc54e747d,noob af 
74.0,545b0841ee25da9836ae514bc1ff215a8afdfe7c,dust 2 its t sided map if lower tier teams playing 
79.0,5cf9a9a04a0838620019c66f967302db219447c4,9-7 
79.0,3afb4d5ba27900c36354ec193d234181ae94b79f,9 7 
88.0,1975905b6f4d47e2a73b9dc7170447847e841d0b,11-7 
89.0,af42f2143cb993fc61a8cede500dd5fc720585d9,9-7 
89.0,63a5df588fe5a07e4470108908d99cb17ddabf6f,13918bc1740fabeed96891722f24098e605798df 800dpi 0 8snes xd 
90.0,423da11099a8b38dec4e2d1240570e35954fe565,ago is the best team in the world 
93.0,e42ff7c0b60b0b64788ae2e9eb983a88ab0bfd5c,u can see low odd atago 
94.0,af42f2143cb993fc61a8cede500dd5fc720585d9,lul 
98.0,7cb37f0bc75e0ef0f327c1111fe5e3240a0876fc,8-8 
105.0,b00c251ec6aecf7a034a81bad7904bb83383cd3c,gg 9-7 
107.0,cced7b0b75da3e37a8271edc5602bea005869e9c,9-8 easy 
114.0,af42f2143cb993fc61a8cede500dd5fc720585d9,7cb37f0bc75e0ef0f327c1111fe5e3240a0876fc 9-7 
120.0,1185a4b011aceb2e071b07cda474295a0c84a1b0,you are all such great preditors 
121.0,5cf9a9a04a0838620019c66f967302db219447c4,11-7 
122.0,ad7f5aa315e9a90ba97e544ddc995fae89763e49,nice aim ago noobs 
123.0,d1d64a92e09c30da57bb74c29f581c7c8b141ced,told u unique t side is godlike 
128.0,1e2aa5f122fa86dc147f2ce37055306701a7b110,lul lul lul 
130.0,ad7f5aa315e9a90ba97e544ddc995fae89763e49,u son of a bitch ago hope u die of cancer 
131.0,1185a4b011aceb2e071b07cda474295a0c84a1b0,always false xd 
135.0,72f59fd9c2c8806d50045c234ef426d5dc333836,go go x-kom ago 
137.0,41d4b4d58f6048e61ec75ea487eacb00ff4abaf1,ez15-15 
139.0,0b960a820ffc6ce81ce6257e346f7bc7d333182f,og win ti10 ty 
140.0,e6331a3179b5b71f3838dc6946a4b28e0f87db9a,2-0 
145.0,d1d64a92e09c30da57bb74c29f581c7c8b141ced,ad7f5aa315e9a90ba97e544ddc995fae89763e49 not cool man watch out for karma 
157.0,0478b2941a78295d3486c313ad43e3399b6f20c6,who is gonna win need to place my bet 
159.0,5f38069a5974cfa22915e70027ba82d727231a77,save ump lul 
161.0,5cf9a9a04a0838620019c66f967302db219447c4,ad7f5aa315e9a90ba97e544ddc995fae89763e49 chill bro it's just loot bet things 
173.0,2a3663193e26bc807eff563cf2af4d134cc0ca61,hltv already gave away the winner 
173.0,af42f2143cb993fc61a8cede500dd5fc720585d9,10-8 
174.0,440b937a524a49bb1f9be183e443843bd2efc9e6,go watch midas mode 2 0 
177.0,af42f2143cb993fc61a8cede500dd5fc720585d9,10-7* 
179.0,81f9c41aab900dd6dd5e009c859f11fb80d190a2,unique win 
181.0,d1d64a92e09c30da57bb74c29f581c7c8b141ced,midas mode 
187.0,d1d64a92e09c30da57bb74c29f581c7c8b141ced,af42f2143cb993fc61a8cede500dd5fc720585d9 ty 
188.0,1975905b6f4d47e2a73b9dc7170447847e841d0b,16-7 uniq 
188.0,b00c251ec6aecf7a034a81bad7904bb83383cd3c,10-7 
190.0,d8093f4632e99326e22ec1a240b97e8dc54e747d,lmao rob3ns name hahahah xanax user rob3n 
195.0,b00c251ec6aecf7a034a81bad7904bb83383cd3c,gg 
195.0,545b0841ee25da9836ae514bc1ff215a8afdfe7c,ad7f5aa315e9a90ba97e544ddc995fae89763e49 mad bettors babyrage 
197.0,2d13a1b9d16e6f23fa23889bfae3706313b8fba6,i feel someone madness in chat cuz he bet on ago kappa 
199.0,d8093f4632e99326e22ec1a240b97e8dc54e747d,xanaxuserrob3n means what 
200.0,d1d64a92e09c30da57bb74c29f581c7c8b141ced,ig ot unique at +132 ez money hahahaha 
203.0,423da11099a8b38dec4e2d1240570e35954fe565,10-7 gg 
205.0,e42ff7c0b60b0b64788ae2e9eb983a88ab0bfd5c,ago bettor mad hahahaha 
212.0,af42f2143cb993fc61a8cede500dd5fc720585d9,10-7 
218.0,440b937a524a49bb1f9be183e443843bd2efc9e6,navi and alliance 1 0 
220.0,bdb3bbdb47f2bedd5e5c460820f8a9bcaebf3085,ofc 10-7 when they have no weapons braindeads 
222.0,545b0841ee25da9836ae514bc1ff215a8afdfe7c,dont bet if u cant afford lost 
233.0,ad7f5aa315e9a90ba97e544ddc995fae89763e49,5vs2 
235.0,d1d64a92e09c30da57bb74c29f581c7c8b141ced,i told yall ago is fraudulent 
238.0,e6331a3179b5b71f3838dc6946a4b28e0f87db9a,i bet for 100£ i need 2-0 pl3aseeeeee 
238.0,d1d64a92e09c30da57bb74c29f581c7c8b141ced,lmaoooo 
241.0,c806363f8d605f6ec894d2bae6b0445cf107f2ed,ago od shit 
241.0,ad7f5aa315e9a90ba97e544ddc995fae89763e49,gg fking noobs hope u die in hell cancer ago fking polish dogs 
242.0,5cf9a9a04a0838620019c66f967302db219447c4,lul 
244.0,d1d64a92e09c30da57bb74c29f581c7c8b141ced,a lul g lul o 
251.0,4e4233d608a7c007ff441eb01425805cbbdd4606,biblethump 
256.0,d1d64a92e09c30da57bb74c29f581c7c8b141ced,2v5 lmaooo polish cs 
257.0,2d13a1b9d16e6f23fa23889bfae3706313b8fba6,someone is mad kappa kappa 
257.0,a0d3902ae7439f3ff3719bdefc879c121cdd7b3b,classic dog ago 
257.0,ad7f5aa315e9a90ba97e544ddc995fae89763e49,5vs2 fking polish cancers 
258.0,b93a6ddfdfd6b10e00f1d4e90c81785cb42bb383,ad7f5aa315e9a90ba97e544ddc995fae89763e49 how much lul lul lul 
258.0,ad7f5aa315e9a90ba97e544ddc995fae89763e49,die 
268.0,4baf27c0ecc4148ac4d9c2a69031716989b1e32f,kappapride 
275.0,4baf27c0ecc4148ac4d9c2a69031716989b1e32f,seemsgood seemsgood seemsgood 
275.0,2d13a1b9d16e6f23fa23889bfae3706313b8fba6,house and gf xd 
276.0,423da11099a8b38dec4e2d1240570e35954fe565,322 
276.0,ad7f5aa315e9a90ba97e544ddc995fae89763e49,this fking noobs throwing 
278.0,66d9f58c3eb713efbd4223570ebc14f1fd2e1cd6,swag1letsgou swag1letsgou swag1letsgou 
282.0,ad7f5aa315e9a90ba97e544ddc995fae89763e49,polish toilet cleaners 
283.0,ad7f5aa315e9a90ba97e544ddc995fae89763e49,need money 
284.0,926d86ea880197945d5a875d22adfb63cfd44095,nt 
290.0,7cb37f0bc75e0ef0f327c1111fe5e3240a0876fc,11-8 
291.0,8081822c7b4e2e577ac8d74a562b0e539a1a922e,322 is for sure 
292.0,d1d64a92e09c30da57bb74c29f581c7c8b141ced,af42f2143cb993fc61a8cede500dd5fc720585d9 11-7 
294.0,d693b3a6ef9145474fc6fe87003eda85182f595f,i thought pasha was on ago fuck 
298.0,7cb37f0bc75e0ef0f327c1111fe5e3240a0876fc,i think 
299.0,b93a6ddfdfd6b10e00f1d4e90c81785cb42bb383,you need money salty bettor lul 
301.0,7dc14dacbbd329cd968744c9a889c5c2cbd5bab1,jprd 
304.0,81f9c41aab900dd6dd5e009c859f11fb80d190a2,16-7 
305.0,99b14a5df33eb5c0d8ce271a9a8b6d7beecc9c2c,2 vs 5????/ lmao 
306.0,e20a911d8bdac3577b441c68ea9dad5e293392d9,5v2 
