Time,User,Message
0.0,2c5cd055550f72b3675e074eeff710986f40e8f9,do you mean the human brian in general or just 82a0aa2d6e799990d850f27307bbef6b433d13a7 s most of his has rotted from d3 
9.0,b6f422e4fe3cbe8ee8bbeba7a27712f8fb603927,you can go 72 hours without sleep but at 24 hours you start being drunk 48 hours you start hallucianating and at 72 you basically die 
28.0,94699e20b0ec930d481bf48f74d2e3f115ca0361,82a0aa2d6e799990d850f27307bbef6b433d13a7 on 13th on the leaderboard for wiz 
41.0,8f5adb31ba2a5acb2c7a4767915ea783ef1ac6e1,what bracers are you running 
47.0,77579e7697a09b682c6d96b6f04cbdf504cd4c2e,punch punch punch 
49.0,0e2f897960493c2bfb5e31d09129f970f8375312,yea ive done about 48 - 60 hours withought any hard stuff things deff start getting strange 6d65e77f04caf5c7299b5e64ad589b826f96f9aa 
75.0,5745d68a262b90c37311c4e510fb3eb77673ab0d,b6f422e4fe3cbe8ee8bbeba7a27712f8fb603927 that is definetly not true 
97.0,6d65e77f04caf5c7299b5e64ad589b826f96f9aa,0e2f897960493c2bfb5e31d09129f970f8375312 yeah evreytime i take a time release adderall i can't sleep under 36 hours since i only take a couple a year 
106.0,315fe370db8c0371cd4c5233018d7875051b1669,world record staying awake = 266 days 
111.0,db4bec5c8944af9fde68d4bb2b6c4a17ce6c29a5,so about 14% as sheet should be fine 
131.0,315fe370db8c0371cd4c5233018d7875051b1669,err hours *** :p 
134.0,0e2f897960493c2bfb5e31d09129f970f8375312,266 day i could do that in my sleep get it ok ill sit down again 
154.0,5745d68a262b90c37311c4e510fb3eb77673ab0d,longest time recorded of someone not sleeping is 11 days 
154.0,315fe370db8c0371cd4c5233018d7875051b1669,he got paranoid and hallucinated though :p 
192.0,22f00a04e115dd3d0599002939b60a132242ef1f,yikes 
193.0,94699e20b0ec930d481bf48f74d2e3f115ca0361,82a0aa2d6e799990d850f27307bbef6b433d13a7 congrats on 13th place on the leaderboard for wiz 
